,probabilities,classification,language,vowel,file
10727,0.6554821133613586,i,BR,i,BR132
10730,0.14701241254806519,y,BR,i,BR132
10726,0.13264276087284088,e,BR,i,BR132
10736,0.06481072306632996,ɛ,BR,i,BR132
10737,9.603384754086619e-11,ɛ̃,BR,i,BR132
10731,2.6126939701498486e-05,ø,BR,i,BR132
10732,1.3550897165259812e-05,œ,BR,i,BR132
10725,7.2437016385151765e-09,a,BR,i,BR132
10733,2.279976385466398e-08,ɑ̃,BR,i,BR132
10728,9.750278877618257e-06,o,BR,i,BR132
10734,1.3993633274367312e-06,ɔ,BR,i,BR132
10735,4.0023172687142505e-07,ɔ̃,BR,i,BR132
10729,8.085157219284156e-07,u,BR,i,BR132
9635,0.04395155981183052,i,BR,i,BR329
9638,0.07897013425827026,y,BR,i,BR329
9634,0.043605826795101166,e,BR,i,BR329
9644,0.018805554136633873,ɛ,BR,i,BR329
9645,0.0009627036051824689,ɛ̃,BR,i,BR329
9639,0.7954240441322327,ø,BR,i,BR329
9640,0.0014195897383615375,œ,BR,i,BR329
9633,0.008547442965209484,a,BR,i,BR329
9641,0.0007671181811019778,ɑ̃,BR,i,BR329
9636,0.0007278388366103172,o,BR,i,BR329
9642,0.0009493531542830169,ɔ,BR,i,BR329
9643,0.004665771033614874,ɔ̃,BR,i,BR329
9637,0.0012029968202114105,u,BR,i,BR329
11065,0.09505807608366013,i,BR,i,BR373
11068,0.4912968575954437,y,BR,i,BR373
11064,0.030990689992904663,e,BR,i,BR373
11074,0.009338055737316608,ɛ,BR,i,BR373
11075,0.00011845656990772113,ɛ̃,BR,i,BR373
11069,0.37025186419487,ø,BR,i,BR373
11070,0.0007751047378405929,œ,BR,i,BR373
11063,0.00018837912648450583,a,BR,i,BR373
11071,8.902775334718172e-06,ɑ̃,BR,i,BR373
11066,0.0007994122570380569,o,BR,i,BR373
11072,6.928058428457007e-05,ɔ,BR,i,BR373
11073,0.00017161555297207087,ɔ̃,BR,i,BR373
11067,0.0009335190407000482,u,BR,i,BR373
9921,0.03480179235339165,i,BR,i,BR374
9924,0.13750995695590973,y,BR,i,BR374
9920,0.049948688596487045,e,BR,i,BR374
9930,0.7233149409294128,ɛ,BR,i,BR374
9931,0.00020318393944762647,ɛ̃,BR,i,BR374
9925,0.038958895951509476,ø,BR,i,BR374
9926,0.00010545326949795708,œ,BR,i,BR374
9919,0.0022616356145590544,a,BR,i,BR374
9927,0.00021952249517198652,ɑ̃,BR,i,BR374
9922,0.0003647860430646688,o,BR,i,BR374
9928,0.0005724738002754748,ɔ,BR,i,BR374
9929,0.011477594263851643,ɔ̃,BR,i,BR374
9923,0.0002611371746752411,u,BR,i,BR374
10090,0.007057316601276398,i,BR,i,BR375
10093,0.40880176424980164,y,BR,i,BR375
10089,0.04949575662612915,e,BR,i,BR375
10099,0.348787784576416,ɛ,BR,i,BR375
10100,7.720509893260896e-05,ɛ̃,BR,i,BR375
10094,0.18164336681365967,ø,BR,i,BR375
10095,0.0007407100638374686,œ,BR,i,BR375
10088,0.001982875168323517,a,BR,i,BR375
10096,2.129952554241754e-05,ɑ̃,BR,i,BR375
10091,0.0001065389733412303,o,BR,i,BR375
10097,0.00022777503181714565,ɔ,BR,i,BR375
10098,0.0010224118595942855,ɔ̃,BR,i,BR375
10092,3.524850762914866e-05,u,BR,i,BR375
9739,0.9174104928970337,i,BR,i,BR452
9742,0.03276809677481651,y,BR,i,BR452
9738,0.03400121256709099,e,BR,i,BR452
9748,0.0007352271350100636,ɛ,BR,i,BR452
9749,2.4688855404519927e-08,ɛ̃,BR,i,BR452
9743,0.009378576651215553,ø,BR,i,BR452
9744,0.005378600675612688,œ,BR,i,BR452
9737,1.3585658962256275e-05,a,BR,i,BR452
9745,1.0354834785175626e-06,ɑ̃,BR,i,BR452
9740,0.0001225176965817809,o,BR,i,BR452
9746,1.0907579962804448e-05,ɔ,BR,i,BR452
9747,1.5327752407756634e-05,ɔ̃,BR,i,BR452
9741,0.00016435726138297468,u,BR,i,BR452
9323,0.9763134121894836,i,BR,i,BR454
9326,0.0008190455264411867,y,BR,i,BR454
9322,0.021725719794631004,e,BR,i,BR454
9332,7.424574141623452e-05,ɛ,BR,i,BR454
9333,2.1663601468269178e-11,ɛ̃,BR,i,BR454
9327,0.00040348642505705357,ø,BR,i,BR454
9328,0.0006617494509555399,œ,BR,i,BR454
9321,3.6653178270285025e-09,a,BR,i,BR454
9329,1.0814775741607718e-09,ɑ̃,BR,i,BR454
9324,2.389824373949523e-07,o,BR,i,BR454
9330,1.9312392396386713e-06,ɔ,BR,i,BR454
9331,4.727593871933777e-09,ɔ̃,BR,i,BR454
