,probabilities,classification,language,vowel,file
10727,0.9963440299034119,i,BR,i,BR132
10730,0.00025679694954305887,y,BR,i,BR132
10726,0.0033713900484144688,e,BR,i,BR132
10736,2.7799662348115817e-05,ɛ,BR,i,BR132
10737,4.880533707751246e-14,ɛ̃,BR,i,BR132
10731,2.5442321582858085e-09,ø,BR,i,BR132
10732,1.6731660501534407e-09,œ,BR,i,BR132
10725,4.342795220657614e-12,a,BR,i,BR132
10733,2.0570951355085992e-13,ɑ̃,BR,i,BR132
10728,2.0961741023506342e-11,o,BR,i,BR132
10734,7.14538289647848e-11,ɔ,BR,i,BR132
10735,5.710391794838676e-12,ɔ̃,BR,i,BR132
10729,5.699045749207876e-11,u,BR,i,BR132
9635,0.004791532177478075,i,BR,i,BR329
9638,0.007353479508310556,y,BR,i,BR329
9634,8.644640183774754e-05,e,BR,i,BR329
9644,0.08406112343072891,ɛ,BR,i,BR329
9645,0.0005921166739426553,ɛ̃,BR,i,BR329
9639,0.02807340770959854,ø,BR,i,BR329
9640,0.014672964811325073,œ,BR,i,BR329
9633,0.0018780784448608756,a,BR,i,BR329
9641,0.5580697655677795,ɑ̃,BR,i,BR329
9636,0.2527908980846405,o,BR,i,BR329
9642,0.006456710863858461,ɔ,BR,i,BR329
9643,0.016149915754795074,ɔ̃,BR,i,BR329
9637,0.02502366527915001,u,BR,i,BR329
11065,0.058830417692661285,i,BR,i,BR373
11068,0.0764273852109909,y,BR,i,BR373
11064,0.007254812866449356,e,BR,i,BR373
11074,0.14442886412143707,ɛ,BR,i,BR373
11075,0.0008309830445796251,ɛ̃,BR,i,BR373
11069,0.09466727077960968,ø,BR,i,BR373
11070,0.019561555236577988,œ,BR,i,BR373
11063,0.0003358249960001558,a,BR,i,BR373
11071,0.0899498239159584,ɑ̃,BR,i,BR373
11066,0.48372432589530945,o,BR,i,BR373
11072,0.0017936091171577573,ɔ,BR,i,BR373
11073,0.0022227319423109293,ɔ̃,BR,i,BR373
11067,0.019972432404756546,u,BR,i,BR373
9921,0.0006447818013839424,i,BR,i,BR374
9924,0.00010165887215407565,y,BR,i,BR374
9920,0.0037399979773908854,e,BR,i,BR374
9930,0.8538766503334045,ɛ,BR,i,BR374
9931,1.4862841908325208e-06,ɛ̃,BR,i,BR374
9925,0.005669649690389633,ø,BR,i,BR374
9926,0.002281907247379422,œ,BR,i,BR374
9919,1.4878732145007234e-05,a,BR,i,BR374
9927,0.03406338021159172,ɑ̃,BR,i,BR374
9922,0.09392419457435608,o,BR,i,BR374
9928,0.0017785533564165235,ɔ,BR,i,BR374
9929,0.0037106131203472614,ɔ̃,BR,i,BR374
9923,0.00019221531692892313,u,BR,i,BR374
10090,0.00048352964222431183,i,BR,i,BR375
10093,0.00030943870660848916,y,BR,i,BR375
10089,0.009172726422548294,e,BR,i,BR375
10099,0.9526100754737854,ɛ,BR,i,BR375
10100,5.435520620267198e-07,ɛ̃,BR,i,BR375
