,probabilities,classification,language,vowel,file
10727,0.6545830339193344,i,BR,i,BR132
10730,0.16193189412588255,y,BR,i,BR132
10726,0.10412393403239548,e,BR,i,BR132
10736,0.07922992209532823,ɛ,BR,i,BR132
10737,2.1291465712657915e-09,ɛ̃,BR,i,BR132
10731,3.233777983158159e-05,ø,BR,i,BR132
10732,1.764261393559785e-05,œ,BR,i,BR132
10725,2.826899190757487e-08,a,BR,i,BR132
10733,2.3686175830335023e-08,ɑ̃,BR,i,BR132
10728,1.3006148542233676e-05,o,BR,i,BR132
10734,5.552223029946235e-06,ɔ,BR,i,BR132
10735,3.7856949125099867e-07,ɔ̃,BR,i,BR132
10729,6.225395269204189e-05,u,BR,i,BR132
9635,0.04533665744238533,i,BR,i,BR329
9638,0.08146416118615889,y,BR,i,BR329
9634,0.033002820309502565,e,BR,i,BR329
9644,0.029513785761082545,ɛ,BR,i,BR329
9645,0.0016162260450073517,ɛ̃,BR,i,BR329
9639,0.6812477804720402,ø,BR,i,BR329
9640,0.005847984540741891,œ,BR,i,BR329
9633,0.008470896899234503,a,BR,i,BR329
9641,0.07604552503908053,ɑ̃,BR,i,BR329
9636,0.025630566345353146,o,BR,i,BR329
9642,0.0012532954657217487,ɔ,BR,i,BR329
9643,0.006835443594900426,ɔ̃,BR,i,BR329
9637,0.0037348589899778516,u,BR,i,BR329
11065,0.08947317588354053,i,BR,i,BR373
11068,0.48810186120681465,y,BR,i,BR373
11064,0.02182159217463777,e,BR,i,BR373
11074,0.02105629642137501,ɛ,BR,i,BR373
11075,0.00023152954254328505,ɛ̃,BR,i,BR373
11069,0.31436044722795486,ø,BR,i,BR373
11070,0.003645276912720874,œ,BR,i,BR373
11063,0.00014998752326391695,a,BR,i,BR373
11071,0.009145043508397066,ɑ̃,BR,i,BR373
11066,0.04870869701835545,o,BR,i,BR373
11072,0.00021267772690407581,ɔ,BR,i,BR373
11073,0.00034693321231316077,ɔ̃,BR,i,BR373
11067,0.002746529307057699,u,BR,i,BR373
9921,0.03241279781796038,i,BR,i,BR374
9924,0.10644381947386136,y,BR,i,BR374
9920,0.03509941492902726,e,BR,i,BR374
9930,0.6778085426427424,ɛ,BR,i,BR374
9931,0.0003578773578510663,ɛ̃,BR,i,BR374
9925,0.030627389065921308,ø,BR,i,BR374
9926,0.0004492804488108959,œ,BR,i,BR374
9919,0.0016960299001766543,a,BR,i,BR374
9927,0.09486797666831989,ɑ̃,BR,i,BR374
9922,0.00953491417094483,o,BR,i,BR374
9928,0.00047267605896195164,ɔ,BR,i,BR374
9929,0.009862539905589074,ɔ̃,BR,i,BR374
9923,0.000366755082831105,u,BR,i,BR374
10090,0.006200652543338947,i,BR,i,BR375
10093,0.36636032334790797,y,BR,i,BR375
10089,0.032380714498412996,e,BR,i,BR375
10099,0.36847782045515487,ɛ,BR,i,BR375
10100,0.00012784810622292752,ɛ̃,BR,i,BR375
10094,0.18074624687433244,ø,BR,i,BR375
10095,0.002210518973879516,œ,BR,i,BR375
10088,0.0018788387398672058,a,BR,i,BR375
10096,0.03952047125258105,ɑ̃,BR,i,BR375
10091,0.000743193691232591,o,BR,i,BR375
10097,0.000340478953148704,ɔ,BR,i,BR375
10098,0.0009761829947819934,ɔ̃,BR,i,BR375
10092,3.669841896680737e-05,u,BR,i,BR375
9739,0.8153942312113941,i,BR,i,BR452
9742,0.13283642111346125,y,BR,i,BR452
9738,0.031157802371308208,e,BR,i,BR452
9748,0.0007556115448096534,ɛ,BR,i,BR452
9749,1.230039479360387e-07,ɛ̃,BR,i,BR452
9743,0.010893282109543634,ø,BR,i,BR452
9744,0.008504667668097455,œ,BR,i,BR452
9737,1.29118261165323e-05,a,BR,i,BR452
9745,1.0098832352066228e-06,ɑ̃,BR,i,BR452
9740,0.00010746435360045047,o,BR,i,BR452
9746,9.286306007156852e-05,ɔ,BR,i,BR452
9747,1.7019795251305147e-05,ɔ̃,BR,i,BR452
9741,0.00022658097769188146,u,BR,i,BR452
9323,0.8763812106102705,i,BR,i,BR454
9326,0.07874899556627497,y,BR,i,BR454
9322,0.0317500077188015,e,BR,i,BR454
9332,0.00029651897384610495,ɛ,BR,i,BR454
