,probabilities,classification,language,vowel,file
7781,0.16035299003124237,i,BR,i,BR132
7787,0.31185734272003174,ɪ,BR,i,BR132
7780,0.07074248790740967,eɪ,BR,i,BR132
7786,0.06593447923660278,ɛ,BR,i,BR132
7784,0.022551732137799263,æ,BR,i,BR132
7785,0.1106657087802887,ɑ,BR,i,BR132
7789,0.14640173316001892,ʌ,BR,i,BR132
7782,0.027186065912246704,oʊ,BR,i,BR132
7783,0.06652846932411194,u,BR,i,BR132
7788,0.01777898147702217,ʊ,BR,i,BR132
5831,0.1714065819978714,i,BR,i,BR329
5837,0.33883795142173767,ɪ,BR,i,BR329
5830,0.07090635597705841,eɪ,BR,i,BR329
5836,0.104548379778862,ɛ,BR,i,BR329
5834,0.03188219293951988,æ,BR,i,BR329
5835,0.058184828609228134,ɑ,BR,i,BR329
5839,0.10496773570775986,ʌ,BR,i,BR329
5832,0.02259681187570095,oʊ,BR,i,BR329
5833,0.06916020810604095,u,BR,i,BR329
5838,0.02750895544886589,ʊ,BR,i,BR329
5421,0.26447364687919617,i,BR,i,BR373
5427,0.25703132152557373,ɪ,BR,i,BR373
5420,0.10775783658027649,eɪ,BR,i,BR373
5426,0.08752501755952835,ɛ,BR,i,BR373
5424,0.024351874366402626,æ,BR,i,BR373
5425,0.04999958351254463,ɑ,BR,i,BR373
5429,0.06173674762248993,ʌ,BR,i,BR373
5422,0.018913421779870987,oʊ,BR,i,BR373
5423,0.1116751953959465,u,BR,i,BR373
5428,0.016535332426428795,ʊ,BR,i,BR373
7701,0.18645624816417694,i,BR,i,BR374
7707,0.19612520933151245,ɪ,BR,i,BR374
7700,0.13675947487354279,eɪ,BR,i,BR374
7706,0.09361385554075241,ɛ,BR,i,BR374
7704,0.039697784930467606,æ,BR,i,BR374
7705,0.08131790161132812,ɑ,BR,i,BR374
7709,0.09769955277442932,ʌ,BR,i,BR374
7702,0.03601688891649246,oʊ,BR,i,BR374
7703,0.09887582063674927,u,BR,i,BR374
7708,0.03343728557229042,ʊ,BR,i,BR374
3971,0.17371581494808197,i,BR,i,BR375
3977,0.22766098380088806,ɪ,BR,i,BR375
3970,0.07455471158027649,eɪ,BR,i,BR375
3976,0.08247649669647217,ɛ,BR,i,BR375
3974,0.03876418247818947,æ,BR,i,BR375
3975,0.06824471801519394,ɑ,BR,i,BR375
3979,0.11916740983724594,ʌ,BR,i,BR375
3972,0.022688740864396095,oʊ,BR,i,BR375
3973,0.16798843443393707,u,BR,i,BR375
3978,0.024738462641835213,ʊ,BR,i,BR375
8591,0.2193707674741745,i,BR,i,BR452
8597,0.173768550157547,ɪ,BR,i,BR452
8590,0.07561145722866058,eɪ,BR,i,BR452
8596,0.09742609411478043,ɛ,BR,i,BR452
8594,0.09787056595087051,æ,BR,i,BR452
8595,0.12789985537528992,ɑ,BR,i,BR452
8599,0.09039708971977234,ʌ,BR,i,BR452
8592,0.050188660621643066,oʊ,BR,i,BR452
8593,0.05221715196967125,u,BR,i,BR452
8598,0.015249823220074177,ʊ,BR,i,BR452
1931,0.20740190148353577,i,BR,i,BR454
1937,0.36275461316108704,ɪ,BR,i,BR454
1930,0.03952185809612274,eɪ,BR,i,BR454
1936,0.047215212136507034,ɛ,BR,i,BR454
1934,0.018097514286637306,æ,BR,i,BR454
1935,0.09026260673999786,ɑ,BR,i,BR454
1939,0.07074154168367386,ʌ,BR,i,BR454
1932,0.013656722381711006,oʊ,BR,i,BR454
1933,0.13634377717971802,u,BR,i,BR454
1938,0.014004313386976719,ʊ,BR,i,BR454
4681,0.08311048895120621,i,BR,i,BR46
4687,0.14355158805847168,ɪ,BR,i,BR46
4680,0.14117774367332458,eɪ,BR,i,BR46
4686,0.08819778263568878,ɛ,BR,i,BR46
4684,0.03350065276026726,æ,BR,i,BR46
4685,0.18327969312667847,ɑ,BR,i,BR46
4689,0.12474396824836731,ʌ,BR,i,BR46
4682,0.025280460715293884,oʊ,BR,i,BR46
4683,0.14831756055355072,u,BR,i,BR46
4688,0.028840094804763794,ʊ,BR,i,BR46
7971,0.11203581094741821,i,BR,i,BR47
7977,0.11480735242366791,ɪ,BR,i,BR47
7970,0.12320706248283386,eɪ,BR,i,BR47
7976,0.09562532603740692,ɛ,BR,i,BR47
7974,0.06665804237127304,æ,BR,i,BR47
7975,0.19811905920505524,ɑ,BR,i,BR47
7979,0.11719697713851929,ʌ,BR,i,BR47
7972,0.050260525196790695,oʊ,BR,i,BR47
7973,0.09418948739767075,u,BR,i,BR47
7978,0.027900472283363342,ʊ,BR,i,BR47
521,0.17465664446353912,i,BR,i,BR496
527,0.23534518480300903,ɪ,BR,i,BR496
520,0.13803638517856598,eɪ,BR,i,BR496
526,0.050156038254499435,ɛ,BR,i,BR496
524,0.02179723232984543,æ,BR,i,BR496
525,0.1004980131983757,ɑ,BR,i,BR496
529,0.11404644697904587,ʌ,BR,i,BR496
522,0.024919984862208366,oʊ,BR,i,BR496
523,0.12304595857858658,u,BR,i,BR496
528,0.01749812625348568,ʊ,BR,i,BR496
