,probabilities,classification,language,vowel,file
7351,0.3493786156177521,i,BR,i,BR132
7357,0.07331550121307373,ɪ,BR,i,BR132
7350,0.18435166776180267,eɪ,BR,i,BR132
7356,0.06512953341007233,ɛ,BR,i,BR132
7354,0.054995398968458176,æ,BR,i,BR132
7355,0.03889286518096924,ɑ,BR,i,BR132
7359,0.03641261160373688,ʌ,BR,i,BR132
7352,0.06753106415271759,oʊ,BR,i,BR132
7353,0.07789428532123566,u,BR,i,BR132
7358,0.05209842324256897,ʊ,BR,i,BR132
4021,0.18512968719005585,i,BR,i,BR329
4027,0.22650282084941864,ɪ,BR,i,BR329
4020,0.16429126262664795,eɪ,BR,i,BR329
4026,0.11282907426357269,ɛ,BR,i,BR329
4024,0.04414360597729683,æ,BR,i,BR329
4025,0.020316945388913155,ɑ,BR,i,BR329
4029,0.03888829052448273,ʌ,BR,i,BR329
4022,0.03549044579267502,oʊ,BR,i,BR329
4023,0.08593622595071793,u,BR,i,BR329
4028,0.08647173643112183,ʊ,BR,i,BR329
2981,0.3991720676422119,i,BR,i,BR373
2987,0.09355654567480087,ɪ,BR,i,BR373
2980,0.23644386231899261,eɪ,BR,i,BR373
2986,0.0646839588880539,ɛ,BR,i,BR373
2984,0.03907075896859169,æ,BR,i,BR373
2985,0.018689539283514023,ɑ,BR,i,BR373
2989,0.02433156967163086,ʌ,BR,i,BR373
2982,0.032900359481573105,oʊ,BR,i,BR373
2983,0.05243508517742157,u,BR,i,BR373
2988,0.03871629387140274,ʊ,BR,i,BR373
6111,0.30343908071517944,i,BR,i,BR374
6117,0.17235291004180908,ɪ,BR,i,BR374
6110,0.21541616320610046,eɪ,BR,i,BR374
6116,0.0877707451581955,ɛ,BR,i,BR374
6114,0.03438989073038101,æ,BR,i,BR374
6115,0.013478928245604038,ɑ,BR,i,BR374
6119,0.022214213386178017,ʌ,BR,i,BR374
6112,0.02357231266796589,oʊ,BR,i,BR374
6113,0.07463457435369492,u,BR,i,BR374
6118,0.052731290459632874,ʊ,BR,i,BR374
8771,0.31201136112213135,i,BR,i,BR375
8777,0.16838285326957703,ɪ,BR,i,BR375
8770,0.20143601298332214,eɪ,BR,i,BR375
8776,0.09006740152835846,ɛ,BR,i,BR375
8774,0.04213057458400726,æ,BR,i,BR375
8775,0.016664942726492882,ɑ,BR,i,BR375
8779,0.022042302414774895,ʌ,BR,i,BR375
8772,0.026567308232188225,oʊ,BR,i,BR375
8773,0.0727759376168251,u,BR,i,BR375
8778,0.04792129620909691,ʊ,BR,i,BR375
1441,0.3870675265789032,i,BR,i,BR452
1447,0.10724461078643799,ɪ,BR,i,BR452
1440,0.18592281639575958,eɪ,BR,i,BR452
1446,0.05391911417245865,ɛ,BR,i,BR452
1444,0.021826231852173805,æ,BR,i,BR452
1445,0.014631685800850391,ɑ,BR,i,BR452
1449,0.020909376442432404,ʌ,BR,i,BR452
1442,0.034681882709264755,oʊ,BR,i,BR452
1443,0.12519553303718567,u,BR,i,BR452
1448,0.04860127344727516,ʊ,BR,i,BR452
3731,0.4127902686595917,i,BR,i,BR454
3737,0.12740758061408997,ɪ,BR,i,BR454
3730,0.19085262715816498,eɪ,BR,i,BR454
3736,0.048089735209941864,ɛ,BR,i,BR454
3734,0.018149632960557938,æ,BR,i,BR454
3735,0.009279901161789894,ɑ,BR,i,BR454
3739,0.015522516332566738,ʌ,BR,i,BR454
3732,0.02398333139717579,oʊ,BR,i,BR454
3733,0.11035549640655518,u,BR,i,BR454
3738,0.04356885328888893,ʊ,BR,i,BR454
431,0.2972465753555298,i,BR,i,BR46
437,0.14033707976341248,ɪ,BR,i,BR46
430,0.15829820930957794,eɪ,BR,i,BR46
436,0.05216112360358238,ɛ,BR,i,BR46
434,0.022387588396668434,æ,BR,i,BR46
435,0.015331490896642208,ɑ,BR,i,BR46
439,0.025691822171211243,ʌ,BR,i,BR46
432,0.04258928447961807,oʊ,BR,i,BR46
433,0.17927296459674835,u,BR,i,BR46
438,0.06668388098478317,ʊ,BR,i,BR46
9351,0.3963603675365448,i,BR,i,BR47
9357,0.08823408931493759,ɪ,BR,i,BR47
9350,0.18225997686386108,eɪ,BR,i,BR47
9356,0.06104086712002754,ɛ,BR,i,BR47
9354,0.04880823940038681,æ,BR,i,BR47
