,probabilities,classification,language,vowel,file
503,0.9881489872932434,i,BR,i,BR132
502,0.011812244541943073,ɪ,BR,i,BR132
508,3.697578449646244e-06,eɪ,BR,i,BR132
507,2.6002221602539066e-06,ɛ,BR,i,BR132
504,2.338590093131643e-06,æ,BR,i,BR132
501,1.3680480606126366e-06,ɑ,BR,i,BR132
509,3.6171086321701296e-06,ʌ,BR,i,BR132
505,9.000917088997085e-06,oʊ,BR,i,BR132
500,1.5102249562914949e-05,u,BR,i,BR132
506,1.2026647482343833e-06,ʊ,BR,i,BR132
6043,0.00022018580057192594,i,BR,i,BR329
6042,0.9880300164222717,ɪ,BR,i,BR329
6048,0.0031742837745696306,eɪ,BR,i,BR329
6047,0.006849152501672506,ɛ,BR,i,BR329
6044,0.0002508928591851145,æ,BR,i,BR329
6041,8.655687270220369e-05,ɑ,BR,i,BR329
6049,0.000908310292288661,ʌ,BR,i,BR329
6045,0.00012079186126356944,oʊ,BR,i,BR329
6040,0.0001612979976925999,u,BR,i,BR329
6046,0.00019859980966430157,ʊ,BR,i,BR329
1703,0.9980806112289429,i,BR,i,BR373
1702,0.00023516497458331287,ɪ,BR,i,BR373
1708,0.0014345498057082295,eɪ,BR,i,BR373
1707,3.374510197318159e-05,ɛ,BR,i,BR373
1704,2.5329121854156256e-05,æ,BR,i,BR373
1701,9.20262209547218e-06,ɑ,BR,i,BR373
1709,1.3657574527314864e-05,ʌ,BR,i,BR373
1705,1.883708500827197e-05,oʊ,BR,i,BR373
1700,0.00014116460806690156,u,BR,i,BR373
1706,7.792188625899144e-06,ʊ,BR,i,BR373
4803,0.0787830799818039,i,BR,i,BR374
4802,0.771412193775177,ɪ,BR,i,BR374
4808,0.12608148157596588,eɪ,BR,i,BR374
4807,0.013853514567017555,ɛ,BR,i,BR374
4804,0.0013207264710217714,æ,BR,i,BR374
4801,0.0003984038485214114,ɑ,BR,i,BR374
4809,0.0015495616244152188,ʌ,BR,i,BR374
4805,0.0007788712973706424,oʊ,BR,i,BR374
4800,0.005560635589063168,u,BR,i,BR374
4806,0.00026155883097089827,ʊ,BR,i,BR374
4283,0.4583279490470886,i,BR,i,BR375
4282,0.4888041317462921,ɪ,BR,i,BR375
4288,0.0288628451526165,eɪ,BR,i,BR375
4287,0.0175948403775692,ɛ,BR,i,BR375
4284,0.0012174620060250163,æ,BR,i,BR375
4281,0.0005138096166774631,ɑ,BR,i,BR375
4289,0.001706761890091002,ʌ,BR,i,BR375
4285,0.0006096241995692253,oʊ,BR,i,BR375
