,probabilities,classification,language,vowel,file
8251,0.7696024775505066,i,BR,i,BR132
8257,0.13055738806724548,ɪ,BR,i,BR132
8250,0.06045786663889885,eɪ,BR,i,BR132
8256,0.017772506922483444,ɛ,BR,i,BR132
8254,0.0019411823013797402,æ,BR,i,BR132
8255,0.0007108633290044963,ɑ,BR,i,BR132
8259,0.002007623901590705,ʌ,BR,i,BR132
8252,0.0010263577569276094,oʊ,BR,i,BR132
8253,0.009796745143830776,u,BR,i,BR132
8258,0.006127022672444582,ʊ,BR,i,BR132
7411,0.02493124082684517,i,BR,i,BR329
7417,0.8818039298057556,ɪ,BR,i,BR329
7410,0.010597734712064266,eɪ,BR,i,BR329
7416,0.021726617589592934,ɛ,BR,i,BR329
7414,0.0013108344282954931,æ,BR,i,BR329
7415,0.0002327858965145424,ɑ,BR,i,BR329
7419,0.004025562200695276,ʌ,BR,i,BR329
7412,0.002433472080156207,oʊ,BR,i,BR329
7413,0.011230401694774628,u,BR,i,BR329
7418,0.04170738905668259,ʊ,BR,i,BR329
8511,0.6356410384178162,i,BR,i,BR373
8517,0.18941207230091095,ɪ,BR,i,BR373
8510,0.06524845957756042,eɪ,BR,i,BR373
8516,0.02936803176999092,ɛ,BR,i,BR373
8514,0.0024714323226362467,æ,BR,i,BR373
8515,0.0014258724404498935,ɑ,BR,i,BR373
8519,0.016183875501155853,ʌ,BR,i,BR373
8512,0.004320112522691488,oʊ,BR,i,BR373
8513,0.026907527819275856,u,BR,i,BR373
8518,0.0290216151624918,ʊ,BR,i,BR373
7631,0.20675566792488098,i,BR,i,BR374
7637,0.5062585473060608,ɪ,BR,i,BR374
7630,0.05254138261079788,eɪ,BR,i,BR374
7636,0.00941663607954979,ɛ,BR,i,BR374
7634,0.000823472801130265,æ,BR,i,BR374
7635,0.0002828763972502202,ɑ,BR,i,BR374
7639,0.006816215813159943,ʌ,BR,i,BR374
7632,0.005599943455308676,oʊ,BR,i,BR374
7633,0.10772004723548889,u,BR,i,BR374
7638,0.10378526896238327,ʊ,BR,i,BR374
7761,0.5219935178756714,i,BR,i,BR375
