Unnamed: 0,probabilities,classification,language,vowel,file
8251,0.7445209622383118,i,BR,i,BR132
8257,0.14718463048338887,ɪ,BR,i,BR132
8250,0.0567223427817225,eɪ,BR,i,BR132
8256,0.030813119374215554,ɛ,BR,i,BR132
8254,0.0012870592414401,æ,BR,i,BR132
8255,0.00066944423888337,ɑ,BR,i,BR132
8259,0.0021117580006829897,ʌ,BR,i,BR132
8252,0.0012390193645841802,oʊ,BR,i,BR132
8253,0.00982373608276242,u,BR,i,BR132
8258,0.005627939850091869,ʊ,BR,i,BR132
7411,0.017490709573030422,i,BR,i,BR329
7417,0.916161197423935,ɪ,BR,i,BR329
7410,0.005804673675447661,eɪ,BR,i,BR329
7416,0.017193492688238565,ɛ,BR,i,BR329
7414,0.0006668782181804401,æ,BR,i,BR329
7415,0.00011691005092868655,ɑ,BR,i,BR329
7419,0.00259573541115963,ʌ,BR,i,BR329
7412,0.00155398870701896,oʊ,BR,i,BR329
7413,0.0075295122805982394,u,BR,i,BR329
7418,0.030886934883892492,ʊ,BR,i,BR329
8511,0.7151489496231079,i,BR,i,BR373
8517,0.18894898593425752,ɪ,BR,i,BR373
8510,0.03885024366900319,eɪ,BR,i,BR373
8516,0.014991303987335369,ɛ,BR,i,BR373
8514,0.0008157720603775932,æ,BR,i,BR373
8515,0.00032786233532528826,ɑ,BR,i,BR373
8519,0.00728205932537089,ʌ,BR,i,BR373
8512,0.0015800523658980998,oʊ,BR,i,BR373
8513,0.01558731906116002,u,BR,i,BR373
8518,0.01646748562343415,ʊ,BR,i,BR373
7631,0.13075900152325626,i,BR,i,BR374
7637,0.6392324328422546,ɪ,BR,i,BR374
7630,0.01992259882390494,eɪ,BR,i,BR374
7636,0.00848594610579305,ɛ,BR,i,BR374
7634,0.00055492314058934,æ,BR,i,BR374
7635,0.00027788743354900886,ɑ,BR,i,BR374
7639,0.00888777059735726,ʌ,BR,i,BR374
7632,0.004947680735494888,oʊ,BR,i,BR374
7633,0.11456745490431779,u,BR,i,BR374
7638,0.07236429918557401,ʊ,BR,i,BR374
7761,0.390203183889389,i,BR,i,BR375
7767,0.5471630454063415,ɪ,BR,i,BR375
7760,0.00846276711672539,eɪ,BR,i,BR375
7766,0.031166762672364668,ɛ,BR,i,BR375
7764,0.00099464554805303,æ,BR,i,BR375
7765,0.00018754079101196406,ɑ,BR,i,BR375
7769,0.00447344761341806,ʌ,BR,i,BR375
7762,0.00041623690049158,oʊ,BR,i,BR375
7763,0.00686050388030702,u,BR,i,BR375
7768,0.010071868263184961,ʊ,BR,i,BR375
7491,0.37631669640541077,i,BR,i,BR452
7497,0.4203308939933777,ɪ,BR,i,BR452
7490,0.008066470734775021,eɪ,BR,i,BR452
7496,0.04511583866551514,ɛ,BR,i,BR452
7494,0.0006234925582247937,æ,BR,i,BR452
7495,0.0008700699669133992,ɑ,BR,i,BR452
7499,0.02636645718012,ʌ,BR,i,BR452
7492,0.0023634977871551796,oʊ,BR,i,BR452
7493,0.0749384637922048,u,BR,i,BR452
7498,0.045008135400712454,ʊ,BR,i,BR452
