,probabilities,classification,language,vowel,file
8251,0.6263984441757202,i,BR,i,BR132
8257,0.2172282189130783,ɪ,BR,i,BR132
8250,0.08753591030836105,eɪ,BR,i,BR132
8256,0.04647058993577957,ɛ,BR,i,BR132
8254,0.00122403958812356,æ,BR,i,BR132
8255,0.0005143792368471622,ɑ,BR,i,BR132
8259,0.0027850710321217775,ʌ,BR,i,BR132
8252,0.0015741520328447223,oʊ,BR,i,BR132
8253,0.009977019391953945,u,BR,i,BR132
8258,0.0062922025099396706,ʊ,BR,i,BR132
7411,0.013189583085477352,i,BR,i,BR329
7417,0.9284412860870361,ɪ,BR,i,BR329
7410,0.003660242073237896,eɪ,BR,i,BR329
7416,0.01815093867480755,ɛ,BR,i,BR329
7414,0.00033808505395427346,æ,BR,i,BR329
7415,7.289447967195883e-05,ɑ,BR,i,BR329
7419,0.0023521874099969864,ʌ,BR,i,BR329
7412,0.0022120203357189894,oʊ,BR,i,BR329
7413,0.00565978093072772,u,BR,i,BR329
7418,0.02592308819293976,ʊ,BR,i,BR329
8511,0.8222846984863281,i,BR,i,BR373
8517,0.1453380435705185,ɪ,BR,i,BR373
8510,0.01131900493055582,eɪ,BR,i,BR373
8516,0.00138116127345711,ɛ,BR,i,BR373
8514,0.00014149943308439106,æ,BR,i,BR373
8515,4.631870615412481e-05,ɑ,BR,i,BR373
8519,0.0011171712540090084,ʌ,BR,i,BR373
8512,0.0004429156833793968,oʊ,BR,i,BR373
8513,0.010531794279813766,u,BR,i,BR373
8518,0.0073973373509943485,ʊ,BR,i,BR373
7631,0.10296057164669037,i,BR,i,BR374
7637,0.7858452200889587,ɪ,BR,i,BR374
7630,0.011612659320235252,eɪ,BR,i,BR374
7636,0.006227215752005577,ɛ,BR,i,BR374
7634,0.00017506930453237146,æ,BR,i,BR374
7635,5.345237150322646e-05,ɑ,BR,i,BR374
7639,0.0015734960325062275,ʌ,BR,i,BR374
7632,0.001071251812390983,oʊ,BR,i,BR374
7633,0.06298224627971649,u,BR,i,BR374
7638,0.02749885991215706,ʊ,BR,i,BR374
7761,0.3593866527080536,i,BR,i,BR375
7767,0.5867153406143188,ɪ,BR,i,BR375
7760,0.004231052938848734,eɪ,BR,i,BR375
7766,0.03134564682841301,ɛ,BR,i,BR375
7764,0.00021009118063375354,æ,BR,i,BR375
7765,2.39545370277483e-05,ɑ,BR,i,BR375
7769,0.0021704668179154396,ʌ,BR,i,BR375
7762,0.0003195662866346538,oʊ,BR,i,BR375
7763,0.006559905130416155,u,BR,i,BR375
