,probabilities,classification,language,vowel,file
8251,0.553360104560852,i,BR,i,BR132
8257,0.1662821620702743,ɪ,BR,i,BR132
8250,0.0328520573675632,eɪ,BR,i,BR132
8256,0.0424602963030338,ɛ,BR,i,BR132
8254,0.0115122376009821,æ,BR,i,BR132
8255,0.0150322131812572,ɑ,BR,i,BR132
8259,0.0250395126640796,ʌ,BR,i,BR132
8252,0.0241733007133007,oʊ,BR,i,BR132
8253,0.1001950204372406,u,BR,i,BR132
8258,0.0290929526090621,ʊ,BR,i,BR132
7411,0.1339330226182937,i,BR,i,BR329
7417,0.4234741628170013,ɪ,BR,i,BR329
7410,0.069141000509262,eɪ,BR,i,BR329
7416,0.1344595253467559,ɛ,BR,i,BR329
7414,0.0264108888804912,æ,BR,i,BR329
7415,0.020266942679882,ɑ,BR,i,BR329
7419,0.0450617522001266,ʌ,BR,i,BR329
7412,0.0145960561931133,oʊ,BR,i,BR329
7413,0.0773655921220779,u,BR,i,BR329
7418,0.0552909933030605,ʊ,BR,i,BR329
8511,0.5695384740829468,i,BR,i,BR373
8517,0.1926238685846328,ɪ,BR,i,BR373
8510,0.0518674775958061,eɪ,BR,i,BR373
8516,0.0320803113281726,ɛ,BR,i,BR373
8514,0.0108304498717188,æ,BR,i,BR373
8515,0.0122611885890364,ɑ,BR,i,BR373
8519,0.0266194622963666,ʌ,BR,i,BR373
8512,0.0220001731067895,oʊ,BR,i,BR373
8513,0.0520949065685272,u,BR,i,BR373
8518,0.0300836917012929,ʊ,BR,i,BR373
7631,0.3968122601509094,i,BR,i,BR374
7637,0.2486433088779449,ɪ,BR,i,BR374
7630,0.0586243346333503,eɪ,BR,i,BR374
7636,0.0847442224621772,ɛ,BR,i,BR374
7634,0.0199004933238029,æ,BR,i,BR374
7635,0.0143738556653261,ɑ,BR,i,BR374
7639,0.0267279483377933,ʌ,BR,i,BR374
7632,0.0107700331136584,oʊ,BR,i,BR374
7633,0.0882026031613349,u,BR,i,BR374
7638,0.051201082766056,ʊ,BR,i,BR374
7761,0.4686331152915954,i,BR,i,BR375
7767,0.28457772731781,ɪ,BR,i,BR375
7760,0.0548481754958629,eɪ,BR,i,BR375
7766,0.0648361220955848,ɛ,BR,i,BR375
7764,0.0142652802169322,æ,BR,i,BR375
7765,0.0093171577900648,ɑ,BR,i,BR375
7769,0.0252829827368259,ʌ,BR,i,BR375
7762,0.007414530031383,oʊ,BR,i,BR375
7763,0.0453274697065353,u,BR,i,BR375
7768,0.0254973471164703,ʊ,BR,i,BR375
7491,0.5125536322593689,i,BR,i,BR452
7497,0.2118616551160812,ɪ,BR,i,BR452
7490,0.0225832071155309,eɪ,BR,i,BR452
7496,0.0265364535152912,ɛ,BR,i,BR452
7494,0.0076908264309167,æ,BR,i,BR452
7495,0.0082546975463628,ɑ,BR,i,BR452
7499,0.025259768590331,ʌ,BR,i,BR452
7492,0.0106337452307343,oʊ,BR,i,BR452
7493,0.1375599801540374,u,BR,i,BR452
7498,0.0370660461485385,ʊ,BR,i,BR452
7171,0.5280743837356567,i,BR,i,BR454
7177,0.1837601512670517,ɪ,BR,i,BR454
7170,0.0226711332798004,eɪ,BR,i,BR454
7176,0.0218787658959627,ɛ,BR,i,BR454
7174,0.0062529849819839,æ,BR,i,BR454
7175,0.0063903490081429,ɑ,BR,i,BR454
