,probabilities,classification,language,vowel,file
8251,0.8720581531524658,i,BR,i,BR132
8257,0.08739017695188522,ɪ,BR,i,BR132
8250,0.020182844251394272,eɪ,BR,i,BR132
8256,0.004200867377221584,ɛ,BR,i,BR132
8254,0.0004892117576673627,æ,BR,i,BR132
8255,0.00031028944067656994,ɑ,BR,i,BR132
8259,0.001170846982859075,ʌ,BR,i,BR132
8252,0.0007778664003126323,oʊ,BR,i,BR132
8253,0.011206448078155518,u,BR,i,BR132
8258,0.0022133279126137495,ʊ,BR,i,BR132
7411,0.04325370490550995,i,BR,i,BR329
7417,0.7090994715690613,ɪ,BR,i,BR329
7410,0.021132048219442368,eɪ,BR,i,BR329
7416,0.14045709371566772,ɛ,BR,i,BR329
7414,0.004450781270861626,æ,BR,i,BR329
7415,0.0014189239591360092,ɑ,BR,i,BR329
7419,0.023454958572983742,ʌ,BR,i,BR329
7412,0.002156441332772374,oʊ,BR,i,BR329
7413,0.02498355507850647,u,BR,i,BR329
7418,0.029593003913760185,ʊ,BR,i,BR329
8511,0.8002523183822632,i,BR,i,BR373
8517,0.06086073815822601,ɪ,BR,i,BR373
8510,0.09650519490242004,eɪ,BR,i,BR373
8516,0.009160201996564865,ɛ,BR,i,BR373
8514,0.0015823454596102238,æ,BR,i,BR373
8515,0.002577894600108266,ɑ,BR,i,BR373
8519,0.006855310406535864,ʌ,BR,i,BR373
8512,0.0033041290007531643,oʊ,BR,i,BR373
8513,0.014379985630512238,u,BR,i,BR373
8518,0.004521908238530159,ʊ,BR,i,BR373
7631,0.2768174707889557,i,BR,i,BR374
7637,0.4554816484451294,ɪ,BR,i,BR374
7630,0.09175051748752594,eɪ,BR,i,BR374
7636,0.06105770543217659,ɛ,BR,i,BR374
7634,0.0034510097466409206,æ,BR,i,BR374
7635,0.001431077136658132,ɑ,BR,i,BR374
7639,0.008303084410727024,ʌ,BR,i,BR374
7632,0.0038878549821674824,oʊ,BR,i,BR374
7633,0.06062819063663483,u,BR,i,BR374
7638,0.037191469222307205,ʊ,BR,i,BR374
7761,0.6069633364677429,i,BR,i,BR375
7767,0.26277169585227966,ɪ,BR,i,BR375
7760,0.0787527784705162,eɪ,BR,i,BR375
7766,0.028537651523947716,ɛ,BR,i,BR375
7764,0.001453100936487317,æ,BR,i,BR375
7765,0.0005042304983362556,ɑ,BR,i,BR375
7769,0.003553335787728429,ʌ,BR,i,BR375
7762,0.0006375982775352895,oʊ,BR,i,BR375
7763,0.011097008362412453,u,BR,i,BR375
7768,0.0057292114943265915,ʊ,BR,i,BR375
7491,0.7278464436531067,i,BR,i,BR452
7497,0.162398099899292,ɪ,BR,i,BR452
7490,0.03306495398283005,eɪ,BR,i,BR452
7496,0.009849423542618752,ɛ,BR,i,BR452
7494,0.0028628353029489517,æ,BR,i,BR452
7495,0.0015182046918198466,ɑ,BR,i,BR452
7499,0.004628046415746212,ʌ,BR,i,BR452
7492,0.0020006473641842604,oʊ,BR,i,BR452
7493,0.04679517820477486,u,BR,i,BR452
7498,0.009036119095981121,ʊ,BR,i,BR452
7171,0.6895408630371094,i,BR,i,BR454
7177,0.13012507557868958,ɪ,BR,i,BR454
7170,0.028217582032084465,eɪ,BR,i,BR454
7176,0.011211217381060123,ɛ,BR,i,BR454
7174,0.003877936629578471,æ,BR,i,BR454
7175,0.004339686129242182,ɑ,BR,i,BR454
7179,0.012512165121734142,ʌ,BR,i,BR454
7172,0.006902618799358606,oʊ,BR,i,BR454
7173,0.0963071957230568,u,BR,i,BR454
7178,0.016965700313448906,ʊ,BR,i,BR454
7791,0.3379392623901367,i,BR,i,BR46
7797,0.2945041060447693,ɪ,BR,i,BR46
7790,0.005984209477901459,eɪ,BR,i,BR46
7796,0.040705740451812744,ɛ,BR,i,BR46
7794,0.002615716541185975,æ,BR,i,BR46
7795,0.0011286115041002631,ɑ,BR,i,BR46
7799,0.016241388395428658,ʌ,BR,i,BR46
7792,0.003188710892572999,oʊ,BR,i,BR46
7793,0.24057796597480774,u,BR,i,BR46
7798,0.05711425468325615,ʊ,BR,i,BR46
7901,0.7564855813980103,i,BR,i,BR47
7907,0.19722412526607513,ɪ,BR,i,BR47
