,probabilities,classification,language,vowel,file
8251,0.8235826432704926,i,BR,i,BR132
8257,0.07803557664155959,ɪ,BR,i,BR132
8250,0.03993951724842191,eɪ,BR,i,BR132
8256,0.006823843973688776,ɛ,BR,i,BR132
8254,0.0010818274429766424,æ,BR,i,BR132
8255,0.0005109954232466353,ɑ,BR,i,BR132
8259,0.007780327287036923,ʌ,BR,i,BR132
8252,0.004798241535900153,oʊ,BR,i,BR132
8253,0.021399686112999913,u,BR,i,BR132
8258,0.016047343704849476,ʊ,BR,i,BR132
7411,0.053284985944628716,i,BR,i,BR329
7417,0.6283507205545902,ɪ,BR,i,BR329
7410,0.032516766246408216,eɪ,BR,i,BR329
7416,0.14703489169478418,ɛ,BR,i,BR329
7414,0.00593784707598388,æ,BR,i,BR329
7415,0.004852381872478872,ɑ,BR,i,BR329
7419,0.042186142690479746,ʌ,BR,i,BR329
7412,0.002856452297419304,oʊ,BR,i,BR329
7413,0.024785315431654444,u,BR,i,BR329
7418,0.05819448623806238,ʊ,BR,i,BR329
8511,0.7215712483972311,i,BR,i,BR373
8517,0.06904681399464607,ɪ,BR,i,BR373
8510,0.08569129686802626,eɪ,BR,i,BR373
8516,0.02741329902783036,ɛ,BR,i,BR373
8514,0.014983215031679717,æ,BR,i,BR373
8515,0.031586889945901926,ɑ,BR,i,BR373
8519,0.013920677825808525,ʌ,BR,i,BR373
8512,0.004981969483196731,oʊ,BR,i,BR373
8513,0.020089629106223576,u,BR,i,BR373
8518,0.01071496056392789,ʊ,BR,i,BR373
7631,0.26468706522136926,i,BR,i,BR374
7637,0.41289806067943574,ɪ,BR,i,BR374
7630,0.08600137620232999,eɪ,BR,i,BR374
7636,0.0763988096266985,ɛ,BR,i,BR374
7634,0.010983883100561795,æ,BR,i,BR374
7635,0.03105029882863164,ɑ,BR,i,BR374
7639,0.01917599611915648,ʌ,BR,i,BR374
7632,0.003663264540955418,oʊ,BR,i,BR374
7633,0.05553400367498398,u,BR,i,BR374
7638,0.039607235416769984,ʊ,BR,i,BR374
7761,0.5588095471262932,i,BR,i,BR375
7767,0.2351593850646168,ɪ,BR,i,BR375
7760,0.14266470521688462,eɪ,BR,i,BR375
7766,0.029151850380003442,ɛ,BR,i,BR375
7764,0.0014795841532759348,æ,BR,i,BR375
7765,0.00043688607984221985,ɑ,BR,i,BR375
7769,0.004822761286050074,ʌ,BR,i,BR375
7762,0.0040929760347353265,oʊ,BR,i,BR375
7763,0.01351093435660004,u,BR,i,BR375
7768,0.009871358284726735,ʊ,BR,i,BR375
7491,0.6450127007905394,i,BR,i,BR452
7497,0.17174847275018693,ɪ,BR,i,BR452
7490,0.03647631152998655,eɪ,BR,i,BR452
7496,0.024655281752347942,ɛ,BR,i,BR452
7494,0.006615928106475622,æ,BR,i,BR452
7495,0.0426294486678671,ɑ,BR,i,BR452
7499,0.011852659191936248,ʌ,BR,i,BR452
7492,0.002025369147304442,oʊ,BR,i,BR452
7493,0.04510318231768905,u,BR,i,BR452
7498,0.013880626671016208,ʊ,BR,i,BR452
7171,0.6220278926193714,i,BR,i,BR454
7177,0.12923871353268623,ɪ,BR,i,BR454
7170,0.03293916098773479,eɪ,BR,i,BR454
7176,0.03225344866514206,ɛ,BR,i,BR454
7174,0.012504925066605202,æ,BR,i,BR454
7175,0.02576028468320145,ɑ,BR,i,BR454
7179,0.02054376751184463,ʌ,BR,i,BR454
7172,0.0077942907810211095,oʊ,BR,i,BR454
7173,0.09309483096003532,u,BR,i,BR454
7178,0.023842704109847544,ʊ,BR,i,BR454
7791,0.3512488752603531,i,BR,i,BR46
7797,0.26610369198024275,ɪ,BR,i,BR46
7790,0.04463336961343884,eɪ,BR,i,BR46
7796,0.03758729267865419,ɛ,BR,i,BR46
7794,0.00373461187118664,æ,BR,i,BR46
7795,0.0015047808730741887,ɑ,BR,i,BR46
7799,0.017856294754892584,ʌ,BR,i,BR46
7792,0.011755621456541115,oʊ,BR,i,BR46
7793,0.2103900507092476,u,BR,i,BR46
7798,0.05518544763326645,ʊ,BR,i,BR46
7901,0.7115078896284104,i,BR,i,BR47
7907,0.17752624209970236,ɪ,BR,i,BR47
7900,0.03839794434607029,eɪ,BR,i,BR47
7906,0.01325619174167513,ɛ,BR,i,BR47
7904,0.004248578340047967,æ,BR,i,BR47
7905,0.0010864052776014415,ɑ,BR,i,BR47
7909,0.007550484943203628,ʌ,BR,i,BR47
7902,0.007227538040024223,oʊ,BR,i,BR47
7903,0.02847046302631497,u,BR,i,BR47
7908,0.01072829067707061,ʊ,BR,i,BR47
7301,0.055316001642495394,i,BR,i,BR496
7307,0.03575010672211647,ɪ,BR,i,BR496
7300,0.0005053439643233923,eɪ,BR,i,BR496
7306,0.010159910644870245,ɛ,BR,i,BR496
7304,0.02497694973717443,æ,BR,i,BR496
7305,0.04865788268507458,ɑ,BR,i,BR496
7309,0.007840986736118787,ʌ,BR,i,BR496
7302,0.003252593614161014,oʊ,BR,i,BR496
7303,0.740263582020998,u,BR,i,BR496
7308,0.07327663619071245,ʊ,BR,i,BR496
7571,0.5669964256696403,i,BR,i,BR741
7577,0.19504639655351638,ɪ,BR,i,BR741
7570,0.04536341996863484,eɪ,BR,i,BR741
7576,0.04764065947383642,ɛ,BR,i,BR741
7574,0.010204177838750177,æ,BR,i,BR741
7575,0.03284307075664401,ɑ,BR,i,BR741
7579,0.015115978941321367,ʌ,BR,i,BR741
7572,0.0028882607119157908,oʊ,BR,i,BR741
7573,0.06026688534766435,u,BR,i,BR741
7578,0.023634710535407066,ʊ,BR,i,BR741
8321,0.7866306386888027,i,BR,i,BR742
8327,0.06744806263595819,ɪ,BR,i,BR742
8320,0.04676862806081772,eɪ,BR,i,BR742
8326,0.009412619331851602,ɛ,BR,i,BR742
8324,0.0021907283226028002,æ,BR,i,BR742
8325,0.0009110330953262654,ɑ,BR,i,BR742
8329,0.0216740713105537,ʌ,BR,i,BR742
8322,0.0012009149824734693,oʊ,BR,i,BR742
8323,0.010208319686353204,u,BR,i,BR742
8328,0.05355499344877899,ʊ,BR,i,BR742
7811,0.7662775382399559,i,BR,i,BR757
7817,0.06345667969435452,ɪ,BR,i,BR757
7810,0.12781020887196065,eɪ,BR,i,BR757
7816,0.0064495897153392405,ɛ,BR,i,BR757
7814,0.0022185456989973263,æ,BR,i,BR757
7815,0.0007692740575294011,ɑ,BR,i,BR757
7819,0.002562728896737097,ʌ,BR,i,BR757
7812,0.002809566340874871,oʊ,BR,i,BR757
7813,0.017080338392406698,u,BR,i,BR757
7818,0.010565536702051757,ʊ,BR,i,BR757
6731,0.7974071785807609,i,BR,i,BR796
6737,0.04352369317784904,ɪ,BR,i,BR796
6730,0.10100329332053662,eɪ,BR,i,BR796
6736,0.010042836144566528,ɛ,BR,i,BR796
6734,0.004203996341675519,æ,BR,i,BR796
6735,0.0013936860137619053,ɑ,BR,i,BR796
6739,0.004915017099119722,ʌ,BR,i,BR796
6732,0.013511243520770216,oʊ,BR,i,BR796
6733,0.017452459875494233,u,BR,i,BR796
6738,0.006546605797484515,ʊ,BR,i,BR796
7651,0.7745074975304306,i,BR,i,BR99
