,probabilities,classification,language,vowel,file
8251,0.8776947259902954,i,BR,i,BR132
8257,0.09046312421560287,ɪ,BR,i,BR132
8250,0.014383598230779171,eɪ,BR,i,BR132
8256,0.004093199502676725,ɛ,BR,i,BR132
8254,0.000543902104254812,æ,BR,i,BR132
8255,0.0004026115930173546,ɑ,BR,i,BR132
8259,0.001052547711879015,ʌ,BR,i,BR132
8252,0.0005930688348598778,oʊ,BR,i,BR132
8253,0.008693002164363861,u,BR,i,BR132
8258,0.002080215374007821,ʊ,BR,i,BR132
7411,0.04419601336121559,i,BR,i,BR329
7417,0.7470417618751526,ɪ,BR,i,BR329
7410,0.014466874301433563,eɪ,BR,i,BR329
7416,0.11973153799772263,ɛ,BR,i,BR329
7414,0.0043050432577729225,æ,BR,i,BR329
7415,0.001492081442847848,ɑ,BR,i,BR329
7419,0.02264462411403656,ʌ,BR,i,BR329
7412,0.0021475122775882483,oʊ,BR,i,BR329
7413,0.018557295203208923,u,BR,i,BR329
7418,0.025417232885956764,ʊ,BR,i,BR329
8511,0.8086456656455994,i,BR,i,BR373
8517,0.05402311310172081,ɪ,BR,i,BR373
8510,0.09453980624675751,eɪ,BR,i,BR373
8516,0.00938495434820652,ɛ,BR,i,BR373
8514,0.0015308745205402374,æ,BR,i,BR373
8515,0.003315184498205781,ɑ,BR,i,BR373
8519,0.007804671302437782,ʌ,BR,i,BR373
8512,0.002324335975572467,oʊ,BR,i,BR373
8513,0.014125717803835869,u,BR,i,BR373
8518,0.004305574577301741,ʊ,BR,i,BR373
7631,0.2810395658016205,i,BR,i,BR374
7637,0.4559410810470581,ɪ,BR,i,BR374
7630,0.10520633310079575,eɪ,BR,i,BR374
7636,0.05310876667499542,ɛ,BR,i,BR374
7634,0.003407222218811512,æ,BR,i,BR374
7635,0.0014306543162092566,ɑ,BR,i,BR374
7639,0.007290146313607693,ʌ,BR,i,BR374
7632,0.0030591522809118032,oʊ,BR,i,BR374
7633,0.0535232238471508,u,BR,i,BR374
7638,0.035993918776512146,ʊ,BR,i,BR374
7761,0.6312843561172485,i,BR,i,BR375
7767,0.2599708139896393,ɪ,BR,i,BR375
7760,0.06171845644712448,eɪ,BR,i,BR375
7766,0.026680540293455124,ɛ,BR,i,BR375
7764,0.0013314554234966636,æ,BR,i,BR375
7765,0.0005250344984233379,ɑ,BR,i,BR375
7769,0.003252779133617878,ʌ,BR,i,BR375
7762,0.00042189640225842595,oʊ,BR,i,BR375
7763,0.008922688663005829,u,BR,i,BR375
7768,0.005892002489417791,ʊ,BR,i,BR375
7491,0.7140326499938965,i,BR,i,BR452
7497,0.1662667840719223,ɪ,BR,i,BR452
7490,0.04190961271524429,eɪ,BR,i,BR452
7496,0.009974047541618347,ɛ,BR,i,BR452
7494,0.0033964223694056273,æ,BR,i,BR452
7495,0.001696624793112278,ɑ,BR,i,BR452
7499,0.005180249456316233,ʌ,BR,i,BR452
7492,0.0016146611887961626,oʊ,BR,i,BR452
7493,0.04685000702738762,u,BR,i,BR452
7498,0.009078923612833023,ʊ,BR,i,BR452
7171,0.6609146595001221,i,BR,i,BR454
7177,0.13930560648441315,ɪ,BR,i,BR454
7170,0.03520219400525093,eɪ,BR,i,BR454
7176,0.011931139975786209,ɛ,BR,i,BR454
7174,0.005140318535268307,æ,BR,i,BR454
7175,0.0061105405911803246,ɑ,BR,i,BR454
7179,0.014379587024450302,ʌ,BR,i,BR454
7172,0.0062781404703855515,oʊ,BR,i,BR454
7173,0.10471548140048981,u,BR,i,BR454
7178,0.016022324562072754,ʊ,BR,i,BR454
7791,0.36360469460487366,i,BR,i,BR46
7797,0.30761244893074036,ɪ,BR,i,BR46
7790,0.005017746705561876,eɪ,BR,i,BR46
7796,0.04471025988459587,ɛ,BR,i,BR46
7794,0.0032744540367275476,æ,BR,i,BR46
7795,0.0011864093830808997,ɑ,BR,i,BR46
7799,0.015481128357350826,ʌ,BR,i,BR46
7792,0.002336113015189767,oʊ,BR,i,BR46
7793,0.19833698868751526,u,BR,i,BR46
7798,0.05843978747725487,ʊ,BR,i,BR46
7901,0.748849630355835,i,BR,i,BR47
7907,0.20938819646835327,ɪ,BR,i,BR47
7900,0.015510188415646553,eɪ,BR,i,BR47
7906,0.00937613844871521,ɛ,BR,i,BR47
7904,0.002154973102733493,æ,BR,i,BR47
7905,0.0004610319447237998,ɑ,BR,i,BR47
7909,0.002959097968414426,ʌ,BR,i,BR47
7902,0.00030825199792161584,oʊ,BR,i,BR47
7903,0.008005756884813309,u,BR,i,BR47
7908,0.0029869074933230877,ʊ,BR,i,BR47
7301,0.04905267804861069,i,BR,i,BR496
7307,0.024343198165297508,ɪ,BR,i,BR496
7300,0.00016817990399431437,eɪ,BR,i,BR496
7306,0.00233315397053957,ɛ,BR,i,BR496
7304,0.0009707443532533944,æ,BR,i,BR496
7305,0.00109861942473799,ɑ,BR,i,BR496
7309,0.005795432720333338,ʌ,BR,i,BR496
7302,0.0018656618194654584,oʊ,BR,i,BR496
7303,0.8311579823493958,u,BR,i,BR496
7308,0.08321435749530792,ʊ,BR,i,BR496
7571,0.6413794755935669,i,BR,i,BR741
7577,0.18756768107414246,ɪ,BR,i,BR741
7570,0.04500197619199753,eɪ,BR,i,BR741
7576,0.028006020933389664,ɛ,BR,i,BR741
7574,0.006722214166074991,æ,BR,i,BR741
7575,0.001627790741622448,ɑ,BR,i,BR741
7579,0.005538992118090391,ʌ,BR,i,BR741
7572,0.002547992393374443,oʊ,BR,i,BR741
7573,0.06345280259847641,u,BR,i,BR741
7578,0.01815502531826496,ʊ,BR,i,BR741
8321,0.8699206113815308,i,BR,i,BR742
8327,0.07122937589883804,ɪ,BR,i,BR742
8320,0.03815000131726265,eɪ,BR,i,BR742
8326,0.004191181622445583,ɛ,BR,i,BR742
8324,0.002959874225780368,æ,BR,i,BR742
8325,0.0007240828708745539,ɑ,BR,i,BR742
8329,0.0016460486222058535,ʌ,BR,i,BR742
8322,0.0005365692195482552,oʊ,BR,i,BR742
8323,0.008434932678937912,u,BR,i,BR742
8328,0.0022072952706366777,ʊ,BR,i,BR742
7811,0.8656706213951111,i,BR,i,BR757
7817,0.059368543326854706,ɪ,BR,i,BR757
7810,0.04206567257642746,eɪ,BR,i,BR757
7816,0.006144321523606777,ɛ,BR,i,BR757
7814,0.003257329575717449,æ,BR,i,BR757
7815,0.001128590782172978,ɑ,BR,i,BR757
7819,0.0014177620178088546,ʌ,BR,i,BR757
7812,0.0016280513955280185,oʊ,BR,i,BR757
7813,0.014826446771621704,u,BR,i,BR757
7818,0.004492721054702997,ʊ,BR,i,BR757
6731,0.8756942749023438,i,BR,i,BR796
6737,0.04830456152558327,ɪ,BR,i,BR796
6730,0.03618565946817398,eɪ,BR,i,BR796
6736,0.010879799723625183,ɛ,BR,i,BR796
6734,0.004942508414387703,æ,BR,i,BR796
6735,0.0014171696966513991,ɑ,BR,i,BR796
6739,0.0034464772325009108,ʌ,BR,i,BR796
6732,0.002510320395231247,oʊ,BR,i,BR796
6733,0.013090325519442558,u,BR,i,BR796
6738,0.0035289686638861895,ʊ,BR,i,BR796
7651,0.8731043934822083,i,BR,i,BR99
7657,0.03542756289243698,ɪ,BR,i,BR99
7650,0.03487370163202286,eɪ,BR,i,BR99
7656,0.0169382281601429,ɛ,BR,i,BR99
7654,0.012155610136687756,æ,BR,i,BR99
7655,0.003332915250211954,ɑ,BR,i,BR99
7659,0.009516933932900429,ʌ,BR,i,BR99
7652,0.0026392131112515926,oʊ,BR,i,BR99
7653,0.009341283701360226,u,BR,i,BR99
7658,0.0026701604947447777,ʊ,BR,i,BR99
7331,0.8589487671852112,i,BR,i,BR992
7337,0.05054403841495514,ɪ,BR,i,BR992
7330,0.04498835653066635,eɪ,BR,i,BR992
7336,0.006438334938138723,ɛ,BR,i,BR992
7334,0.004181991796940565,æ,BR,i,BR992
7335,0.0015443665906786919,ɑ,BR,i,BR992
7339,0.0033864430151879787,ʌ,BR,i,BR992
7332,0.002026752568781376,oʊ,BR,i,BR992
7333,0.022213738411664963,u,BR,i,BR992
7338,0.005727258510887623,ʊ,BR,i,BR992
7821,0.7410191893577576,i,BR,ĩ,BR1025
7827,0.10017597675323486,ɪ,BR,ĩ,BR1025
7820,0.00542586762458086,eɪ,BR,ĩ,BR1025
7826,0.021506374701857567,ɛ,BR,ĩ,BR1025
7824,0.0012590268161147833,æ,BR,ĩ,BR1025
7825,0.004293748177587986,ɑ,BR,ĩ,BR1025
7829,0.012646990828216076,ʌ,BR,ĩ,BR1025
7822,0.016995910555124283,oʊ,BR,ĩ,BR1025
7823,0.07642515003681183,u,BR,ĩ,BR1025
7828,0.020251546055078506,ʊ,BR,ĩ,BR1025
7031,0.8421438336372375,i,BR,ĩ,BR1029
7037,0.05222572013735771,ɪ,BR,ĩ,BR1029
7030,0.04068871960043907,eɪ,BR,ĩ,BR1029
