,probabilities,classification,language,vowel,file
8251,0.8183347582817078,i,BR,i,BR132
8257,0.11045601218938828,ɪ,BR,i,BR132
8250,0.025419192388653755,eɪ,BR,i,BR132
8256,0.0256559606641531,ɛ,BR,i,BR132
8254,0.001590263214893639,æ,BR,i,BR132
8255,0.0011827517300844193,ɑ,BR,i,BR132
8259,0.0010415727738291025,ʌ,BR,i,BR132
8252,0.0024519481230527163,oʊ,BR,i,BR132
8253,0.00880939606577158,u,BR,i,BR132
8258,0.005058120470494032,ʊ,BR,i,BR132
7411,0.027849871665239334,i,BR,i,BR329
7417,0.8529776930809021,ɪ,BR,i,BR329
7410,0.00990566611289978,eɪ,BR,i,BR329
7416,0.04420782998204231,ɛ,BR,i,BR329
7414,0.0010069134877994657,æ,BR,i,BR329
7415,0.00014722200285177678,ɑ,BR,i,BR329
7419,0.003885917831212282,ʌ,BR,i,BR329
7412,0.0020243232138454914,oʊ,BR,i,BR329
7413,0.00998388510197401,u,BR,i,BR329
7418,0.0480106845498085,ʊ,BR,i,BR329
8511,0.5854851603507996,i,BR,i,BR373
8517,0.2921305000782013,ɪ,BR,i,BR373
8510,0.03819601610302925,eɪ,BR,i,BR373
8516,0.018503116443753242,ɛ,BR,i,BR373
8514,0.0015610464615747333,æ,BR,i,BR373
8515,0.0005202738684602082,ɑ,BR,i,BR373
8519,0.012213009409606457,ʌ,BR,i,BR373
8512,0.0033691071439534426,oʊ,BR,i,BR373
8513,0.020318424329161644,u,BR,i,BR373
8518,0.027703335508704185,ʊ,BR,i,BR373
7631,0.148167222738266,i,BR,i,BR374
7637,0.5029968023300171,ɪ,BR,i,BR374
7630,0.01704203151166439,eɪ,BR,i,BR374
7636,0.015955671668052673,ɛ,BR,i,BR374
7634,0.0009897322161123157,æ,BR,i,BR374
7635,0.0006730753812007606,ɑ,BR,i,BR374
7639,0.02291143871843815,ʌ,BR,i,BR374
7632,0.008282865397632122,oʊ,BR,i,BR374
7633,0.16906388103961945,u,BR,i,BR374
7638,0.11391736567020416,ʊ,BR,i,BR374
7761,0.4912811517715454,i,BR,i,BR375
7767,0.4552012085914612,ɪ,BR,i,BR375
7760,0.004060832783579826,eɪ,BR,i,BR375
7766,0.02251441217958927,ɛ,BR,i,BR375
7764,0.0009386499295942485,æ,BR,i,BR375
7765,0.00026683209580369294,ɑ,BR,i,BR375
7769,0.0061118449084460735,ʌ,BR,i,BR375
7762,0.0007520587532781065,oʊ,BR,i,BR375
7763,0.006140402518212795,u,BR,i,BR375
7768,0.0127326101064682,ʊ,BR,i,BR375
7491,0.4730634093284607,i,BR,i,BR452
7497,0.2491154819726944,ɪ,BR,i,BR452
7490,0.005013986956328154,eɪ,BR,i,BR452
7496,0.07905580848455429,ɛ,BR,i,BR452
7494,0.0010112060699611902,æ,BR,i,BR452
7495,0.0017194782849401236,ɑ,BR,i,BR452
7499,0.04872167855501175,ʌ,BR,i,BR452
7492,0.005480082239955664,oʊ,BR,i,BR452
7493,0.07235954701900482,u,BR,i,BR452
7498,0.06445936858654022,ʊ,BR,i,BR452
7171,0.22023814916610718,i,BR,i,BR454
7177,0.26808786392211914,ɪ,BR,i,BR454
7170,0.022399088367819786,eɪ,BR,i,BR454
7176,0.12536244094371796,ɛ,BR,i,BR454
7174,0.04125139117240906,æ,BR,i,BR454
7175,0.008891446515917778,ɑ,BR,i,BR454
7179,0.10592744499444962,ʌ,BR,i,BR454
7172,0.051028743386268616,oʊ,BR,i,BR454
7173,0.09067343175411224,u,BR,i,BR454
7178,0.06614004820585251,ʊ,BR,i,BR454
7791,0.37779149413108826,i,BR,i,BR46
7797,0.1544947773218155,ɪ,BR,i,BR46
7790,0.07467449456453323,eɪ,BR,i,BR46
7796,0.10903903841972351,ɛ,BR,i,BR46
7794,0.003803183091804385,æ,BR,i,BR46
7795,0.00033557837014086545,ɑ,BR,i,BR46
7799,0.008348356932401657,ʌ,BR,i,BR46
7792,0.017365021631121635,oʊ,BR,i,BR46
7793,0.17088860273361206,u,BR,i,BR46
7798,0.0832594633102417,ʊ,BR,i,BR46
7901,0.7903538346290588,i,BR,i,BR47
7907,0.08564063906669617,ɪ,BR,i,BR47
7900,0.07954735308885574,eɪ,BR,i,BR47
7906,0.017721986398100853,ɛ,BR,i,BR47
7904,0.003080270253121853,æ,BR,i,BR47
7905,0.0005022938712500036,ɑ,BR,i,BR47
7909,0.0019929148256778717,ʌ,BR,i,BR47
7902,0.002228910569101572,oʊ,BR,i,BR47
7903,0.011218059808015823,u,BR,i,BR47
7908,0.007713707629591227,ʊ,BR,i,BR47
7301,0.029670896008610725,i,BR,i,BR496
7307,0.07696693390607834,ɪ,BR,i,BR496
7300,0.0008348676492460072,eɪ,BR,i,BR496
7306,0.011335604824125767,ɛ,BR,i,BR496
7304,0.0013800353044643998,æ,BR,i,BR496
7305,0.000836993451230228,ɑ,BR,i,BR496
7309,0.012012820690870285,ʌ,BR,i,BR496
7302,0.020748266950249672,oʊ,BR,i,BR496
7303,0.5449475646018982,u,BR,i,BR496
7308,0.3012661337852478,ʊ,BR,i,BR496
7571,0.5139859318733215,i,BR,i,BR741
7577,0.1656355857849121,ɪ,BR,i,BR741
7570,0.015171566978096962,eɪ,BR,i,BR741
7576,0.04191897436976433,ɛ,BR,i,BR741
7574,0.00040372100193053484,æ,BR,i,BR741
7575,0.00019267846073489636,ɑ,BR,i,BR741
7579,0.010149634443223476,ʌ,BR,i,BR741
7572,0.012338711880147457,oʊ,BR,i,BR741
7573,0.1308770775794983,u,BR,i,BR741
7578,0.1093260869383812,ʊ,BR,i,BR741
8321,0.8414837121963501,i,BR,i,BR742
8327,0.029253844171762466,ɪ,BR,i,BR742
8320,0.11710401624441147,eɪ,BR,i,BR742
8326,0.005159337539225817,ɛ,BR,i,BR742
8324,0.0006603791262023151,æ,BR,i,BR742
8325,0.00010486214887350798,ɑ,BR,i,BR742
8329,0.0011399223003536463,ʌ,BR,i,BR742
8322,0.0005634850240312517,oʊ,BR,i,BR742
8323,0.0026147658936679363,u,BR,i,BR742
8328,0.0019156956113874912,ʊ,BR,i,BR742
7811,0.8857908844947815,i,BR,i,BR757
7817,0.021423090249300003,ɪ,BR,i,BR757
7810,0.08604802191257477,eɪ,BR,i,BR757
7816,0.003127227071672678,ɛ,BR,i,BR757
7814,0.0001788288791431114,æ,BR,i,BR757
7815,3.2954725611489266e-05,ɑ,BR,i,BR757
7819,0.0001523001992609352,ʌ,BR,i,BR757
7812,0.0002157849376089871,oʊ,BR,i,BR757
7813,0.002210205653682351,u,BR,i,BR757
7818,0.0008206727216020226,ʊ,BR,i,BR757
6731,0.6665093898773193,i,BR,i,BR796
6737,0.10096560418605804,ɪ,BR,i,BR796
6730,0.0718303769826889,eɪ,BR,i,BR796
6736,0.04384996369481087,ɛ,BR,i,BR796
6734,0.005563585553318262,æ,BR,i,BR796
6735,0.0018812421476468444,ɑ,BR,i,BR796
6739,0.010330745950341225,ʌ,BR,i,BR796
6732,0.025540851056575775,oʊ,BR,i,BR796
6733,0.03932108357548714,u,BR,i,BR796
6738,0.034207142889499664,ʊ,BR,i,BR796
7651,0.958720862865448,i,BR,i,BR99
7657,0.011595246382057667,ɪ,BR,i,BR99
7650,0.019903967157006264,eɪ,BR,i,BR99
7656,0.0077722142450511456,ɛ,BR,i,BR99
7654,0.000452314066933468,æ,BR,i,BR99
7655,0.00011108740727650002,ɑ,BR,i,BR99
7659,6.457339623011649e-05,ʌ,BR,i,BR99
7652,0.0005617617280222476,oʊ,BR,i,BR99
7653,0.0005728505202569067,u,BR,i,BR99
7658,0.00024511717492714524,ʊ,BR,i,BR99
7331,0.8144354224205017,i,BR,i,BR992
7337,0.0858798548579216,ɪ,BR,i,BR992
7330,0.06152570992708206,eɪ,BR,i,BR992
7336,0.012742968276143074,ɛ,BR,i,BR992
7334,0.0012501311721280217,æ,BR,i,BR992
7335,0.00013767661585006863,ɑ,BR,i,BR992
7339,0.0016772469971328974,ʌ,BR,i,BR992
7332,0.0019488133257254958,oʊ,BR,i,BR992
7333,0.013498605228960514,u,BR,i,BR992
7338,0.006903712172061205,ʊ,BR,i,BR992
7821,0.9377336502075195,i,BR,ĩ,BR1025
7827,0.003846060251817107,ɪ,BR,ĩ,BR1025
7820,0.05476970598101616,eɪ,BR,ĩ,BR1025
7826,0.0013725614408031106,ɛ,BR,ĩ,BR1025
7824,2.6959993192576803e-05,æ,BR,ĩ,BR1025
7825,4.399316821945831e-05,ɑ,BR,ĩ,BR1025
7829,2.7249006961937994e-05,ʌ,BR,ĩ,BR1025
7822,0.00017818524793256074,oʊ,BR,ĩ,BR1025
7823,0.0016963417874649167,u,BR,ĩ,BR1025
7828,0.0003052959218621254,ʊ,BR,ĩ,BR1025
7031,0.74209064245224,i,BR,ĩ,BR1029
7037,0.10751599073410034,ɪ,BR,ĩ,BR1029
7030,0.017735786736011505,eɪ,BR,ĩ,BR1029
7036,0.05171125754714012,ɛ,BR,ĩ,BR1029
7034,0.007821197621524334,æ,BR,ĩ,BR1029
7035,0.0015376466326415539,ɑ,BR,ĩ,BR1029
7039,0.014597288332879543,ʌ,BR,ĩ,BR1029
7032,0.01402198988944292,oʊ,BR,ĩ,BR1029
7033,0.03226976469159126,u,BR,ĩ,BR1029
7038,0.01069843303412199,ʊ,BR,ĩ,BR1029
7801,0.5501672625541687,i,BR,ĩ,BR154
7807,0.19251957535743713,ɪ,BR,ĩ,BR154
7800,0.025086572393774986,eɪ,BR,ĩ,BR154
7806,0.06914691627025604,ɛ,BR,ĩ,BR154
7804,0.016241353005170822,æ,BR,ĩ,BR154
7805,0.006628001574426889,ɑ,BR,ĩ,BR154
7809,0.01912485808134079,ʌ,BR,ĩ,BR154
7802,0.03545701876282692,oʊ,BR,ĩ,BR154
7803,0.039852168411016464,u,BR,ĩ,BR154
7808,0.045776285231113434,ʊ,BR,ĩ,BR154
7521,0.42850905656814575,i,BR,ĩ,BR158
7527,0.13343574106693268,ɪ,BR,ĩ,BR158
7520,0.07010922580957413,eɪ,BR,ĩ,BR158
7526,0.12694527208805084,ɛ,BR,ĩ,BR158
7524,0.03632373735308647,æ,BR,ĩ,BR158
7525,0.013961445540189743,ɑ,BR,ĩ,BR158
7529,0.023256026208400726,ʌ,BR,ĩ,BR158
7522,0.0689004436135292,oʊ,BR,ĩ,BR158
7523,0.05950642004609108,u,BR,ĩ,BR158
7528,0.03905273973941803,ʊ,BR,ĩ,BR158
8541,0.7304727435112,i,BR,ĩ,BR159
8547,0.06050517410039902,ɪ,BR,ĩ,BR159
8540,0.03290921822190285,eɪ,BR,ĩ,BR159
8546,0.059058837592601776,ɛ,BR,ĩ,BR159
8544,0.027766020968556404,æ,BR,ĩ,BR159
8545,0.009103741496801376,ɑ,BR,ĩ,BR159
8549,0.013085511513054371,ʌ,BR,ĩ,BR159
8542,0.023598752915859222,oʊ,BR,ĩ,BR159
8543,0.031421586871147156,u,BR,ĩ,BR159
8548,0.012078413739800453,ʊ,BR,ĩ,BR159
7001,0.5432556867599487,i,BR,ĩ,BR264
7007,0.14932040870189667,ɪ,BR,ĩ,BR264
7000,0.12131747603416443,eɪ,BR,ĩ,BR264
7006,0.023153385147452354,ɛ,BR,ĩ,BR264
7004,0.0045798770152032375,æ,BR,ĩ,BR264
7005,0.0017436972120776772,ɑ,BR,ĩ,BR264
7009,0.013115230947732925,ʌ,BR,ĩ,BR264
7002,0.009832573123276234,oʊ,BR,ĩ,BR264
7003,0.09188652038574219,u,BR,ĩ,BR264
7008,0.041795067489147186,ʊ,BR,ĩ,BR264
6851,0.17751632630825043,i,BR,ĩ,BR411
6857,0.008070835843682289,ɪ,BR,ĩ,BR411
6850,0.0011335221352055669,eɪ,BR,ĩ,BR411
6856,0.0002524182782508433,ɛ,BR,ĩ,BR411
6854,2.620896339067258e-05,æ,BR,ĩ,BR411
6855,0.0005411012680269778,ɑ,BR,ĩ,BR411
6859,0.0012615943560376763,ʌ,BR,ĩ,BR411
6852,0.01158271823078394,oʊ,BR,ĩ,BR411
6853,0.6417423486709595,u,BR,ĩ,BR411
6858,0.15787285566329956,ʊ,BR,ĩ,BR411
7641,0.16923929750919342,i,BR,ĩ,BR417
7647,0.04626251757144928,ɪ,BR,ĩ,BR417
7640,0.0027608321979641914,eɪ,BR,ĩ,BR417
7646,0.003881089622154832,ɛ,BR,ĩ,BR417
7644,0.004345681983977556,æ,BR,ĩ,BR417
7645,0.014601563103497028,ɑ,BR,ĩ,BR417
7649,0.05920962616801262,ʌ,BR,ĩ,BR417
7642,0.02916271612048149,oʊ,BR,ĩ,BR417
