,probabilities,classification,language,vowel,file
8251,0.9270396828651428,i,BR,i,BR132
8257,0.04663112014532089,ɪ,BR,i,BR132
8250,0.005366737022995949,eɪ,BR,i,BR132
8256,0.009798836894333363,ɛ,BR,i,BR132
8254,0.0003696587518788874,æ,BR,i,BR132
8255,0.0003218172350898385,ɑ,BR,i,BR132
8259,0.001055460306815803,ʌ,BR,i,BR132
8252,0.00042248013778589666,oʊ,BR,i,BR132
8253,0.00563511298969388,u,BR,i,BR132
8258,0.0033590139355510473,ʊ,BR,i,BR132
7411,0.04255879670381546,i,BR,i,BR329
7417,0.8835598230361938,ɪ,BR,i,BR329
7410,0.008236099034547806,eɪ,BR,i,BR329
7416,0.04000568017363548,ɛ,BR,i,BR329
7414,0.005704132840037346,æ,BR,i,BR329
7415,0.00012120594328735024,ɑ,BR,i,BR329
7419,0.0027214479632675648,ʌ,BR,i,BR329
7412,0.004331342875957489,oʊ,BR,i,BR329
7413,0.0034174977336078882,u,BR,i,BR329
7418,0.009343935176730156,ʊ,BR,i,BR329
8511,0.7960165739059448,i,BR,i,BR373
8517,0.17168064415454865,ɪ,BR,i,BR373
8510,0.01231670007109642,eɪ,BR,i,BR373
8516,0.007819468155503273,ɛ,BR,i,BR373
8514,0.0003318617818877101,æ,BR,i,BR373
8515,6.84965489199385e-05,ɑ,BR,i,BR373
8519,0.0019231799524277449,ʌ,BR,i,BR373
8512,0.0002997967239934951,oʊ,BR,i,BR373
8513,0.005798025988042355,u,BR,i,BR373
8518,0.0037453474942594767,ʊ,BR,i,BR373
7631,0.28287363052368164,i,BR,i,BR374
7637,0.6177760362625122,ɪ,BR,i,BR374
7630,0.003873423906043172,eɪ,BR,i,BR374
7636,0.03354506939649582,ɛ,BR,i,BR374
7634,0.008469607681035995,æ,BR,i,BR374
7635,0.00041312185931019485,ɑ,BR,i,BR374
7639,0.009130890481173992,ʌ,BR,i,BR374
7632,0.00246537197381258,oʊ,BR,i,BR374
7633,0.020316705107688904,u,BR,i,BR374
7638,0.02113618515431881,ʊ,BR,i,BR374
7761,0.7654130458831787,i,BR,i,BR375
7767,0.22943730652332306,ɪ,BR,i,BR375
7760,0.0005941747804172337,eɪ,BR,i,BR375
7766,0.002603784203529358,ɛ,BR,i,BR375
7764,0.0005770068964920938,æ,BR,i,BR375
7765,9.56556777964579e-06,ɑ,BR,i,BR375
