,probabilities,classification,language,vowel,file
8251,0.8177214860916138,i,BR,i,BR132
8257,0.1156945526599884,ɪ,BR,i,BR132
8250,0.034340765327215195,eɪ,BR,i,BR132
8256,0.01550379954278469,ɛ,BR,i,BR132
8254,0.001179422135464847,æ,BR,i,BR132
8255,0.0006631611613556743,ɑ,BR,i,BR132
8259,0.0007165836868807673,ʌ,BR,i,BR132
8252,0.001806516433134675,oʊ,BR,i,BR132
8253,0.00831795297563076,u,BR,i,BR132
8258,0.004055824130773544,ʊ,BR,i,BR132
7411,0.019703097641468048,i,BR,i,BR329
7417,0.8729146122932434,ɪ,BR,i,BR329
7410,0.01472249161452055,eɪ,BR,i,BR329
7416,0.03936348855495453,ɛ,BR,i,BR329
7414,0.0012577541638165712,æ,BR,i,BR329
7415,0.00015971057291608304,ɑ,BR,i,BR329
7419,0.003948186058551073,ʌ,BR,i,BR329
7412,0.001799540943466127,oʊ,BR,i,BR329
7413,0.007383449003100395,u,BR,i,BR329
7418,0.03874765336513519,ʊ,BR,i,BR329
8511,0.5570198893547058,i,BR,i,BR373
8517,0.31158775091171265,ɪ,BR,i,BR373
8510,0.03900543972849846,eɪ,BR,i,BR373
8516,0.021708037704229355,ɛ,BR,i,BR373
8514,0.0016389071242883801,æ,BR,i,BR373
8515,0.0009018800337798893,ɑ,BR,i,BR373
8519,0.009588920511305332,ʌ,BR,i,BR373
8512,0.0037624237593263388,oʊ,BR,i,BR373
8513,0.0241108238697052,u,BR,i,BR373
8518,0.030675971880555153,ʊ,BR,i,BR373
7631,0.11097228527069092,i,BR,i,BR374
7637,0.5393385291099548,ɪ,BR,i,BR374
7630,0.02024388313293457,eɪ,BR,i,BR374
7636,0.014937049709260464,ɛ,BR,i,BR374
7634,0.0009170043631456792,æ,BR,i,BR374
7635,0.0006046826019883156,ɑ,BR,i,BR374
7639,0.02133500576019287,ʌ,BR,i,BR374
7632,0.007477918639779091,oʊ,BR,i,BR374
7633,0.13701669871807098,u,BR,i,BR374
7638,0.14715702831745148,ʊ,BR,i,BR374
7761,0.4036461114883423,i,BR,i,BR375
7767,0.535230815410614,ɪ,BR,i,BR375
7760,0.00722472695633769,eɪ,BR,i,BR375
7766,0.026659278199076653,ɛ,BR,i,BR375
7764,0.0014990195631980896,æ,BR,i,BR375
7765,0.000309529626974836,ɑ,BR,i,BR375
7769,0.004702688194811344,ʌ,BR,i,BR375
7762,0.0008829834405332804,oʊ,BR,i,BR375
7763,0.005858489312231541,u,BR,i,BR375
7768,0.013986414298415184,ʊ,BR,i,BR375
7491,0.39589762687683105,i,BR,i,BR452
7497,0.342343807220459,ɪ,BR,i,BR452
7490,0.007089417427778244,eɪ,BR,i,BR452
7496,0.057796280831098557,ɛ,BR,i,BR452
7494,0.0012419369304552674,æ,BR,i,BR452
7495,0.0014736499870195985,ɑ,BR,i,BR452
7499,0.04005791246891022,ʌ,BR,i,BR452
7492,0.004383779596537352,oʊ,BR,i,BR452
7493,0.0895489975810051,u,BR,i,BR452
7498,0.0601666197180748,ʊ,BR,i,BR452
7171,0.18927612900733948,i,BR,i,BR454
7177,0.26869121193885803,ɪ,BR,i,BR454
7170,0.02932894229888916,eɪ,BR,i,BR454
7176,0.08949319273233414,ɛ,BR,i,BR454
7174,0.038361601531505585,æ,BR,i,BR454
7175,0.01222993340343237,ɑ,BR,i,BR454
7179,0.10128068923950195,ʌ,BR,i,BR454
7172,0.06226487457752228,oʊ,BR,i,BR454
7173,0.1333770900964737,u,BR,i,BR454
7178,0.07569636404514313,ʊ,BR,i,BR454
7791,0.2763115167617798,i,BR,i,BR46
7797,0.22146371006965637,ɪ,BR,i,BR46
7790,0.06474638730287552,eɪ,BR,i,BR46
7796,0.08744416385889053,ɛ,BR,i,BR46
7794,0.0029372533317655325,æ,BR,i,BR46
7795,0.0002776694018393755,ɑ,BR,i,BR46
7799,0.010493959300220013,ʌ,BR,i,BR46
7792,0.01747310906648636,oʊ,BR,i,BR46
7793,0.21983660757541656,u,BR,i,BR46
7798,0.09901561588048935,ʊ,BR,i,BR46
7901,0.768903911113739,i,BR,i,BR47
7907,0.11572451889514923,ɪ,BR,i,BR47
7900,0.06566333025693893,eɪ,BR,i,BR47
7906,0.015225142240524292,ɛ,BR,i,BR47
7904,0.004285865928977728,æ,BR,i,BR47
7905,0.0007301566656678915,ɑ,BR,i,BR47
7909,0.00327737582847476,ʌ,BR,i,BR47
7902,0.0027471755165606737,oʊ,BR,i,BR47
7903,0.014682265929877758,u,BR,i,BR47
7908,0.008760138414800167,ʊ,BR,i,BR47
7301,0.019617939367890358,i,BR,i,BR496
7307,0.0675077810883522,ɪ,BR,i,BR496
7300,0.0006632848526351154,eɪ,BR,i,BR496
7306,0.008892002515494823,ɛ,BR,i,BR496
7304,0.0012295322958379984,æ,BR,i,BR496
7305,0.0010481552453711629,ɑ,BR,i,BR496
7309,0.016087496653199196,ʌ,BR,i,BR496
7302,0.023124871775507927,oʊ,BR,i,BR496
7303,0.5404167175292969,u,BR,i,BR496
7308,0.3214122951030731,ʊ,BR,i,BR496
7571,0.5207478404045105,i,BR,i,BR741
7577,0.17518925666809082,ɪ,BR,i,BR741
7570,0.011945522390305996,eɪ,BR,i,BR741
7576,0.024933340027928352,ɛ,BR,i,BR741
7574,0.0005988376797176898,æ,BR,i,BR741
7575,0.00014518245006911457,ɑ,BR,i,BR741
7579,0.010906914249062538,ʌ,BR,i,BR741
7572,0.009181507863104343,oʊ,BR,i,BR741
7573,0.15060339868068695,u,BR,i,BR741
7578,0.09574805200099945,ʊ,BR,i,BR741
8321,0.9087597727775574,i,BR,i,BR742
8327,0.03259504586458206,ɪ,BR,i,BR742
8320,0.04756328463554382,eɪ,BR,i,BR742
8326,0.004340971354395151,ɛ,BR,i,BR742
8324,0.0008966647437773645,æ,BR,i,BR742
8325,0.0001093125029001385,ɑ,BR,i,BR742
8329,0.0010954695753753185,ʌ,BR,i,BR742
8322,0.0007074873428791761,oʊ,BR,i,BR742
8323,0.002074636286124587,u,BR,i,BR742
8328,0.0018572575645521283,ʊ,BR,i,BR742
7811,0.8909730911254883,i,BR,i,BR757
7817,0.021082529798150063,ɪ,BR,i,BR757
7810,0.0826634019613266,eɪ,BR,i,BR757
7816,0.0019451399566605687,ɛ,BR,i,BR757
7814,0.00023910962045192719,æ,BR,i,BR757
7815,1.8922768504125997e-05,ɑ,BR,i,BR757
7819,0.00013451841368805617,ʌ,BR,i,BR757
7812,0.0003131520643364638,oʊ,BR,i,BR757
7813,0.0019602407701313496,u,BR,i,BR757
7818,0.0006699066143482924,ʊ,BR,i,BR757
6731,0.7051658034324646,i,BR,i,BR796
6737,0.10497745871543884,ɪ,BR,i,BR796
6730,0.0708966851234436,eɪ,BR,i,BR796
6736,0.023476378992199898,ɛ,BR,i,BR796
6734,0.004507133737206459,æ,BR,i,BR796
6735,0.0008821017108857632,ɑ,BR,i,BR796
6739,0.007663734722882509,ʌ,BR,i,BR796
6732,0.015945496037602425,oʊ,BR,i,BR796
6733,0.036786213517189026,u,BR,i,BR796
6738,0.029698973521590233,ʊ,BR,i,BR796
7651,0.9574868083000183,i,BR,i,BR99
7657,0.0107815470546484,ɪ,BR,i,BR99
7650,0.027279328554868698,eɪ,BR,i,BR99
7656,0.0027208784595131874,ɛ,BR,i,BR99
7654,0.00040988472755998373,æ,BR,i,BR99
7655,5.797810445073992e-05,ɑ,BR,i,BR99
7659,6.234758620848879e-05,ʌ,BR,i,BR99
7652,0.00042766175465658307,oʊ,BR,i,BR99
7653,0.0005477307713590562,u,BR,i,BR99
7658,0.00022578894277103245,ʊ,BR,i,BR99
7331,0.8493055701255798,i,BR,i,BR992
7337,0.06806623935699463,ɪ,BR,i,BR992
7330,0.05752824619412422,eɪ,BR,i,BR992
7336,0.005601336248219013,ɛ,BR,i,BR992
7334,0.0010480089113116264,æ,BR,i,BR992
7335,7.369231025222689e-05,ɑ,BR,i,BR992
7339,0.0012822840362787247,ʌ,BR,i,BR992
7332,0.0015128577360883355,oʊ,BR,i,BR992
7333,0.010455132462084293,u,BR,i,BR992
7338,0.005126397591084242,ʊ,BR,i,BR992
7821,0.9297437071800232,i,BR,ĩ,BR1025
7827,0.006911877542734146,ɪ,BR,ĩ,BR1025
7820,0.05718007683753967,eɪ,BR,ĩ,BR1025
7826,0.0011715107830241323,ɛ,BR,ĩ,BR1025
7824,9.241513907909393e-05,æ,BR,ĩ,BR1025
7825,7.027442916296422e-05,ɑ,BR,ĩ,BR1025
