,probabilities,classification,language,vowel,file
8251,0.9789445400238037,i,BR,i,BR132
8257,0.013774752616882324,ɪ,BR,i,BR132
8250,0.003988566342741251,eɪ,BR,i,BR132
8256,0.0017738029127940536,ɛ,BR,i,BR132
8254,0.0004947288543917239,æ,BR,i,BR132
8255,0.00011665166675811633,ɑ,BR,i,BR132
8259,1.920166141644586e-05,ʌ,BR,i,BR132
8252,2.6114956199307926e-05,oʊ,BR,i,BR132
8253,0.00033323446405120194,u,BR,i,BR132
8258,0.0005284250946715474,ʊ,BR,i,BR132
7411,0.06954458355903625,i,BR,i,BR329
7417,0.9065617322921753,ɪ,BR,i,BR329
7410,0.009062829427421093,eɪ,BR,i,BR329
7416,0.008752808906137943,ɛ,BR,i,BR329
7414,0.0030982119496911764,æ,BR,i,BR329
7415,6.429526547435671e-05,ɑ,BR,i,BR329
7419,7.476527389371768e-05,ʌ,BR,i,BR329
7412,0.00016792469250503927,oʊ,BR,i,BR329
7413,0.0005541819264180958,u,BR,i,BR329
7418,0.002118597971275449,ʊ,BR,i,BR329
8511,0.5214963555335999,i,BR,i,BR373
8517,0.3708188235759735,ɪ,BR,i,BR373
8510,0.0778999999165535,eɪ,BR,i,BR373
8516,0.016917578876018524,ɛ,BR,i,BR373
8514,0.0006575713632628322,æ,BR,i,BR373
8515,4.725113103631884e-05,ɑ,BR,i,BR373
8519,0.00019630929455161095,ʌ,BR,i,BR373
8512,6.492366810562089e-05,oʊ,BR,i,BR373
8513,0.0021897442638874054,u,BR,i,BR373
8518,0.009711592458188534,ʊ,BR,i,BR373
7631,0.029263071715831757,i,BR,i,BR374
7637,0.9502358436584473,ɪ,BR,i,BR374
7630,0.011928888969123363,eɪ,BR,i,BR374
7636,0.003341863164678216,ɛ,BR,i,BR374
7634,0.0002898764214478433,æ,BR,i,BR374
7635,2.4462138753733598e-05,ɑ,BR,i,BR374
7639,0.00011104445002274588,ʌ,BR,i,BR374
7632,0.00028325978200882673,oʊ,BR,i,BR374
7633,0.0009840232087299228,u,BR,i,BR374
7638,0.003537616692483425,ʊ,BR,i,BR374
7761,0.17812182009220123,i,BR,i,BR375
7767,0.7603372931480408,ɪ,BR,i,BR375
7760,0.010364270769059658,eɪ,BR,i,BR375
7766,0.04255761578679085,ɛ,BR,i,BR375
7764,0.0035170901101082563,æ,BR,i,BR375
7765,0.00014457838551606983,ɑ,BR,i,BR375
7769,0.00022555736359208822,ʌ,BR,i,BR375
7762,0.00017407610721420497,oʊ,BR,i,BR375
7763,0.0013867855304852128,u,BR,i,BR375
7768,0.003170953830704093,ʊ,BR,i,BR375
7491,0.8939452767372131,i,BR,i,BR452
7497,0.061250973492860794,ɪ,BR,i,BR452
