,probabilities,classification,language,vowel,file
8251,0.6426246762275696,i,BR,i,BR132
8257,0.08941071480512619,ɪ,BR,i,BR132
8250,0.06041444092988968,eɪ,BR,i,BR132
8256,0.01613434962928295,ɛ,BR,i,BR132
8254,0.00728705944493413,æ,BR,i,BR132
8255,0.00912462268024683,ɑ,BR,i,BR132
8259,0.011770221404731274,ʌ,BR,i,BR132
8252,0.023608746007084846,oʊ,BR,i,BR132
8253,0.10345259308815002,u,BR,i,BR132
8258,0.03617245703935623,ʊ,BR,i,BR132
7411,0.13414208590984344,i,BR,i,BR329
7417,0.3552864193916321,ɪ,BR,i,BR329
7410,0.06647586822509766,eɪ,BR,i,BR329
7416,0.1351887732744217,ɛ,BR,i,BR329
7414,0.010538681410253048,æ,BR,i,BR329
7415,0.005061870440840721,ɑ,BR,i,BR329
7419,0.06189515069127083,ʌ,BR,i,BR329
7412,0.018143152818083763,oʊ,BR,i,BR329
7413,0.1137700080871582,u,BR,i,BR329
7418,0.09949794411659241,ʊ,BR,i,BR329
8511,0.6233159303665161,i,BR,i,BR373
8517,0.23676557838916779,ɪ,BR,i,BR373
8510,0.06481991708278656,eɪ,BR,i,BR373
8516,0.015635043382644653,ɛ,BR,i,BR373
8514,0.0026326540391892195,æ,BR,i,BR373
8515,0.001420112675987184,ɑ,BR,i,BR373
8519,0.0035474542528390884,ʌ,BR,i,BR373
8512,0.0031118555925786495,oʊ,BR,i,BR373
8513,0.03491315618157387,u,BR,i,BR373
8518,0.013838340528309345,ʊ,BR,i,BR373
7631,0.485779345035553,i,BR,i,BR374
7637,0.227308452129364,ɪ,BR,i,BR374
7630,0.07452470809221268,eɪ,BR,i,BR374
7636,0.026429543271660805,ɛ,BR,i,BR374
7634,0.001522173173725605,æ,BR,i,BR374
7635,0.0007581490208394825,ɑ,BR,i,BR374
7639,0.004750528372824192,ʌ,BR,i,BR374
7632,0.0070470646023750305,oʊ,BR,i,BR374
7633,0.1271643042564392,u,BR,i,BR374
7638,0.044715721160173416,ʊ,BR,i,BR374
7761,0.7815916538238525,i,BR,i,BR375
7767,0.11696267873048782,ɪ,BR,i,BR375
7760,0.06595947593450546,eɪ,BR,i,BR375
7766,0.016236236318945885,ɛ,BR,i,BR375
7764,0.0014539036201313138,æ,BR,i,BR375
7765,0.00026833475567400455,ɑ,BR,i,BR375
7769,0.0024335363414138556,ʌ,BR,i,BR375
7762,0.0007326569175347686,oʊ,BR,i,BR375
7763,0.009996251203119755,u,BR,i,BR375
7768,0.004365456290543079,ʊ,BR,i,BR375
7491,0.5665121078491211,i,BR,i,BR452
7497,0.2021678239107132,ɪ,BR,i,BR452
