,probabilities,classification,language,vowel,file
8251,0.7035412788391113,i,BR,i,BR132
8257,0.09805183857679367,ɪ,BR,i,BR132
8250,0.06693337112665176,eɪ,BR,i,BR132
8256,0.012329024262726307,ɛ,BR,i,BR132
8254,0.004450904205441475,æ,BR,i,BR132
8255,0.007309680804610252,ɑ,BR,i,BR132
8259,0.010072920471429825,ʌ,BR,i,BR132
8252,0.01181951817125082,oʊ,BR,i,BR132
8253,0.06413644552230835,u,BR,i,BR132
8258,0.021354999393224716,ʊ,BR,i,BR132
7411,0.09502043575048447,i,BR,i,BR329
7417,0.42754554748535156,ɪ,BR,i,BR329
7410,0.05741005763411522,eɪ,BR,i,BR329
7416,0.11321688443422318,ɛ,BR,i,BR329
7414,0.011224547401070595,æ,BR,i,BR329
7415,0.0058127944357693195,ɑ,BR,i,BR329
7419,0.07149315625429153,ʌ,BR,i,BR329
7412,0.016890492290258408,oʊ,BR,i,BR329
7413,0.10255026072263718,u,BR,i,BR329
7418,0.0988357812166214,ʊ,BR,i,BR329
8511,0.5927931666374207,i,BR,i,BR373
8517,0.25222453474998474,ɪ,BR,i,BR373
8510,0.0734436959028244,eɪ,BR,i,BR373
8516,0.02047380991280079,ɛ,BR,i,BR373
8514,0.0025618202053010464,æ,BR,i,BR373
8515,0.0020913134794682264,ɑ,BR,i,BR373
8519,0.007865780033171177,ʌ,BR,i,BR373
8512,0.002463372889906168,oʊ,BR,i,BR373
8513,0.03142714127898216,u,BR,i,BR373
8518,0.014655360020697117,ʊ,BR,i,BR373
7631,0.34784266352653503,i,BR,i,BR374
7637,0.3209647238254547,ɪ,BR,i,BR374
7630,0.08828634768724442,eɪ,BR,i,BR374
7636,0.027969200164079666,ɛ,BR,i,BR374
7634,0.001411210629157722,æ,BR,i,BR374
7635,0.0012081412132829428,ɑ,BR,i,BR374
7639,0.010021389462053776,ʌ,BR,i,BR374
7632,0.006913735996931791,oʊ,BR,i,BR374
7633,0.13832242786884308,u,BR,i,BR374
7638,0.05706019699573517,ʊ,BR,i,BR374
7761,0.762921929359436,i,BR,i,BR375
7767,0.1425342857837677,ɪ,BR,i,BR375
7760,0.06360986828804016,eɪ,BR,i,BR375
7766,0.016376512125134468,ɛ,BR,i,BR375
7764,0.0008573700324632227,æ,BR,i,BR375
7765,0.0003263000980950892,ɑ,BR,i,BR375
7769,0.0032744589261710644,ʌ,BR,i,BR375
7762,0.00032266470952890813,oʊ,BR,i,BR375
7763,0.006667087320238352,u,BR,i,BR375
7768,0.003109460463747382,ʊ,BR,i,BR375
7491,0.4820612967014313,i,BR,i,BR452
7497,0.24542655050754547,ɪ,BR,i,BR452
7490,0.011611048132181168,eɪ,BR,i,BR452
7496,0.014751936309039593,ɛ,BR,i,BR452
7494,0.0005388056160882115,æ,BR,i,BR452
7495,0.0009350925101898611,ɑ,BR,i,BR452
7499,0.02158762514591217,ʌ,BR,i,BR452
7492,0.002848841715604067,oʊ,BR,i,BR452
7493,0.16530142724514008,u,BR,i,BR452
7498,0.05493738874793053,ʊ,BR,i,BR452
7171,0.47169235348701477,i,BR,i,BR454
7177,0.2320513278245926,ɪ,BR,i,BR454
7170,0.045994341373443604,eɪ,BR,i,BR454
7176,0.02954028733074665,ɛ,BR,i,BR454
7174,0.01252683624625206,æ,BR,i,BR454
7175,0.009660755284130573,ɑ,BR,i,BR454
7179,0.023437881842255592,ʌ,BR,i,BR454
7172,0.01492973044514656,oʊ,BR,i,BR454
7173,0.11409268528223038,u,BR,i,BR454
7178,0.04607386887073517,ʊ,BR,i,BR454
7791,0.360991895198822,i,BR,i,BR46
7797,0.08587242662906647,ɪ,BR,i,BR46
7790,0.016239723190665245,eɪ,BR,i,BR46
7796,0.025845525786280632,ɛ,BR,i,BR46
7794,0.0008200748707167804,æ,BR,i,BR46
