,probabilities,classification,language,vowel,file
9763,1.0467909723276032e-39,i,BR,i,BR132
9762,1.0,ɪ,BR,i,BR132
9768,2.563241137958312e-40,eɪ,BR,i,BR132
9767,2.5357476620882592e-40,ɛ,BR,i,BR132
9764,2.7625197925699444e-41,æ,BR,i,BR132
9761,5.207197067461734e-40,ɑ,BR,i,BR132
9769,3.672761236041416e-40,ʌ,BR,i,BR132
9765,7.048110886014532e-41,oʊ,BR,i,BR132
9760,5.224110739926134e-40,u,BR,i,BR132
9766,3.628662373369114e-41,ʊ,BR,i,BR132
593,1.0604978939454668e-07,i,BR,i,BR329
592,0.9999995231628418,ɪ,BR,i,BR329
598,7.104814869762777e-08,eɪ,BR,i,BR329
597,5.455665430531553e-08,ɛ,BR,i,BR329
594,8.08345745895167e-09,æ,BR,i,BR329
591,3.7315270873250483e-08,ɑ,BR,i,BR329
599,9.731229511089623e-08,ʌ,BR,i,BR329
595,2.2908118069153716e-08,oʊ,BR,i,BR329
590,1.0403430650285372e-07,u,BR,i,BR329
596,1.4491686073370147e-08,ʊ,BR,i,BR329
5133,3.4457909350749105e-05,i,BR,i,BR373
5132,0.9997941851615906,ɪ,BR,i,BR373
5138,3.116886364296079e-05,eɪ,BR,i,BR373
5137,2.8498476240201853e-05,ɛ,BR,i,BR373
5134,3.4168228921771515e-06,æ,BR,i,BR373
5131,1.5843044820940122e-05,ɑ,BR,i,BR373
5139,4.376307697384618e-05,ʌ,BR,i,BR373
5135,6.65900688545662e-06,oʊ,BR,i,BR373
5130,3.4183238312834874e-05,u,BR,i,BR373
5136,7.687719516979996e-06,ʊ,BR,i,BR373
2963,0.002602742286399007,i,BR,i,BR374
2962,0.9606689214706421,ɪ,BR,i,BR374
2968,0.012113259173929691,eɪ,BR,i,BR374
2967,0.00560395373031497,ɛ,BR,i,BR374
2964,0.0006347395828925073,æ,BR,i,BR374
2961,0.001327404985204339,ɑ,BR,i,BR374
2969,0.008579304441809654,ʌ,BR,i,BR374
2965,0.0012763921404257417,oʊ,BR,i,BR374
2960,0.004667192231863737,u,BR,i,BR374
2966,0.002525996183976531,ʊ,BR,i,BR374
4173,0.0002685560320969671,i,BR,i,BR375
4172,0.9959486722946167,ɪ,BR,i,BR375
4178,0.0005711241974495351,eɪ,BR,i,BR375
4177,0.0004304268804844469,ɛ,BR,i,BR375
4174,3.5771256079897285e-05,æ,BR,i,BR375
4171,0.0001680119166849181,ɑ,BR,i,BR375
4179,0.0014416235499083996,ʌ,BR,i,BR375
4175,9.510425297776237e-05,oʊ,BR,i,BR375
4170,0.0007251538918353617,u,BR,i,BR375
4176,0.00031572734587825835,ʊ,BR,i,BR375
9563,0.046102993190288544,i,BR,i,BR452
9562,0.8326011300086975,ɪ,BR,i,BR452
9568,0.020465418696403503,eɪ,BR,i,BR452
9567,0.017325233668088913,ɛ,BR,i,BR452
9564,0.0071708946488797665,æ,BR,i,BR452
9561,0.018107162788510323,ɑ,BR,i,BR452
9569,0.036437373608350754,ʌ,BR,i,BR452
9565,0.005479794926941395,oʊ,BR,i,BR452
9560,0.014917062595486641,u,BR,i,BR452
9566,0.0013928910484537482,ʊ,BR,i,BR452
1733,1.9883617638063654e-19,i,BR,i,BR454
1732,1.0,ɪ,BR,i,BR454
1738,7.487096067553019e-20,eɪ,BR,i,BR454
1737,6.611020033510157e-20,ɛ,BR,i,BR454
1734,6.1728264354477326e-21,æ,BR,i,BR454
1731,1.5182387032937099e-19,ɑ,BR,i,BR454
1739,1.4484316389306527e-19,ʌ,BR,i,BR454
1735,2.3505960770763843e-20,oʊ,BR,i,BR454
1730,2.384573522401023e-19,u,BR,i,BR454
1736,1.3436842231552857e-20,ʊ,BR,i,BR454
9673,0.06707189977169037,i,BR,i,BR46
9672,0.3164690434932709,ɪ,BR,i,BR46
9678,0.11192908138036728,eɪ,BR,i,BR46
9677,0.09330002963542938,ɛ,BR,i,BR46
9674,0.01725258305668831,æ,BR,i,BR46
9671,0.15597538650035858,ɑ,BR,i,BR46
9679,0.16296397149562836,ʌ,BR,i,BR46
9675,0.016236508265137672,oʊ,BR,i,BR46
9670,0.05413403362035751,u,BR,i,BR46
9676,0.004667444154620171,ʊ,BR,i,BR46
2493,0.07461074739694595,i,BR,i,BR47
2492,0.2763805091381073,ɪ,BR,i,BR47
2498,0.12928220629692078,eɪ,BR,i,BR47
2497,0.08353075385093689,ɛ,BR,i,BR47
2494,0.0192303117364645,æ,BR,i,BR47
2491,0.13414637744426727,ɑ,BR,i,BR47
2499,0.1675565391778946,ʌ,BR,i,BR47
2495,0.023774724453687668,oʊ,BR,i,BR47
2490,0.08579327166080475,u,BR,i,BR47
2496,0.005694539751857519,ʊ,BR,i,BR47
8973,1.0289789853512588e-10,i,BR,i,BR496
8972,1.0,ɪ,BR,i,BR496
8978,2.2094136242767348e-10,eɪ,BR,i,BR496
8977,1.3204239091013648e-10,ɛ,BR,i,BR496
8974,8.163522809134793e-12,æ,BR,i,BR496
8971,1.1733883309439364e-10,ɑ,BR,i,BR496
8979,3.3842556534935397e-10,ʌ,BR,i,BR496
8975,3.891138800060645e-11,oʊ,BR,i,BR496
8970,2.5467958297831217e-10,u,BR,i,BR496
8976,1.3044532121142538e-10,ʊ,BR,i,BR496
3263,3.7067945312801497e-26,i,BR,i,BR741
3262,1.0,ɪ,BR,i,BR741
3268,1.422108365753886e-26,eɪ,BR,i,BR741
3267,1.1274549509582385e-26,ɛ,BR,i,BR741
3264,3.8083695017352913e-28,æ,BR,i,BR741
3261,1.3891706496217889e-26,ɑ,BR,i,BR741
3269,1.3463635440082782e-26,ʌ,BR,i,BR741
3265,1.5729771857275284e-27,oʊ,BR,i,BR741
3260,1.9138822511015226e-26,u,BR,i,BR741
3266,1.3349989780738391e-27,ʊ,BR,i,BR741
6433,1.0407243280496914e-05,i,BR,i,BR742
6432,0.9999605417251587,ɪ,BR,i,BR742
6438,2.466511432430707e-06,eɪ,BR,i,BR742
6437,2.4256239612441277e-06,ɛ,BR,i,BR742
6434,3.4189150710517424e-07,æ,BR,i,BR742
6431,4.518370587902609e-06,ɑ,BR,i,BR742
6439,3.314574996693409e-06,ʌ,BR,i,BR742
6435,6.319464205262193e-07,oʊ,BR,i,BR742
6430,1.452761898690369e-05,u,BR,i,BR742
6436,8.299937803712965e-07,ʊ,BR,i,BR742
7813,3.486524630055216e-22,i,BR,i,BR757
7812,1.0,ɪ,BR,i,BR757
7818,4.6282226340157955e-23,eɪ,BR,i,BR757
7817,9.59920533135012e-23,ɛ,BR,i,BR757
7814,1.5141522432556936e-23,æ,BR,i,BR757
7811,1.3945200354748615e-22,ɑ,BR,i,BR757
7819,7.754835913168911e-23,ʌ,BR,i,BR757
7815,2.0403690098315165e-23,oʊ,BR,i,BR757
7810,2.0198248314945905e-22,u,BR,i,BR757
7816,9.18782746436839e-24,ʊ,BR,i,BR757
7273,1.5804075860014617e-24,i,BR,i,BR796
7272,1.0,ɪ,BR,i,BR796
7278,1.9632049780136095e-25,eɪ,BR,i,BR796
7277,3.3564720035899122e-25,ɛ,BR,i,BR796
7274,6.589146216430744e-26,æ,BR,i,BR796
7271,2.296024777628772e-25,ɑ,BR,i,BR796
7279,2.565351258394475e-25,ʌ,BR,i,BR796
7275,1.3516956582448691e-25,oʊ,BR,i,BR796
7270,1.8106878431933435e-25,u,BR,i,BR796
7276,2.2127357339198898e-26,ʊ,BR,i,BR796
4393,1.318648051205822e-31,i,BR,i,BR99
4392,1.0,ɪ,BR,i,BR99
4398,3.493509848179122e-32,eɪ,BR,i,BR99
4397,3.1478266408346455e-32,ɛ,BR,i,BR99
4394,3.248875367840794e-33,æ,BR,i,BR99
4391,6.962796872018024e-32,ɑ,BR,i,BR99
4399,5.74109031178186e-32,ʌ,BR,i,BR99
4395,8.845586173730082e-33,oʊ,BR,i,BR99
4390,4.803232429553868e-32,u,BR,i,BR99
4396,4.960864605694404e-33,ʊ,BR,i,BR99
3413,1.1687112361507704e-25,i,BR,i,BR992
3412,1.0,ɪ,BR,i,BR992
3418,1.798330768521364e-26,eɪ,BR,i,BR992
3417,2.743225587455972e-26,ɛ,BR,i,BR992
3414,3.019193129189389e-27,æ,BR,i,BR992
3411,4.333185835285401e-26,ɑ,BR,i,BR992
3419,3.58491737031625e-26,ʌ,BR,i,BR992
3415,8.259940671439621e-27,oʊ,BR,i,BR992
3410,6.542933758526766e-26,u,BR,i,BR992
3416,4.3523836590454484e-27,ʊ,BR,i,BR992
1993,9.200886580407186e-14,i,BR,ĩ,BR1025
1992,1.0,ɪ,BR,ĩ,BR1025
1998,5.275729465380359e-14,eɪ,BR,ĩ,BR1025
1997,3.8211008115225306e-14,ɛ,BR,ĩ,BR1025
1994,8.83878711053273e-15,æ,BR,ĩ,BR1025
1991,3.5533248977752396e-14,ɑ,BR,ĩ,BR1025
1999,6.23285467292109e-14,ʌ,BR,ĩ,BR1025
1995,3.3319589356475485e-14,oʊ,BR,ĩ,BR1025
1990,6.198663679785402e-14,u,BR,ĩ,BR1025
1996,1.247191640327966e-14,ʊ,BR,ĩ,BR1025
8053,3.677830795931159e-21,i,BR,ĩ,BR1029
8052,1.0,ɪ,BR,ĩ,BR1029
8058,1.3267379258111024e-21,eɪ,BR,ĩ,BR1029
8057,1.7632564427434287e-21,ɛ,BR,ĩ,BR1029
8054,1.0541297734244883e-22,æ,BR,ĩ,BR1029
8051,2.0023346618879117e-21,ɑ,BR,ĩ,BR1029
8059,2.9660509665069065e-21,ʌ,BR,ĩ,BR1029
8055,3.7683224061424797e-22,oʊ,BR,ĩ,BR1029
8050,2.371625972849873e-21,u,BR,ĩ,BR1029
8056,4.441761475114877e-22,ʊ,BR,ĩ,BR1029
6683,6.92942090608622e-42,i,BR,ĩ,BR154
6682,1.0,ɪ,BR,ĩ,BR154
6688,2.0332840717353096e-42,eɪ,BR,ĩ,BR154
6687,2.1187632780591234e-42,ɛ,BR,ĩ,BR154
6684,2.1159606811304738e-43,æ,BR,ĩ,BR154
6681,3.8101305244991776e-42,ɑ,BR,ĩ,BR154
6689,3.3140708681281924e-42,ʌ,BR,ĩ,BR154
6685,6.095648319812954e-43,oʊ,BR,ĩ,BR154
6680,1.4433374182545616e-42,u,BR,ĩ,BR154
6686,1.6815581571897805e-43,ʊ,BR,ĩ,BR154
2563,9.670753065875574e-40,i,BR,ĩ,BR158
2562,1.0,ɪ,BR,ĩ,BR158
2568,3.019013463479959e-40,eɪ,BR,ĩ,BR158
2567,3.133583625923156e-40,ɛ,BR,ĩ,BR158
2564,4.4038606838336026e-41,æ,BR,ĩ,BR158
2561,3.6547265248055554e-40,ɑ,BR,ĩ,BR158
2569,4.467129309497868e-40,ʌ,BR,ĩ,BR158
2565,9.83108963616362e-41,oʊ,BR,ĩ,BR158
2560,2.71060168446671e-40,u,BR,ĩ,BR158
2566,2.963746252046988e-41,ʊ,BR,ĩ,BR158
3773,4.521337699811195e-38,i,BR,ĩ,BR159
3772,1.0,ɪ,BR,ĩ,BR159
