,probabilities,classification,language,vowel,file
8251,0.9999946355819702,i,BR,i,BR132
8257,1.1716367680492112e-06,ɪ,BR,i,BR132
8250,1.4735211095739942e-07,eɪ,BR,i,BR132
8256,2.769857676554466e-10,ɛ,BR,i,BR132
8254,5.376294254233471e-08,æ,BR,i,BR132
8255,1.174688701865989e-08,ɑ,BR,i,BR132
8259,9.227780761733584e-10,ʌ,BR,i,BR132
8252,4.613146670218171e-11,oʊ,BR,i,BR132
8253,4.000984972662991e-06,u,BR,i,BR132
8258,1.1003447285273804e-11,ʊ,BR,i,BR132
7411,0.001256998861208558,i,BR,i,BR329
7417,1.5426420532094198e-06,ɪ,BR,i,BR329
7410,4.3847698805166146e-08,eɪ,BR,i,BR329
7416,6.038321698122878e-14,ɛ,BR,i,BR329
7414,6.399575869231455e-10,æ,BR,i,BR329
7415,1.0114091253399238e-07,ɑ,BR,i,BR329
7419,3.0849413690248184e-08,ʌ,BR,i,BR329
7412,3.957095273676714e-08,oʊ,BR,i,BR329
7413,0.9987413287162781,u,BR,i,BR329
7418,3.1608525574711166e-08,ʊ,BR,i,BR329
8511,0.9999988079071045,i,BR,i,BR373
8517,2.215803647231951e-07,ɪ,BR,i,BR373
8510,3.5563132882998616e-07,eɪ,BR,i,BR373
8516,2.8696472975653364e-10,ɛ,BR,i,BR373
8514,9.682050006176723e-08,æ,BR,i,BR373
8515,5.36630473391142e-09,ɑ,BR,i,BR373
8519,5.5527714371006454e-11,ʌ,BR,i,BR373
8512,1.3979349795800733e-11,oʊ,BR,i,BR373
8513,5.002170837542508e-07,u,BR,i,BR373
8518,1.9964190890731093e-12,ʊ,BR,i,BR373
7631,0.00336981238797307,i,BR,i,BR374
7637,1.4520325066769146e-06,ɪ,BR,i,BR374
7630,3.643541788278526e-07,eɪ,BR,i,BR374
7636,3.473140354416822e-14,ɛ,BR,i,BR374
7634,1.6295088889339837e-10,æ,BR,i,BR374
7635,1.1458610060799401e-08,ɑ,BR,i,BR374
7639,1.6877805819603964e-09,ʌ,BR,i,BR374
7632,1.3605776061353936e-08,oʊ,BR,i,BR374
7633,0.9966283440589905,u,BR,i,BR374
7638,2.0677354939380166e-08,ʊ,BR,i,BR374
7761,0.9993002414703369,i,BR,i,BR375
7767,2.363648718528566e-06,ɪ,BR,i,BR375
7760,1.829099716132987e-07,eɪ,BR,i,BR375
7766,1.6523228965614756e-11,ɛ,BR,i,BR375
7764,2.2331628102278955e-08,æ,BR,i,BR375
7765,5.251019175034344e-08,ɑ,BR,i,BR375
7769,3.192371034188568e-09,ʌ,BR,i,BR375
7762,4.4198661397487626e-10,oʊ,BR,i,BR375
7763,0.0006971327238716185,u,BR,i,BR375
7768,1.2090825562971474e-10,ʊ,BR,i,BR375
7491,0.9999972581863403,i,BR,i,BR452
7497,1.4624541222474363e-07,ɪ,BR,i,BR452
7490,8.855436703925079e-07,eɪ,BR,i,BR452
7496,5.670865999007901e-10,ɛ,BR,i,BR452
7494,3.367009639987373e-07,æ,BR,i,BR452
7495,1.870775712120576e-08,ɑ,BR,i,BR452
7499,1.061991744544244e-10,ʌ,BR,i,BR452
7492,1.0252616811090576e-10,oʊ,BR,i,BR452
7493,1.3734824051425676e-06,u,BR,i,BR452
7498,5.921546239462394e-12,ʊ,BR,i,BR452
7171,0.0002552099758759141,i,BR,i,BR454
7177,4.492884286833032e-08,ɪ,BR,i,BR454
7170,3.270441695235604e-08,eɪ,BR,i,BR454
7176,2.1728245864062554e-15,ɛ,BR,i,BR454
7174,6.029336058199775e-11,æ,BR,i,BR454
7175,1.1020581780485372e-08,ɑ,BR,i,BR454
7179,9.214009000224621e-10,ʌ,BR,i,BR454
7172,2.9051372862909375e-08,oʊ,BR,i,BR454
7173,0.999744713306427,u,BR,i,BR454
7178,9.136225109784846e-09,ʊ,BR,i,BR454
7791,0.7858370542526245,i,BR,i,BR46
7797,2.661757662281161e-06,ɪ,BR,i,BR46
7790,3.1474421575694578e-06,eɪ,BR,i,BR46
7796,1.0906002663457759e-11,ɛ,BR,i,BR46
7794,2.928596245510562e-07,æ,BR,i,BR46
7795,8.439237717539072e-07,ɑ,BR,i,BR46
7799,3.697623895959623e-08,ʌ,BR,i,BR46
7792,2.450240685902827e-07,oʊ,BR,i,BR46
7793,0.21415573358535767,u,BR,i,BR46
7798,5.083411469541943e-09,ʊ,BR,i,BR46
7901,0.9999780654907227,i,BR,i,BR47
7907,1.71055016835453e-05,ɪ,BR,i,BR47
7900,2.886491188291984e-07,eɪ,BR,i,BR47
7906,1.6682587755667555e-08,ɛ,BR,i,BR47
7904,1.0815957693921519e-06,æ,BR,i,BR47
7905,3.3421417811041465e-07,ɑ,BR,i,BR47
7909,3.7111615114326924e-08,ʌ,BR,i,BR47
7902,2.8070409885394554e-10,oʊ,BR,i,BR47
7903,3.257293428760022e-06,u,BR,i,BR47
7908,1.3450461577857453e-10,ʊ,BR,i,BR47
7301,0.9998557567596436,i,BR,i,BR496
7307,7.246543276551165e-08,ɪ,BR,i,BR496
7300,1.3502602769221994e-06,eɪ,BR,i,BR496
7306,2.0984889173569776e-11,ɛ,BR,i,BR496
7304,1.8858190742321312e-07,æ,BR,i,BR496
7305,4.6587281588017504e-08,ɑ,BR,i,BR496
7309,1.4054321595402541e-10,ʌ,BR,i,BR496
7302,1.34562638809399e-09,oʊ,BR,i,BR496
7303,0.00014258461305871606,u,BR,i,BR496
7308,2.252685885051342e-11,ʊ,BR,i,BR496
7571,0.0003678451757878065,i,BR,i,BR741
7577,7.291124148878225e-08,ɪ,BR,i,BR741
7570,1.09913202095413e-07,eɪ,BR,i,BR741
7576,5.166535483534492e-15,ɛ,BR,i,BR741
7574,1.0141473771874132e-10,æ,BR,i,BR741
7575,5.646835887773705e-09,ɑ,BR,i,BR741
7579,9.854292937205855e-10,ʌ,BR,i,BR741
7572,5.8005312553177646e-08,oʊ,BR,i,BR741
7573,0.9996318817138672,u,BR,i,BR741
7578,1.0123046401133706e-08,ʊ,BR,i,BR741
8321,0.9999946355819702,i,BR,i,BR742
8327,1.260263644553561e-07,ɪ,BR,i,BR742
8320,4.794663936991128e-07,eɪ,BR,i,BR742
8326,2.042318397732501e-10,ɛ,BR,i,BR742
8324,2.3253836900494207e-07,æ,BR,i,BR742
8325,2.5292898442330625e-08,ɑ,BR,i,BR742
8329,2.0987094007107743e-10,ʌ,BR,i,BR742
8322,1.9947760110383683e-10,oʊ,BR,i,BR742
8323,4.508473921305267e-06,u,BR,i,BR742
8328,7.142524852815635e-12,ʊ,BR,i,BR742
7811,0.9999983310699463,i,BR,i,BR757
7817,6.536761816278158e-07,ɪ,BR,i,BR757
7810,5.479689093590423e-07,eɪ,BR,i,BR757
7816,1.4725123342884672e-09,ɛ,BR,i,BR757
7814,1.4197821940342692e-07,æ,BR,i,BR757
7815,5.879403186526133e-09,ɑ,BR,i,BR757
7819,2.0115908938578286e-10,ʌ,BR,i,BR757
7812,2.7145575717812953e-11,oʊ,BR,i,BR757
7813,3.4963980510838155e-07,u,BR,i,BR757
7818,4.597692018770694e-12,ʊ,BR,i,BR757
6731,0.9999983310699463,i,BR,i,BR796
6737,1.7152140685539052e-07,ɪ,BR,i,BR796
6730,5.30622628502897e-07,eɪ,BR,i,BR796
6736,2.1011603568155124e-10,ɛ,BR,i,BR796
6734,1.0790456883569277e-07,æ,BR,i,BR796
6735,5.4226552137492945e-09,ɑ,BR,i,BR796
6739,5.4324426901342093e-11,ʌ,BR,i,BR796
6732,3.043304497296617e-11,oʊ,BR,i,BR796
6733,9.957547035810421e-07,u,BR,i,BR796
6738,2.344261720507723e-12,ʊ,BR,i,BR796
7651,0.9999977350234985,i,BR,i,BR99
7657,5.816963266624953e-07,ɪ,BR,i,BR99
7650,2.7560687954064633e-07,eɪ,BR,i,BR99
7656,6.302356414522592e-10,ɛ,BR,i,BR99
7654,1.6248264955720515e-07,æ,BR,i,BR99
7655,1.497522106319593e-08,ɑ,BR,i,BR99
7659,4.428040989434834e-10,ʌ,BR,i,BR99
7652,5.1484341095919817e-11,oʊ,BR,i,BR99
7653,1.320977844443405e-06,u,BR,i,BR99
7658,6.184390239499793e-12,ʊ,BR,i,BR99
7331,0.9999912977218628,i,BR,i,BR992
7337,2.575019664163847e-07,ɪ,BR,i,BR992
7330,5.732889576393063e-07,eɪ,BR,i,BR992
7336,1.826896550705115e-10,ɛ,BR,i,BR992
7334,2.1892583390581422e-07,æ,BR,i,BR992
7335,2.7094939625271763e-08,ɑ,BR,i,BR992
7339,2.5392457581041583e-10,ʌ,BR,i,BR992
7332,1.7858228784639607e-10,oʊ,BR,i,BR992
7333,7.62184845370939e-06,u,BR,i,BR992
7338,9.31708789980723e-12,ʊ,BR,i,BR992
7821,0.9999984502792358,i,BR,ĩ,BR1025
7827,2.9810007617925294e-07,ɪ,BR,ĩ,BR1025
7820,2.710703483899124e-07,eɪ,BR,ĩ,BR1025
7826,2.686738609369854e-10,ɛ,BR,ĩ,BR1025
7824,8.775174364927807e-08,æ,BR,ĩ,BR1025
7825,7.375451360758234e-09,ɑ,BR,ĩ,BR1025
7829,1.0135347422446372e-10,ʌ,BR,ĩ,BR1025
7822,1.895760978753991e-11,oʊ,BR,ĩ,BR1025
7823,8.040807415454765e-07,u,BR,ĩ,BR1025
7828,2.6716200866166995e-12,ʊ,BR,ĩ,BR1025
7031,0.999997615814209,i,BR,ĩ,BR1029
7037,9.347162972517253e-07,ɪ,BR,ĩ,BR1029
7030,4.896453447145177e-07,eɪ,BR,ĩ,BR1029
7036,9.235132658602652e-10,ɛ,BR,ĩ,BR1029
7034,7.533838441986518e-08,æ,BR,ĩ,BR1029
7035,6.320042267304871e-09,ɑ,BR,ĩ,BR1029
7039,2.2579581260284698e-10,ʌ,BR,ĩ,BR1029
7032,2.5134137826565706e-11,oʊ,BR,ĩ,BR1029
7033,7.922914733171638e-07,u,BR,ĩ,BR1029
7038,7.996007501953617e-12,ʊ,BR,ĩ,BR1029
7801,0.9999969005584717,i,BR,ĩ,BR154
7807,1.575108740325959e-06,ɪ,BR,ĩ,BR154
7800,9.206842150888406e-07,eɪ,BR,ĩ,BR154
7806,9.584608662294158e-09,ɛ,BR,ĩ,BR154
7804,3.61566407036662e-07,æ,BR,ĩ,BR154
7805,1.4340747256369468e-08,ɑ,BR,ĩ,BR154
7809,7.615321706566647e-10,ʌ,BR,ĩ,BR154
7802,6.611004799150777e-11,oʊ,BR,ĩ,BR154
7803,2.3810426341697166e-07,u,BR,ĩ,BR154
7808,1.449864794195177e-11,ʊ,BR,ĩ,BR154
7521,0.9999979734420776,i,BR,ĩ,BR158
7527,4.1180456378242525e-07,ɪ,BR,ĩ,BR158
7520,6.781950787626556e-07,eɪ,BR,ĩ,BR158
7526,8.593263878253765e-10,ɛ,BR,ĩ,BR158
7524,1.8561681258688623e-07,æ,BR,ĩ,BR158
7525,7.594895379270383e-09,ɑ,BR,ĩ,BR158
7529,1.7277602959442362e-10,ʌ,BR,ĩ,BR158
7522,4.9513341343621065e-11,oʊ,BR,ĩ,BR158
7523,6.891970656397461e-07,u,BR,ĩ,BR158
7528,5.071592017874549e-12,ʊ,BR,ĩ,BR158
8541,0.9999979734420776,i,BR,ĩ,BR159
8547,4.5045456431580533e-07,ɪ,BR,ĩ,BR159
8540,3.191682935721474e-07,eɪ,BR,ĩ,BR159
8546,1.4745297205465135e-09,ɛ,BR,ĩ,BR159
8544,4.296357758448721e-07,æ,BR,ĩ,BR159
8545,3.176356244694034e-08,ɑ,BR,ĩ,BR159
8549,5.408591907674065e-10,ʌ,BR,ĩ,BR159
8542,6.762561344242357e-11,oʊ,BR,ĩ,BR159
8543,6.781149295420619e-07,u,BR,ĩ,BR159
8548,6.430810745028381e-12,ʊ,BR,ĩ,BR159
7001,1.0142834980797488e-06,i,BR,ĩ,BR264
7007,4.7326519592161276e-08,ɪ,BR,ĩ,BR264
7000,1.7244165817498214e-10,eɪ,BR,ĩ,BR264
7006,1.0388111591498042e-15,ɛ,BR,ĩ,BR264
7004,4.487403504338516e-12,æ,BR,ĩ,BR264
7005,2.0409112622132852e-08,ɑ,BR,ĩ,BR264
7009,8.586528110754443e-08,ʌ,BR,ĩ,BR264
7002,6.460864199198113e-08,oʊ,BR,ĩ,BR264
7003,0.9999986886978149,u,BR,ĩ,BR264
7008,1.2251238956650923e-07,ʊ,BR,ĩ,BR264
6851,7.740288765489822e-07,i,BR,ĩ,BR411
6857,1.303490790860451e-07,ɪ,BR,ĩ,BR411
6850,4.65326971399449e-10,eɪ,BR,ĩ,BR411
6856,2.143463671597343e-15,ɛ,BR,ĩ,BR411
6854,2.030531992547324e-12,æ,BR,ĩ,BR411
6855,5.999872598749789e-09,ɑ,BR,ĩ,BR411
6859,7.312101502066071e-08,ʌ,BR,ĩ,BR411
6852,4.950711840479016e-08,oʊ,BR,ĩ,BR411
6853,0.9999985694885254,u,BR,ĩ,BR411
6858,3.3291422596448683e-07,ʊ,BR,ĩ,BR411
7641,6.772533538423886e-07,i,BR,ĩ,BR417
7647,7.042586247507643e-08,ɪ,BR,ĩ,BR417
7640,8.570944509678213e-10,eɪ,BR,ĩ,BR417
7646,8.034236677231495e-16,ɛ,BR,ĩ,BR417
7644,1.105357342115476e-12,æ,BR,ĩ,BR417
7645,3.442009344212238e-09,ɑ,BR,ĩ,BR417
7649,1.279383798902245e-08,ʌ,BR,ĩ,BR417
7642,3.347272325981976e-08,oʊ,BR,ĩ,BR417
7643,0.999998927116394,u,BR,ĩ,BR417
7648,1.947922498857224e-07,ʊ,BR,ĩ,BR417
8121,0.9999949932098389,i,BR,ĩ,BR504
8127,2.2464645610398293e-07,ɪ,BR,ĩ,BR504
8120,5.900250812373997e-07,eɪ,BR,ĩ,BR504
8126,3.124743797044971e-10,ɛ,BR,ĩ,BR504
8124,2.8288283715482976e-07,æ,BR,ĩ,BR504
8125,1.8335029494664923e-08,ɑ,BR,ĩ,BR504
8129,2.695331458024697e-10,ʌ,BR,ĩ,BR504
8122,1.7475645930353778e-10,oʊ,BR,ĩ,BR504
8123,3.9724445741740055e-06,u,BR,ĩ,BR504
8128,6.796663058750152e-12,ʊ,BR,ĩ,BR504
7361,0.00011418060603318736,i,BR,ĩ,BR510
7367,0.9998847246170044,ɪ,BR,ĩ,BR510
7360,3.434843520722097e-08,eɪ,BR,ĩ,BR510
7366,1.7432459031851977e-08,ɛ,BR,ĩ,BR510
7364,3.406334242450626e-11,æ,BR,ĩ,BR510
7365,2.6597562693964072e-11,ɑ,BR,ĩ,BR510
7369,1.5302771316783037e-07,ʌ,BR,ĩ,BR510
7362,2.7158866315276677e-14,oʊ,BR,ĩ,BR510
7363,8.764972108110669e-07,u,BR,ĩ,BR510
7368,1.695885032404476e-08,ʊ,BR,ĩ,BR510
7061,6.598341428798449e-07,i,BR,ĩ,BR559
7067,3.391370739791455e-08,ɪ,BR,ĩ,BR559
7060,1.7271009067343357e-09,eɪ,BR,ĩ,BR559
7066,1.3153770514281083e-15,ɛ,BR,ĩ,BR559
7064,4.037172939702627e-12,æ,BR,ĩ,BR559
7065,4.203298153981905e-09,ɑ,BR,ĩ,BR559
7069,1.1825148860111767e-08,ʌ,BR,ĩ,BR559
7062,8.912282112305547e-08,oʊ,BR,ĩ,BR559
7063,0.9999991655349731,u,BR,ĩ,BR559
7068,1.4552944094248232e-07,ʊ,BR,ĩ,BR559
8041,0.9999920129776001,i,BR,ĩ,BR648
8047,7.392421139229555e-06,ɪ,BR,ĩ,BR648
8040,9.87264314744607e-08,eɪ,BR,ĩ,BR648
8046,6.117446105236013e-09,ɛ,BR,ĩ,BR648
8044,1.6959192805643397e-07,æ,BR,ĩ,BR648
