,probabilities,classification,language,vowel,file
0,0.7101501921599129,i,BR,i,BR132
1,0.09079128196020281,ɪ,BR,i,BR132
2,4.962825029508622e-05,eɪ,BR,i,BR132
3,0.09770992628622016,ɛ,BR,i,BR132
4,4.652798496707078e-05,æ,BR,i,BR132
5,1.0590432685342322e-05,ɑ,BR,i,BR132
6,3.9383111147222974e-07,ʌ,BR,i,BR132
7,0.00013515067697245705,oʊ,BR,i,BR132
8,1.8683180070409047e-05,u,BR,i,BR132
9,0.10108765276104152,ʊ,BR,i,BR132
10,0.30017044067286774,i,BR,i,BR329
11,0.4210542672614679,ɪ,BR,i,BR329
12,5.012503605945286e-07,eɪ,BR,i,BR329
13,3.8343950313257563e-07,ɛ,BR,i,BR329
14,5.131799183266672e-07,æ,BR,i,BR329
15,4.186157363103224e-07,ɑ,BR,i,BR329
16,8.814964216152453e-06,ʌ,BR,i,BR329
17,3.227757984843255e-07,oʊ,BR,i,BR329
18,0.2787620856765149,u,BR,i,BR329
19,2.2741728061403004e-06,ʊ,BR,i,BR329
20,0.799998868641211,i,BR,i,BR373
21,0.17647386244920246,ɪ,BR,i,BR373
22,2.4856319084776166e-06,eɪ,BR,i,BR373
23,0.023521423471037008,ɛ,BR,i,BR373
24,1.2196486167681542e-07,æ,BR,i,BR373
25,8.662280219992602e-07,ɑ,BR,i,BR373
26,5.583311197708204e-10,ʌ,BR,i,BR373
27,1.891996154071767e-06,oʊ,BR,i,BR373
28,4.0489192844094314e-07,u,BR,i,BR373
29,5.771803912492395e-08,ʊ,BR,i,BR373
30,0.1056931434790016,i,BR,i,BR374
31,0.2994054508347858,ɪ,BR,i,BR374
32,1.0237752225763351e-05,eɪ,BR,i,BR374
33,7.115991863489679e-07,ɛ,BR,i,BR374
34,2.0749465735750774e-06,æ,BR,i,BR374
35,2.8385242539948324e-07,ɑ,BR,i,BR374
36,1.3371403293827021e-06,ʌ,BR,i,BR374
37,0.1999690306493089,oʊ,BR,i,BR374
38,0.3949116198598499,u,BR,i,BR374
39,6.076569252434728e-06,ʊ,BR,i,BR374
40,0.20044889162846177,i,BR,i,BR375
41,0.6993546480143096,ɪ,BR,i,BR375
42,6.19429538607218e-07,eɪ,BR,i,BR375
43,3.5729317159661883e-07,ɛ,BR,i,BR375
44,9.778938815131755e-08,æ,BR,i,BR375
45,4.3706449472695673e-07,ɑ,BR,i,BR375
46,4.1264242241621015e-07,ʌ,BR,i,BR375
47,3.091916977547751e-05,oʊ,BR,i,BR375
48,0.10016340078144455,u,BR,i,BR375
