,probabilities,classification,language,vowel,file
8251,0.969975471496582,i,BR,i,BR132
8257,0.026831500232219696,ɪ,BR,i,BR132
8250,0.0017917894292622805,eɪ,BR,i,BR132
8256,1.786430220818147e-05,ɛ,BR,i,BR132
8254,3.4764486827043584e-06,æ,BR,i,BR132
8255,9.530883637864918e-09,ɑ,BR,i,BR132
8259,1.4909657508610508e-08,ʌ,BR,i,BR132
8252,8.277484653262945e-08,oʊ,BR,i,BR132
8253,0.0005191460950300097,u,BR,i,BR132
8258,0.0008606447954662144,ʊ,BR,i,BR132
7411,0.0004073212039656937,i,BR,i,BR329
7417,5.717101236868416e-10,ɪ,BR,i,BR329
7410,0.917275071144104,eɪ,BR,i,BR329
7416,3.63511487577739e-09,ɛ,BR,i,BR329
7414,4.0021472430312646e-15,æ,BR,i,BR329
7415,5.739477781929736e-10,ɑ,BR,i,BR329
7419,3.5653931196311106e-11,ʌ,BR,i,BR329
7412,0.0015381966950371861,oʊ,BR,i,BR329
7413,0.08077938109636307,u,BR,i,BR329
7418,1.630024226706439e-09,ʊ,BR,i,BR329
8511,0.0031915889121592045,i,BR,i,BR373
8517,0.8917607665061951,ɪ,BR,i,BR373
8510,4.651109338738024e-05,eɪ,BR,i,BR373
8516,0.04254155606031418,ɛ,BR,i,BR373
8514,0.06208663433790207,æ,BR,i,BR373
8515,2.0950283214915544e-05,ɑ,BR,i,BR373
8519,2.939479145425139e-06,ʌ,BR,i,BR373
8512,3.062915610030359e-08,oʊ,BR,i,BR373
8513,1.5427156085934257e-07,u,BR,i,BR373
8518,0.00034873856930062175,ʊ,BR,i,BR373
7631,0.0007964274846017361,i,BR,i,BR374
7637,6.642204564144549e-10,ɪ,BR,i,BR374
7630,0.017007524147629738,eɪ,BR,i,BR374
7636,7.304484100911779e-11,ɛ,BR,i,BR374
7634,6.211558909374401e-14,æ,BR,i,BR374
7635,1.9769411108150337e-10,ɑ,BR,i,BR374
7639,4.4970178691983165e-09,ʌ,BR,i,BR374
7632,0.0017881763633340597,oʊ,BR,i,BR374
7633,0.9804068207740784,u,BR,i,BR374
7638,1.0984987284246017e-06,ʊ,BR,i,BR374
7761,0.006038816645741463,i,BR,i,BR375
7767,0.0003699888475239277,ɪ,BR,i,BR375
7760,0.9932900667190552,eɪ,BR,i,BR375
7766,0.00029623915906995535,ɛ,BR,i,BR375
7764,2.890085393225661e-10,æ,BR,i,BR375
7765,2.2352335538045054e-09,ɑ,BR,i,BR375
7769,1.892458932617469e-11,ʌ,BR,i,BR375
7762,2.6902552008323255e-07,oʊ,BR,i,BR375
7763,4.562345111480681e-06,u,BR,i,BR375
7768,1.1288320500568716e-08,ʊ,BR,i,BR375
7491,0.35672593116760254,i,BR,i,BR452
7497,0.6422941088676453,ɪ,BR,i,BR452
7490,4.068117505084956e-07,eɪ,BR,i,BR452
7496,1.6287926030145172e-07,ɛ,BR,i,BR452
7494,1.1289620260868105e-06,æ,BR,i,BR452
7495,3.698871585541483e-14,ɑ,BR,i,BR452
7499,6.391692730645104e-12,ʌ,BR,i,BR452
7492,2.33864966644624e-14,oʊ,BR,i,BR452
7493,3.792446889860912e-08,u,BR,i,BR452
7498,0.0009782216511666775,ʊ,BR,i,BR452
7171,0.004838153719902039,i,BR,i,BR454
7177,0.6604627966880798,ɪ,BR,i,BR454
7170,4.698934844782343e-06,eɪ,BR,i,BR454
7176,0.005228154361248016,ɛ,BR,i,BR454
7174,0.31696516275405884,æ,BR,i,BR454
7175,3.7311801861505955e-05,ɑ,BR,i,BR454
7179,7.597878720844164e-05,ʌ,BR,i,BR454
7172,6.772611982341914e-08,oʊ,BR,i,BR454
7173,2.0263230453565484e-06,u,BR,i,BR454
7178,0.012385629117488861,ʊ,BR,i,BR454
7791,0.4512269198894501,i,BR,i,BR46
7797,0.0005612463573925197,ɪ,BR,i,BR46
7790,0.5482103824615479,eɪ,BR,i,BR46
7796,6.049199896551727e-07,ɛ,BR,i,BR46
7794,8.095560083843517e-14,æ,BR,i,BR46
7795,7.271898130856679e-15,ɑ,BR,i,BR46
7799,1.8207550242426503e-16,ʌ,BR,i,BR46
7792,2.1593371188344257e-11,oʊ,BR,i,BR46
7793,8.631790819890739e-07,u,BR,i,BR46
7798,9.417310264936418e-10,ʊ,BR,i,BR46
7901,0.737465500831604,i,BR,i,BR47
7907,0.16015492379665375,ɪ,BR,i,BR47
7900,0.10229485481977463,eɪ,BR,i,BR47
7906,8.31937140901573e-05,ɛ,BR,i,BR47
7904,2.675235810656318e-09,æ,BR,i,BR47
7905,3.5815835974090104e-12,ɑ,BR,i,BR47
7909,1.6560844492627402e-12,ʌ,BR,i,BR47
7902,1.5160275812498014e-10,oʊ,BR,i,BR47
7903,8.257085823970556e-07,u,BR,i,BR47
7908,7.707262170697504e-07,ʊ,BR,i,BR47
7301,0.9361217021942139,i,BR,i,BR496
7307,0.06324726343154907,ɪ,BR,i,BR496
7300,5.226529901847243e-05,eɪ,BR,i,BR496
7306,8.943358942303803e-09,ɛ,BR,i,BR496
7304,1.2341039301588808e-09,æ,BR,i,BR496
7305,8.781880366641752e-16,ɑ,BR,i,BR496
7309,4.3290518739191874e-12,ʌ,BR,i,BR496
7302,6.772079641850781e-13,oʊ,BR,i,BR496
7303,1.325768607784994e-06,u,BR,i,BR496
7308,0.0005775459576398134,ʊ,BR,i,BR496
7571,0.9925594329833984,i,BR,i,BR741
7577,0.00014990214549470693,ɪ,BR,i,BR741
7570,3.403677624191914e-07,eɪ,BR,i,BR741
7576,8.318187176385716e-13,ɛ,BR,i,BR741
7574,2.3144836741595398e-11,æ,BR,i,BR741
7575,1.9049334232385787e-17,ɑ,BR,i,BR741
7579,2.104171220942974e-12,ʌ,BR,i,BR741
7572,6.754053154429951e-13,oʊ,BR,i,BR741
7573,0.000141742973937653,u,BR,i,BR741
7578,0.007148550823330879,ʊ,BR,i,BR741
8321,0.9569516777992249,i,BR,i,BR742
8327,9.67183368629776e-05,ɪ,BR,i,BR742
8320,0.011562298983335495,eɪ,BR,i,BR742
8326,1.2280260364150308e-08,ɛ,BR,i,BR742
8324,1.9817415763956348e-10,æ,BR,i,BR742
8325,1.0829112780108563e-11,ɑ,BR,i,BR742
8329,9.918351695503702e-10,ʌ,BR,i,BR742
8322,4.459907643195038e-07,oʊ,BR,i,BR742
8323,0.031055985018610954,u,BR,i,BR742
8328,0.0003327730519231409,ʊ,BR,i,BR742
7811,0.8729014992713928,i,BR,i,BR757
7817,0.00015388043539132923,ɪ,BR,i,BR757
7810,0.1231708824634552,eɪ,BR,i,BR757
7816,6.007954198139487e-06,ɛ,BR,i,BR757
7814,8.843736853947348e-10,æ,BR,i,BR757
7815,3.4957650107969584e-09,ɑ,BR,i,BR757
7819,1.3445213692397928e-11,ʌ,BR,i,BR757
7812,5.076635147815978e-07,oʊ,BR,i,BR757
7813,0.0037666375283151865,u,BR,i,BR757
7818,5.258691544440808e-07,ʊ,BR,i,BR757
6731,0.9994292855262756,i,BR,i,BR796
6737,0.0005656036664731801,ɪ,BR,i,BR796
6730,4.8096003411046695e-06,eɪ,BR,i,BR796
6736,1.5016854426619375e-09,ɛ,BR,i,BR796
6734,1.4126645166145924e-11,æ,BR,i,BR796
6735,4.952330062657181e-16,ɑ,BR,i,BR796
6739,5.0068441767001814e-17,ʌ,BR,i,BR796
6732,7.477221458369963e-15,oʊ,BR,i,BR796
6733,2.8224920356478833e-07,u,BR,i,BR796
6738,1.3403749221652106e-07,ʊ,BR,i,BR796
7651,0.11577162891626358,i,BR,i,BR99
7657,0.8842052221298218,ɪ,BR,i,BR99
7650,1.8730281681200722e-06,eɪ,BR,i,BR99
7656,1.1318828001094516e-05,ɛ,BR,i,BR99
7654,2.3038287508825306e-06,æ,BR,i,BR99
7655,1.2518616785556214e-12,ɑ,BR,i,BR99
7659,4.580908135459749e-13,ʌ,BR,i,BR99
7652,1.879118029528195e-14,oʊ,BR,i,BR99
7653,1.763065249349438e-09,u,BR,i,BR99
7658,7.647746315342374e-06,ʊ,BR,i,BR99
7331,0.8028851747512817,i,BR,i,BR992
7337,0.0016562065575271845,ɪ,BR,i,BR992
7330,0.08608518540859222,eɪ,BR,i,BR992
7336,7.984242984093726e-05,ɛ,BR,i,BR992
7334,2.0858665266132448e-06,æ,BR,i,BR992
7335,4.119092409382574e-06,ɑ,BR,i,BR992
7339,7.698013746448851e-07,ʌ,BR,i,BR992
7332,0.0002416921779513359,oʊ,BR,i,BR992
7333,0.10843251645565033,u,BR,i,BR992
7338,0.0006123323109932244,ʊ,BR,i,BR992
7821,0.0003038317081518471,i,BR,ĩ,BR1025
7827,0.9635290503501892,ɪ,BR,ĩ,BR1025
7820,0.00023199587303679436,eɪ,BR,ĩ,BR1025
7826,0.0359317809343338,ɛ,BR,ĩ,BR1025
7824,3.402117727091536e-06,æ,BR,ĩ,BR1025
7825,3.75082215287037e-10,ɑ,BR,ĩ,BR1025
7829,2.3492939364710974e-12,ʌ,BR,ĩ,BR1025
7822,5.590768733382268e-13,oʊ,BR,ĩ,BR1025
7823,4.688348667625242e-12,u,BR,ĩ,BR1025
7828,6.529791818365993e-09,ʊ,BR,ĩ,BR1025
7031,0.04464387893676758,i,BR,ĩ,BR1029
7037,0.944673478603363,ɪ,BR,ĩ,BR1029
7030,0.0011293408460915089,eɪ,BR,ĩ,BR1029
7036,0.009249350987374783,ɛ,BR,ĩ,BR1029
7034,0.0002530520432628691,æ,BR,ĩ,BR1029
7035,2.033129504752651e-07,ɑ,BR,ĩ,BR1029
7039,2.672942933656941e-08,ʌ,BR,ĩ,BR1029
7032,7.031901283482966e-09,oʊ,BR,ĩ,BR1029
7033,6.432363761632587e-07,u,BR,ĩ,BR1029
7038,4.9966904043685645e-05,ʊ,BR,ĩ,BR1029
7801,0.58493971824646,i,BR,ĩ,BR154
7807,0.4149540960788727,ɪ,BR,ĩ,BR154
7800,5.830960799357854e-05,eɪ,BR,ĩ,BR154
7806,7.463494512194302e-06,ɛ,BR,ĩ,BR154
7804,4.910212396680436e-07,æ,BR,ĩ,BR154
7805,2.646632045466557e-12,ɑ,BR,ĩ,BR154
7809,3.870746605183495e-12,ʌ,BR,ĩ,BR154
7802,1.5985051823874663e-12,oʊ,BR,ĩ,BR154
7803,1.631523787182232e-07,u,BR,ĩ,BR154
7808,3.974777428084053e-05,ʊ,BR,ĩ,BR154
7521,0.15396623313426971,i,BR,ĩ,BR158
7527,0.8456175327301025,ɪ,BR,ĩ,BR158
7520,2.720946952194936e-07,eɪ,BR,ĩ,BR158
7526,2.0432516976143233e-06,ɛ,BR,ĩ,BR158
7524,2.0107789168832824e-05,æ,BR,ĩ,BR158
7525,2.3274743677498266e-12,ɑ,BR,ĩ,BR158
7529,1.5785294946168982e-11,ʌ,BR,ĩ,BR158
7522,6.53895814990528e-14,oʊ,BR,ĩ,BR158
7523,1.5547470866295043e-08,u,BR,ĩ,BR158
7528,0.0003937135625164956,ʊ,BR,ĩ,BR158
8541,0.9637243151664734,i,BR,ĩ,BR159
8547,0.03372574597597122,ɪ,BR,ĩ,BR159
8540,5.4837088100612164e-05,eɪ,BR,ĩ,BR159
8546,1.2381120768623077e-06,ɛ,BR,ĩ,BR159
8544,2.2845345029054442e-06,æ,BR,ĩ,BR159
8545,1.936815013925397e-10,ɑ,BR,ĩ,BR159
8549,1.4940285675280052e-09,ʌ,BR,ĩ,BR159
8542,1.0237243275312835e-09,oʊ,BR,ĩ,BR159
8543,7.65672157285735e-05,u,BR,ĩ,BR159
8548,0.002415127120912075,ʊ,BR,ĩ,BR159
7001,0.013086696155369282,i,BR,ĩ,BR264
