,probabilities,classification,language,vowel,file
0,0.9903900325298309,i,BR,i,BR132
1,0.007863784030678273,ɪ,BR,i,BR132
2,0.0009438262373563756,eɪ,BR,i,BR132
3,0.00010093668461008823,ɛ,BR,i,BR132
4,5.85982677437924e-06,æ,BR,i,BR132
5,8.400427676004408e-08,ɑ,BR,i,BR132
6,3.753918008354731e-05,ʌ,BR,i,BR132
7,6.80840545493637e-07,oʊ,BR,i,BR132
8,0.0004257064139437477,u,BR,i,BR132
9,0.00023161152881883023,ʊ,BR,i,BR132
10,0.002878377723922175,i,BR,i,BR329
11,1.999630198867762e-05,ɪ,BR,i,BR329
12,0.638185791739852,eɪ,BR,i,BR329
13,0.0003352047775562362,ɛ,BR,i,BR329
14,2.4806047449418272e-06,æ,BR,i,BR329
15,8.030059575763754e-06,ɑ,BR,i,BR329
16,0.0005767769897773778,ʌ,BR,i,BR329
17,0.21417775399104358,oʊ,BR,i,BR329
18,0.14363720982355516,u,BR,i,BR329
19,0.00017838827427354525,ʊ,BR,i,BR329
20,0.21387280553071827,i,BR,i,BR373
21,0.09967161601214511,ɪ,BR,i,BR373
22,0.24714341447470362,eɪ,BR,i,BR373
23,0.1657848309090793,ɛ,BR,i,BR373
24,0.02697119814491042,æ,BR,i,BR373
25,0.011315570211160659,ɑ,BR,i,BR373
26,0.03126634066132531,ʌ,BR,i,BR373
27,0.0010115719711055453,oʊ,BR,i,BR373
28,0.2021290207701254,u,BR,i,BR373
29,0.0008335876501197493,ʊ,BR,i,BR373
30,0.008012834687902733,i,BR,i,BR374
31,0.025694067645439654,ɪ,BR,i,BR374
32,0.26484417234446483,eɪ,BR,i,BR374
33,9.922624396870106e-06,ɛ,BR,i,BR374
34,7.309439903643438e-06,æ,BR,i,BR374
35,0.00152380960820331,ɑ,BR,i,BR374
36,0.033675211163672406,ʌ,BR,i,BR374
37,0.3318082480076929,oʊ,BR,i,BR374
38,0.33434281498703056,u,BR,i,BR374
39,8.161786863966203e-05,ʊ,BR,i,BR374
40,0.011051410725471588,i,BR,i,BR375
41,0.000246242793355599,ɪ,BR,i,BR375
42,0.7902131152281072,eɪ,BR,i,BR375
43,0.00043553840668336484,ɛ,BR,i,BR375
44,7.35444105111144e-07,æ,BR,i,BR375
45,0.0012609863616908506,ɑ,BR,i,BR375
46,0.07724156717854955,ʌ,BR,i,BR375
47,0.1019774326195005,oʊ,BR,i,BR375
48,0.017515132741164043,u,BR,i,BR375
49,5.781935020163114e-05,ʊ,BR,i,BR375
50,0.6090669292563688,i,BR,i,BR452
51,0.10669388342583126,ɪ,BR,i,BR452
52,0.008206811571941579,eɪ,BR,i,BR452
53,0.001071124940777783,ɛ,BR,i,BR452
54,0.015842572853319234,æ,BR,i,BR452
55,0.004748120014912727,ɑ,BR,i,BR452
56,0.001796057722733652,ʌ,BR,i,BR452
57,0.0032021302149125527,oʊ,BR,i,BR452
58,0.1548135707192802,u,BR,i,BR452
59,0.09455877918017244,ʊ,BR,i,BR452
60,0.7529467597836629,i,BR,i,BR454
61,0.1452798692045803,ɪ,BR,i,BR454
62,0.007506584681276405,eɪ,BR,i,BR454
63,0.043570743832140234,ɛ,BR,i,BR454
64,0.04568319875677955,æ,BR,i,BR454
65,9.843618762343722e-05,ɑ,BR,i,BR454
66,1.6448539523704313e-05,ʌ,BR,i,BR454
67,1.5413670847889998e-06,oʊ,BR,i,BR454
68,0.002600848546921935,u,BR,i,BR454
69,0.0022955804590770717,ʊ,BR,i,BR454
70,0.6983552724123001,i,BR,i,BR46
71,0.03661462685409445,ɪ,BR,i,BR46
72,0.16735869967837969,eɪ,BR,i,BR46
73,0.0006622882664687807,ɛ,BR,i,BR46
74,0.0002984682114423039,æ,BR,i,BR46
75,1.5895082294909062e-07,ɑ,BR,i,BR46
76,2.5005494132592166e-05,ʌ,BR,i,BR46
77,3.238845469242899e-06,oʊ,BR,i,BR46
78,0.09400472602147544,u,BR,i,BR46
79,0.002677509478917471,ʊ,BR,i,BR46
80,0.7657011568546295,i,BR,i,BR47
81,0.1577338701435565,ɪ,BR,i,BR47
82,0.020378546063207624,eɪ,BR,i,BR47
83,0.017686730941133953,ɛ,BR,i,BR47
84,5.265093647036892e-05,æ,BR,i,BR47
85,1.4031472635283814e-05,ɑ,BR,i,BR47
86,0.0009436203535185398,ʌ,BR,i,BR47
87,0.00015744372995968526,oʊ,BR,i,BR47
88,0.03212792774579681,u,BR,i,BR47
89,0.005204052917684611,ʊ,BR,i,BR47
90,0.6532213702099398,i,BR,i,BR496
91,0.2209241713125067,ɪ,BR,i,BR496
92,0.0013474711328654713,eɪ,BR,i,BR496
93,0.001619386752394916,ɛ,BR,i,BR496
94,0.009185592094137609,æ,BR,i,BR496
95,0.001150471352746208,ɑ,BR,i,BR496
96,0.0008051672846568471,ʌ,BR,i,BR496
97,0.00020927778522416697,oʊ,BR,i,BR496
98,0.10882549490301227,u,BR,i,BR496
99,0.0027116259345489613,ʊ,BR,i,BR496
100,0.88891635350883,i,BR,i,BR741
101,0.07598986866630636,ɪ,BR,i,BR741
102,0.0002501086433312564,eɪ,BR,i,BR741
103,0.0001512093670096467,ɛ,BR,i,BR741
104,0.0034607401032743304,æ,BR,i,BR741
105,0.002427136685776452,ɑ,BR,i,BR741
106,0.0021475473950810517,ʌ,BR,i,BR741
107,0.0006261765493344622,oʊ,BR,i,BR741
108,0.005133947454646646,u,BR,i,BR741
109,0.020896922217968742,ʊ,BR,i,BR741
110,0.8886812224984169,i,BR,i,BR742
111,0.000916661920620358,ɪ,BR,i,BR742
112,0.02666419376640331,eɪ,BR,i,BR742
113,2.937048308927666e-05,ɛ,BR,i,BR742
114,2.1156081464929805e-05,æ,BR,i,BR742
115,9.946855961870802e-07,ɑ,BR,i,BR742
116,1.1267739941413438e-06,ʌ,BR,i,BR742
117,1.5088864799137102e-06,oʊ,BR,i,BR742
118,0.08359036248234586,u,BR,i,BR742
119,9.339207381995373e-05,ʊ,BR,i,BR742
120,0.9495021522045135,i,BR,i,BR757
121,0.00517082057806416,ɪ,BR,i,BR757
122,0.0393401118541078,eɪ,BR,i,BR757
123,2.53426791813e-05,ɛ,BR,i,BR757
124,0.0005276627657090111,æ,BR,i,BR757
125,1.7740493464396545e-07,ɑ,BR,i,BR757
126,0.002768897382625392,ʌ,BR,i,BR757
127,1.793990723462942e-06,oʊ,BR,i,BR757
128,0.002249659088602092,u,BR,i,BR757
129,0.00041338578520007483,ʊ,BR,i,BR757
130,0.9245757967233658,i,BR,i,BR796
131,0.02124330118300574,ɪ,BR,i,BR796
132,0.0045281833500128476,eɪ,BR,i,BR796
133,0.000142707325079872,ɛ,BR,i,BR796
134,0.00015042537654675448,æ,BR,i,BR796
135,0.00048101220086196764,ɑ,BR,i,BR796
136,0.0008238145947441998,ʌ,BR,i,BR796
137,0.0006125506996197082,oʊ,BR,i,BR796
138,0.0408601797636308,u,BR,i,BR796
139,0.006582042267625263,ʊ,BR,i,BR796
140,0.8113373599946498,i,BR,i,BR99
141,0.18795673570330204,ɪ,BR,i,BR99
142,0.00047270184409171277,eɪ,BR,i,BR99
143,8.688217694161869e-05,ɛ,BR,i,BR99
144,7.79076143403723e-06,æ,BR,i,BR99
145,4.6094484207534604e-08,ɑ,BR,i,BR99
146,1.4551452689915283e-05,ʌ,BR,i,BR99
147,4.180366234453433e-08,oʊ,BR,i,BR99
148,8.934602326301129e-05,u,BR,i,BR99
149,3.454435626311109e-05,ʊ,BR,i,BR99
150,0.8859301567077636,i,BR,i,BR992
151,0.0005513848298960274,ɪ,BR,i,BR992
152,0.01460466956054914,eɪ,BR,i,BR992
153,0.00011995912816219294,ɛ,BR,i,BR992
154,1.0760172424573167e-05,æ,BR,i,BR992
155,4.5531648449948816e-07,ɑ,BR,i,BR992
156,4.4035117985500845e-06,ʌ,BR,i,BR992
157,5.117901167576281e-05,oʊ,BR,i,BR992
