,probabilities,classification,language,vowel,file
8251,0.9975270628929138,i,BR,i,BR132
8257,0.00010861892951652408,ɪ,BR,i,BR132
8250,0.0023289902601391077,eɪ,BR,i,BR132
8256,5.384274572861614e-06,ɛ,BR,i,BR132
8254,1.2026482032467811e-08,æ,BR,i,BR132
8255,4.2594015212671366e-06,ɑ,BR,i,BR132
8259,7.206793828373748e-09,ʌ,BR,i,BR132
8252,1.2003014582262495e-08,oʊ,BR,i,BR132
8253,2.468628554197494e-05,u,BR,i,BR132
8258,1.0170267614739714e-06,ʊ,BR,i,BR132
7411,0.035178426653146744,i,BR,i,BR329
7417,0.9292939305305481,ɪ,BR,i,BR329
7410,0.0009298904915340245,eɪ,BR,i,BR329
7416,0.03444837033748627,ɛ,BR,i,BR329
7414,1.3780345398117788e-06,æ,BR,i,BR329
7415,3.657220020159002e-07,ɑ,BR,i,BR329
7419,6.896838840475539e-06,ʌ,BR,i,BR329
7412,2.470731601533771e-07,oʊ,BR,i,BR329
7413,7.312533125514165e-05,u,BR,i,BR329
7418,6.738651427440345e-05,ʊ,BR,i,BR329
8511,0.9910491704940796,i,BR,i,BR373
8517,0.000702439749147743,ɪ,BR,i,BR373
8510,0.008159809745848179,eɪ,BR,i,BR373
8516,6.208916602190584e-05,ɛ,BR,i,BR373
8514,9.007086743118009e-11,æ,BR,i,BR373
8515,3.152085814583927e-10,ɑ,BR,i,BR373
8519,2.966339396337503e-10,ʌ,BR,i,BR373
8512,1.242249747512858e-09,oʊ,BR,i,BR373
8513,2.6317196898162365e-05,u,BR,i,BR373
8518,4.666845399015074e-08,ʊ,BR,i,BR373
7631,0.9476414918899536,i,BR,i,BR374
7637,0.017452113330364227,ɪ,BR,i,BR374
7630,0.03317992389202118,eɪ,BR,i,BR374
7636,0.0012564628850668669,ɛ,BR,i,BR374
7634,3.056843524973374e-07,æ,BR,i,BR374
7635,3.847556399705354e-06,ɑ,BR,i,BR374
7639,5.32464264324517e-06,ʌ,BR,i,BR374
7632,4.779231943530249e-08,oʊ,BR,i,BR374
7633,0.00040111562702804804,u,BR,i,BR374
7638,5.9276495449012145e-05,ʊ,BR,i,BR374
7761,0.5053481459617615,i,BR,i,BR375
7767,0.4275437295436859,ɪ,BR,i,BR375
7760,0.007232497911900282,eɪ,BR,i,BR375
7766,0.049455635249614716,ɛ,BR,i,BR375
7764,8.450212085620024e-09,æ,BR,i,BR375
7765,1.780087544034359e-08,ɑ,BR,i,BR375
7769,3.103398853454564e-07,ʌ,BR,i,BR375
7762,3.6568073937814916e-06,oʊ,BR,i,BR375
7763,0.010372813791036606,u,BR,i,BR375
7768,4.328398790676147e-05,ʊ,BR,i,BR375
7491,0.36711809039115906,i,BR,i,BR452
7497,0.24660097062587738,ɪ,BR,i,BR452
7490,0.10348187386989594,eɪ,BR,i,BR452
7496,0.09444203227758408,ɛ,BR,i,BR452
7494,0.01678657718002796,æ,BR,i,BR452
7495,0.013461613096296787,ɑ,BR,i,BR452
7499,0.025913376361131668,ʌ,BR,i,BR452
7492,0.05284028872847557,oʊ,BR,i,BR452
7493,0.026988154277205467,u,BR,i,BR452
7498,0.0523669496178627,ʊ,BR,i,BR452
7171,0.9930287003517151,i,BR,i,BR454
7177,0.0021844743750989437,ɪ,BR,i,BR454
7170,1.7783919474823051e-06,eɪ,BR,i,BR454
7176,2.7427877284935676e-05,ɛ,BR,i,BR454
7174,2.3970986307020326e-10,æ,BR,i,BR454
7175,2.5641320178237947e-08,ɑ,BR,i,BR454
7179,5.912912115491054e-07,ʌ,BR,i,BR454
7172,3.703275197608491e-08,oʊ,BR,i,BR454
7173,0.003117054235190153,u,BR,i,BR454
7178,0.0016399862943217158,ʊ,BR,i,BR454
7791,0.15916353464126587,i,BR,i,BR46
7797,0.23734575510025024,ɪ,BR,i,BR46
7790,0.1908288300037384,eɪ,BR,i,BR46
7796,0.13797184824943542,ɛ,BR,i,BR46
7794,0.15201525390148163,æ,BR,i,BR46
7795,0.04643970727920532,ɑ,BR,i,BR46
7799,0.023171262815594673,ʌ,BR,i,BR46
7792,0.022653738036751747,oʊ,BR,i,BR46
7793,0.005118514411151409,u,BR,i,BR46
7798,0.025291552767157555,ʊ,BR,i,BR46
7901,0.2792321443557739,i,BR,i,BR47
7907,0.2615157663822174,ɪ,BR,i,BR47
7900,0.12618038058280945,eɪ,BR,i,BR47
7906,0.11570166796445847,ɛ,BR,i,BR47
7904,0.03339880332350731,æ,BR,i,BR47
7905,0.022106707096099854,ɑ,BR,i,BR47
7909,0.041259732097387314,ʌ,BR,i,BR47
7902,0.04470198228955269,oʊ,BR,i,BR47
7903,0.008343961089849472,u,BR,i,BR47
7908,0.06755891442298889,ʊ,BR,i,BR47
7301,0.9943568110466003,i,BR,i,BR496
7307,0.0009809400653466582,ɪ,BR,i,BR496
7300,1.4390819160325918e-05,eɪ,BR,i,BR496
7306,2.3929602321004495e-05,ɛ,BR,i,BR496
7304,5.611985898212879e-08,æ,BR,i,BR496
7305,9.933690307661891e-05,ɑ,BR,i,BR496
7309,8.569899364374578e-06,ʌ,BR,i,BR496
7302,5.7265598485400915e-08,oʊ,BR,i,BR496
7303,0.003358769929036498,u,BR,i,BR496
7308,0.0011573443189263344,ʊ,BR,i,BR496
7571,0.9999382495880127,i,BR,i,BR741
7577,3.686363197630271e-05,ɪ,BR,i,BR741
7570,1.945964504557196e-05,eɪ,BR,i,BR741
7576,3.7872737834732106e-07,ɛ,BR,i,BR741
7574,1.3241637786265414e-09,æ,BR,i,BR741
7575,4.094763284001601e-08,ɑ,BR,i,BR741
7579,8.487982761096191e-09,ʌ,BR,i,BR741
7572,1.7578317967892332e-10,oʊ,BR,i,BR741
7573,4.828046257898677e-06,u,BR,i,BR741
7578,2.052969705346186e-07,ʊ,BR,i,BR741
8321,0.9999426603317261,i,BR,i,BR742
8327,2.5738302156241843e-06,ɪ,BR,i,BR742
