,probabilities,classification,language,vowel,file
8251,0.9893311262130737,i,BR,i,BR132
8257,6.840583428141533e-06,ɪ,BR,i,BR132
8250,0.010647472548953374,eɪ,BR,i,BR132
8256,6.57171641609608e-09,ɛ,BR,i,BR132
8254,1.461174060538338e-09,æ,BR,i,BR132
8255,1.653769089030622e-09,ɑ,BR,i,BR132
8259,4.851691023185188e-10,ʌ,BR,i,BR132
8252,1.1997342720483986e-05,oʊ,BR,i,BR132
8253,2.5526758245687412e-06,u,BR,i,BR132
8258,1.2450837980767145e-09,ʊ,BR,i,BR132
7411,0.00011288068804020668,i,BR,i,BR329
7417,0.9993487477302552,ɪ,BR,i,BR329
7410,9.337269075051501e-05,eɪ,BR,i,BR329
7416,0.0003573946323988331,ɛ,BR,i,BR329
7414,1.3133159043050227e-07,æ,BR,i,BR329
7415,8.031118243201854e-08,ɑ,BR,i,BR329
7419,7.339193759534624e-05,ʌ,BR,i,BR329
7412,5.166556589664139e-07,oʊ,BR,i,BR329
7413,1.0460745421742023e-06,u,BR,i,BR329
7418,1.2427443574836162e-05,ʊ,BR,i,BR329
8511,0.9999408602714539,i,BR,i,BR373
8517,3.4506749988449937e-06,ɪ,BR,i,BR373
8510,2.1742574708127906e-05,eɪ,BR,i,BR373
8516,1.100865983945376e-06,ɛ,BR,i,BR373
8514,1.2473152570162762e-09,æ,BR,i,BR373
8515,1.1584180578566196e-09,ɑ,BR,i,BR373
8519,4.5826764742764616e-08,ʌ,BR,i,BR373
8512,1.0528386386604236e-06,oʊ,BR,i,BR373
8513,4.159112063629588e-06,u,BR,i,BR373
8518,2.756898760196691e-05,ʊ,BR,i,BR373
7631,3.8483149103760785e-06,i,BR,i,BR374
7637,0.99992995262146,ɪ,BR,i,BR374
7630,3.0944918562868937e-05,eɪ,BR,i,BR374
7636,7.634011915476112e-07,ɛ,BR,i,BR374
7634,6.170418585717823e-10,æ,BR,i,BR374
7635,1.4215562828350906e-09,ɑ,BR,i,BR374
7639,2.6492719740508067e-06,ʌ,BR,i,BR374
7632,7.885666330779787e-09,oʊ,BR,i,BR374
7633,5.061560165372443e-07,u,BR,i,BR374
7638,3.132133853353242e-05,ʊ,BR,i,BR374
7761,5.97457276627189e-05,i,BR,i,BR375
7767,0.30600068178027867,ɪ,BR,i,BR375
7760,0.6929587259888649,eɪ,BR,i,BR375
7766,0.000121567933071276,ɛ,BR,i,BR375
7764,2.1965009624135955e-05,æ,BR,i,BR375
7765,2.981320787010123e-05,ɑ,BR,i,BR375
