,probabilities,classification,language,vowel,file
8251,0.9899479150772095,i,BR,i,BR132
8257,0.009989546611905098,ɪ,BR,i,BR132
8250,4.767279460793361e-05,eɪ,BR,i,BR132
8256,6.488234703283524e-06,ɛ,BR,i,BR132
8254,1.863787417732965e-07,æ,BR,i,BR132
8255,6.255628792750656e-10,ɑ,BR,i,BR132
8259,1.164081886440016e-10,ʌ,BR,i,BR132
8252,8.397378792324162e-09,oʊ,BR,i,BR132
8253,7.65888125897618e-06,u,BR,i,BR132
8258,4.87010765937157e-07,ʊ,BR,i,BR132
7411,0.09490356594324112,i,BR,i,BR329
7417,0.004455089569091797,ɪ,BR,i,BR329
7410,0.899983823299408,eɪ,BR,i,BR329
7416,1.1117359463241883e-05,ɛ,BR,i,BR329
7414,0.0001763176842359826,æ,BR,i,BR329
7415,1.3567100722866599e-06,ɑ,BR,i,BR329
7419,3.6084642488276586e-05,ʌ,BR,i,BR329
7412,5.164067624718882e-05,oʊ,BR,i,BR329
7413,0.00024602696066722274,u,BR,i,BR329
7418,0.00013512597070075572,ʊ,BR,i,BR329
8511,0.06390119343996048,i,BR,i,BR373
8517,0.0002424725389573723,ɪ,BR,i,BR373
8510,0.9356953501701355,eɪ,BR,i,BR373
8516,3.6961063187845866e-07,ɛ,BR,i,BR373
8514,7.408321835100651e-05,æ,BR,i,BR373
8515,2.1986971887599793e-07,ɑ,BR,i,BR373
8519,1.1218794497835916e-06,ʌ,BR,i,BR373
8512,6.584558832400944e-06,oʊ,BR,i,BR373
8513,7.082850061124191e-05,u,BR,i,BR373
8518,7.81398921390064e-06,ʊ,BR,i,BR373
7631,0.10924805700778961,i,BR,i,BR374
7637,0.0036389161832630634,ɪ,BR,i,BR374
7630,0.8857713341712952,eɪ,BR,i,BR374
7636,2.587780727481004e-05,ɛ,BR,i,BR374
7634,0.0008336635073646903,æ,BR,i,BR374
7635,5.987762961012777e-06,ɑ,BR,i,BR374
7639,5.77038481424097e-05,ʌ,BR,i,BR374
7632,5.522857827600092e-05,oʊ,BR,i,BR374
