,probabilities,classification,language,vowel,file
0,0.6815265655517578,i,BR,i,BR132
1,0.25905560068786143,ɪ,BR,i,BR132
2,0.0116255411470774,eɪ,BR,i,BR132
3,0.0006425724363907481,ɛ,BR,i,BR132
4,0.0005672904480888771,æ,BR,i,BR132
5,0.01377517133951182,ɑ,BR,i,BR132
6,0.0021882258501136403,ʌ,BR,i,BR132
7,0.0006239341928448584,oʊ,BR,i,BR132
8,0.008326303958892767,u,BR,i,BR132
9,0.021668817871250152,ʊ,BR,i,BR132
10,0.04894648813642555,i,BR,i,BR329
11,0.8023462474346161,ɪ,BR,i,BR329
12,0.0680078281089663,eɪ,BR,i,BR329
13,0.051063067093491496,ɛ,BR,i,BR329
14,0.00487375629600132,æ,BR,i,BR329
15,0.00658515840768809,ɑ,BR,i,BR329
16,0.00046293263148976,ʌ,BR,i,BR329
17,0.00647257406380954,oʊ,BR,i,BR329
18,0.010191983636468598,u,BR,i,BR329
19,0.00104996398731594,ʊ,BR,i,BR329
20,0.8163190305233001,i,BR,i,BR373
21,0.18157716803252694,ɪ,BR,i,BR373
22,0.00041400380287082584,eɪ,BR,i,BR373
23,0.00023932258300189859,ɛ,BR,i,BR373
24,2.855603804086115e-07,æ,BR,i,BR373
25,4.2722756443680516e-08,ɑ,BR,i,BR373
26,7.890101727525689e-07,ʌ,BR,i,BR373
27,2.658253038134717e-07,oʊ,BR,i,BR373
28,0.0014211014844476698,u,BR,i,BR373
29,2.8016707256028893e-05,ʊ,BR,i,BR373
30,0.2634134262800217,i,BR,i,BR374
31,0.7234558507800102,ɪ,BR,i,BR374
32,0.01046635027742009,eɪ,BR,i,BR374
33,0.00011729806628862376,ɛ,BR,i,BR374
34,4.7305954865350944e-06,æ,BR,i,BR374
35,1.1362370145207023e-06,ɑ,BR,i,BR374
36,1.0409971264380146e-05,ʌ,BR,i,BR374
37,1.553847096147365e-06,oʊ,BR,i,BR374
38,0.0020978139713406,u,BR,i,BR374
39,0.00043139618355775994,ʊ,BR,i,BR374
40,0.14159619743004442,i,BR,i,BR375
41,0.7842577680945396,ɪ,BR,i,BR375
42,0.01157182047609234,eɪ,BR,i,BR375
43,0.01026974474661978,ɛ,BR,i,BR375
44,0.00012776850089718462,æ,BR,i,BR375
45,0.0007694425905355755,ɑ,BR,i,BR375
46,9.680028088040086e-05,ʌ,BR,i,BR375
47,0.0005635892302961479,oʊ,BR,i,BR375
48,0.04886687761172649,u,BR,i,BR375
49,0.0018800046935211299,ʊ,BR,i,BR375
50,0.4411205887794495,i,BR,i,BR452
51,0.2907546117901802,ɪ,BR,i,BR452
52,0.0039621754724066096,eɪ,BR,i,BR452
53,0.0064445638330653,ɛ,BR,i,BR452
54,0.00114677925594146,æ,BR,i,BR452
55,0.006667881680186789,ɑ,BR,i,BR452
56,0.0037198510253801504,ʌ,BR,i,BR452
57,0.0037381613510660203,oʊ,BR,i,BR452
58,0.16337205618619918,u,BR,i,BR452
59,0.07907332964241501,ʊ,BR,i,BR452
60,0.19141991659998892,i,BR,i,BR454
61,0.026426648115739183,ɪ,BR,i,BR454
62,0.00013113538564083613,eɪ,BR,i,BR454
63,0.00120732635259624,ɛ,BR,i,BR454
64,2.1082531270616335e-05,æ,BR,i,BR454
65,0.0016189658839720702,ɑ,BR,i,BR454
66,0.0034354277653619097,ʌ,BR,i,BR454
67,0.0009647042432333799,oʊ,BR,i,BR454
68,0.33448787182569506,u,BR,i,BR454
69,0.4402869217097759,ʊ,BR,i,BR454
70,0.2131270943209529,i,BR,i,BR46
71,0.6540172681212425,ɪ,BR,i,BR46
72,0.027999151265248608,eɪ,BR,i,BR46
73,0.012799357797484803,ɛ,BR,i,BR46
74,0.07100236229598518,æ,BR,i,BR46
75,0.00489838114008303,ɑ,BR,i,BR46
76,0.0034875286393798296,ʌ,BR,i,BR46
77,0.0004677844918205386,oʊ,BR,i,BR46
78,0.0028255841403733396,u,BR,i,BR46
79,0.009375478501897263,ʊ,BR,i,BR46
80,0.7736890494823456,i,BR,i,BR47
81,0.15513506457209586,ɪ,BR,i,BR47
82,0.01538310209289189,eɪ,BR,i,BR47
83,0.00306522751925507,ɛ,BR,i,BR47
84,0.00824499877635384,æ,BR,i,BR47
85,0.01564494075719262,ɑ,BR,i,BR47
86,0.00660113471094514,ʌ,BR,i,BR47
87,0.0009658083312387893,oʊ,BR,i,BR47
88,0.007855120045132901,u,BR,i,BR47
