,probabilities,classification,language,vowel,file
8251,0.9980291724205017,i,BR,i,BR132
8257,0.0018160507315769792,ɪ,BR,i,BR132
8250,0.00010597088112263009,eɪ,BR,i,BR132
8256,1.3631795070523367e-07,ɛ,BR,i,BR132
8254,1.2821899098014455e-10,æ,BR,i,BR132
8255,2.0447827459024737e-11,ɑ,BR,i,BR132
8259,3.4025800840081777e-12,ʌ,BR,i,BR132
8252,1.303661036899939e-07,oʊ,BR,i,BR132
8253,4.8045920266304165e-05,u,BR,i,BR132
8258,4.680563847614394e-07,ʊ,BR,i,BR132
7411,0.006156440824270248,i,BR,i,BR329
7417,0.00016219170356635004,ɪ,BR,i,BR329
7410,0.0073445080779492855,eɪ,BR,i,BR329
7416,1.71160700119799e-05,ɛ,BR,i,BR329
7414,6.949171802261844e-05,æ,BR,i,BR329
7415,0.01650465838611126,ɑ,BR,i,BR329
7419,0.01128433272242546,ʌ,BR,i,BR329
7412,0.06896889209747314,oʊ,BR,i,BR329
7413,0.15625497698783875,u,BR,i,BR329
7418,0.7332373261451721,ʊ,BR,i,BR329
8511,0.013650218024849892,i,BR,i,BR373
8517,1.395618892274797e-05,ɪ,BR,i,BR373
8510,0.04821288213133812,eɪ,BR,i,BR373
8516,1.4823388028162299e-06,ɛ,BR,i,BR373
8514,4.082252053194679e-05,æ,BR,i,BR373
8515,0.013261325657367706,ɑ,BR,i,BR373
8519,0.0007318984717130661,ʌ,BR,i,BR373
8512,0.225724458694458,oʊ,BR,i,BR373
8513,0.34980615973472595,u,BR,i,BR373
8518,0.3485567271709442,ʊ,BR,i,BR373
7631,0.0013191234320402145,i,BR,i,BR374
7637,4.3986628952552564e-06,ɪ,BR,i,BR374
7630,0.00803860928863287,eɪ,BR,i,BR374
7636,1.0439374591442174e-06,ɛ,BR,i,BR374
7634,5.326528844307177e-05,æ,BR,i,BR374
7635,0.008096810430288315,ɑ,BR,i,BR374
7639,0.0011656065471470356,ʌ,BR,i,BR374
7632,0.6356359720230103,oʊ,BR,i,BR374
7633,0.15677347779273987,u,BR,i,BR374
7638,0.18891167640686035,ʊ,BR,i,BR374
7761,0.017100542783737183,i,BR,i,BR375
7767,0.00022652321786154062,ɪ,BR,i,BR375
7760,0.14636550843715668,eɪ,BR,i,BR375
7766,3.82564976462163e-05,ɛ,BR,i,BR375
7764,0.000751859974116087,æ,BR,i,BR375
7765,0.020699946209788322,ɑ,BR,i,BR375
7769,0.007113829255104065,ʌ,BR,i,BR375
7762,0.4118117094039917,oʊ,BR,i,BR375
7763,0.1082955002784729,u,BR,i,BR375
7768,0.28759634494781494,ʊ,BR,i,BR375
7491,0.0001361286995233968,i,BR,i,BR452
7497,4.4109714281148626e-07,ɪ,BR,i,BR452
7490,2.7457909368422406e-07,eɪ,BR,i,BR452
7496,8.992045441580387e-10,ɛ,BR,i,BR452
7494,6.267684704575061e-10,æ,BR,i,BR452
7495,3.8513778122251097e-07,ɑ,BR,i,BR452
7499,1.678709260488631e-08,ʌ,BR,i,BR452
7492,1.0808577144416631e-06,oʊ,BR,i,BR452
7493,0.9995719790458679,u,BR,i,BR452
7498,0.00028967903926968575,ʊ,BR,i,BR452
7171,0.9971502423286438,i,BR,i,BR454
7177,0.0023731940891593695,ɪ,BR,i,BR454
7170,3.419955464778468e-05,eɪ,BR,i,BR454
7176,8.250916039287404e-08,ɛ,BR,i,BR454
7174,7.229032650268863e-11,æ,BR,i,BR454
7175,2.360215495267326e-11,ɑ,BR,i,BR454
7179,3.67547572238669e-12,ʌ,BR,i,BR454
7172,1.0457245736006371e-07,oʊ,BR,i,BR454
7173,0.0004410044348333031,u,BR,i,BR454
7178,1.0309971685273922e-06,ʊ,BR,i,BR454
7791,0.989769697189331,i,BR,i,BR46
7797,0.010155399329960346,ɪ,BR,i,BR46
7790,2.6402552975923754e-05,eɪ,BR,i,BR46
7796,5.149533990334021e-07,ɛ,BR,i,BR46
7794,1.235068575189402e-10,æ,BR,i,BR46
7795,6.654728851307468e-12,ɑ,BR,i,BR46
7799,3.312380751629984e-12,ʌ,BR,i,BR46
7792,5.476902842360687e-08,oʊ,BR,i,BR46
7793,4.761010859510861e-05,u,BR,i,BR46
7798,2.957235949452297e-07,ʊ,BR,i,BR46
7901,0.9578495621681213,i,BR,i,BR47
7907,0.04208601638674736,ɪ,BR,i,BR47
7900,3.027030106750317e-05,eɪ,BR,i,BR47
7906,4.597764927893877e-06,ɛ,BR,i,BR47
7904,5.756711773940992e-10,æ,BR,i,BR47
7905,1.3674815620146052e-11,ɑ,BR,i,BR47
7909,2.2505788899174206e-11,ʌ,BR,i,BR47
7902,8.389437056166571e-08,oʊ,BR,i,BR47
7903,2.8965276214876212e-05,u,BR,i,BR47
7908,4.891847424914886e-07,ʊ,BR,i,BR47
7301,0.08628004789352417,i,BR,i,BR496
7307,0.00017303696949966252,ɪ,BR,i,BR496
7300,3.7431687815114856e-05,eɪ,BR,i,BR496
7306,2.995835757246823e-08,ɛ,BR,i,BR496
7304,3.6138174674960055e-09,æ,BR,i,BR496
7305,6.972119592774106e-08,ɑ,BR,i,BR496
7309,1.885524847367037e-09,ʌ,BR,i,BR496
7302,3.5109248983644648e-06,oʊ,BR,i,BR496
7303,0.9133579134941101,u,BR,i,BR496
7308,0.00014799465134274215,ʊ,BR,i,BR496
7571,0.9993301630020142,i,BR,i,BR741
7577,0.00038785426295362413,ɪ,BR,i,BR741
7570,0.00011624580656643957,eɪ,BR,i,BR741
7576,4.2234809427554865e-08,ɛ,BR,i,BR741
7574,6.116306766612567e-11,æ,BR,i,BR741
