,probabilities,classification,language,vowel,file
8251,0.8953344106674195,i,BR,i,BR132
8257,0.0907857294077985,ɪ,BR,i,BR132
8250,0.009251791843200862,eɪ,BR,i,BR132
8256,0.0004916883109018499,ɛ,BR,i,BR132
8254,4.953673170409769e-06,æ,BR,i,BR132
8255,5.541023126191574e-07,ɑ,BR,i,BR132
8259,1.3376473537242895e-06,ʌ,BR,i,BR132
8252,0.00023304405146080677,oʊ,BR,i,BR132
8253,0.0037765372109788585,u,BR,i,BR132
8258,0.00011998644617676746,ʊ,BR,i,BR132
7411,0.08221317172647105,i,BR,i,BR329
7417,0.0016720630537520264,ɪ,BR,i,BR329
7410,0.21945433088976643,eɪ,BR,i,BR329
7416,0.0005685404663285709,ɛ,BR,i,BR329
7414,0.0007936401431194895,æ,BR,i,BR329
7415,0.004108865460963807,ɑ,BR,i,BR329
7419,0.001502620010217015,ʌ,BR,i,BR329
7412,0.1680259355198359,oʊ,BR,i,BR329
7413,0.3533634951778136,u,BR,i,BR329
7418,0.16829734938132787,ʊ,BR,i,BR329
8511,0.19361890585537367,i,BR,i,BR373
8517,0.006428251395888651,ɪ,BR,i,BR373
8510,0.21962297392816482,eɪ,BR,i,BR373
8516,9.516867263181793e-06,ɛ,BR,i,BR373
8514,2.8362522819150305e-05,æ,BR,i,BR373
8515,0.002830404738014947,ɑ,BR,i,BR373
8519,0.0001506310307443748,ʌ,BR,i,BR373
8512,0.2010420302292914,oʊ,BR,i,BR373
8513,0.3076934693483054,u,BR,i,BR373
8518,0.06857547828421957,ʊ,BR,i,BR373
7631,0.1261001058956026,i,BR,i,BR374
7637,0.0003103422597689587,ɪ,BR,i,BR374
7630,0.07729826589481945,eɪ,BR,i,BR374
7636,2.4854202563595606e-06,ɛ,BR,i,BR374
7634,6.69401294555172e-06,æ,BR,i,BR374
7635,0.0016126348174463705,ɑ,BR,i,BR374
7639,0.00018449606022959004,ʌ,BR,i,BR374
7632,0.3002432602907902,oʊ,BR,i,BR374
7633,0.35937450073543004,u,BR,i,BR374
7638,0.13486722673484194,ʊ,BR,i,BR374
7761,0.17980109944473951,i,BR,i,BR375
7767,0.0007869527241012974,ɪ,BR,i,BR375
7760,0.2623974200745579,eɪ,BR,i,BR375
7766,3.284395898046632e-05,ɛ,BR,i,BR375
7764,0.00010891816877032224,æ,BR,i,BR375
7765,0.004895600994857002,ɑ,BR,i,BR375
7769,0.0008821050899618732,ʌ,BR,i,BR375
7762,0.32375135896922985,oʊ,BR,i,BR375
7763,0.16571162456930325,u,BR,i,BR375
7768,0.06163203774289707,ʊ,BR,i,BR375
7491,0.07741996226504852,i,BR,i,BR452
7497,0.020756569427433293,ɪ,BR,i,BR452
7490,8.488589931632262e-06,eɪ,BR,i,BR452
7496,0.0014203854027496834,ɛ,BR,i,BR452
7494,1.3003881121284587e-07,æ,BR,i,BR452
7495,2.2345772010368136e-05,ɑ,BR,i,BR452
7499,0.0019653630332954085,ʌ,BR,i,BR452
7492,3.680196793993673e-05,oʊ,BR,i,BR452
7493,0.8064277097582817,u,BR,i,BR452
7498,0.09194223918457282,ʊ,BR,i,BR452
7171,0.5484478429603769,i,BR,i,BR454
7177,0.05038397878431056,ɪ,BR,i,BR454
7170,0.06853049364294113,eɪ,BR,i,BR454
7176,0.01334328437154742,ɛ,BR,i,BR454
7174,0.00024698325218478547,æ,BR,i,BR454
7175,0.0011301652460166966,ɑ,BR,i,BR454
7179,0.014222961575144947,ʌ,BR,i,BR454
7172,0.001623844395897933,oʊ,BR,i,BR454
7173,0.26161477108253167,u,BR,i,BR454
7178,0.040455707891013756,ʊ,BR,i,BR454
7791,0.8799304969608783,i,BR,i,BR46
7797,0.020785698475083336,ɪ,BR,i,BR46
7790,0.08682229387045481,eɪ,BR,i,BR46
7796,0.0001076092534105344,ɛ,BR,i,BR46
7794,7.488973278652836e-05,æ,BR,i,BR46
7795,6.89688872188344e-06,ɑ,BR,i,BR46
7799,0.004026438774921821,ʌ,BR,i,BR46
7792,4.4967385644079094e-05,oʊ,BR,i,BR46
7793,0.008040425682702334,u,BR,i,BR46
7798,0.00016026122242411843,ʊ,BR,i,BR46
7901,0.9554983854293824,i,BR,i,BR47
7907,0.040567441249731925,ɪ,BR,i,BR47
7900,0.0004878903473581886,eɪ,BR,i,BR47
7906,7.732828673506775e-05,ɛ,BR,i,BR47
7904,8.952277693858798e-07,æ,BR,i,BR47
7905,1.351204976119541e-07,ɑ,BR,i,BR47
