,probabilities,classification,language,vowel,file
8251,0.9522440433502197,i,BR,i,BR132
8257,0.01355956681072712,ɪ,BR,i,BR132
8250,0.02461535669863224,eɪ,BR,i,BR132
8256,0.004047665745019913,ɛ,BR,i,BR132
8254,0.00015667137631680816,æ,BR,i,BR132
8255,0.0002452039625495672,ɑ,BR,i,BR132
8259,8.98473008419387e-05,ʌ,BR,i,BR132
8252,8.978832738648634e-06,oʊ,BR,i,BR132
8253,0.003949920181185007,u,BR,i,BR132
8258,0.0010829641250893474,ʊ,BR,i,BR132
7411,0.04504217952489853,i,BR,i,BR329
7417,0.7657075524330139,ɪ,BR,i,BR329
7410,0.03882908076047897,eɪ,BR,i,BR329
7416,0.129948228597641,ɛ,BR,i,BR329
7414,0.004625961184501648,æ,BR,i,BR329
7415,0.0008622223394922912,ɑ,BR,i,BR329
7419,0.0017682384932413697,ʌ,BR,i,BR329
7412,0.00045023689744994044,oʊ,BR,i,BR329
7413,0.00815870612859726,u,BR,i,BR329
7418,0.00460761459544301,ʊ,BR,i,BR329
8511,0.917899489402771,i,BR,i,BR373
8517,0.06910116225481033,ɪ,BR,i,BR373
8510,0.0045325662940740585,eɪ,BR,i,BR373
8516,0.0018784322310239077,ɛ,BR,i,BR373
8514,4.908831215288956e-06,æ,BR,i,BR373
8515,1.1062564908570494e-06,ɑ,BR,i,BR373
8519,1.0407835361547768e-05,ʌ,BR,i,BR373
8512,3.4304839573451318e-06,oʊ,BR,i,BR373
8513,0.006261458620429039,u,BR,i,BR373
8518,0.0003070330712944269,ʊ,BR,i,BR373
7631,0.7777060866355896,i,BR,i,BR374
7637,0.2031603902578354,ɪ,BR,i,BR374
7630,0.007048581726849079,eɪ,BR,i,BR374
7636,0.0016875562723726034,ɛ,BR,i,BR374
7634,1.2638995940505993e-05,æ,BR,i,BR374
7635,3.133428890578216e-06,ɑ,BR,i,BR374
7639,2.5810219085542485e-05,ʌ,BR,i,BR374
7632,6.365075478242943e-06,oʊ,BR,i,BR374
7633,0.009036310948431492,u,BR,i,BR374
7638,0.0013130418956279755,ʊ,BR,i,BR374
7761,0.2788916528224945,i,BR,i,BR375
7767,0.575615644454956,ɪ,BR,i,BR375
7760,0.01812404952943325,eɪ,BR,i,BR375
7766,0.0917196050286293,ɛ,BR,i,BR375
7764,0.00015443972370121628,æ,BR,i,BR375
7765,7.009928958723322e-05,ɑ,BR,i,BR375
7769,0.0010824220953509212,ʌ,BR,i,BR375
7762,0.00010954435128951445,oʊ,BR,i,BR375
7763,0.030687643215060234,u,BR,i,BR375
7768,0.00354494946077466,ʊ,BR,i,BR375
7491,0.6828981637954712,i,BR,i,BR452
7497,0.08349952846765518,ɪ,BR,i,BR452
7490,0.011825787834823132,eɪ,BR,i,BR452
7496,0.00917921680957079,ɛ,BR,i,BR452
7494,0.001406148076057434,æ,BR,i,BR452
7495,0.002480977913364768,ɑ,BR,i,BR452
7499,0.0033114722464233637,ʌ,BR,i,BR452
7492,0.0026660957373678684,oʊ,BR,i,BR452
7493,0.14228354394435883,u,BR,i,BR452
7498,0.060448985546827316,ʊ,BR,i,BR452
7171,0.7360090613365173,i,BR,i,BR454
7177,0.018881434574723244,ɪ,BR,i,BR454
7170,0.00012247184349689633,eɪ,BR,i,BR454
7176,0.0009779040701687336,ɛ,BR,i,BR454
7174,4.46304511569906e-06,æ,BR,i,BR454
7175,4.397090378915891e-05,ɑ,BR,i,BR454
7179,0.0010112294694408774,ʌ,BR,i,BR454
7172,0.00019038240134250373,oʊ,BR,i,BR454
7173,0.18657788634300232,u,BR,i,BR454
7178,0.05618107691407204,ʊ,BR,i,BR454
7791,0.7079678773880005,i,BR,i,BR46
7797,0.16473352909088135,ɪ,BR,i,BR46
7790,0.08704425394535065,eɪ,BR,i,BR46
7796,0.020263681188225746,ɛ,BR,i,BR46
7794,0.0045500812120735645,æ,BR,i,BR46
7795,0.001981027191504836,ɑ,BR,i,BR46
7799,0.001205103239044547,ʌ,BR,i,BR46
7792,0.00015422642172779888,oʊ,BR,i,BR46
7793,0.004659674130380154,u,BR,i,BR46
7798,0.007440636400133371,ʊ,BR,i,BR46
7901,0.8995994329452515,i,BR,i,BR47
7907,0.04852905496954918,ɪ,BR,i,BR47
7900,0.029443763196468353,eɪ,BR,i,BR47
7906,0.00514128478243947,ɛ,BR,i,BR47
7904,0.0016774326795712113,æ,BR,i,BR47
7905,0.0013391041429713368,ɑ,BR,i,BR47
7909,0.0007263952284120023,ʌ,BR,i,BR47
7902,0.00023146880266722292,oʊ,BR,i,BR47
7903,0.006942058447748423,u,BR,i,BR47
7908,0.00636995630338788,ʊ,BR,i,BR47
7301,0.7406620979309082,i,BR,i,BR496
7307,0.04728347808122635,ɪ,BR,i,BR496
7300,0.0006455365219153464,eɪ,BR,i,BR496
7306,0.005246336106210947,ɛ,BR,i,BR496
7304,6.142575875855982e-05,æ,BR,i,BR496
7305,0.0008747070678509772,ɑ,BR,i,BR496
7309,0.006910013500601053,ʌ,BR,i,BR496
7302,6.684716208837926e-05,oʊ,BR,i,BR496
7303,0.10907334089279175,u,BR,i,BR496
7308,0.0891762524843216,ʊ,BR,i,BR496
7571,0.9920991659164429,i,BR,i,BR741
7577,0.006941080093383789,ɪ,BR,i,BR741
7570,8.092405187198892e-05,eɪ,BR,i,BR741
7576,0.000284809764707461,ɛ,BR,i,BR741
7574,7.929234016046394e-07,æ,BR,i,BR741
7575,1.4921959063940449e-06,ɑ,BR,i,BR741
7579,1.159323346655583e-05,ʌ,BR,i,BR741
7572,4.8451873624344444e-08,oʊ,BR,i,BR741
7573,0.00041184137808158994,u,BR,i,BR741
7578,0.00016830013191793114,ʊ,BR,i,BR741
8321,0.9967645406723022,i,BR,i,BR742
8327,0.0024834866635501385,ɪ,BR,i,BR742
8320,0.0005413526087068021,eɪ,BR,i,BR742
8326,5.2157258323859423e-05,ɛ,BR,i,BR742
8324,1.1633657095444505e-06,æ,BR,i,BR742
8325,2.4815187771309866e-07,ɑ,BR,i,BR742
8329,1.6015757182685775e-06,ʌ,BR,i,BR742
8322,1.5279070453289023e-07,oʊ,BR,i,BR742
8323,0.00012479021097533405,u,BR,i,BR742
8328,3.0479777706204914e-05,ʊ,BR,i,BR742
7811,0.9836273193359375,i,BR,i,BR757
7817,0.004138566553592682,ɪ,BR,i,BR757
7810,0.008356220088899136,eɪ,BR,i,BR757
7816,0.0008176028495654464,ɛ,BR,i,BR757
7814,5.926119047217071e-05,æ,BR,i,BR757
7815,7.535275653935969e-05,ɑ,BR,i,BR757
7819,0.00010774921247502789,ʌ,BR,i,BR757
7812,2.045351720880717e-05,oʊ,BR,i,BR757
7813,0.001865146216005087,u,BR,i,BR757
7818,0.0009323129779659212,ʊ,BR,i,BR757
6731,0.9082744121551514,i,BR,i,BR796
6737,0.027541227638721466,ɪ,BR,i,BR796
6730,0.00611100485548377,eɪ,BR,i,BR796
6736,0.0031620259396731853,ɛ,BR,i,BR796
6734,5.9344096371205524e-05,æ,BR,i,BR796
6735,0.00013628129090648144,ɑ,BR,i,BR796
6739,0.000471841252874583,ʌ,BR,i,BR796
6732,0.00014630291843786836,oʊ,BR,i,BR796
6733,0.042660146951675415,u,BR,i,BR796
6738,0.01143738068640232,ʊ,BR,i,BR796
7651,0.9573033452033997,i,BR,i,BR99
7657,0.009013570845127106,ɪ,BR,i,BR99
7650,0.02889758162200451,eɪ,BR,i,BR99
7656,0.0018473104573786259,ɛ,BR,i,BR99
7654,0.00015108771913219243,æ,BR,i,BR99
7655,0.00039058172842487693,ɑ,BR,i,BR99
7659,9.920696174958721e-05,ʌ,BR,i,BR99
7652,7.413006187562132e-06,oʊ,BR,i,BR99
7653,0.0015238458290696144,u,BR,i,BR99
7658,0.000765959033742547,ʊ,BR,i,BR99
7331,0.9770998954772949,i,BR,i,BR992
7337,0.0022271000780165195,ɪ,BR,i,BR992
7330,0.002160327974706888,eɪ,BR,i,BR992
7336,0.00024447363102808595,ɛ,BR,i,BR992
7334,7.36843139748089e-06,æ,BR,i,BR992
7335,3.3341904781991616e-05,ɑ,BR,i,BR992
7339,7.370290404651314e-05,ʌ,BR,i,BR992
7332,2.8194761398481205e-05,oʊ,BR,i,BR992
7333,0.016205791383981705,u,BR,i,BR992
7338,0.0019198685185983777,ʊ,BR,i,BR992
7821,0.8938414454460144,i,BR,ĩ,BR1025
7827,0.013877139426767826,ɪ,BR,ĩ,BR1025
7820,0.08246024698019028,eɪ,BR,ĩ,BR1025
7826,0.00038930290611460805,ɛ,BR,ĩ,BR1025
7824,7.402365008601919e-05,æ,BR,ĩ,BR1025
7825,8.072411583270878e-05,ɑ,BR,ĩ,BR1025
7829,2.34273875321378e-06,ʌ,BR,ĩ,BR1025
7822,3.3973334211623296e-05,oʊ,BR,ĩ,BR1025
7823,0.008907685056328773,u,BR,ĩ,BR1025
7828,0.0003330008185002953,ʊ,BR,ĩ,BR1025
7031,0.8167446851730347,i,BR,ĩ,BR1029
7037,0.019888294860720634,ɪ,BR,ĩ,BR1029
7030,0.010574890300631523,eɪ,BR,ĩ,BR1029
7036,0.0005900776595808566,ɛ,BR,ĩ,BR1029
7034,0.00011144512245664373,æ,BR,ĩ,BR1029
7035,0.000108471664134413,ɑ,BR,ĩ,BR1029
7039,2.3479613446397707e-05,ʌ,BR,ĩ,BR1029
7032,0.0007602119585499167,oʊ,BR,ĩ,BR1029
7033,0.1452266424894333,u,BR,ĩ,BR1029
7038,0.005971893668174744,ʊ,BR,ĩ,BR1029
7801,0.8369174599647522,i,BR,ĩ,BR154
7807,0.02884684130549431,ɪ,BR,ĩ,BR154
7800,0.10657330602407455,eɪ,BR,ĩ,BR154
7806,0.0062815784476697445,ɛ,BR,ĩ,BR154
7804,0.0006384610314853489,æ,BR,ĩ,BR154
7805,0.0008735487353987992,ɑ,BR,ĩ,BR154
7809,0.0004349379742052406,ʌ,BR,ĩ,BR154
7802,0.00015915758558548987,oʊ,BR,ĩ,BR154
7803,0.015545952133834362,u,BR,ĩ,BR154
7808,0.003728767391294241,ʊ,BR,ĩ,BR154
7521,0.3892258405685425,i,BR,ĩ,BR158
7527,0.09583091735839844,ɪ,BR,ĩ,BR158
7520,0.3284964859485626,eɪ,BR,ĩ,BR158
7526,0.15333838760852814,ɛ,BR,ĩ,BR158
7524,0.018044086173176765,æ,BR,ĩ,BR158
7525,0.009571190923452377,ɑ,BR,ĩ,BR158
7529,0.0027239592745900154,ʌ,BR,ĩ,BR158
7522,5.1177939894841984e-05,oʊ,BR,ĩ,BR158
7523,0.000955381547100842,u,BR,ĩ,BR158
7528,0.0017625115578994155,ʊ,BR,ĩ,BR158
8541,0.4069799780845642,i,BR,ĩ,BR159
8547,0.024340426549315453,ɪ,BR,ĩ,BR159
8540,0.43447819352149963,eɪ,BR,ĩ,BR159
8546,0.042066868394613266,ɛ,BR,ĩ,BR159
8544,0.01676628738641739,æ,BR,ĩ,BR159
8545,0.03918377310037613,ɑ,BR,ĩ,BR159
8549,0.007719696499407291,ʌ,BR,ĩ,BR159
8542,0.0008868774166330695,oʊ,BR,ĩ,BR159
8543,0.013634040020406246,u,BR,ĩ,BR159
8548,0.013943791389465332,ʊ,BR,ĩ,BR159
7001,0.46539443731307983,i,BR,ĩ,BR264
7007,0.011097287759184837,ɪ,BR,ĩ,BR264
7000,0.038874704390764236,eɪ,BR,ĩ,BR264
7006,0.0009809108451008797,ɛ,BR,ĩ,BR264
7004,0.00012886135664302856,æ,BR,ĩ,BR264
7005,0.00015873693337198347,ɑ,BR,ĩ,BR264
7009,5.916791997151449e-05,ʌ,BR,ĩ,BR264
7002,0.0008562978473491967,oʊ,BR,ĩ,BR264
7003,0.4787321388721466,u,BR,ĩ,BR264
7008,0.0037174660246819258,ʊ,BR,ĩ,BR264
6851,0.021470975130796432,i,BR,ĩ,BR411
6857,0.002021660329774022,ɪ,BR,ĩ,BR411
6850,0.0003291884786449373,eɪ,BR,ĩ,BR411
6856,9.80925415206002e-06,ɛ,BR,ĩ,BR411
6854,1.3240410225989763e-06,æ,BR,ĩ,BR411
6855,3.9658090827288106e-05,ɑ,BR,ĩ,BR411
6859,6.1206569625937846e-06,ʌ,BR,ĩ,BR411
6852,0.00046717983786948025,oʊ,BR,ĩ,BR411
6853,0.9684739708900452,u,BR,ĩ,BR411
6858,0.007180023472756147,ʊ,BR,ĩ,BR411
7641,0.003241319674998522,i,BR,ĩ,BR417
7647,0.003133880440145731,ɪ,BR,ĩ,BR417
7640,0.006671528797596693,eɪ,BR,ĩ,BR417
7646,0.0002077629033010453,ɛ,BR,ĩ,BR417
7644,0.00019268106552772224,æ,BR,ĩ,BR417
7645,0.0002524634764995426,ɑ,BR,ĩ,BR417
7649,0.00023973509087227285,ʌ,BR,ĩ,BR417
7642,0.00887040700763464,oʊ,BR,ĩ,BR417
7643,0.9365073442459106,u,BR,ĩ,BR417
7648,0.040683019906282425,ʊ,BR,ĩ,BR417
8121,0.6849634051322937,i,BR,ĩ,BR504
8127,0.002616389188915491,ɪ,BR,ĩ,BR504
8120,0.0008510940824635327,eɪ,BR,ĩ,BR504
8126,0.0006335225771181285,ɛ,BR,ĩ,BR504
8124,3.58325160050299e-05,æ,BR,ĩ,BR504
8125,0.0046478575095534325,ɑ,BR,ĩ,BR504
8129,0.0012286785058677197,ʌ,BR,ĩ,BR504
8122,0.00045272166607901454,oʊ,BR,ĩ,BR504
8123,0.2755551040172577,u,BR,ĩ,BR504
8128,0.029015539214015007,ʊ,BR,ĩ,BR504
7361,0.5547224879264832,i,BR,ĩ,BR510
7367,0.042278118431568146,ɪ,BR,ĩ,BR510
7360,0.00529781449586153,eɪ,BR,ĩ,BR510
7366,0.002900621620938182,ɛ,BR,ĩ,BR510
7364,0.0005227987421676517,æ,BR,ĩ,BR510
7365,0.0012177665485069156,ɑ,BR,ĩ,BR510
