,probabilities,classification,language,vowel,file
8251,0.8649298548698425,i,BR,i,BR132
8257,0.0735532386849324,ɪ,BR,i,BR132
8250,0.030910802487697866,eɪ,BR,i,BR132
8256,0.008778276626900252,ɛ,BR,i,BR132
8254,0.0017354454798426862,æ,BR,i,BR132
8255,0.001208556611462402,ɑ,BR,i,BR132
8259,0.001557964782629521,ʌ,BR,i,BR132
8252,0.0011581853344885139,oʊ,BR,i,BR132
8253,0.009129024450288625,u,BR,i,BR132
8258,0.0070387041814430834,ʊ,BR,i,BR132
7411,0.409279425525003,i,BR,i,BR329
7417,0.41962842477692497,ɪ,BR,i,BR329
7410,0.07624112198957139,eɪ,BR,i,BR329
7416,0.06974162254482508,ɛ,BR,i,BR329
7414,0.002390493021569758,æ,BR,i,BR329
7415,0.0005698676031897776,ɑ,BR,i,BR329
7419,0.0016312684679936258,ʌ,BR,i,BR329
7412,0.0035261151531610973,oʊ,BR,i,BR329
7413,0.011938993573292263,u,BR,i,BR329
7418,0.005052688937414334,ʊ,BR,i,BR329
8511,0.932058698601193,i,BR,i,BR373
8517,0.04133643784249822,ɪ,BR,i,BR373
8510,0.009050816336336235,eɪ,BR,i,BR373
8516,0.00174892278563574,ɛ,BR,i,BR373
8514,5.566610490682757e-06,æ,BR,i,BR373
8515,1.7492799633009623e-05,ɑ,BR,i,BR373
8519,6.57133430953157e-05,ʌ,BR,i,BR373
8512,0.0002897756579613997,oʊ,BR,i,BR373
8513,0.013458780472218577,u,BR,i,BR373
8518,0.0019677918333198046,ʊ,BR,i,BR373
7631,0.643214719163047,i,BR,i,BR374
7637,0.21728007371226946,ɪ,BR,i,BR374
7630,0.10963802611351842,eɪ,BR,i,BR374
7636,0.008280720298191428,ɛ,BR,i,BR374
7634,0.00011164947402954163,æ,BR,i,BR374
7635,0.000986978929145405,ɑ,BR,i,BR374
7639,0.0005595819986107623,ʌ,BR,i,BR374
7632,0.0016071208635821677,oʊ,BR,i,BR374
7633,0.01527963006325687,u,BR,i,BR374
7638,0.003041462010716916,ʊ,BR,i,BR374
7761,0.26012012486656505,i,BR,i,BR375
7767,0.32940351217985153,ɪ,BR,i,BR375
