,probabilities,classification,language,vowel,file
10727,0.9998434782028198,i,BR,i,BR132
10730,5.7525023294147104e-05,y,BR,i,BR132
10726,5.315534144756384e-05,e,BR,i,BR132
10736,6.869004778309318e-07,ɛ,BR,i,BR132
10737,1.8839543258764024e-08,ɛ̃,BR,i,BR132
10731,3.803552958703271e-11,ø,BR,i,BR132
10732,1.7449696315452456e-05,œ,BR,i,BR132
10725,1.8920107436315448e-07,a,BR,i,BR132
10733,3.2031476538026127e-13,ɑ̃,BR,i,BR132
10728,3.6354824857996737e-13,o,BR,i,BR132
10734,8.770374292262073e-14,ɔ,BR,i,BR132
10735,4.578685347533806e-11,ɔ̃,BR,i,BR132
10729,2.7368445444153622e-05,u,BR,i,BR132
9635,3.51492246863927e-07,i,BR,i,BR329
9638,1.073102023907424e-10,y,BR,i,BR329
9634,0.0009069251827895641,e,BR,i,BR329
9644,1.7340765907647437e-06,ɛ,BR,i,BR329
9645,2.188778671552427e-05,ɛ̃,BR,i,BR329
9639,0.9985363483428955,ø,BR,i,BR329
9640,0.0004939071950502694,œ,BR,i,BR329
9633,3.7583956213893543e-07,a,BR,i,BR329
9641,1.8228257658847724e-07,ɑ̃,BR,i,BR329
9636,2.0664861949626356e-05,o,BR,i,BR329
9642,1.7481681425124407e-05,ɔ,BR,i,BR329
9643,5.555313431493403e-10,ɔ̃,BR,i,BR329
9637,3.8735787910582076e-09,u,BR,i,BR329
11065,0.05198732018470764,i,BR,i,BR373
11068,0.9439241886138916,y,BR,i,BR373
11064,7.528004886125927e-08,e,BR,i,BR373
11074,8.669747330714017e-06,ɛ,BR,i,BR373
11075,2.563444567726947e-08,ɛ̃,BR,i,BR373
11069,1.751313395519094e-13,ø,BR,i,BR373
11070,2.9740675699940766e-08,œ,BR,i,BR373
11063,9.98749237623997e-06,a,BR,i,BR373
11071,3.3974294488814394e-09,ɑ̃,BR,i,BR373
11066,1.49688542810944e-11,o,BR,i,BR373
11072,2.2071660471523202e-11,ɔ,BR,i,BR373
11073,1.8105529306922108e-05,ɔ̃,BR,i,BR373
11067,0.004051683004945517,u,BR,i,BR373
9921,2.269277956656879e-06,i,BR,i,BR374
9924,0.0018846142338588834,y,BR,i,BR374
9920,2.2290234369393147e-07,e,BR,i,BR374
9930,0.9975007176399231,ɛ,BR,i,BR374
9931,1.0870542313523579e-11,ɛ̃,BR,i,BR374
9925,3.9699776799295705e-09,ø,BR,i,BR374
9926,6.846554470030242e-07,œ,BR,i,BR374
9919,6.008012292113563e-07,a,BR,i,BR374
9927,2.4878069382339163e-08,ɑ̃,BR,i,BR374
9922,1.495235937909456e-05,o,BR,i,BR374
9928,8.640068699605763e-05,ɔ,BR,i,BR374
9929,0.0004664830048568547,ɔ̃,BR,i,BR374
9923,4.296350380172953e-05,u,BR,i,BR374
10090,0.9000324010848999,i,BR,i,BR375
10093,0.08004721254110336,y,BR,i,BR375
10089,0.0024043552111834288,e,BR,i,BR375
10099,0.002587907714769244,ɛ,BR,i,BR375
10100,0.0003721997782122344,ɛ̃,BR,i,BR375
10094,9.387266800331417e-06,ø,BR,i,BR375
10095,0.003578487318009138,œ,BR,i,BR375
10088,0.00453540263697505,a,BR,i,BR375
10096,4.3858735807589255e-06,ɑ̃,BR,i,BR375
10091,5.896878860767174e-07,o,BR,i,BR375
10097,1.5411127378683886e-06,ɔ,BR,i,BR375
10098,4.086121407453902e-05,ɔ̃,BR,i,BR375
10092,0.006385426968336105,u,BR,i,BR375
9739,0.9996778964996338,i,BR,i,BR452
9742,0.00021839988767169416,y,BR,i,BR452
9738,3.483085674815811e-05,e,BR,i,BR452
9748,1.1347369763825554e-06,ɛ,BR,i,BR452
9749,3.4703816709225066e-08,ɛ̃,BR,i,BR452
9743,3.7163026128661514e-11,ø,BR,i,BR452
9744,1.4717936210217886e-05,œ,BR,i,BR452
9737,4.942283453601704e-07,a,BR,i,BR452
9745,1.3157542546812784e-12,ɑ̃,BR,i,BR452
9740,6.603004818264702e-13,o,BR,i,BR452
9746,2.5320536140883976e-13,ɔ,BR,i,BR452
9747,2.127230058768248e-10,ɔ̃,BR,i,BR452
9741,5.241512189968489e-05,u,BR,i,BR452
9323,0.9998262524604797,i,BR,i,BR454
9326,7.768422801746055e-05,y,BR,i,BR454
9322,4.6810255298623815e-05,e,BR,i,BR454
9332,6.999949277997075e-07,ɛ,BR,i,BR454
9333,2.8319178113633825e-08,ɛ̃,BR,i,BR454
9327,4.64708202474462e-11,ø,BR,i,BR454
9328,1.8587596059660427e-05,œ,BR,i,BR454
9321,2.767616251730942e-07,a,BR,i,BR454
9329,5.518435643343811e-13,ɑ̃,BR,i,BR454
9324,4.266139037086697e-13,o,BR,i,BR454
9330,1.318483760755565e-13,ɔ,BR,i,BR454
9331,6.592476564648564e-11,ɔ̃,BR,i,BR454
9325,2.9724287742283195e-05,u,BR,i,BR454
10129,0.9998377561569214,i,BR,i,BR46
10132,6.738478987244889e-05,y,BR,i,BR46
10128,4.8222722398350015e-05,e,BR,i,BR46
10138,7.361113603110425e-07,ɛ,BR,i,BR46
10139,1.9103110204810037e-08,ɛ̃,BR,i,BR46
10133,3.416962893187936e-11,ø,BR,i,BR46
10134,1.7155522073153406e-05,œ,BR,i,BR46
10127,2.1150064810626645e-07,a,BR,i,BR46
10135,3.4325320363848277e-13,ɑ̃,BR,i,BR46
10130,3.547847779450386e-13,o,BR,i,BR46
