,probabilities,classification,language,vowel,file
10727,0.3528617585622366,i,BR,i,BR132
10730,0.3251280054532294,y,BR,i,BR132
10726,0.32188601868261046,e,BR,i,BR132
10736,3.280088701964859e-05,ɛ,BR,i,BR132
10737,3.87478730351344e-06,ɛ̃,BR,i,BR132
10731,1.4617416866953328e-05,ø,BR,i,BR132
10732,9.58401899479376e-06,œ,BR,i,BR132
10725,2.1035062957283942e-05,a,BR,i,BR132
10733,4.1811442862553325e-07,ɑ̃,BR,i,BR132
10728,1.1172354506943285e-06,o,BR,i,BR132
10734,3.671460925063983e-06,ɔ,BR,i,BR132
10735,1.0580833274894616e-06,ɔ̃,BR,i,BR132
10729,3.605646107953756e-05,u,BR,i,BR132
9635,0.2259060587599452,i,BR,i,BR329
9638,0.0038277834277653214,y,BR,i,BR329
9634,0.004509022547611412,e,BR,i,BR329
9644,0.13409962359200503,ɛ,BR,i,BR329
9645,0.002243508650502093,ɛ̃,BR,i,BR329
9639,0.11961334792174827,ø,BR,i,BR329
9640,0.1566369212159624,œ,BR,i,BR329
9633,0.006199868847323596,a,BR,i,BR329
9641,0.0006599821372179761,ɑ̃,BR,i,BR329
9636,0.001895542387615029,o,BR,i,BR329
9642,0.23198709080535973,ɔ,BR,i,BR329
9643,0.11186567349083155,ɔ̃,BR,i,BR329
9637,0.0005555765684471035,u,BR,i,BR329
11065,0.2521094243292982,i,BR,i,BR373
11068,0.2295992288558658,y,BR,i,BR373
11064,0.2591689085875555,e,BR,i,BR373
11074,0.006777157694587841,ɛ,BR,i,BR373
11075,1.2715575947747005e-05,ɛ̃,BR,i,BR373
11069,0.002006201388104385,ø,BR,i,BR373
11070,0.02680170231986044,œ,BR,i,BR373
11063,0.000536384906396333,a,BR,i,BR373
11071,0.11178967294908067,ɑ̃,BR,i,BR373
11066,1.6603112181499093e-05,o,BR,i,BR373
11072,9.225418489159257e-05,ɔ,BR,i,BR373
11073,6.457847659002289e-05,ɔ̃,BR,i,BR373
11067,0.11102520432366783,u,BR,i,BR373
9921,0.11480572028402625,i,BR,i,BR374
9924,0.028042405040196172,y,BR,i,BR374
9920,0.24644133153203363,e,BR,i,BR374
9930,0.445726507137945,ɛ,BR,i,BR374
9931,0.004657682464130197,ɛ̃,BR,i,BR374
9925,0.03800240224254767,ø,BR,i,BR374
9926,0.004612398148314842,œ,BR,i,BR374
9919,0.0005581372353889764,a,BR,i,BR374
9927,0.018203144035328148,ɑ̃,BR,i,BR374
9922,0.015204203594429148,o,BR,i,BR374
9928,0.026391397261756946,ɔ,BR,i,BR374
9929,0.04094943587720781,ɔ̃,BR,i,BR374
9923,0.016405255769934613,u,BR,i,BR374
10090,0.10764465903341464,i,BR,i,BR375
10093,0.0506505052951951,y,BR,i,BR375
10089,0.2906199109785192,e,BR,i,BR375
10099,0.21628697105970693,ɛ,BR,i,BR375
10100,5.5282888439080656e-05,ɛ̃,BR,i,BR375
10094,1.5032408179472946e-05,ø,BR,i,BR375
10095,0.0004502022285224585,œ,BR,i,BR375
10088,0.2226388324929443,a,BR,i,BR375
10096,5.99701168993224e-07,ɑ̃,BR,i,BR375
10091,1.3285349795290182e-05,o,BR,i,BR375
10097,0.10729702787064548,ɔ,BR,i,BR375
10098,0.002946951870042718,ɔ̃,BR,i,BR375
10092,0.0013807570794422347,u,BR,i,BR375
