,probabilities,classification,language,vowel,file
10727,0.24128413200378418,i,BR,i,BR132
10730,0.7135853171348572,y,BR,i,BR132
10726,0.001540700439363718,e,BR,i,BR132
10736,0.0030997528228908777,ɛ,BR,i,BR132
10737,5.750965283368714e-05,ɛ̃,BR,i,BR132
10731,0.013945615850389004,ø,BR,i,BR132
10732,0.0028879360761493444,œ,BR,i,BR132
10725,6.197666516527534e-05,a,BR,i,BR132
10733,1.381352103635436e-05,ɑ̃,BR,i,BR132
10728,0.00016959523782134056,o,BR,i,BR132
10734,0.00016227368905674666,ɔ,BR,i,BR132
10735,0.00029995193472132087,ɔ̃,BR,i,BR132
10729,0.02289143018424511,u,BR,i,BR132
9635,0.09758321940898895,i,BR,i,BR329
9638,0.5974584817886353,y,BR,i,BR329
9634,0.0006496120477095246,e,BR,i,BR329
9644,0.0006989604444243014,ɛ,BR,i,BR329
9645,0.0002714627480600029,ɛ̃,BR,i,BR329
9639,0.014295068569481373,ø,BR,i,BR329
9640,0.002996342722326517,œ,BR,i,BR329
9633,0.00020427191338967532,a,BR,i,BR329
9641,0.0001376368891214952,ɑ̃,BR,i,BR329
9636,0.0029732603579759598,o,BR,i,BR329
9642,0.002335597760975361,ɔ,BR,i,BR329
9643,0.01232458557933569,ɔ̃,BR,i,BR329
9637,0.2680715322494507,u,BR,i,BR329
11065,0.3114880323410034,i,BR,i,BR373
11068,0.6379192471504211,y,BR,i,BR373
11064,0.0014806760009378195,e,BR,i,BR373
11074,0.0016274370718747377,ɛ,BR,i,BR373
11075,0.00011476402869448066,ɛ̃,BR,i,BR373
11069,0.011881180107593536,ø,BR,i,BR373
11070,0.0021393930073827505,œ,BR,i,BR373
11063,5.9302601584931836e-05,a,BR,i,BR373
11071,2.4219585611717775e-05,ɑ̃,BR,i,BR373
11066,0.00019916702876798809,o,BR,i,BR373
11072,0.00023769683321006596,ɔ,BR,i,BR373
11073,0.0007444071816280484,ɔ̃,BR,i,BR373
11067,0.03208445385098457,u,BR,i,BR373
9921,0.1963355541229248,i,BR,i,BR374
9924,0.6657405495643616,y,BR,i,BR374
9920,0.0013796350685879588,e,BR,i,BR374
9930,0.0018586092628538609,ɛ,BR,i,BR374
9931,0.00015016520046629012,ɛ̃,BR,i,BR374
9925,0.01576327346265316,ø,BR,i,BR374
9926,0.003089850302785635,œ,BR,i,BR374
9919,0.00011559157428564504,a,BR,i,BR374
9927,6.682593812001869e-05,ɑ̃,BR,i,BR374
9922,0.0009688282152637839,o,BR,i,BR374
9928,0.0007476724567823112,ɔ,BR,i,BR374
9929,0.002524946117773652,ɔ̃,BR,i,BR374
9923,0.11125855892896652,u,BR,i,BR374
10090,0.1545914113521576,i,BR,i,BR375
10093,0.016362329944968224,y,BR,i,BR375
10089,0.19115987420082092,e,BR,i,BR375
10099,0.27266624569892883,ɛ,BR,i,BR375
10100,0.03175107389688492,ɛ̃,BR,i,BR375
10094,0.03993697836995125,ø,BR,i,BR375
10095,0.04971836507320404,œ,BR,i,BR375
10088,0.018254660069942474,a,BR,i,BR375
10096,0.15742537379264832,ɑ̃,BR,i,BR375
10091,0.02257542870938778,o,BR,i,BR375
10097,0.014370549470186234,ɔ,BR,i,BR375
10098,0.0070519461296498775,ɔ̃,BR,i,BR375
10092,0.02413567528128624,u,BR,i,BR375
9739,0.02306436374783516,i,BR,i,BR452
9742,0.9455112814903259,y,BR,i,BR452
9738,5.025346763432026e-05,e,BR,i,BR452
9748,0.00010878823377424851,ɛ,BR,i,BR452
9749,1.5649624401703477e-05,ɛ̃,BR,i,BR452
9743,0.005197907332330942,ø,BR,i,BR452
9744,0.0009161880007013679,œ,BR,i,BR452
9737,3.36160883307457e-05,a,BR,i,BR452
9745,1.1947399798373226e-06,ɑ̃,BR,i,BR452
9740,0.00011856912897201255,o,BR,i,BR452
9746,0.0001598461385583505,ɔ,BR,i,BR452
9747,0.0006632183794863522,ɔ̃,BR,i,BR452
9741,0.024159209802746773,u,BR,i,BR452
9323,0.07185804098844528,i,BR,i,BR454
9326,0.9162900447845459,y,BR,i,BR454
9322,8.398211502935737e-05,e,BR,i,BR454
9332,0.00010311875666957349,ɛ,BR,i,BR454
9333,1.1754802471841685e-05,ɛ̃,BR,i,BR454
9327,0.006432868540287018,ø,BR,i,BR454
9328,0.0007831051480025053,œ,BR,i,BR454
9321,7.997317879926413e-06,a,BR,i,BR454
9329,1.8972363591274188e-07,ɑ̃,BR,i,BR454
9324,1.2082708963134792e-05,o,BR,i,BR454
9330,3.4076470910804346e-05,ɔ,BR,i,BR454
9331,7.292840018635616e-05,ɔ̃,BR,i,BR454
9325,0.004309735260903835,u,BR,i,BR454
10129,0.8678297996520996,i,BR,i,BR46
10132,0.05192379653453827,y,BR,i,BR46
10128,0.03641482815146446,e,BR,i,BR46
10138,0.02892238274216652,ɛ,BR,i,BR46
10139,0.0002444544807076454,ɛ̃,BR,i,BR46
10133,0.00942658819258213,ø,BR,i,BR46
10134,0.0022102470975369215,œ,BR,i,BR46
10127,4.8718640755396336e-05,a,BR,i,BR46
10135,0.0001777798170223832,ɑ̃,BR,i,BR46
10130,5.349032653612085e-05,o,BR,i,BR46
10136,3.487041249172762e-05,ɔ,BR,i,BR46
10137,5.0657676183618605e-05,ɔ̃,BR,i,BR46
10131,0.0026623927988111973,u,BR,i,BR46
10272,0.9494833946228027,i,BR,i,BR47
10275,0.00018023955635726452,y,BR,i,BR47
10271,0.048798926174640656,e,BR,i,BR47
10281,0.001332040294073522,ɛ,BR,i,BR47
10282,0.00013032443530391902,ɛ̃,BR,i,BR47
10276,5.730336852138862e-05,ø,BR,i,BR47
10277,7.94195420894539e-06,œ,BR,i,BR47
10270,3.036849989257462e-07,a,BR,i,BR47
10278,9.359363502881024e-06,ɑ̃,BR,i,BR47
10273,3.6663694302774275e-09,o,BR,i,BR47
10279,1.2217653555524066e-08,ɔ,BR,i,BR47
10280,1.2886391687061405e-07,ɔ̃,BR,i,BR47
10274,2.31427193853051e-07,u,BR,i,BR47
9492,0.018437962979078293,i,BR,i,BR496
9495,0.9572644829750061,y,BR,i,BR496
9491,3.247189670219086e-05,e,BR,i,BR496
9501,0.00016773329116404057,ɛ,BR,i,BR496
9502,3.017293693119427e-06,ɛ̃,BR,i,BR496
9496,0.019962571561336517,ø,BR,i,BR496
9497,0.0037895163986831903,œ,BR,i,BR496
9490,7.002670372457942e-06,a,BR,i,BR496
9498,4.3747743205813094e-09,ɑ̃,BR,i,BR496
9493,2.2273686681728577e-06,o,BR,i,BR496
9499,1.4590837963623926e-05,ɔ,BR,i,BR496
9500,1.2945746448167483e-06,ɔ̃,BR,i,BR496
9494,0.00031716402736492455,u,BR,i,BR496
9843,0.9771419167518616,i,BR,i,BR741
9846,8.577372500440106e-05,y,BR,i,BR741
9842,0.02245340868830681,e,BR,i,BR741
9852,0.00023115174553822726,ɛ,BR,i,BR741
9853,3.9155343984020874e-05,ɛ̃,BR,i,BR741
