,probabilities,classification,language,vowel,file
10727,0.9685572981834412,i,BR,i,BR132
10730,0.0232953280210495,y,BR,i,BR132
10726,0.007603721227496862,e,BR,i,BR132
10736,6.699185905745253e-05,ɛ,BR,i,BR132
10737,1.5019285228845547e-06,ɛ̃,BR,i,BR132
10731,0.0002306375972693786,ø,BR,i,BR132
10732,1.7534499420435168e-05,œ,BR,i,BR132
10725,1.720911484426324e-07,a,BR,i,BR132
10733,6.216504971234826e-06,ɑ̃,BR,i,BR132
10728,4.825517976314586e-07,o,BR,i,BR132
10734,3.914858837106294e-07,ɔ,BR,i,BR132
10735,1.3604990272142459e-05,ɔ̃,BR,i,BR132
10729,0.0002061262057395652,u,BR,i,BR132
9635,0.004512305371463299,i,BR,i,BR329
9638,0.10043416172266006,y,BR,i,BR329
9634,0.0013576800702139735,e,BR,i,BR329
9644,0.002511414000764489,ɛ,BR,i,BR329
9645,0.003238106146454811,ɛ̃,BR,i,BR329
9639,0.025107087567448616,ø,BR,i,BR329
9640,0.030371902510523796,œ,BR,i,BR329
9633,0.0035553351044654846,a,BR,i,BR329
9641,0.004197022411972284,ɑ̃,BR,i,BR329
9636,0.18046684563159943,o,BR,i,BR329
9642,0.08595377206802368,ɔ,BR,i,BR329
9643,0.07482293248176575,ɔ̃,BR,i,BR329
9637,0.4834713637828827,u,BR,i,BR329
11065,0.07334550470113754,i,BR,i,BR373
11068,0.8352853655815125,y,BR,i,BR373
11064,0.0072738598100841045,e,BR,i,BR373
11074,0.004147234372794628,ɛ,BR,i,BR373
11075,0.00016697430692147464,ɛ̃,BR,i,BR373
11069,0.03536813706159592,ø,BR,i,BR373
11070,0.020246684551239014,œ,BR,i,BR373
11063,0.000454107706900686,a,BR,i,BR373
11071,6.928999209776521e-05,ɑ̃,BR,i,BR373
11066,0.0009988603414967656,o,BR,i,BR373
11072,0.0016432582633569837,ɔ,BR,i,BR373
11073,0.0010109646245837212,ɔ̃,BR,i,BR373
11067,0.01998976059257984,u,BR,i,BR373
9921,0.34703707695007324,i,BR,i,BR374
9924,0.11832446604967117,y,BR,i,BR374
9920,0.1048569530248642,e,BR,i,BR374
9930,0.24719968438148499,ɛ,BR,i,BR374
9931,0.007837366312742233,ɛ̃,BR,i,BR374
9925,0.04687052592635155,ø,BR,i,BR374
9926,0.09294142574071884,œ,BR,i,BR374
9919,0.008480553515255451,a,BR,i,BR374
9927,0.007373218424618244,ɑ̃,BR,i,BR374
9922,0.003540424397215247,o,BR,i,BR374
9928,0.00613827258348465,ɔ,BR,i,BR374
9929,0.0013191953767091036,ɔ̃,BR,i,BR374
9923,0.008080843836069107,u,BR,i,BR374
10090,0.017914818599820137,i,BR,i,BR375
10093,0.021294305101037025,y,BR,i,BR375
10089,0.036473266780376434,e,BR,i,BR375
10099,0.3549840450286865,ɛ,BR,i,BR375
10100,0.010223232209682465,ɛ̃,BR,i,BR375
10094,0.08439009636640549,ø,BR,i,BR375
10095,0.37737005949020386,œ,BR,i,BR375
10088,0.020466187968850136,a,BR,i,BR375
10096,0.004586493596434593,ɑ̃,BR,i,BR375
10091,0.023040784522891045,o,BR,i,BR375
10097,0.039631180465221405,ɔ,BR,i,BR375
10098,0.0006035818951204419,ɔ̃,BR,i,BR375
10092,0.009021892212331295,u,BR,i,BR375
9739,0.01640145666897297,i,BR,i,BR452
9742,0.940040647983551,y,BR,i,BR452
9738,0.0015077873831614852,e,BR,i,BR452
9748,0.0034956501331180334,ɛ,BR,i,BR452
9749,8.526150850229897e-06,ɛ̃,BR,i,BR452
9743,0.01541164331138134,ø,BR,i,BR452
9744,0.015235019847750664,œ,BR,i,BR452
9737,9.733878687256947e-05,a,BR,i,BR452
9745,2.803900997605524e-06,ɑ̃,BR,i,BR452
9740,0.00028177330386824906,o,BR,i,BR452
9746,0.00037600239738821983,ɔ,BR,i,BR452
9747,5.5103726481320336e-05,ɔ̃,BR,i,BR452
9741,0.007086354773491621,u,BR,i,BR452
9323,0.004905105102807283,i,BR,i,BR454
9326,0.9872610569000244,y,BR,i,BR454
9322,9.016518743010238e-05,e,BR,i,BR454
9332,4.034579251310788e-05,ɛ,BR,i,BR454
9333,1.1175433201060514e-06,ɛ̃,BR,i,BR454
9327,0.0012377725215628743,ø,BR,i,BR454
9328,0.0004455160815268755,œ,BR,i,BR454
