,probabilities,classification,language,vowel,file
8251,0.772102952003479,i,BR,i,BR132
8257,0.21980907022953033,ɪ,BR,i,BR132
8250,0.005245047155767679,eɪ,BR,i,BR132
8256,0.0006583824870176613,ɛ,BR,i,BR132
8254,8.086013986030594e-05,æ,BR,i,BR132
8255,4.493303549679695e-06,ɑ,BR,i,BR132
8259,0.001298077986575663,ʌ,BR,i,BR132
8252,7.517984340665862e-05,oʊ,BR,i,BR132
8253,0.0006256070919334888,u,BR,i,BR132
8258,0.00010030114208348095,ʊ,BR,i,BR132
7411,0.007691930513828993,i,BR,i,BR329
7417,0.12813986837863922,ɪ,BR,i,BR329
7410,0.003120628884062171,eɪ,BR,i,BR329
7416,0.6486369967460632,ɛ,BR,i,BR329
7414,0.00976813305169344,æ,BR,i,BR329
7415,0.03866608813405037,ɑ,BR,i,BR329
7419,0.12777937948703766,ʌ,BR,i,BR329
7412,0.003600127762183547,oʊ,BR,i,BR329
7413,0.004668268840759993,u,BR,i,BR329
7418,0.02792847529053688,ʊ,BR,i,BR329
8511,0.14555905759334564,i,BR,i,BR373
8517,0.6086544990539551,ɪ,BR,i,BR373
8510,0.002854778664186597,eɪ,BR,i,BR373
8516,0.23155054450035095,ɛ,BR,i,BR373
8514,0.0009125886717811227,æ,BR,i,BR373
8515,5.92313808738254e-05,ɑ,BR,i,BR373
8519,0.009824473410844803,ʌ,BR,i,BR373
8512,1.9595563571783714e-06,oʊ,BR,i,BR373
8513,1.1914323295059148e-05,u,BR,i,BR373
8518,0.0005710057448595762,ʊ,BR,i,BR373
7631,0.00039483740692958236,i,BR,i,BR374
7637,0.47623103857040405,ɪ,BR,i,BR374
7630,0.020998749881982803,eɪ,BR,i,BR374
7636,0.3663857579231262,ɛ,BR,i,BR374
7634,0.001998224062845111,æ,BR,i,BR374
7635,0.00013071228750050068,ɑ,BR,i,BR374
7639,0.07785923779010773,ʌ,BR,i,BR374
7632,8.087425158009864e-06,oʊ,BR,i,BR374
7633,0.013191389851272106,u,BR,i,BR374
7638,0.042801909148693085,ʊ,BR,i,BR374
7761,0.0108733419328928,i,BR,i,BR375
7767,0.735833466053009,ɪ,BR,i,BR375
7760,0.002883144188672304,eɪ,BR,i,BR375
7766,0.24064265191555023,ɛ,BR,i,BR375
7764,0.00039846435538493097,æ,BR,i,BR375
7765,0.00018197362078353763,ɑ,BR,i,BR375
7769,0.006790196057409048,ʌ,BR,i,BR375
7762,0.0012882302980870008,oʊ,BR,i,BR375
7763,0.00022120341600384563,u,BR,i,BR375
7768,0.0008873779443092644,ʊ,BR,i,BR375
7491,0.9810974597930908,i,BR,i,BR452
7497,0.018674202263355255,ɪ,BR,i,BR452
7490,6.948136433493346e-05,eɪ,BR,i,BR452
7496,8.638396138849203e-06,ɛ,BR,i,BR452
7494,8.55151483847294e-07,æ,BR,i,BR452
7495,8.294006192954839e-08,ɑ,BR,i,BR452
7499,6.6157504079455975e-06,ʌ,BR,i,BR452
7492,2.6534607968642376e-06,oʊ,BR,i,BR452
7493,9.89737527561374e-05,u,BR,i,BR452
7498,4.09343556384556e-05,ʊ,BR,i,BR452
7171,0.09342978894710541,i,BR,i,BR454
7177,0.4248832166194916,ɪ,BR,i,BR454
7170,0.03783455491065979,eɪ,BR,i,BR454
7176,0.07452338933944702,ɛ,BR,i,BR454
7174,0.0009145224466919899,æ,BR,i,BR454
7175,0.021945256739854813,ɑ,BR,i,BR454
7179,0.10784728825092316,ʌ,BR,i,BR454
7172,0.023446619510650635,oʊ,BR,i,BR454
7173,0.03703979402780533,u,BR,i,BR454
7178,0.17813552916049957,ʊ,BR,i,BR454
7791,0.6160813570022583,i,BR,i,BR46
7797,0.3732651472091675,ɪ,BR,i,BR46
7790,0.0012747319415211678,eɪ,BR,i,BR46
7796,0.0017784781521186233,ɛ,BR,i,BR46
7794,0.00013429069076664746,æ,BR,i,BR46
7795,2.8978873160667717e-05,ɑ,BR,i,BR46
7799,0.005945892073214054,ʌ,BR,i,BR46
7792,2.111651610903209e-06,oʊ,BR,i,BR46
7793,0.000595841440372169,u,BR,i,BR46
7798,0.0008930425974540412,ʊ,BR,i,BR46
7901,0.9772575497627258,i,BR,i,BR47
7907,0.020458241924643517,ɪ,BR,i,BR47
7900,0.0001257753901882097,eɪ,BR,i,BR47
7906,2.0432024030014873e-05,ɛ,BR,i,BR47
7904,1.71165959272912e-06,æ,BR,i,BR47
7905,2.3488827594064787e-07,ɑ,BR,i,BR47
7909,1.1474439816083759e-05,ʌ,BR,i,BR47
7902,2.981336547236424e-05,oʊ,BR,i,BR47
7903,0.0019903765060007572,u,BR,i,BR47
7908,0.00010435700824018568,ʊ,BR,i,BR47
7301,0.9470208883285522,i,BR,i,BR496
7307,0.016762228682637215,ɪ,BR,i,BR496
7300,0.0052041830494999886,eɪ,BR,i,BR496
7306,0.0030517277773469687,ɛ,BR,i,BR496
7304,0.0002157777635147795,æ,BR,i,BR496
7305,1.1563190128072165e-05,ɑ,BR,i,BR496
7309,0.007385755889117718,ʌ,BR,i,BR496
7302,3.6795804589928593e-06,oʊ,BR,i,BR496
7303,0.009874226525425911,u,BR,i,BR496
7308,0.01046997681260109,ʊ,BR,i,BR496
7571,0.2504768967628479,i,BR,i,BR741
7577,0.7483808994293213,ɪ,BR,i,BR741
7570,0.00045880075776949525,eɪ,BR,i,BR741
7576,0.0002926104352809489,ɛ,BR,i,BR741
7574,4.610184987541288e-06,æ,BR,i,BR741
7575,6.61253238831705e-08,ɑ,BR,i,BR741
7579,4.300506589061115e-06,ʌ,BR,i,BR741
7572,2.71901967607846e-09,oʊ,BR,i,BR741
7573,0.00022026573424227536,u,BR,i,BR741
7578,0.0001615611690795049,ʊ,BR,i,BR741
8321,0.9999512434005737,i,BR,i,BR742
8327,3.9458773244405165e-05,ɪ,BR,i,BR742
8320,9.071234671864659e-06,eɪ,BR,i,BR742
8326,7.051927752854681e-08,ɛ,BR,i,BR742
