,probabilities,classification,language,vowel,file
8251,0.7856079932302237,i,BR,i,BR132
8257,0.07336226114421152,ɪ,BR,i,BR132
8250,0.11258690379054315,eɪ,BR,i,BR132
8256,0.004361695782405662,ɛ,BR,i,BR132
8254,0.0014537251816176433,æ,BR,i,BR132
8255,0.0006188436159007639,ɑ,BR,i,BR132
8259,0.001328670522276676,ʌ,BR,i,BR132
8252,0.0005877609821132168,oʊ,BR,i,BR132
8253,0.01713940924482813,u,BR,i,BR132
8258,0.002952762922447505,ʊ,BR,i,BR132
7411,0.17331113315885888,i,BR,i,BR329
7417,0.06375327685564117,ɪ,BR,i,BR329
7410,0.33552964626433096,eɪ,BR,i,BR329
7416,0.012622259107502032,ɛ,BR,i,BR329
7414,0.007197739094044664,æ,BR,i,BR329
7415,0.019943271180750344,ɑ,BR,i,BR329
7419,0.011711946937248285,ʌ,BR,i,BR329
7412,0.11523313230354688,oʊ,BR,i,BR329
7413,0.16689709340880654,u,BR,i,BR329
7418,0.09380054433968325,ʊ,BR,i,BR329
8511,0.15676664625061676,i,BR,i,BR373
8517,0.027371502332243836,ɪ,BR,i,BR373
8510,0.5177166989073158,eɪ,BR,i,BR373
8516,0.0058753886822614735,ɛ,BR,i,BR373
8514,0.0069533114641672,æ,BR,i,BR373
8515,0.007534159864496815,ɑ,BR,i,BR373
8519,0.019182807053584838,ʌ,BR,i,BR373
8512,0.09081240469586191,oʊ,BR,i,BR373
8513,0.062015480080708583,u,BR,i,BR373
8518,0.1057716251931197,ʊ,BR,i,BR373
7631,0.06779715575758019,i,BR,i,BR374
7637,0.0033555103736944147,ɪ,BR,i,BR374
7630,0.3480111411423422,eɪ,BR,i,BR374
7636,0.0005003673930517039,ɛ,BR,i,BR374
7634,0.0004901652082025976,æ,BR,i,BR374
7635,0.007265458875986041,ɑ,BR,i,BR374
7639,0.0034630615653441056,ʌ,BR,i,BR374
7632,0.26708035605925035,oʊ,BR,i,BR374
7633,0.1487445619321079,u,BR,i,BR374
7638,0.15329221659523568,ʊ,BR,i,BR374
7761,0.07637882538547273,i,BR,i,BR375
7767,0.005929728775299736,ɪ,BR,i,BR375
7760,0.6757999624242075,eɪ,BR,i,BR375
7766,0.00038946004441058334,ɛ,BR,i,BR375
7764,0.0015585656661642132,æ,BR,i,BR375
7765,0.018450504539694636,ɑ,BR,i,BR375
7769,0.004138570748682469,ʌ,BR,i,BR375
7762,0.10927696740286592,oʊ,BR,i,BR375
7763,0.06936610815575932,u,BR,i,BR375
7768,0.038711318572688926,ʊ,BR,i,BR375
7491,0.3736869943544662,i,BR,i,BR452
7497,0.05782688649769625,ɪ,BR,i,BR452
7490,0.014909843267560063,eɪ,BR,i,BR452
7496,0.010926319437933785,ɛ,BR,i,BR452
7494,0.004618791837858183,æ,BR,i,BR452
7495,0.0017378834244020426,ɑ,BR,i,BR452
7499,0.004752964220551803,ʌ,BR,i,BR452
7492,0.0031424556070305696,oʊ,BR,i,BR452
7493,0.4849639710970223,u,BR,i,BR452
7498,0.043433866533450785,ʊ,BR,i,BR452
7171,0.28490391221366734,i,BR,i,BR454
7177,0.15710774985359421,ɪ,BR,i,BR454
7170,0.00695763377206049,eɪ,BR,i,BR454
7176,0.0821910778571123,ɛ,BR,i,BR454
7174,0.004558768547816783,æ,BR,i,BR454
7175,0.0015774571661836489,ɑ,BR,i,BR454
