,probabilities,classification,language,vowel,file
8251,0.897024393081665,i,BR,i,BR132
8257,0.10097112506628036,ɪ,BR,i,BR132
8250,0.0002635837299749255,eɪ,BR,i,BR132
8256,5.82304855925031e-05,ɛ,BR,i,BR132
8254,0.0007137423963285983,æ,BR,i,BR132
8255,0.00010826691141119227,ɑ,BR,i,BR132
8259,0.00018680798530112952,ʌ,BR,i,BR132
8252,8.374991739401594e-05,oʊ,BR,i,BR132
8253,4.151436951360665e-05,u,BR,i,BR132
8258,0.0005485985893756151,ʊ,BR,i,BR132
7411,0.07218127697706223,i,BR,i,BR329
7417,0.5130375027656555,ɪ,BR,i,BR329
7410,0.04858781024813652,eɪ,BR,i,BR329
7416,0.013934015296399593,ɛ,BR,i,BR329
7414,0.034346915781497955,æ,BR,i,BR329
7415,0.00817932654172182,ɑ,BR,i,BR329
7419,0.000213164952583611,ʌ,BR,i,BR329
7412,0.002398486714810133,oʊ,BR,i,BR329
7413,0.30046316981315613,u,BR,i,BR329
7418,0.006658404599875212,ʊ,BR,i,BR329
8511,0.6678152680397034,i,BR,i,BR373
8517,0.2474745362997055,ɪ,BR,i,BR373
8510,0.004679755307734013,eɪ,BR,i,BR373
8516,0.00014532884233631194,ɛ,BR,i,BR373
8514,4.827566954190843e-06,æ,BR,i,BR373
8515,1.6044989479269134e-06,ɑ,BR,i,BR373
8519,2.6303521735826507e-05,ʌ,BR,i,BR373
8512,1.5178125067905057e-05,oʊ,BR,i,BR373
8513,0.07734940201044083,u,BR,i,BR373
8518,0.002487634075805545,ʊ,BR,i,BR373
7631,0.018318379297852516,i,BR,i,BR374
7637,0.537585973739624,ɪ,BR,i,BR374
7630,0.008716216310858727,eɪ,BR,i,BR374
7636,0.00022387965873349458,ɛ,BR,i,BR374
7634,0.0005122934235259891,æ,BR,i,BR374
7635,0.00040824332972988486,ɑ,BR,i,BR374
7639,0.0005108439363539219,ʌ,BR,i,BR374
7632,8.540874841855839e-05,oʊ,BR,i,BR374
7633,0.40257012844085693,u,BR,i,BR374
7638,0.031068678945302963,ʊ,BR,i,BR374
7761,0.009565767832100391,i,BR,i,BR375
7767,0.4138970673084259,ɪ,BR,i,BR375
7760,0.030427711084485054,eɪ,BR,i,BR375
7766,0.0018945453921332955,ɛ,BR,i,BR375
7764,0.0021785693243145943,æ,BR,i,BR375
7765,0.004950814880430698,ɑ,BR,i,BR375
7769,0.0009178817272186279,ʌ,BR,i,BR375
7762,0.0025850075762718916,oʊ,BR,i,BR375
7763,0.47958043217658997,u,BR,i,BR375
7768,0.05400211364030838,ʊ,BR,i,BR375
7491,0.06397417932748795,i,BR,i,BR452
7497,0.3064773976802826,ɪ,BR,i,BR452
7490,0.01552378199994564,eɪ,BR,i,BR452
7496,0.0016745461616665125,ɛ,BR,i,BR452
7494,0.002545739524066448,æ,BR,i,BR452
7495,0.0030800336971879005,ɑ,BR,i,BR452
7499,0.0013997716596350074,ʌ,BR,i,BR452
7492,0.0008338363259099424,oʊ,BR,i,BR452
7493,0.2554537057876587,u,BR,i,BR452
7498,0.3490368723869324,ʊ,BR,i,BR452
7171,0.2688866853713989,i,BR,i,BR454
7177,0.01865878328680992,ɪ,BR,i,BR454
7170,4.293604888516711e-06,eɪ,BR,i,BR454
7176,0.0008360730716958642,ɛ,BR,i,BR454
7174,2.5827583158388734e-05,æ,BR,i,BR454
7175,0.001367178512737155,ɑ,BR,i,BR454
7179,0.009006978943943977,ʌ,BR,i,BR454
7172,4.5930373744340613e-05,oʊ,BR,i,BR454
7173,0.5868145823478699,u,BR,i,BR454
7178,0.1143537163734436,ʊ,BR,i,BR454
7791,0.00112067605368793,i,BR,i,BR46
7797,0.001156021491624415,ɪ,BR,i,BR46
7790,0.45459145307540894,eɪ,BR,i,BR46
7796,0.00014759392070118338,ɛ,BR,i,BR46
7794,0.5394307971000671,æ,BR,i,BR46
7795,0.0024494840763509274,ɑ,BR,i,BR46
7799,0.0002916616213042289,ʌ,BR,i,BR46
7792,0.00012277532368898392,oʊ,BR,i,BR46
7793,1.0478595868335105e-05,u,BR,i,BR46
7798,0.0006789916660636663,ʊ,BR,i,BR46
7901,0.1425093710422516,i,BR,i,BR47
7907,0.03710005432367325,ɪ,BR,i,BR47
7900,0.0839921161532402,eɪ,BR,i,BR47
7906,0.004975049290806055,ɛ,BR,i,BR47
7904,0.553443968296051,æ,BR,i,BR47
7905,0.04288840293884277,ɑ,BR,i,BR47
7909,0.029658928513526917,ʌ,BR,i,BR47
7902,0.00048410866293124855,oʊ,BR,i,BR47
7903,0.0011645992053672671,u,BR,i,BR47
7908,0.10378345102071762,ʊ,BR,i,BR47
7301,0.11139192432165146,i,BR,i,BR496
7307,0.1488553136587143,ɪ,BR,i,BR496
7300,0.0007090416038408875,eɪ,BR,i,BR496
7306,0.009466968476772308,ɛ,BR,i,BR496
7304,0.003334762528538704,æ,BR,i,BR496
7305,0.012689356692135334,ɑ,BR,i,BR496
7309,0.12732981145381927,ʌ,BR,i,BR496
7302,3.839788769255392e-05,oʊ,BR,i,BR496
7303,0.42750245332717896,u,BR,i,BR496
7308,0.1586819589138031,ʊ,BR,i,BR496
7571,0.974177360534668,i,BR,i,BR741
7577,0.02235928736627102,ɪ,BR,i,BR741
7570,0.00014958503015805036,eɪ,BR,i,BR741
7576,0.00010762549936771393,ɛ,BR,i,BR741
7574,0.00011952111526625231,æ,BR,i,BR741
7575,1.4788778571528383e-05,ɑ,BR,i,BR741
7579,0.00047288654604926705,ʌ,BR,i,BR741
7572,3.163782196224929e-07,oʊ,BR,i,BR741
7573,0.0010142542887479067,u,BR,i,BR741
7578,0.0015844180015847087,ʊ,BR,i,BR741
8321,0.999224066734314,i,BR,i,BR742
8327,0.0006470903172157705,ɪ,BR,i,BR742
8320,7.401940820273012e-06,eɪ,BR,i,BR742
8326,6.294592935773835e-08,ɛ,BR,i,BR742
8324,3.440105089680401e-08,æ,BR,i,BR742
8325,3.812214988130336e-09,ɑ,BR,i,BR742
8329,2.5055990704458964e-07,ʌ,BR,i,BR742
8322,5.459115755002131e-07,oʊ,BR,i,BR742
8323,3.529591776896268e-05,u,BR,i,BR742
8328,8.532676292816177e-05,ʊ,BR,i,BR742
7811,0.9951151609420776,i,BR,i,BR757
7817,0.004571546334773302,ɪ,BR,i,BR757
7810,0.00018162229389417917,eɪ,BR,i,BR757
7816,2.924801447079517e-05,ɛ,BR,i,BR757
7814,3.4602992400323274e-06,æ,BR,i,BR757
7815,2.9497203968276153e-07,ɑ,BR,i,BR757
7819,2.5510098566883244e-06,ʌ,BR,i,BR757
7812,4.066633482580073e-05,oʊ,BR,i,BR757
7813,4.8801088269101456e-05,u,BR,i,BR757
7818,6.617446615564404e-06,ʊ,BR,i,BR757
6731,0.9601632356643677,i,BR,i,BR796
6737,0.02824549563229084,ɪ,BR,i,BR796
6730,9.219341154675931e-05,eɪ,BR,i,BR796
6736,0.00046825080062262714,ɛ,BR,i,BR796
6734,2.117498115694616e-05,æ,BR,i,BR796
6735,2.6059669835376553e-06,ɑ,BR,i,BR796
6739,1.285196231037844e-05,ʌ,BR,i,BR796
6732,0.0001413903955835849,oʊ,BR,i,BR796
6733,0.009846591390669346,u,BR,i,BR796
6738,0.0010063521331176162,ʊ,BR,i,BR796
7651,0.9488667249679565,i,BR,i,BR99
7657,0.03822241723537445,ɪ,BR,i,BR99
7650,0.0014715793076902628,eɪ,BR,i,BR99
7656,0.0002583518798928708,ɛ,BR,i,BR99
7654,0.004355262499302626,æ,BR,i,BR99
7655,0.002613729564473033,ɑ,BR,i,BR99
7659,0.0003529466921463609,ʌ,BR,i,BR99
7652,0.00016419980966020375,oʊ,BR,i,BR99
7653,0.0006626570248045027,u,BR,i,BR99
7658,0.0030322277452796698,ʊ,BR,i,BR99
7331,0.9517264366149902,i,BR,i,BR992
7337,0.009545192122459412,ɪ,BR,i,BR992
7330,0.0009184687514789402,eɪ,BR,i,BR992
7336,3.839913188130595e-05,ɛ,BR,i,BR992
7334,1.3437846746455762e-06,æ,BR,i,BR992
7335,5.028834948461736e-06,ɑ,BR,i,BR992
7339,0.0006112975534051657,ʌ,BR,i,BR992
7332,9.379107359563932e-05,oʊ,BR,i,BR992
7333,0.03287626802921295,u,BR,i,BR992
7338,0.004183885641396046,ʊ,BR,i,BR992
7821,0.028757642954587936,i,BR,ĩ,BR1025
7827,0.010786045342683792,ɪ,BR,ĩ,BR1025
7820,0.004642693791538477,eɪ,BR,ĩ,BR1025
7826,3.208227553841425e-06,ɛ,BR,ĩ,BR1025
7824,0.00013064414088148624,æ,BR,ĩ,BR1025
7825,3.0119617804302834e-05,ɑ,BR,ĩ,BR1025
7829,6.683234232696122e-07,ʌ,BR,ĩ,BR1025
7822,2.834263341355836e-06,oʊ,BR,ĩ,BR1025
7823,0.9528570175170898,u,BR,ĩ,BR1025
7828,0.0027893339283764362,ʊ,BR,ĩ,BR1025
7031,0.02204050123691559,i,BR,ĩ,BR1029
7037,0.009867231361567974,ɪ,BR,ĩ,BR1029
7030,0.0005483042332343757,eɪ,BR,ĩ,BR1029
7036,0.0004049859126098454,ɛ,BR,ĩ,BR1029
7034,0.0004805351491086185,æ,BR,ĩ,BR1029
7035,0.0007374690612778068,ɑ,BR,ĩ,BR1029
7039,5.9949266869807616e-05,ʌ,BR,ĩ,BR1029
7032,0.0023194928653538227,oʊ,BR,ĩ,BR1029
7033,0.9419586658477783,u,BR,ĩ,BR1029
7038,0.021582724526524544,ʊ,BR,ĩ,BR1029
7801,0.8321312665939331,i,BR,ĩ,BR154
7807,0.04659942537546158,ɪ,BR,ĩ,BR154
7800,0.026901736855506897,eɪ,BR,ĩ,BR154
7806,0.006881017237901688,ɛ,BR,ĩ,BR154
7804,0.044632863253355026,æ,BR,ĩ,BR154
7805,0.0006336524384096265,ɑ,BR,ĩ,BR154
7809,0.019381148740649223,ʌ,BR,ĩ,BR154
7802,0.015981387346982956,oʊ,BR,ĩ,BR154
7803,0.00032636968535371125,u,BR,ĩ,BR154
7808,0.006531104911118746,ʊ,BR,ĩ,BR154
7521,0.9191831350326538,i,BR,ĩ,BR158
7527,0.017006713896989822,ɪ,BR,ĩ,BR158
7520,0.0008093919022940099,eɪ,BR,ĩ,BR158
7526,0.00945497490465641,ɛ,BR,ĩ,BR158
7524,0.03823138400912285,æ,BR,ĩ,BR158
7525,0.01190105825662613,ɑ,BR,ĩ,BR158
7529,0.00236072251573205,ʌ,BR,ĩ,BR158
7522,0.0002872341428883374,oʊ,BR,ĩ,BR158
7523,0.00021691664005629718,u,BR,ĩ,BR158
7528,0.0005483620334416628,ʊ,BR,ĩ,BR158
8541,0.014285336248576641,i,BR,ĩ,BR159
8547,0.014891906641423702,ɪ,BR,ĩ,BR159
8540,0.0015201683854684234,eɪ,BR,ĩ,BR159
8546,0.01530834473669529,ɛ,BR,ĩ,BR159
8544,0.25812357664108276,æ,BR,ĩ,BR159
8545,0.5672689080238342,ɑ,BR,ĩ,BR159
8549,0.09546425193548203,ʌ,BR,ĩ,BR159
8542,0.005281396210193634,oʊ,BR,ĩ,BR159
8543,0.013557424768805504,u,BR,ĩ,BR159
8548,0.014298677444458008,ʊ,BR,ĩ,BR159
7001,0.00756879011169076,i,BR,ĩ,BR264
7007,0.00028120767092332244,ɪ,BR,ĩ,BR264
7000,0.00226282118819654,eɪ,BR,ĩ,BR264
7006,4.304732556192903e-06,ɛ,BR,ĩ,BR264
7004,3.672071761684492e-05,æ,BR,ĩ,BR264
7005,6.18428603047505e-05,ɑ,BR,ĩ,BR264
7009,1.051002641361265e-06,ʌ,BR,ĩ,BR264
7002,4.41042766397004e-06,oʊ,BR,ĩ,BR264
7003,0.9896316528320312,u,BR,ĩ,BR264
7008,0.0001472013391321525,ʊ,BR,ĩ,BR264
6851,0.0016263487050309777,i,BR,ĩ,BR411
6857,6.128256245574448e-06,ɪ,BR,ĩ,BR411
6850,0.00011678149166982621,eɪ,BR,ĩ,BR411
6856,1.6218288934055636e-09,ɛ,BR,ĩ,BR411
6854,5.424344706739248e-08,æ,BR,ĩ,BR411
6855,2.5272129278164357e-07,ɑ,BR,ĩ,BR411
6859,1.467996355586365e-07,ʌ,BR,ĩ,BR411
6852,8.140006571011327e-07,oʊ,BR,ĩ,BR411
6853,0.9980301260948181,u,BR,ĩ,BR411
6858,0.00021938169084023684,ʊ,BR,ĩ,BR411
7641,3.32865965901874e-06,i,BR,ĩ,BR417
7647,8.600804721936584e-05,ɪ,BR,ĩ,BR417
7640,0.0019140270305797458,eɪ,BR,ĩ,BR417
7646,6.473259759331995e-07,ɛ,BR,ĩ,BR417
7644,0.000412532826885581,æ,BR,ĩ,BR417
7645,0.00010555517656030133,ɑ,BR,ĩ,BR417
7649,8.196291219064733e-07,ʌ,BR,ĩ,BR417
7642,1.414567759638885e-05,oʊ,BR,ĩ,BR417
7643,0.9970479607582092,u,BR,ĩ,BR417
7648,0.0004148735897615552,ʊ,BR,ĩ,BR417
8121,0.0003091299149673432,i,BR,ĩ,BR504
8127,2.7805658646684606e-06,ɪ,BR,ĩ,BR504
8120,1.162779085461807e-06,eɪ,BR,ĩ,BR504
8126,9.29721721831811e-08,ɛ,BR,ĩ,BR504
8124,0.0001567027356941253,æ,BR,ĩ,BR504
8125,0.007194628473371267,ɑ,BR,ĩ,BR504
8129,0.00039975493564270437,ʌ,BR,ĩ,BR504
8122,0.0003972181002609432,oʊ,BR,ĩ,BR504
8123,0.9796450138092041,u,BR,ĩ,BR504
8128,0.0118935015052557,ʊ,BR,ĩ,BR504
7361,0.5281932353973389,i,BR,ĩ,BR510
7367,0.25252053141593933,ɪ,BR,ĩ,BR510
7360,0.007123767398297787,eɪ,BR,ĩ,BR510
7366,0.0010098448256030679,ɛ,BR,ĩ,BR510
7364,0.004679092671722174,æ,BR,ĩ,BR510
7365,0.0006314784404821694,ɑ,BR,ĩ,BR510
7369,0.0005574521492235363,ʌ,BR,ĩ,BR510
7362,0.004183872602880001,oʊ,BR,ĩ,BR510
7363,0.1848137527704239,u,BR,ĩ,BR510
7368,0.01628693751990795,ʊ,BR,ĩ,BR510
7061,0.0058821202255785465,i,BR,ĩ,BR559
7067,0.01779431849718094,ɪ,BR,ĩ,BR559
7060,2.175755753341946e-06,eɪ,BR,ĩ,BR559
7066,0.0005977830733172596,ɛ,BR,ĩ,BR559
7064,1.0116385055880528e-05,æ,BR,ĩ,BR559
7065,3.327347803860903e-05,ɑ,BR,ĩ,BR559
7069,0.0005444379639811814,ʌ,BR,ĩ,BR559
7062,0.001159360515885055,oʊ,BR,ĩ,BR559
7063,0.9157484173774719,u,BR,ĩ,BR559
7068,0.058227915316820145,ʊ,BR,ĩ,BR559
8041,0.6936356425285339,i,BR,ĩ,BR648
8047,0.02031376212835312,ɪ,BR,ĩ,BR648
8040,0.00033848665771074593,eɪ,BR,ĩ,BR648
8046,0.016319915652275085,ɛ,BR,ĩ,BR648
8044,0.0008593713864684105,æ,BR,ĩ,BR648
8045,0.0015167612582445145,ɑ,BR,ĩ,BR648
8049,7.873514550738037e-05,ʌ,BR,ĩ,BR648
8042,0.00012543478806037456,oʊ,BR,ĩ,BR648
8043,0.2662445902824402,u,BR,ĩ,BR648
8048,0.0005673111299984157,ʊ,BR,ĩ,BR648
8161,0.3279187083244324,i,BR,ĩ,BR687
8167,0.138528510928154,ɪ,BR,ĩ,BR687
8160,0.0712580531835556,eɪ,BR,ĩ,BR687
8166,0.010945774614810944,ɛ,BR,ĩ,BR687
8164,0.07449600100517273,æ,BR,ĩ,BR687
8165,0.04343824088573456,ɑ,BR,ĩ,BR687
8169,0.00028687913436442614,ʌ,BR,ĩ,BR687
8162,0.002423812635242939,oʊ,BR,ĩ,BR687
8163,0.3208070993423462,u,BR,ĩ,BR687
8168,0.009896867908537388,ʊ,BR,ĩ,BR687
8021,0.989081859588623,i,BR,ĩ,BR848
