,probabilities,classification,language,vowel,file
0,0.8908790588378906,i,BR,i,BR132
1,0.05365947708487506,ɪ,BR,i,BR132
2,0.030915602819004538,eɪ,BR,i,BR132
3,0.0032159531998331354,ɛ,BR,i,BR132
4,0.0036509022873360006,æ,BR,i,BR132
5,0.00266401396002035,ɑ,BR,i,BR132
6,0.00101723235711682,ʌ,BR,i,BR132
7,0.0025693908748507708,oʊ,BR,i,BR132
8,0.004021677143828084,u,BR,i,BR132
9,0.007406696584075639,ʊ,BR,i,BR132
10,0.10999144557863472,i,BR,i,BR329
11,0.6579978168010712,ɪ,BR,i,BR329
12,0.032355841016396825,eɪ,BR,i,BR329
13,0.05340922470204527,ɛ,BR,i,BR329
14,0.02228835201822217,æ,BR,i,BR329
15,0.0095032997662201,ɑ,BR,i,BR329
16,0.00118435410549858,ʌ,BR,i,BR329
17,0.0012189451255835199,oʊ,BR,i,BR329
18,0.10784476650878783,u,BR,i,BR329
19,0.004205947101581799,ʊ,BR,i,BR329
20,0.6913565218448638,i,BR,i,BR373
21,0.22063482888042926,ɪ,BR,i,BR373
22,0.02092895673122252,eɪ,BR,i,BR373
23,0.00281364433030825,ɛ,BR,i,BR373
24,6.577131543962591e-05,æ,BR,i,BR373
25,2.095953957450547e-05,ɑ,BR,i,BR373
26,7.037590839898977e-05,ʌ,BR,i,BR373
27,9.720945608931502e-05,oʊ,BR,i,BR373
28,0.061146407760679686,u,BR,i,BR373
29,0.0028652923880144597,ʊ,BR,i,BR373
30,0.22474275305867195,i,BR,i,BR374
31,0.6054319627583027,ɪ,BR,i,BR374
32,0.007426821812987279,eɪ,BR,i,BR374
33,0.0024030543165281,ɛ,BR,i,BR374
34,0.00021764000957770705,æ,BR,i,BR374
35,0.00012439767178873748,ɑ,BR,i,BR374
36,0.00056912623404054,ʌ,BR,i,BR374
37,5.470987853186671e-05,oʊ,BR,i,BR374
38,0.1449587267823517,u,BR,i,BR374
39,0.014070850529242252,ʊ,BR,i,BR374
40,0.07988605336286123,i,BR,i,BR375
41,0.5146018221974373,ɪ,BR,i,BR375
42,0.032433117739856195,eɪ,BR,i,BR375
43,0.024785888503538404,ɛ,BR,i,BR375
44,0.0017159703595097497,æ,BR,i,BR375
45,0.00258893669233652,ɑ,BR,i,BR375
46,0.0015119043411686603,ʌ,BR,i,BR375
