,probabilities,classification,language,vowel,file
8251,0.9978982210159302,i,BR,i,BR132
8257,0.0019115075701847672,ɪ,BR,i,BR132
8250,0.00011151909711770713,eɪ,BR,i,BR132
8256,6.4891128026545175e-09,ɛ,BR,i,BR132
8254,1.2407948279946623e-10,æ,BR,i,BR132
8255,5.908527248195405e-13,ɑ,BR,i,BR132
8259,2.1327188903796923e-09,ʌ,BR,i,BR132
8252,6.390799445199491e-09,oʊ,BR,i,BR132
8253,7.847889355616644e-05,u,BR,i,BR132
8258,2.667147498414124e-07,ʊ,BR,i,BR132
7411,0.3227337896823883,i,BR,i,BR329
7417,0.0007547215791419148,ɪ,BR,i,BR329
7410,0.6759344339370728,eɪ,BR,i,BR329
7416,6.666408012279135e-07,ɛ,BR,i,BR329
7414,6.821413990110159e-05,æ,BR,i,BR329
7415,3.6873959743388696e-06,ɑ,BR,i,BR329
7419,9.752679034136236e-05,ʌ,BR,i,BR329
7412,3.24926404573489e-05,oʊ,BR,i,BR329
7413,0.0003190090646967292,u,BR,i,BR329
7418,5.5519878515042365e-05,ʊ,BR,i,BR329
8511,0.0006323910201899707,i,BR,i,BR373
8517,3.312793239729217e-08,ɪ,BR,i,BR373
8510,4.442021150907749e-08,eɪ,BR,i,BR373
8516,1.4665745007302888e-10,ɛ,BR,i,BR373
8514,1.7188977671778183e-11,æ,BR,i,BR373
8515,5.18430010032489e-09,ɑ,BR,i,BR373
8519,4.866607739018036e-08,ʌ,BR,i,BR373
8512,4.569409739474395e-08,oʊ,BR,i,BR373
8513,0.9981439113616943,u,BR,i,BR373
8518,0.0012235703179612756,ʊ,BR,i,BR373
7631,0.00036088572232984006,i,BR,i,BR374
7637,2.4628320716146845e-08,ɪ,BR,i,BR374
7630,4.0354695585165246e-08,eɪ,BR,i,BR374
7636,2.0664438216133618e-10,ɛ,BR,i,BR374
7634,3.3217234518545524e-11,æ,BR,i,BR374
7635,1.6993160656397777e-08,ɑ,BR,i,BR374
7639,9.023970903854206e-08,ʌ,BR,i,BR374
7632,1.1307935920967793e-07,oʊ,BR,i,BR374
7633,0.9977103471755981,u,BR,i,BR374
7638,0.0019284344743937254,ʊ,BR,i,BR374
7761,0.01347020361572504,i,BR,i,BR375
7767,9.44823186728172e-05,ɪ,BR,i,BR375
7760,0.0064966329373419285,eɪ,BR,i,BR375
7766,5.129786950419657e-05,ɛ,BR,i,BR375
7764,0.002204119460657239,æ,BR,i,BR375
7765,0.07139755040407181,ɑ,BR,i,BR375
7769,0.00424795551225543,ʌ,BR,i,BR375
7762,0.27964872121810913,oʊ,BR,i,BR375
7763,0.5289435386657715,u,BR,i,BR375
7768,0.09344543516635895,ʊ,BR,i,BR375
7491,0.0007719642017036676,i,BR,i,BR452
7497,2.5399492287192516e-08,ɪ,BR,i,BR452
7490,1.9177662125002826e-08,eɪ,BR,i,BR452
7496,4.6302562478617304e-11,ɛ,BR,i,BR452
7494,2.72043390418808e-12,æ,BR,i,BR452
7495,4.830786326515124e-10,ɑ,BR,i,BR452
7499,1.355828516125257e-08,ʌ,BR,i,BR452
7492,4.171547107745255e-09,oʊ,BR,i,BR452
7493,0.9986716508865356,u,BR,i,BR452
7498,0.0005563352606259286,ʊ,BR,i,BR452
7171,0.9975634813308716,i,BR,i,BR454
7177,0.0002879630192182958,ɪ,BR,i,BR454
7170,7.835387077648193e-05,eɪ,BR,i,BR454
7176,2.1553374640603806e-09,ɛ,BR,i,BR454
7174,9.473324902309344e-11,æ,BR,i,BR454
7175,2.8812967636793196e-12,ɑ,BR,i,BR454
7179,4.363287509079328e-09,ʌ,BR,i,BR454
7172,5.301000083335339e-09,oʊ,BR,i,BR454
7173,0.002067744731903076,u,BR,i,BR454
7178,2.385194420639891e-06,ʊ,BR,i,BR454
7791,0.999066174030304,i,BR,i,BR46
7797,0.0005259353783912957,ɪ,BR,i,BR46
7790,8.275631989818066e-05,eɪ,BR,i,BR46
7796,1.9487018665387268e-09,ɛ,BR,i,BR46
7794,6.509861399939254e-11,æ,BR,i,BR46
7795,7.202262874636545e-13,ɑ,BR,i,BR46
7799,1.6437249339418258e-09,ʌ,BR,i,BR46
7792,4.098172023958568e-09,oʊ,BR,i,BR46
7793,0.0003246081178076565,u,BR,i,BR46
7798,5.098347060084052e-07,ʊ,BR,i,BR46
7901,0.9991267323493958,i,BR,i,BR47
7907,0.0005284029175527394,ɪ,BR,i,BR47
7900,7.505439862143248e-05,eɪ,BR,i,BR47
7906,1.5863146352046442e-09,ɛ,BR,i,BR47
7904,4.945463830119401e-11,æ,BR,i,BR47
7905,4.98772681142845e-13,ɑ,BR,i,BR47
7909,1.3378991248202965e-09,ʌ,BR,i,BR47
7902,3.2626383816847238e-09,oʊ,BR,i,BR47
7903,0.0002694037393666804,u,BR,i,BR47
7908,4.199118848191574e-07,ʊ,BR,i,BR47
7301,0.8234768509864807,i,BR,i,BR496
7307,0.1751779168844223,ɪ,BR,i,BR496
7300,0.001295628841035068,eɪ,BR,i,BR496
7306,1.5784795323270373e-05,ɛ,BR,i,BR496
7304,1.1384342712972284e-07,æ,BR,i,BR496
7305,2.920945707529654e-10,ɑ,BR,i,BR496
7309,8.362132462025329e-07,ʌ,BR,i,BR496
7302,9.333215871265566e-07,oʊ,BR,i,BR496
7303,2.8995713364565745e-05,u,BR,i,BR496
7308,2.934213398475549e-06,ʊ,BR,i,BR496
7571,0.9990450739860535,i,BR,i,BR741
7577,0.00027740743826143444,ɪ,BR,i,BR741
7570,8.308892574859783e-05,eɪ,BR,i,BR741
7576,1.016541739673471e-09,ɛ,BR,i,BR741
7574,5.27088060697789e-11,æ,BR,i,BR741
7575,8.508055913437895e-13,ɑ,BR,i,BR741
7579,1.5730879932007724e-09,ʌ,BR,i,BR741
7572,3.1838283121032873e-09,oʊ,BR,i,BR741
7573,0.0005937446840107441,u,BR,i,BR741
7578,6.896036666148575e-07,ʊ,BR,i,BR741
8321,0.9992017149925232,i,BR,i,BR742
8327,0.0004750513762701303,ɪ,BR,i,BR742
8320,7.552236638730392e-05,eɪ,BR,i,BR742
8326,1.2782241931574845e-09,ɛ,BR,i,BR742
8324,4.323372215786492e-11,æ,BR,i,BR742
8325,4.191295205867307e-13,ɑ,BR,i,BR742
8329,1.1416566580990661e-09,ʌ,BR,i,BR742
8322,2.8049058631296475e-09,oʊ,BR,i,BR742
8323,0.000247413496254012,u,BR,i,BR742
8328,3.703542290622863e-07,ʊ,BR,i,BR742
7811,0.9990664124488831,i,BR,i,BR757
7817,0.00047739988076500595,ɪ,BR,i,BR757
7810,0.00011574261588975787,eɪ,BR,i,BR757
7816,1.9393471273332352e-09,ɛ,BR,i,BR757
7814,9.473908463286662e-11,æ,BR,i,BR757
7815,1.0853760381776545e-12,ɑ,BR,i,BR757
7819,2.0087398411305912e-09,ʌ,BR,i,BR757
7812,4.65493288359653e-09,oʊ,BR,i,BR757
7813,0.00033992266980931163,u,BR,i,BR757
7818,5.754964149673469e-07,ʊ,BR,i,BR757
6731,0.9990517497062683,i,BR,i,BR796
6737,0.0006481666350737214,ɪ,BR,i,BR796
6730,8.03112707217224e-05,eɪ,BR,i,BR796
6736,2.0121577737342022e-09,ɛ,BR,i,BR796
6734,5.758485702167526e-11,æ,BR,i,BR796
6735,4.993768528034626e-13,ɑ,BR,i,BR796
6739,1.4792160829557588e-09,ʌ,BR,i,BR796
6732,3.4101474977177304e-09,oʊ,BR,i,BR796
6733,0.00021954929979983717,u,BR,i,BR796
6738,3.955821625822864e-07,ʊ,BR,i,BR796
7651,0.9965295195579529,i,BR,i,BR99
7657,0.0033013522624969482,ɪ,BR,i,BR99
7650,0.00010522577940719202,eɪ,BR,i,BR99
7656,1.3063848669503386e-08,ɛ,BR,i,BR99
7654,1.5980126943926365e-10,æ,BR,i,BR99
7655,6.601295031438692e-13,ɑ,BR,i,BR99
7659,2.9854707594978436e-09,ʌ,BR,i,BR99
7652,8.674657436813504e-09,oʊ,BR,i,BR99
7653,6.364542059600353e-05,u,BR,i,BR99
7658,2.8625663617276587e-07,ʊ,BR,i,BR99
7331,0.9301458597183228,i,BR,i,BR992
7337,0.06929731369018555,ɪ,BR,i,BR992
7330,0.0005360276554711163,eɪ,BR,i,BR992
7336,1.5840429341551499e-06,ɛ,BR,i,BR992
7334,1.0242986014930011e-08,æ,BR,i,BR992
7335,1.8796094888862136e-11,ɑ,BR,i,BR992
7339,8.019859620844727e-08,ʌ,BR,i,BR992
7332,1.6798142610241484e-07,oʊ,BR,i,BR992
7333,1.8260367141920142e-05,u,BR,i,BR992
7338,6.961381586734205e-07,ʊ,BR,i,BR992
7821,0.9951491951942444,i,BR,ĩ,BR1025
7827,0.0015797512605786324,ɪ,BR,ĩ,BR1025
7820,0.0030255240853875875,eɪ,BR,ĩ,BR1025
7826,4.907328232661712e-08,ɛ,BR,ĩ,BR1025
7824,2.1002508177048185e-08,æ,BR,ĩ,BR1025
7825,1.7159884624362576e-10,ɑ,BR,ĩ,BR1025
7829,5.878850473095554e-08,ʌ,BR,ĩ,BR1025
7822,1.08060987713543e-07,oʊ,BR,ĩ,BR1025
7823,0.00024349099840037525,u,BR,ĩ,BR1025
7828,1.7637881910559372e-06,ʊ,BR,ĩ,BR1025
7031,0.8122335076332092,i,BR,ĩ,BR1029
