,probabilities,classification,language,vowel,file
8251,0.9241216242313385,i,BR,i,BR132
8257,0.07531583885429427,ɪ,BR,i,BR132
8250,0.0002532387072278652,eɪ,BR,i,BR132
8256,4.3222525804176295e-05,ɛ,BR,i,BR132
8254,1.1575852943840337e-07,æ,BR,i,BR132
8255,8.423583156799458e-08,ɑ,BR,i,BR132
8259,2.2896126506150937e-06,ʌ,BR,i,BR132
8252,6.79628136479593e-07,oʊ,BR,i,BR132
8253,0.00023516885859180546,u,BR,i,BR132
8258,2.7749141214883365e-05,ʊ,BR,i,BR132
7411,0.18261851066308737,i,BR,i,BR329
7417,0.016927182709042653,ɪ,BR,i,BR329
7410,0.31481667914922584,eɪ,BR,i,BR329
7416,9.364661212023506e-05,ɛ,BR,i,BR329
7414,0.00029141331335162944,æ,BR,i,BR329
7415,0.007695642878218549,ɑ,BR,i,BR329
7419,0.0012206114243713119,ʌ,BR,i,BR329
7412,0.2673000148151516,oʊ,BR,i,BR329
7413,0.1742447857146999,u,BR,i,BR329
7418,0.034791549045931444,ʊ,BR,i,BR329
8511,0.15838411701174665,i,BR,i,BR373
8517,0.013421325266220085,ɪ,BR,i,BR373
8510,0.2819629995857362,eɪ,BR,i,BR373
8516,5.398474764693739e-06,ɛ,BR,i,BR373
8514,0.0008754700354086936,æ,BR,i,BR373
8515,0.014295109898873472,ɑ,BR,i,BR373
8519,0.000680922097292065,ʌ,BR,i,BR373
8512,0.22899850907413147,oʊ,BR,i,BR373
8513,0.2624155180193327,u,BR,i,BR373
8518,0.038960605321372556,ʊ,BR,i,BR373
7631,0.1389180408834818,i,BR,i,BR374
7637,0.0198561076396885,ɪ,BR,i,BR374
7630,0.19876246880471235,eɪ,BR,i,BR374
7636,0.019471661710683187,ɛ,BR,i,BR374
7634,0.0254926802440971,æ,BR,i,BR374
7635,0.014008417788723106,ɑ,BR,i,BR374
7639,0.005364439836763039,ʌ,BR,i,BR374
7632,0.3732186690678766,oʊ,BR,i,BR374
7633,0.17441599488441284,u,BR,i,BR374
7638,0.030491535202628484,ʊ,BR,i,BR374
7761,0.11797387872138643,i,BR,i,BR375
7767,0.00400982814355757,ɪ,BR,i,BR375
7760,0.1587240571156144,eɪ,BR,i,BR375
7766,0.00018803371630653486,ɛ,BR,i,BR375
7764,0.002110569163896514,æ,BR,i,BR375
7765,0.02169981854483245,ɑ,BR,i,BR375
7769,0.003472743277649354,ʌ,BR,i,BR375
7762,0.37813637596937044,oʊ,BR,i,BR375
7763,0.19479196695300516,u,BR,i,BR375
7768,0.11889268961218705,ʊ,BR,i,BR375
7491,0.0746722092928394,i,BR,i,BR452
7497,0.025746050710234815,ɪ,BR,i,BR452
7490,0.00015959377257033225,eɪ,BR,i,BR452
7496,2.907751452168629e-05,ɛ,BR,i,BR452
7494,1.8121890784864992e-07,æ,BR,i,BR452
7495,2.2734045182493112e-07,ɑ,BR,i,BR452
7499,6.094921890276162e-06,ʌ,BR,i,BR452
7492,6.256983437724628e-06,oʊ,BR,i,BR452
7493,0.8982233477989212,u,BR,i,BR452
7498,0.001156964706024155,ʊ,BR,i,BR452
7171,0.5738145732910198,i,BR,i,BR454
7177,0.026501782454975142,ɪ,BR,i,BR454
7170,0.00016067083188318066,eɪ,BR,i,BR454
7176,2.049010752531166e-05,ɛ,BR,i,BR454
7174,1.1356091070661988e-07,æ,BR,i,BR454
7175,2.0056812067973696e-07,ɑ,BR,i,BR454
7179,6.61806657622808e-06,ʌ,BR,i,BR454
7172,4.603473976994011e-06,oʊ,BR,i,BR454
7173,0.3943534617275873,u,BR,i,BR454
7178,0.005137508918548406,ʊ,BR,i,BR454
7791,0.9567167222499847,i,BR,i,BR46
7797,0.04259229499148205,ɪ,BR,i,BR46
7790,0.0003055841991226771,eɪ,BR,i,BR46
7796,3.2021973287582606e-05,ɛ,BR,i,BR46
7794,7.428041772922222e-08,æ,BR,i,BR46
7795,5.615717709326262e-08,ɑ,BR,i,BR46
7799,1.2461761282745897e-06,ʌ,BR,i,BR46
7792,4.4115595252414155e-07,oʊ,BR,i,BR46
7793,0.0003296699012253157,u,BR,i,BR46
7798,2.1930735134034764e-05,ʊ,BR,i,BR46
7901,0.9560921490192413,i,BR,i,BR47
7907,0.043283707313821654,ɪ,BR,i,BR47
7900,0.0002864502861484652,eɪ,BR,i,BR47
7906,2.7552464566238387e-05,ɛ,BR,i,BR47
7904,1.0525498301827696e-07,æ,BR,i,BR47
7905,8.262537365963992e-08,ɑ,BR,i,BR47
7909,2.116356395665648e-06,ʌ,BR,i,BR47
7902,5.091328229456237e-07,oʊ,BR,i,BR47
7903,0.0002788580882224778,u,BR,i,BR47
7908,2.8501817777382145e-05,ʊ,BR,i,BR47
7301,0.602858550134988,i,BR,i,BR496
7307,0.06043340137650475,ɪ,BR,i,BR496
7300,0.00029687599953831523,eɪ,BR,i,BR496
7306,2.243638003904258e-05,ɛ,BR,i,BR496
7304,1.2818170494581506e-07,æ,BR,i,BR496
7305,2.563540205436938e-07,ɑ,BR,i,BR496
7309,6.0192957569481e-06,ʌ,BR,i,BR496
7302,9.693226322937676e-06,oʊ,BR,i,BR496
7303,0.33136123991288285,u,BR,i,BR496
7308,0.005011415690682241,ʊ,BR,i,BR496
7571,0.9969284534454346,i,BR,i,BR741
7577,0.0024391446815570815,ɪ,BR,i,BR741
7570,0.00026065564179589273,eɪ,BR,i,BR741
7576,1.5255704969546758e-06,ɛ,BR,i,BR741
7574,1.4248316609552503e-08,æ,BR,i,BR741
7575,8.573048995799748e-09,ɑ,BR,i,BR741
7579,8.905983613484523e-08,ʌ,BR,i,BR741
7572,1.760478105725105e-07,oʊ,BR,i,BR741
7573,0.0003638046820924501,u,BR,i,BR741
7578,6.138130849464574e-06,ʊ,BR,i,BR741
8321,0.9645133018493652,i,BR,i,BR742
8327,0.03476364916714374,ɪ,BR,i,BR742
8320,0.00032914864641497843,eɪ,BR,i,BR742
8326,4.0004959423306506e-05,ɛ,BR,i,BR742
8324,1.530483710699554e-07,æ,BR,i,BR742
8325,1.2108855335782793e-07,ɑ,BR,i,BR742
8329,3.7727401262996557e-06,ʌ,BR,i,BR742
8322,6.763566407608224e-07,oʊ,BR,i,BR742
8323,0.00030782622905007885,u,BR,i,BR742
8328,4.142389957237924e-05,ʊ,BR,i,BR742
7811,0.9685988426208496,i,BR,i,BR757
7817,0.03090143070949125,ɪ,BR,i,BR757
7810,0.00024363414459003253,eɪ,BR,i,BR757
7816,2.0020698114064927e-05,ɛ,BR,i,BR757
7814,8.927634041096255e-08,æ,BR,i,BR757
7815,6.789540013024527e-08,ɑ,BR,i,BR757
7819,1.695144249390802e-06,ʌ,BR,i,BR757
7812,5.877704733953104e-07,oʊ,BR,i,BR757
7813,0.00021034291199839572,u,BR,i,BR757
7818,2.3308905709740203e-05,ʊ,BR,i,BR757
6731,0.9831232845783233,i,BR,i,BR796
6737,0.016338122236265917,ɪ,BR,i,BR796
6730,0.00024366069974348647,eɪ,BR,i,BR796
6736,9.345827481316293e-06,ɛ,BR,i,BR796
6734,5.000000839784635e-08,æ,BR,i,BR796
6735,3.95608770874611e-08,ɑ,BR,i,BR796
6739,7.813892693425922e-07,ʌ,BR,i,BR796
6732,2.698260211375647e-07,oʊ,BR,i,BR796
6733,0.000268873492370858,u,BR,i,BR796
6738,1.5580530867254083e-05,ʊ,BR,i,BR796
7651,0.8896845608949662,i,BR,i,BR99
7657,0.039495421247556804,ɪ,BR,i,BR99
7650,0.06983768045683973,eɪ,BR,i,BR99
7656,2.341992541602389e-05,ɛ,BR,i,BR99
7654,1.8882531641672278e-05,æ,BR,i,BR99
7655,1.135451725869643e-05,ɑ,BR,i,BR99
7659,0.00012068725701961636,ʌ,BR,i,BR99
7652,1.681783353921773e-05,oʊ,BR,i,BR99
7653,0.0006368036766389196,u,BR,i,BR99
7658,0.00015436528033347942,ʊ,BR,i,BR99
7331,0.8018090410041623,i,BR,i,BR992
7337,0.05334760022960836,ɪ,BR,i,BR992
7330,0.044126209474131886,eɪ,BR,i,BR992
7336,0.0002068665624254118,ɛ,BR,i,BR992
7334,4.676536880677817e-05,æ,BR,i,BR992
7335,8.510342816666478e-07,ɑ,BR,i,BR992
7339,1.9679222610554823e-05,ʌ,BR,i,BR992
7332,1.558649733581774e-05,oʊ,BR,i,BR992
7333,0.0894977724880448,u,BR,i,BR992
7338,0.01092961474269245,ʊ,BR,i,BR992
7821,0.16083655067259314,i,BR,ĩ,BR1025
7827,0.009274257332080626,ɪ,BR,ĩ,BR1025
7820,0.35565369131526836,eɪ,BR,ĩ,BR1025
7826,0.0001704075552586226,ɛ,BR,ĩ,BR1025
7824,0.0007275461122346671,æ,BR,ĩ,BR1025
7825,0.0265317476170572,ɑ,BR,ĩ,BR1025
7829,0.000377910274741472,ʌ,BR,ĩ,BR1025
7822,0.029791683314425655,oʊ,BR,ĩ,BR1025
7823,0.3916143527088707,u,BR,ĩ,BR1025
7828,0.025021868718820884,ʊ,BR,ĩ,BR1025
7031,0.3744951317125015,i,BR,ĩ,BR1029
7037,0.060754962878281304,ɪ,BR,ĩ,BR1029
7030,0.16653963723639437,eɪ,BR,ĩ,BR1029
7036,0.000437931956407267,ɛ,BR,ĩ,BR1029
7034,4.144396693630537e-05,æ,BR,ĩ,BR1029
7035,7.990901845150548e-06,ɑ,BR,ĩ,BR1029
7039,0.0005205683832165062,ʌ,BR,ĩ,BR1029
7032,8.972901390222888e-05,oʊ,BR,ĩ,BR1029
7033,0.3860498149695957,u,BR,ĩ,BR1029
7038,0.011062800760895187,ʊ,BR,ĩ,BR1029
7801,0.9692000567913055,i,BR,ĩ,BR154
7807,0.03012874871492386,ɪ,BR,ĩ,BR154
7800,0.00040233932286355413,eɪ,BR,ĩ,BR154
7806,3.0205978753317098e-05,ɛ,BR,ĩ,BR154
7804,1.1372991320091063e-07,æ,BR,ĩ,BR154
7805,8.67465937192424e-08,ɑ,BR,ĩ,BR154
7809,2.4147922011480047e-06,ʌ,BR,ĩ,BR154
7802,4.889478141922865e-07,oʊ,BR,ĩ,BR154
7803,0.00020648417576012433,u,BR,ĩ,BR154
7808,2.9034568406416383e-05,ʊ,BR,ĩ,BR154
7521,0.848081611469388,i,BR,ĩ,BR158
7527,0.13516645876225084,ɪ,BR,ĩ,BR158
7520,0.0005119636698509566,eɪ,BR,ĩ,BR158
7526,0.007074663829585814,ɛ,BR,ĩ,BR158
7524,0.00011582975282876662,æ,BR,ĩ,BR158
7525,0.00010358286892037781,ɑ,BR,ĩ,BR158
7529,0.0012320161532498332,ʌ,BR,ĩ,BR158
7522,0.006442667283964987,oʊ,BR,ĩ,BR158
7523,0.0004071264167350819,u,BR,ĩ,BR158
7528,0.0008640881897221675,ʊ,BR,ĩ,BR158
8541,0.6787835122318938,i,BR,ĩ,BR159
8547,0.12539910626545633,ɪ,BR,ĩ,BR159
8540,0.00022913754877436078,eɪ,BR,ĩ,BR159
8546,0.0014998744637385818,ɛ,BR,ĩ,BR159
8544,2.7638368348542607e-07,æ,BR,ĩ,BR159
8545,1.6555578795255994e-07,ɑ,BR,ĩ,BR159
8549,1.4808537387917746e-06,ʌ,BR,ĩ,BR159
8542,0.00038145654516990034,oʊ,BR,ĩ,BR159
8543,0.1933971439515517,u,BR,ĩ,BR159
8548,0.0003079208308548687,ʊ,BR,ĩ,BR159
7001,0.18555249390033168,i,BR,ĩ,BR264
7007,0.004126441189817332,ɪ,BR,ĩ,BR264
7000,0.012645592006125783,eɪ,BR,ĩ,BR264
7006,0.00020208260900579888,ɛ,BR,ĩ,BR264
7004,1.813708438113148e-05,æ,BR,ĩ,BR264
7005,0.0031923642427952757,ɑ,BR,ĩ,BR264
7009,0.0015492702105963114,ʌ,BR,ĩ,BR264
7002,0.1303798138470184,oʊ,BR,ĩ,BR264
7003,0.5449784316891965,u,BR,ĩ,BR264
7008,0.1173553911379841,ʊ,BR,ĩ,BR264
6851,0.07141930625525675,i,BR,ĩ,BR411
6857,0.0006983077911530078,ɪ,BR,ĩ,BR411
6850,0.056515103499038585,eɪ,BR,ĩ,BR411
6856,4.588663747576161e-06,ɛ,BR,ĩ,BR411
6854,1.0045492840268094e-05,æ,BR,ĩ,BR411
6855,0.002995221882135901,ɑ,BR,ĩ,BR411
6859,0.0005957909335603917,ʌ,BR,ĩ,BR411
6852,0.07600225113733075,oʊ,BR,ĩ,BR411
6853,0.6383519677634467,u,BR,ĩ,BR411
6858,0.15340743540182303,ʊ,BR,ĩ,BR411
7641,0.0035158512372618135,i,BR,ĩ,BR417
7647,0.00014774503441117304,ɪ,BR,ĩ,BR417
7640,0.06685568309367226,eɪ,BR,ĩ,BR417
7646,9.38223889051848e-05,ɛ,BR,ĩ,BR417
7644,0.014760950850464916,æ,BR,ĩ,BR417
7645,0.02448933115483669,ɑ,BR,ĩ,BR417
7649,0.009438991936076491,ʌ,BR,ĩ,BR417
7642,0.4985754907131195,oʊ,BR,ĩ,BR417
7643,0.2840723279397935,u,BR,ĩ,BR417
7648,0.09804979249602183,ʊ,BR,ĩ,BR417
8121,0.16012260221832547,i,BR,ĩ,BR504
8127,0.025841196234047858,ɪ,BR,ĩ,BR504
8120,0.00023676128128244934,eɪ,BR,ĩ,BR504
8126,0.0004214748361502225,ɛ,BR,ĩ,BR504
8124,2.1693211255443296e-06,æ,BR,ĩ,BR504
8125,5.2596849807198805e-06,ɑ,BR,ĩ,BR504
8129,0.0005138553785635322,ʌ,BR,ĩ,BR504
8122,1.8249265594327822e-05,oʊ,BR,ĩ,BR504
8123,0.8051194796105847,u,BR,ĩ,BR504
8128,0.007718925212270733,ʊ,BR,ĩ,BR504
7361,0.2690492408517457,i,BR,ĩ,BR510
7367,0.03238080727646011,ɪ,BR,ĩ,BR510
7360,0.0001344872223105753,eɪ,BR,ĩ,BR510
7366,2.1582297745672065e-05,ɛ,BR,ĩ,BR510
7364,1.2747013229512123e-07,æ,BR,ĩ,BR510
7365,1.376169451225602e-07,ɑ,BR,ĩ,BR510
7369,3.1337343536940204e-06,ʌ,BR,ĩ,BR510
7362,6.841934334378408e-06,oʊ,BR,ĩ,BR510
7363,0.6972604458636852,u,BR,ĩ,BR510
7368,0.0011432358901998895,ʊ,BR,ĩ,BR510
7061,0.3564520191095653,i,BR,ĩ,BR559
7067,0.02964178796832364,ɪ,BR,ĩ,BR559
7060,0.00028381799682506423,eɪ,BR,ĩ,BR559
7066,8.181302749143693e-05,ɛ,BR,ĩ,BR559
7064,4.952263118300493e-07,æ,BR,ĩ,BR559
7065,6.299803960488435e-07,ɑ,BR,ĩ,BR559
7069,4.09476736186111e-05,ʌ,BR,ĩ,BR559
7062,9.83184631406786e-06,oʊ,BR,ĩ,BR559
7063,0.6122298537287861,u,BR,ĩ,BR559
7068,0.0012588251754550583,ʊ,BR,ĩ,BR559
8041,0.9682864427566529,i,BR,ĩ,BR648
8047,0.022593642892206844,ɪ,BR,ĩ,BR648
8040,0.0002660308729900862,eɪ,BR,ĩ,BR648
8046,2.5981404886388225e-05,ɛ,BR,ĩ,BR648
8044,2.3982025451271815e-08,æ,BR,ĩ,BR648
8045,7.60579587299181e-09,ɑ,BR,ĩ,BR648
8049,7.827544371415097e-08,ʌ,BR,ĩ,BR648
8042,8.016404255836717e-07,oʊ,BR,ĩ,BR648
8043,0.00879644723236197,u,BR,ĩ,BR648
8048,3.0534356714184696e-05,ʊ,BR,ĩ,BR648
8161,0.694147788285045,i,BR,ĩ,BR687
8167,0.00561592717312962,ɪ,BR,ĩ,BR687
8160,0.0003061923130417199,eɪ,BR,ĩ,BR687
8166,2.6340191812190827e-06,ɛ,BR,ĩ,BR687
8164,2.217229206659399e-08,æ,BR,ĩ,BR687
8165,2.23229724317554e-08,ɑ,BR,ĩ,BR687
8169,2.3734971893911784e-07,ʌ,BR,ĩ,BR687
8162,2.5563325192143327e-06,oʊ,BR,ĩ,BR687
8163,0.2996230319065944,u,BR,ĩ,BR687
8168,0.0003015594601880167,ʊ,BR,ĩ,BR687
8021,0.8606049079506193,i,BR,ĩ,BR848
8027,0.0076042297085482605,ɪ,BR,ĩ,BR848
8020,0.00028349749431697544,eɪ,BR,ĩ,BR848
8026,1.7404807469027782e-06,ɛ,BR,ĩ,BR848
8024,1.5137237340304663e-08,æ,BR,ĩ,BR848
8025,9.040333415975596e-09,ɑ,BR,ĩ,BR848
8029,1.5132645968373575e-07,ʌ,BR,ĩ,BR848
8022,2.564841804089668e-06,oʊ,BR,ĩ,BR848
8023,0.1313613750247896,u,BR,ĩ,BR848
8028,0.00014153501232669897,ʊ,BR,ĩ,BR848
7671,0.9829415082931519,i,BR,ĩ,BR850
7677,0.016491948809380118,ɪ,BR,ĩ,BR850
7670,0.0002806143576890463,eɪ,BR,ĩ,BR850
7676,1.915200243780557e-05,ɛ,BR,ĩ,BR850
7674,2.168463371018947e-08,æ,BR,ĩ,BR850
7675,7.204575520630713e-09,ɑ,BR,ĩ,BR850
7679,6.434219092989885e-08,ʌ,BR,ĩ,BR850
7672,3.4664072966900106e-07,oʊ,BR,ĩ,BR850
7673,0.00026216114638373257,u,BR,ĩ,BR850
7678,4.184956453912037e-06,ʊ,BR,ĩ,BR850
6971,0.5422081414292734,i,BR,ĩ,BR880
6977,0.049139549058970486,ɪ,BR,ĩ,BR880
6970,0.000382667374731227,eɪ,BR,ĩ,BR880
6976,5.919065617328856e-05,ɛ,BR,ĩ,BR880
6974,2.6304917793845697e-07,æ,BR,ĩ,BR880
6975,1.03478303626137e-06,ɑ,BR,ĩ,BR880
6979,1.3859098368034645e-05,ʌ,BR,ĩ,BR880
6972,4.096487475013788e-06,oʊ,BR,ĩ,BR880
6973,0.40062348668689085,u,BR,ĩ,BR880
6978,0.00756773349646096,ʊ,BR,ĩ,BR880
8061,0.20778237311460543,i,BR,e,BR1014
8067,0.18205905216600513,ɪ,BR,e,BR1014
8060,0.556490838485115,eɪ,BR,e,BR1014
8066,0.013758266745377768,ɛ,BR,e,BR1014
8064,0.0005493936103532881,æ,BR,e,BR1014
8065,5.2657826208910194e-05,ɑ,BR,e,BR1014
8069,0.005098525951743071,ʌ,BR,e,BR1014
8062,0.00040653275701743043,oʊ,BR,e,BR1014
8063,0.008779590143348592,u,BR,e,BR1014
8068,0.025022793439694622,ʊ,BR,e,BR1014
7181,0.016014705211932777,i,BR,e,BR283
7187,0.056758561371927384,ɪ,BR,e,BR283
7180,0.17601856344044792,eɪ,BR,e,BR283
7186,0.3161547484813291,ɛ,BR,e,BR283
