,probabilities,classification,language,vowel,file
8251,0.9501340389251709,i,BR,i,BR132
8257,0.048537157475948334,ɪ,BR,i,BR132
8250,0.00010912127618212253,eɪ,BR,i,BR132
8256,0.00042278505861759186,ɛ,BR,i,BR132
8254,9.33469709707424e-05,æ,BR,i,BR132
8255,7.443539652740583e-05,ɑ,BR,i,BR132
8259,0.00013540129293687642,ʌ,BR,i,BR132
8252,8.514866203768179e-05,oʊ,BR,i,BR132
8253,0.00016928343393374234,u,BR,i,BR132
8258,0.00023938037338666618,ʊ,BR,i,BR132
7411,0.005164644215255976,i,BR,i,BR329
7417,0.0008526866440661252,ɪ,BR,i,BR329
7410,0.0363035574555397,eɪ,BR,i,BR329
7416,0.0005148138734512031,ɛ,BR,i,BR329
7414,0.0002851793251466006,æ,BR,i,BR329
7415,0.0004971616435796022,ɑ,BR,i,BR329
7419,0.0013444991782307625,ʌ,BR,i,BR329
7412,0.0148551594465971,oʊ,BR,i,BR329
7413,0.6043888926506042,u,BR,i,BR329
7418,0.33579346537590027,ʊ,BR,i,BR329
8511,0.000585386180318892,i,BR,i,BR373
8517,0.00027352006873115897,ɪ,BR,i,BR373
8510,0.00382239930331707,eɪ,BR,i,BR373
8516,0.00038550817407667637,ɛ,BR,i,BR373
8514,0.00013152994506526738,æ,BR,i,BR373
8515,0.00017535878578200936,ɑ,BR,i,BR373
8519,0.0005217736470513046,ʌ,BR,i,BR373
8512,0.006348367780447006,oʊ,BR,i,BR373
8513,0.7207480669021606,u,BR,i,BR373
8518,0.26700806617736816,ʊ,BR,i,BR373
7631,0.0009137733723036945,i,BR,i,BR374
7637,0.0003762180858757347,ɪ,BR,i,BR374
7630,0.0036029829643666744,eɪ,BR,i,BR374
7636,0.0006781991687603295,ɛ,BR,i,BR374
7634,0.00015350787725765258,æ,BR,i,BR374
7635,0.00014849462604615837,ɑ,BR,i,BR374
7639,0.0005179893341846764,ʌ,BR,i,BR374
7632,0.004538253415375948,oʊ,BR,i,BR374
7633,0.656361997127533,u,BR,i,BR374
7638,0.33270856738090515,ʊ,BR,i,BR374
7761,0.017669210210442543,i,BR,i,BR375
7767,0.0008846133714541793,ɪ,BR,i,BR375
7760,0.11470311880111694,eɪ,BR,i,BR375
7766,0.0004923859378322959,ɛ,BR,i,BR375
7764,0.0006124668871052563,æ,BR,i,BR375
7765,0.0007873269496485591,ɑ,BR,i,BR375
7769,0.0006847771001048386,ʌ,BR,i,BR375
7762,0.026318222284317017,oʊ,BR,i,BR375
7763,0.679613471031189,u,BR,i,BR375
7768,0.1582343876361847,ʊ,BR,i,BR375
7491,0.007562308106571436,i,BR,i,BR452
7497,0.4578542709350586,ɪ,BR,i,BR452
7490,0.0006159862386994064,eɪ,BR,i,BR452
7496,0.007272153161466122,ɛ,BR,i,BR452
7494,0.0005942313582636416,æ,BR,i,BR452
7495,0.0032268306240439415,ɑ,BR,i,BR452
7499,0.11537226289510727,ʌ,BR,i,BR452
7492,0.0004785660421475768,oʊ,BR,i,BR452
7493,0.22112545371055603,u,BR,i,BR452
7498,0.18589799106121063,ʊ,BR,i,BR452
7171,0.6179112195968628,i,BR,i,BR454
7177,0.37635359168052673,ɪ,BR,i,BR454
7170,0.00023394677555188537,eɪ,BR,i,BR454
7176,0.0018775954376906157,ɛ,BR,i,BR454
7174,0.00022360750881489366,æ,BR,i,BR454
7175,0.00023358584439847618,ɑ,BR,i,BR454
7179,0.000673582311719656,ʌ,BR,i,BR454
7172,0.00022665041615255177,oʊ,BR,i,BR454
7173,0.0009383474825881422,u,BR,i,BR454
7178,0.0013277822872623801,ʊ,BR,i,BR454
7791,0.7796621918678284,i,BR,i,BR46
7797,0.2187383621931076,ɪ,BR,i,BR46
7790,0.00031259123352356255,eɪ,BR,i,BR46
7796,0.0005346030811779201,ɛ,BR,i,BR46
7794,0.0001045741664711386,æ,BR,i,BR46
7795,0.00012217240873724222,ɑ,BR,i,BR46
7799,0.0001902296207845211,ʌ,BR,i,BR46
7792,9.553421841701493e-05,oʊ,BR,i,BR46
7793,5.479375249706209e-05,u,BR,i,BR46
7798,0.00018493070092517883,ʊ,BR,i,BR46
7901,0.9180953502655029,i,BR,i,BR47
7907,0.08083228766918182,ɪ,BR,i,BR47
7900,0.00041571204201318324,eɪ,BR,i,BR47
7906,0.00024369978928007185,ɛ,BR,i,BR47
7904,5.868305379408412e-05,æ,BR,i,BR47
7905,6.489213410532102e-05,ɑ,BR,i,BR47
7909,8.628243813291192e-05,ʌ,BR,i,BR47
7902,5.532961222343147e-05,oʊ,BR,i,BR47
7903,4.116114359931089e-05,u,BR,i,BR47
7908,0.00010656471567926928,ʊ,BR,i,BR47
7301,0.6089211106300354,i,BR,i,BR496
7307,0.38922813534736633,ɪ,BR,i,BR496
7300,0.0003569682303350419,eɪ,BR,i,BR496
7306,0.0005356515175662935,ɛ,BR,i,BR496
7304,0.00017525380826555192,æ,BR,i,BR496
7305,0.00015959946904331446,ɑ,BR,i,BR496
7309,0.00019829298253171146,ʌ,BR,i,BR496
7302,0.00015617498138453811,oʊ,BR,i,BR496
7303,6.327792652882636e-05,u,BR,i,BR496
7308,0.00020559024414978921,ʊ,BR,i,BR496
7571,0.998238205909729,i,BR,i,BR741
7577,0.000473674270324409,ɪ,BR,i,BR741
7570,0.0002732668071985245,eɪ,BR,i,BR741
7576,3.7095072912052274e-05,ɛ,BR,i,BR741
7574,9.659148781793192e-05,æ,BR,i,BR741
7575,9.688329009804875e-05,ɑ,BR,i,BR741
7579,4.944125612382777e-05,ʌ,BR,i,BR741
7572,8.833362517179921e-05,oʊ,BR,i,BR741
7573,0.0005659944727085531,u,BR,i,BR741
7578,8.069504838204011e-05,ʊ,BR,i,BR741
8321,0.9881865382194519,i,BR,i,BR742
8327,0.01123609859496355,ɪ,BR,i,BR742
8320,0.00017083401326090097,eɪ,BR,i,BR742
8326,7.976648339536041e-05,ɛ,BR,i,BR742
8324,5.3727275371784344e-05,æ,BR,i,BR742
8325,6.15872340858914e-05,ɑ,BR,i,BR742
8329,5.664512354996987e-05,ʌ,BR,i,BR742
8322,4.346981950220652e-05,oʊ,BR,i,BR742
8323,3.6482542782323435e-05,u,BR,i,BR742
8328,7.479245687136427e-05,ʊ,BR,i,BR742
7811,0.9983731508255005,i,BR,i,BR757
7817,0.001096131862141192,ɪ,BR,i,BR757
7810,0.00014530828048009425,eɪ,BR,i,BR757
7816,3.3408730814699084e-05,ɛ,BR,i,BR757
7814,5.0588714657351375e-05,æ,BR,i,BR757
7815,5.764533852925524e-05,ɑ,BR,i,BR757
7819,3.5868150007445365e-05,ʌ,BR,i,BR757
7812,4.43899079982657e-05,oʊ,BR,i,BR757
7813,0.00010901401401497424,u,BR,i,BR757
7818,5.4490450565936044e-05,ʊ,BR,i,BR757
6731,0.9076069593429565,i,BR,i,BR796
6737,0.09069956094026566,ɪ,BR,i,BR796
6730,0.00028496148297563195,eɪ,BR,i,BR796
6736,0.0003426409384701401,ɛ,BR,i,BR796
6734,0.00016788086213637143,æ,BR,i,BR796
6735,0.00018986946088261902,ɑ,BR,i,BR796
6739,0.00018016055400948972,ʌ,BR,i,BR796
6732,0.00012721182429231703,oʊ,BR,i,BR796
6733,0.00013403521734289825,u,BR,i,BR796
6738,0.0002665699867065996,ʊ,BR,i,BR796
7651,0.9931963682174683,i,BR,i,BR99
7657,0.005506271496415138,ɪ,BR,i,BR99
7650,0.0001377307780785486,eɪ,BR,i,BR99
7656,0.00013154612679500133,ɛ,BR,i,BR99
7654,6.838126864749938e-05,æ,BR,i,BR99
7655,4.23992496507708e-05,ɑ,BR,i,BR99
