,probabilities,classification,language,vowel,file
8251,0.8469181802123785,i,BR,i,BR132
8257,0.0560979773697909,ɪ,BR,i,BR132
8250,0.0013299841106345412,eɪ,BR,i,BR132
8256,0.06585086367650775,ɛ,BR,i,BR132
8254,0.026757375570662136,æ,BR,i,BR132
8255,0.0004966159013747529,ɑ,BR,i,BR132
8259,0.002106297633582699,ʌ,BR,i,BR132
8252,0.00015552263736253735,oʊ,BR,i,BR132
8253,0.00015909783110146236,u,BR,i,BR132
8258,0.0001280796559058217,ʊ,BR,i,BR132
7411,0.07033730494877091,i,BR,i,BR329
7417,0.003712079044635175,ɪ,BR,i,BR329
7410,0.1637979204561816,eɪ,BR,i,BR329
7416,0.00023346034176938702,ɛ,BR,i,BR329
7414,0.00040905058635871684,æ,BR,i,BR329
7415,0.0017739844272000483,ɑ,BR,i,BR329
7419,0.0010119140104507096,ʌ,BR,i,BR329
7412,0.24396518605935852,oʊ,BR,i,BR329
7413,0.2959732336355046,u,BR,i,BR329
7418,0.21878585725262384,ʊ,BR,i,BR329
8511,0.1199526725285068,i,BR,i,BR373
8517,0.006139628803521191,ɪ,BR,i,BR373
8510,0.1778455113477321,eɪ,BR,i,BR373
8516,0.00013618516882161203,ɛ,BR,i,BR373
8514,0.00012789809995865652,æ,BR,i,BR373
8515,0.00021422158943096292,ɑ,BR,i,BR373
8519,0.0004909636016236618,ʌ,BR,i,BR373
8512,0.03195018484202592,oʊ,BR,i,BR373
8513,0.4723589529048695,u,BR,i,BR373
8518,0.19078381996587268,ʊ,BR,i,BR373
7631,0.12182661478163936,i,BR,i,BR374
7637,0.01556048184465908,ɪ,BR,i,BR374
7630,0.08478629851570077,eɪ,BR,i,BR374
7636,0.0017098229339353565,ɛ,BR,i,BR374
7634,0.00025620705100664053,æ,BR,i,BR374
7635,0.0006739086935340311,ɑ,BR,i,BR374
7639,0.00048803480385686273,ʌ,BR,i,BR374
7632,0.27802652103837316,oʊ,BR,i,BR374
7633,0.2918246413399174,u,BR,i,BR374
7638,0.20484748834351194,ʊ,BR,i,BR374
7761,0.02216471380124858,i,BR,i,BR375
