,probabilities,classification,language,vowel,file
8251,0.9502881765365601,i,BR,i,BR132
8257,0.04708915576338768,ɪ,BR,i,BR132
8250,0.0001572415349073708,eɪ,BR,i,BR132
8256,0.00016797696298453957,ɛ,BR,i,BR132
8254,2.1037780243204907e-05,æ,BR,i,BR132
8255,0.00010538821516092867,ɑ,BR,i,BR132
8259,5.1395483751548454e-05,ʌ,BR,i,BR132
8252,4.067173449584516e-06,oʊ,BR,i,BR132
8253,0.0017459822120144963,u,BR,i,BR132
8258,0.00036952205118723214,ʊ,BR,i,BR132
7411,0.02117874100804329,i,BR,i,BR329
7417,0.9335945844650269,ɪ,BR,i,BR329
7410,0.01595974713563919,eɪ,BR,i,BR329
7416,0.019486024975776672,ɛ,BR,i,BR329
7414,0.0050554401241242886,æ,BR,i,BR329
7415,0.0011814759345725179,ɑ,BR,i,BR329
7419,0.00021841947454959154,ʌ,BR,i,BR329
7412,0.0003397855907678604,oʊ,BR,i,BR329
7413,0.002794874832034111,u,BR,i,BR329
7418,0.00019082595827057958,ʊ,BR,i,BR329
8511,0.7459161877632141,i,BR,i,BR373
8517,0.24241943657398224,ɪ,BR,i,BR373
8510,0.0002915370569098741,eɪ,BR,i,BR373
8516,0.00036879192339256406,ɛ,BR,i,BR373
8514,8.070461490206071e-07,æ,BR,i,BR373
8515,6.01593171722925e-07,ɑ,BR,i,BR373
8519,5.459375643113162e-06,ʌ,BR,i,BR373
8512,4.3511553826647287e-07,oʊ,BR,i,BR373
8513,0.010932594537734985,u,BR,i,BR373
8518,6.422078149626032e-05,ʊ,BR,i,BR373
7631,0.4446517527103424,i,BR,i,BR374
7637,0.5412694215774536,ɪ,BR,i,BR374
7630,0.010087174363434315,eɪ,BR,i,BR374
7636,0.0020057465881109238,ɛ,BR,i,BR374
7634,3.89497508876957e-05,æ,BR,i,BR374
7635,2.7932007924391655e-06,ɑ,BR,i,BR374
7639,0.00012167137901997194,ʌ,BR,i,BR374
7632,5.798732445327914e-07,oʊ,BR,i,BR374
7633,0.0014597661793231964,u,BR,i,BR374
7638,0.0003621185023803264,ʊ,BR,i,BR374
7761,0.0675976425409317,i,BR,i,BR375
7767,0.7519912123680115,ɪ,BR,i,BR375
7760,0.012361697852611542,eɪ,BR,i,BR375
7766,0.03268314525485039,ɛ,BR,i,BR375
7764,0.00041842099744826555,æ,BR,i,BR375
7765,0.00047069243737496436,ɑ,BR,i,BR375
7769,0.0014865270350128412,ʌ,BR,i,BR375
7762,0.0011836462654173374,oʊ,BR,i,BR375
7763,0.12922735512256622,u,BR,i,BR375
7768,0.002579724183306098,ʊ,BR,i,BR375
7491,0.459573358297348,i,BR,i,BR452
7497,0.0512113980948925,ɪ,BR,i,BR452
7490,0.0012685637921094894,eɪ,BR,i,BR452
7496,0.0010707960464060307,ɛ,BR,i,BR452
7494,0.0008787201950326562,æ,BR,i,BR452
7495,0.00259111518971622,ɑ,BR,i,BR452
7499,0.001443652086891234,ʌ,BR,i,BR452
7492,0.001538362237624824,oʊ,BR,i,BR452
7493,0.3749113380908966,u,BR,i,BR452
7498,0.10551270097494125,ʊ,BR,i,BR452
7171,0.042111895978450775,i,BR,i,BR454
7177,0.01522459089756012,ɪ,BR,i,BR454
7170,2.85928450693973e-07,eɪ,BR,i,BR454
7176,0.00013197955559007823,ɛ,BR,i,BR454
7174,2.8471430368881556e-07,æ,BR,i,BR454
7175,5.4470469876832794e-06,ɑ,BR,i,BR454
7179,0.00023186072940006852,ʌ,BR,i,BR454
7172,7.821819281161879e-07,oʊ,BR,i,BR454
7173,0.8346326947212219,u,BR,i,BR454
7178,0.1076601967215538,ʊ,BR,i,BR454
