,probabilities,classification,language,vowel,file
0,0.9520922541618347,i,BR,i,BR132
1,0.03225269764661784,ɪ,BR,i,BR132
2,0.010579705510281166,eɪ,BR,i,BR132
3,0.0008666969937621343,ɛ,BR,i,BR132
4,0.00017598164167791674,æ,BR,i,BR132
5,0.0002979978395273813,ɑ,BR,i,BR132
6,4.646057564059053e-05,ʌ,BR,i,BR132
7,4.798794394672425e-05,oʊ,BR,i,BR132
8,0.00278283090010513,u,BR,i,BR132
9,0.0008573630519094384,ʊ,BR,i,BR132
10,0.03362947688437993,i,BR,i,BR329
11,0.702317065000534,ɪ,BR,i,BR329
12,0.1314935632050037,eɪ,BR,i,BR329
13,0.06827982552349562,ɛ,BR,i,BR329
14,0.04516141454223539,æ,BR,i,BR329
15,0.00434106515021989,ɑ,BR,i,BR329
16,0.00091626873472699,ʌ,BR,i,BR329
17,0.00053601919644274,oʊ,BR,i,BR329
18,0.0113555903313681,u,BR,i,BR329
19,0.00196971812401894,ʊ,BR,i,BR329
20,0.7284083127975464,i,BR,i,BR373
21,0.25350636597722764,ɪ,BR,i,BR373
22,0.0027853420004248,eɪ,BR,i,BR373
23,0.0008856749314872759,ɛ,BR,i,BR373
24,6.64628936419831e-06,æ,BR,i,BR373
25,2.5419306183493973e-06,ɑ,BR,i,BR373
26,8.118379241750517e-06,ʌ,BR,i,BR373
27,3.136284153981706e-06,oʊ,BR,i,BR373
28,0.014061543950810959,u,BR,i,BR373
29,0.000332315002015016,ʊ,BR,i,BR373
30,0.49785583913326265,i,BR,i,BR374
31,0.44404319673776627,ɪ,BR,i,BR374
32,0.05175032350234683,eɪ,BR,i,BR374
33,0.002671464823652,ɛ,BR,i,BR374
34,0.0005294967906592828,æ,BR,i,BR374
35,1.2380483406104759e-05,ɑ,BR,i,BR374
36,0.00011289350259173303,ʌ,BR,i,BR374
37,1.1689620919241862e-06,oʊ,BR,i,BR374
38,0.00236447421484621,u,BR,i,BR374
39,0.00065877209417516,ʊ,BR,i,BR374
40,0.11476320661604404,i,BR,i,BR375
41,0.5753354519605637,ɪ,BR,i,BR375
42,0.043960189074277824,eɪ,BR,i,BR375
43,0.04603270199149842,ɛ,BR,i,BR375
44,0.00203458910982585,æ,BR,i,BR375
45,0.00312677066031026,ɑ,BR,i,BR375
46,0.00209196678479198,ʌ,BR,i,BR375
47,0.003195808560849351,oʊ,BR,i,BR375
48,0.18492616699077186,u,BR,i,BR375
49,0.024533169995993302,ʊ,BR,i,BR375
50,0.3916206307709217,i,BR,i,BR452
51,0.03998988699167963,ɪ,BR,i,BR452
52,0.007704529835609671,eɪ,BR,i,BR452
53,0.003848362213466261,ɛ,BR,i,BR452
54,0.00214316073688672,æ,BR,i,BR452
55,0.0040785391000099005,ɑ,BR,i,BR452
56,0.0030967463804699403,ʌ,BR,i,BR452
57,0.0034687696359469106,oʊ,BR,i,BR452
58,0.4261165842413902,u,BR,i,BR452
59,0.117932803556323,ʊ,BR,i,BR452
60,0.10817922176793213,i,BR,i,BR454
61,0.009122284874319979,ɪ,BR,i,BR454
62,4.0258320557019785e-05,eɪ,BR,i,BR454
63,0.00046554461659976693,ɛ,BR,i,BR454
64,2.1966436420939317e-06,æ,BR,i,BR454
65,2.226280291778471e-05,ɑ,BR,i,BR454
66,0.0005094135878607293,ʌ,BR,i,BR454
67,8.435176150596666e-05,oʊ,BR,i,BR454
68,0.73771753013134,u,BR,i,BR454
69,0.1438569106161594,ʊ,BR,i,BR454
70,0.5308112800121307,i,BR,i,BR46
71,0.27825980484485624,ɪ,BR,i,BR46
72,0.021890562004409676,eɪ,BR,i,BR46
73,0.00805200296454125,ɛ,BR,i,BR46
74,0.04762190706096585,æ,BR,i,BR46
75,0.0021202838281169,ɑ,BR,i,BR46
76,0.00956048537045712,ʌ,BR,i,BR46
77,0.0005869636013812542,oʊ,BR,i,BR46
78,0.01161183393560344,u,BR,i,BR46
79,0.08948487350717182,ʊ,BR,i,BR46
80,0.950065279006958,i,BR,i,BR47
81,0.022642138111405016,ɪ,BR,i,BR47
82,0.01166539343248583,eɪ,BR,i,BR47
83,0.0014537093878061373,ɛ,BR,i,BR47
84,0.00201900785032189,æ,BR,i,BR47
85,0.0007346128864810098,ɑ,BR,i,BR47
86,0.0005322847864590233,ʌ,BR,i,BR47
87,0.0006721077903421139,oʊ,BR,i,BR47
88,0.00458608630869999,u,BR,i,BR47
89,0.0056293834350071405,ʊ,BR,i,BR47
90,0.1552071460755542,i,BR,i,BR496
91,0.01838891981169577,ɪ,BR,i,BR496
92,0.0003089429587589505,eɪ,BR,i,BR496
93,0.004116530664032282,ɛ,BR,i,BR496
