,probabilities,classification,language,vowel,file
8251,0.9000858068466187,i,BR,i,BR132
8257,0.02521454356610775,ɪ,BR,i,BR132
8250,0.030997341498732567,eɪ,BR,i,BR132
8256,0.0019002569606527686,ɛ,BR,i,BR132
8254,0.010961038991808891,æ,BR,i,BR132
8255,0.013376552611589432,ɑ,BR,i,BR132
8259,0.0005215012934058905,ʌ,BR,i,BR132
8252,0.0003288283187430352,oʊ,BR,i,BR132
8253,0.010974783450365067,u,BR,i,BR132
8258,0.005639152601361275,ʊ,BR,i,BR132
7411,0.08537174016237259,i,BR,i,BR329
7417,0.7849164605140686,ɪ,BR,i,BR329
7410,0.008350380696356297,eɪ,BR,i,BR329
7416,0.10557542741298676,ɛ,BR,i,BR329
7414,0.007154563441872597,æ,BR,i,BR329
7415,0.0015754044288769364,ɑ,BR,i,BR329
7419,0.00056913320440799,ʌ,BR,i,BR329
7412,0.0008949040784500539,oʊ,BR,i,BR329
7413,0.00503207603469491,u,BR,i,BR329
7418,0.0005599447758868337,ʊ,BR,i,BR329
8511,0.9006320238113403,i,BR,i,BR373
8517,0.08509761095046997,ɪ,BR,i,BR373
8510,0.004114088136702776,eɪ,BR,i,BR373
8516,0.002001571236178279,ɛ,BR,i,BR373
8514,1.358287590846885e-05,æ,BR,i,BR373
8515,3.3469905247329734e-06,ɑ,BR,i,BR373
8519,6.33556146567571e-06,ʌ,BR,i,BR373
8512,1.3348414540814701e-05,oʊ,BR,i,BR373
8513,0.008013439364731312,u,BR,i,BR373
8518,0.00010466900130268186,ʊ,BR,i,BR373
7631,0.6203622817993164,i,BR,i,BR374
7637,0.3624286353588104,ɪ,BR,i,BR374
7630,0.00494622765108943,eɪ,BR,i,BR374
7636,0.0012028150958940387,ɛ,BR,i,BR374
7634,7.222777639981359e-05,æ,BR,i,BR374
7635,2.7916725230170414e-05,ɑ,BR,i,BR374
7639,0.0001418658794136718,ʌ,BR,i,BR374
7632,6.323127763607772e-06,oʊ,BR,i,BR374
7633,0.009087697602808475,u,BR,i,BR374
7638,0.0017239679582417011,ʊ,BR,i,BR374
7761,0.19292457401752472,i,BR,i,BR375
7767,0.7398418188095093,ɪ,BR,i,BR375
7760,0.006164495833218098,eɪ,BR,i,BR375
7766,0.046776119619607925,ɛ,BR,i,BR375
7764,0.0003188895934727043,æ,BR,i,BR375
7765,0.00021462611039169133,ɑ,BR,i,BR375
7769,8.348511619260535e-05,ʌ,BR,i,BR375
7762,0.00018667163385543972,oʊ,BR,i,BR375
7763,0.013214506208896637,u,BR,i,BR375
7768,0.00027474144008010626,ʊ,BR,i,BR375
7491,0.675227165222168,i,BR,i,BR452
7497,0.11213956028223038,ɪ,BR,i,BR452
7490,0.011455359868705273,eɪ,BR,i,BR452
7496,0.018792476505041122,ɛ,BR,i,BR452
7494,0.010710214264690876,æ,BR,i,BR452
7495,0.026288745924830437,ɑ,BR,i,BR452
7499,0.014851102605462074,ʌ,BR,i,BR452
7492,0.004662374034523964,oʊ,BR,i,BR452
7493,0.060654062777757645,u,BR,i,BR452
7498,0.06521902978420258,ʊ,BR,i,BR452
