,probabilities,classification,language,vowel,file
0,0.8061664044857025,i,BR,i,BR132
1,0.024320997996255693,ɪ,BR,i,BR132
2,0.08964768666774028,eɪ,BR,i,BR132
3,0.010538305359659671,ɛ,BR,i,BR132
4,0.01705062685068691,æ,BR,i,BR132
5,0.015282866964116659,ɑ,BR,i,BR132
6,0.004554575207293911,ʌ,BR,i,BR132
7,0.003966421025688731,oʊ,BR,i,BR132
8,0.020840561948716595,u,BR,i,BR132
9,0.007631524465978079,ʊ,BR,i,BR132
10,0.17199753858149053,i,BR,i,BR329
11,0.6077801331877708,ɪ,BR,i,BR329
12,0.04002959672361606,eɪ,BR,i,BR329
13,0.11014150902628894,ɛ,BR,i,BR329
14,0.017678214469924507,æ,BR,i,BR329
15,0.006892049335874559,ɑ,BR,i,BR329
16,0.00871422429918307,ʌ,BR,i,BR329
17,0.00860374679323282,oʊ,BR,i,BR329
18,0.023191658919677095,u,BR,i,BR329
19,0.0049713551677995705,ʊ,BR,i,BR329
20,0.8353182643651962,i,BR,i,BR373
21,0.072894399985671,ɪ,BR,i,BR373
22,0.04108379043173039,eɪ,BR,i,BR373
23,0.011880878219380919,ɛ,BR,i,BR373
24,0.002221824024445582,æ,BR,i,BR373
25,0.0015346370207396196,ɑ,BR,i,BR373
26,0.0037037332160252795,ʌ,BR,i,BR373
27,0.0026130621854917814,oʊ,BR,i,BR373
28,0.025703490944579188,u,BR,i,BR373
29,0.0030459172696282247,ʊ,BR,i,BR373
30,0.614012160897255,i,BR,i,BR374
31,0.2875366918742656,ɪ,BR,i,BR374
32,0.03532448839396232,eɪ,BR,i,BR374
33,0.012226869858568478,ɛ,BR,i,BR374
34,0.003516408281575397,æ,BR,i,BR374
35,0.002802639414949197,ɑ,BR,i,BR374
36,0.005884120833070416,ʌ,BR,i,BR374
37,0.0019522879524629202,oʊ,BR,i,BR374
38,0.030633865762501912,u,BR,i,BR374
39,0.00611048227874556,ʊ,BR,i,BR374
40,0.3136452943086624,i,BR,i,BR375
41,0.5294140562415123,ɪ,BR,i,BR375
42,0.0510699276812374,eɪ,BR,i,BR375
43,0.052194206602871364,ɛ,BR,i,BR375
44,0.0036360369209432696,æ,BR,i,BR375
45,0.00261278728285102,ɑ,BR,i,BR375
46,0.005075963617127828,ʌ,BR,i,BR375
47,0.00372117471270024,oʊ,BR,i,BR375
48,0.035951205156743486,u,BR,i,BR375
49,0.00267934226430948,ʊ,BR,i,BR375
50,0.5460173711180687,i,BR,i,BR452
51,0.1117965385317802,ɪ,BR,i,BR452
52,0.035924217477440776,eɪ,BR,i,BR452
53,0.037314420659095,ɛ,BR,i,BR452
54,0.02388012548908587,æ,BR,i,BR452
55,0.027795456908643195,ɑ,BR,i,BR452
56,0.03070394862443202,ʌ,BR,i,BR452
57,0.017679696250706853,oʊ,BR,i,BR452
58,0.09233846329152581,u,BR,i,BR452
59,0.07654976807534693,ʊ,BR,i,BR452
60,0.29754554480314255,i,BR,i,BR454
61,0.02752829696983094,ɪ,BR,i,BR454
62,0.015188464058155623,eɪ,BR,i,BR454
63,0.027483407687395767,ɛ,BR,i,BR454
64,0.006223192435572809,æ,BR,i,BR454
65,0.02096570897847408,ɑ,BR,i,BR454
66,0.02484055329114193,ʌ,BR,i,BR454
67,0.009676708932965938,oʊ,BR,i,BR454
68,0.279752342402935,u,BR,i,BR454
69,0.29079577699303627,ʊ,BR,i,BR454
70,0.3915054351091385,i,BR,i,BR46
71,0.2839267022907734,ɪ,BR,i,BR46
72,0.10925060622394082,eɪ,BR,i,BR46
73,0.05359725877642625,ɛ,BR,i,BR46
74,0.07295067235827442,æ,BR,i,BR46
75,0.013976488402113268,ɑ,BR,i,BR46
