,probabilities,classification,language,vowel,file
8251,0.4077220559120178,i,BR,i,BR132
8257,0.02168436348438263,ɪ,BR,i,BR132
8250,0.16715788841247559,eɪ,BR,i,BR132
8256,0.008011524565517902,ɛ,BR,i,BR132
8254,0.04465176537632942,æ,BR,i,BR132
8255,0.08246131241321564,ɑ,BR,i,BR132
8259,0.04191775247454643,ʌ,BR,i,BR132
8252,0.13922733068466187,oʊ,BR,i,BR132
8253,0.054140955209732056,u,BR,i,BR132
8258,0.03302491083741188,ʊ,BR,i,BR132
7411,0.04510078579187393,i,BR,i,BR329
7417,0.6034261584281921,ɪ,BR,i,BR329
7410,0.009266234003007412,eɪ,BR,i,BR329
7416,0.2518550455570221,ɛ,BR,i,BR329
7414,0.016105856746435165,æ,BR,i,BR329
7415,0.0035155299119651318,ɑ,BR,i,BR329
7419,0.02857993356883526,ʌ,BR,i,BR329
7412,0.0001013154978863895,oʊ,BR,i,BR329
7413,0.037154022604227066,u,BR,i,BR329
7418,0.004895110614597797,ʊ,BR,i,BR329
8511,0.8014434576034546,i,BR,i,BR373
8517,0.13963185250759125,ɪ,BR,i,BR373
8510,0.043001893907785416,eɪ,BR,i,BR373
8516,0.010403837077319622,ɛ,BR,i,BR373
8514,0.00043586004176177084,æ,BR,i,BR373
8515,2.3979184334166348e-05,ɑ,BR,i,BR373
8519,0.00028788732015527785,ʌ,BR,i,BR373
8512,0.00030346139101311564,oʊ,BR,i,BR373
8513,0.003480182960629463,u,BR,i,BR373
8518,0.00098762521520257,ʊ,BR,i,BR373
7631,0.5447489023208618,i,BR,i,BR374
7637,0.41832903027534485,ɪ,BR,i,BR374
7630,0.0029427858535200357,eɪ,BR,i,BR374
7636,0.007158905733376741,ɛ,BR,i,BR374
7634,0.00017527397722005844,æ,BR,i,BR374
7635,0.0008663118933327496,ɑ,BR,i,BR374
7639,0.0036819307133555412,ʌ,BR,i,BR374
7632,0.0003218100464437157,oʊ,BR,i,BR374
7633,0.016592644155025482,u,BR,i,BR374
7638,0.005182428285479546,ʊ,BR,i,BR374
7761,0.06318427622318268,i,BR,i,BR375
7767,0.4450882375240326,ɪ,BR,i,BR375
7760,0.08359414339065552,eɪ,BR,i,BR375
7766,0.13759170472621918,ɛ,BR,i,BR375
7764,0.01841435581445694,æ,BR,i,BR375
7765,0.055919766426086426,ɑ,BR,i,BR375
7769,0.013414214365184307,ʌ,BR,i,BR375
7762,0.004099734593182802,oʊ,BR,i,BR375
7763,0.1671985536813736,u,BR,i,BR375
7768,0.011495049111545086,ʊ,BR,i,BR375
7491,0.36394160985946655,i,BR,i,BR452
7497,0.2002822309732437,ɪ,BR,i,BR452
7490,0.03187640756368637,eɪ,BR,i,BR452
7496,0.03334265574812889,ɛ,BR,i,BR452
7494,0.02721906639635563,æ,BR,i,BR452
7495,0.030343690887093544,ɑ,BR,i,BR452
7499,0.13839681446552277,ʌ,BR,i,BR452
7492,0.011886253952980042,oʊ,BR,i,BR452
7493,0.03199397400021553,u,BR,i,BR452
7498,0.13071715831756592,ʊ,BR,i,BR452
7171,0.6519023776054382,i,BR,i,BR454
7177,0.0168461911380291,ɪ,BR,i,BR454
7170,0.005738527048379183,eɪ,BR,i,BR454
7176,0.0030223780777305365,ɛ,BR,i,BR454
7174,0.0007613482885062695,æ,BR,i,BR454
7175,0.003277278272435069,ɑ,BR,i,BR454
7179,0.01160501316189766,ʌ,BR,i,BR454
7172,0.01320736389607191,oʊ,BR,i,BR454
7173,0.17488506436347961,u,BR,i,BR454
7178,0.11875437945127487,ʊ,BR,i,BR454
7791,0.373505562543869,i,BR,i,BR46
7797,0.3517315089702606,ɪ,BR,i,BR46
7790,0.03196413069963455,eɪ,BR,i,BR46
7796,0.12866508960723877,ɛ,BR,i,BR46
7794,0.07958948612213135,æ,BR,i,BR46
7795,0.0033376412466168404,ɑ,BR,i,BR46
7799,0.022542931139469147,ʌ,BR,i,BR46
7792,0.002753547625616193,oʊ,BR,i,BR46
7793,0.0007857127930037677,u,BR,i,BR46
7798,0.005124529357999563,ʊ,BR,i,BR46
7901,0.2121727168560028,i,BR,i,BR47
7907,0.06800353527069092,ɪ,BR,i,BR47
7900,0.08462199568748474,eɪ,BR,i,BR47
7906,0.03573621064424515,ɛ,BR,i,BR47
7904,0.3295373320579529,æ,BR,i,BR47
7905,0.14765235781669617,ɑ,BR,i,BR47
7909,0.04553966224193573,ʌ,BR,i,BR47
7902,0.037215083837509155,oʊ,BR,i,BR47
7903,0.013489363715052605,u,BR,i,BR47
7908,0.026031794026494026,ʊ,BR,i,BR47
7301,0.6746384501457214,i,BR,i,BR496
7307,0.018673226237297058,ɪ,BR,i,BR496
7300,0.011004392988979816,eɪ,BR,i,BR496
7306,0.007034309208393097,ɛ,BR,i,BR496
7304,0.011348199099302292,æ,BR,i,BR496
7305,0.012098484672605991,ɑ,BR,i,BR496
7309,0.1404702365398407,ʌ,BR,i,BR496
7302,0.0011709958780556917,oʊ,BR,i,BR496
7303,0.05847609043121338,u,BR,i,BR496
7308,0.0650857463479042,ʊ,BR,i,BR496
7571,0.9756231904029846,i,BR,i,BR741
7577,0.007042184006422758,ɪ,BR,i,BR741
7570,0.0021660032216459513,eɪ,BR,i,BR741
7576,0.010449837893247604,ɛ,BR,i,BR741
7574,0.001903153141029179,æ,BR,i,BR741
7575,7.860057667130604e-05,ɑ,BR,i,BR741
7579,0.0013224774738773704,ʌ,BR,i,BR741
7572,5.328514816937968e-05,oʊ,BR,i,BR741
7573,0.00027150491951033473,u,BR,i,BR741
7578,0.001089764991775155,ʊ,BR,i,BR741
8321,0.9931045174598694,i,BR,i,BR742
8327,0.003867724444717169,ɪ,BR,i,BR742
8320,0.00129676703363657,eɪ,BR,i,BR742
8326,0.0006779909017495811,ɛ,BR,i,BR742
8324,0.00019175147463101894,æ,BR,i,BR742
8325,3.4931661502923816e-05,ɑ,BR,i,BR742
8329,0.00026285616331733763,ʌ,BR,i,BR742
8322,5.028825762565248e-05,oʊ,BR,i,BR742
8323,0.00036886430461890996,u,BR,i,BR742
8328,0.00014414198813028634,ʊ,BR,i,BR742
7811,0.5947756171226501,i,BR,i,BR757
7817,0.010107540525496006,ɪ,BR,i,BR757
7810,0.33135825395584106,eɪ,BR,i,BR757
7816,0.0019289731280878186,ɛ,BR,i,BR757
7814,0.05321613326668739,æ,BR,i,BR757
7815,0.002807746408507228,ɑ,BR,i,BR757
7819,0.0024165273644030094,ʌ,BR,i,BR757
7812,0.0009034863905981183,oʊ,BR,i,BR757
7813,0.0017404655227437615,u,BR,i,BR757
7818,0.0007452928111888468,ʊ,BR,i,BR757
6731,0.7227257490158081,i,BR,i,BR796
6737,0.0758451446890831,ɪ,BR,i,BR796
6730,0.023808317258954048,eɪ,BR,i,BR796
6736,0.004901351872831583,ɛ,BR,i,BR796
6734,0.010330131277441978,æ,BR,i,BR796
6735,0.008659765124320984,ɑ,BR,i,BR796
6739,0.017215223982930183,ʌ,BR,i,BR796
6732,0.010868888348340988,oʊ,BR,i,BR796
6733,0.033476050943136215,u,BR,i,BR796
6738,0.0921693742275238,ʊ,BR,i,BR796
7651,0.4911985397338867,i,BR,i,BR99
7657,0.013584599830210209,ɪ,BR,i,BR99
7650,0.15976421535015106,eɪ,BR,i,BR99
7656,0.03053809516131878,ɛ,BR,i,BR99
7654,0.06753867119550705,æ,BR,i,BR99
