,probabilities,classification,language,vowel,file
8251,0.8089908976107836,i,BR,i,BR132
8257,0.09181494538206607,ɪ,BR,i,BR132
8250,0.00088982610614039,eɪ,BR,i,BR132
8256,0.0007730233483016491,ɛ,BR,i,BR132
8254,0.00017235794693988283,æ,BR,i,BR132
8255,0.0001354612803879718,ɑ,BR,i,BR132
8259,0.00011059314056183212,ʌ,BR,i,BR132
8252,0.00012543206995587752,oʊ,BR,i,BR132
8253,0.09563440182755585,u,BR,i,BR132
8258,0.0013530220196116716,ʊ,BR,i,BR132
7411,0.2188501272496069,i,BR,i,BR329
7417,0.028019350828253665,ɪ,BR,i,BR329
7410,0.0996624090912519,eɪ,BR,i,BR329
7416,0.006082918217725819,ɛ,BR,i,BR329
7414,0.001208976380439708,æ,BR,i,BR329
7415,0.001267935512078111,ɑ,BR,i,BR329
7419,0.0020091916012461297,ʌ,BR,i,BR329
7412,0.062131567905544215,oʊ,BR,i,BR329
7413,0.3767731471241859,u,BR,i,BR329
7418,0.20399436780717223,ʊ,BR,i,BR329
8511,0.27410681345209015,i,BR,i,BR373
8517,0.017669960881903535,ɪ,BR,i,BR373
8510,0.3873180520749884,eɪ,BR,i,BR373
8516,0.0006844679359346628,ɛ,BR,i,BR373
8514,0.0012850822462496581,æ,BR,i,BR373
8515,0.0004248547928000335,ɑ,BR,i,BR373
8519,0.0006799726543249562,ʌ,BR,i,BR373
8512,0.0016184692234674004,oʊ,BR,i,BR373
8513,0.26132927073631435,u,BR,i,BR373
8518,0.05488305526814656,ʊ,BR,i,BR373
7631,0.06735491196159274,i,BR,i,BR374
7637,0.002767318458063528,ɪ,BR,i,BR374
7630,0.1379648947637179,eɪ,BR,i,BR374
7636,0.0008739778946619481,ɛ,BR,i,BR374
7634,0.0035458002967061475,æ,BR,i,BR374
7635,0.0011174553415912668,ɑ,BR,i,BR374
7639,0.0018969498483784263,ʌ,BR,i,BR374
7632,0.040135278104571626,oʊ,BR,i,BR374
7633,0.5534750666760374,u,BR,i,BR374
7638,0.19086835024354515,ʊ,BR,i,BR374
7761,0.10637834939479944,i,BR,i,BR375
7767,0.041579181858105586,ɪ,BR,i,BR375
7760,0.2916898356488673,eɪ,BR,i,BR375
7766,0.0072584927729621995,ɛ,BR,i,BR375
7764,0.001807043727603741,æ,BR,i,BR375
7765,0.002663778350688517,ɑ,BR,i,BR375
7769,0.014130255722557194,ʌ,BR,i,BR375
7762,0.13447876505961176,oʊ,BR,i,BR375
7763,0.24879717579460703,u,BR,i,BR375
7768,0.15121707890648395,ʊ,BR,i,BR375
7491,0.0038369791458535475,i,BR,i,BR452
7497,0.0017224902714588098,ɪ,BR,i,BR452
7490,0.00033919802099262596,eɪ,BR,i,BR452
7496,0.0004933252512273612,ɛ,BR,i,BR452
7494,0.0002968682256323518,æ,BR,i,BR452
7495,0.01541181576285453,ɑ,BR,i,BR452
7499,0.004872264801815618,ʌ,BR,i,BR452
7492,0.001648950346861966,oʊ,BR,i,BR452
7493,0.8419383883476257,u,BR,i,BR452
7498,0.12943967983592303,ʊ,BR,i,BR452
7171,0.2962605289270869,i,BR,i,BR454
7177,0.030767934745381354,ɪ,BR,i,BR454
7170,0.0005909561074076919,eɪ,BR,i,BR454
7176,0.0007525213479311788,ɛ,BR,i,BR454
7174,0.00020006605163871427,æ,BR,i,BR454
7175,0.0003545807074260665,ɑ,BR,i,BR454
7179,0.0005311898972649942,ʌ,BR,i,BR454
7172,0.000369210029793976,oʊ,BR,i,BR454
7173,0.6167076607322087,u,BR,i,BR454
7178,0.05346535244898405,ʊ,BR,i,BR454
7791,0.624954242631793,i,BR,i,BR46
7797,0.15270410282537342,ɪ,BR,i,BR46
7790,0.052499122932204045,eɪ,BR,i,BR46
7796,0.04270804405314266,ɛ,BR,i,BR46
7794,0.02698278621828649,æ,BR,i,BR46
7795,0.0002645711039804155,ɑ,BR,i,BR46
7799,0.0002810941652569454,ʌ,BR,i,BR46
7792,0.00039811661010844544,oʊ,BR,i,BR46
7793,0.0965487695633783,u,BR,i,BR46
7798,0.0026591570800519547,ʊ,BR,i,BR46
7901,0.7547612978611141,i,BR,i,BR47
7907,0.0927445592431468,ɪ,BR,i,BR47
7900,0.0011659151568892412,eɪ,BR,i,BR47
7906,0.0007671284405660117,ɛ,BR,i,BR47
7904,0.00023546645825263114,æ,BR,i,BR47
7905,0.00020010793796245707,ɑ,BR,i,BR47
7909,0.00011404856159060727,ʌ,BR,i,BR47
7902,0.00018163287252264125,oʊ,BR,i,BR47
7903,0.1480625589567353,u,BR,i,BR47
7908,0.0017672719310212414,ʊ,BR,i,BR47
7301,0.331061901585781,i,BR,i,BR496
7307,0.07115075021138181,ɪ,BR,i,BR496
7300,0.0010432343085994944,eɪ,BR,i,BR496
7306,0.005383890421944671,ɛ,BR,i,BR496
7304,0.0014694061497721122,æ,BR,i,BR496
7305,0.0005260955786070554,ɑ,BR,i,BR496
7309,0.0005510318116648705,ʌ,BR,i,BR496
7302,0.0004294131641245258,oʊ,BR,i,BR496
7303,0.5437151881225872,u,BR,i,BR496
7308,0.04466908987087663,ʊ,BR,i,BR496
7571,0.9702397227287293,i,BR,i,BR741
7577,0.025334818195551632,ɪ,BR,i,BR741
7570,0.0012768042332027107,eɪ,BR,i,BR741
7576,0.0004174340749159455,ɛ,BR,i,BR741
7574,0.00014016601235198323,æ,BR,i,BR741
7575,6.0235504497541116e-05,ɑ,BR,i,BR741
7579,6.641719646722777e-05,ʌ,BR,i,BR741
7572,3.650312444278825e-05,oʊ,BR,i,BR741
7573,0.0019226791788241825,u,BR,i,BR741
7578,0.0005051703978097066,ʊ,BR,i,BR741
8321,0.9236587524414063,i,BR,i,BR742
8327,0.029746963176876307,ɪ,BR,i,BR742
8320,0.0008254836575360969,eɪ,BR,i,BR742
8326,0.0003790672111790627,ɛ,BR,i,BR742
8324,8.988518839032622e-05,æ,BR,i,BR742
8325,7.117435407053563e-05,ɑ,BR,i,BR742
8329,7.317150611925171e-05,ʌ,BR,i,BR742
8322,2.967474686101923e-05,oʊ,BR,i,BR742
8323,0.043451835813175424,u,BR,i,BR742
8328,0.0016739508348109667,ʊ,BR,i,BR742
7811,0.9596369147300721,i,BR,i,BR757
7817,0.031672456627711655,ɪ,BR,i,BR757
7810,0.0013774307997664436,eɪ,BR,i,BR757
7816,0.0044830020669905934,ɛ,BR,i,BR757
7814,0.0007259970319864806,æ,BR,i,BR757
7815,7.817950663593364e-05,ɑ,BR,i,BR757
7819,0.00010505198670216487,ʌ,BR,i,BR757
7812,3.5274684887554034e-05,oʊ,BR,i,BR757
7813,0.0014426752262806986,u,BR,i,BR757
7818,0.0004429724420333514,ʊ,BR,i,BR757
6731,0.9759693503379822,i,BR,i,BR796
6737,0.02127418660093099,ɪ,BR,i,BR796
6730,0.0010339621861930937,eɪ,BR,i,BR796
6736,0.00039123261158238167,ɛ,BR,i,BR796
6734,0.00011049564891436603,æ,BR,i,BR796
6735,4.633248881873442e-05,ɑ,BR,i,BR796
6739,6.342825490719406e-05,ʌ,BR,i,BR796
6732,2.6727030785878014e-05,oʊ,BR,i,BR796
6733,0.0005937126319622621,u,BR,i,BR796
6738,0.0004905795831291471,ʊ,BR,i,BR796
7651,0.8372490935027599,i,BR,i,BR99
7657,0.0627436122391373,ɪ,BR,i,BR99
7650,0.0009241999621735885,eɪ,BR,i,BR99
7656,0.0006073959462810308,ɛ,BR,i,BR99
7654,0.00014612453378504142,æ,BR,i,BR99
7655,0.00012984186450921699,ɑ,BR,i,BR99
7659,0.00010903430065809517,ʌ,BR,i,BR99
7652,6.323288720864185e-05,oʊ,BR,i,BR99
7653,0.09473044621772715,u,BR,i,BR99
7658,0.0032969770611089187,ʊ,BR,i,BR99
7331,0.708365128969308,i,BR,i,BR992
7337,0.1024354949768167,ɪ,BR,i,BR992
7330,0.016425794793758542,eɪ,BR,i,BR992
7336,0.006354772544000298,ɛ,BR,i,BR992
7334,0.0013298209480126389,æ,BR,i,BR992
7335,0.0014593155485272292,ɑ,BR,i,BR992
7339,0.011169224355035113,ʌ,BR,i,BR992
7332,0.0005833442711150383,oʊ,BR,i,BR992
7333,0.13750634171519777,u,BR,i,BR992
7338,0.014370783722552006,ʊ,BR,i,BR992
7821,0.10122622025664896,i,BR,ĩ,BR1025
7827,0.014919624081812799,ɪ,BR,ĩ,BR1025
7820,0.25040019121661317,eɪ,BR,ĩ,BR1025
7826,0.010737095173681155,ɛ,BR,ĩ,BR1025
7824,0.04042527907513431,æ,BR,ĩ,BR1025
7825,0.0015365637831564528,ɑ,BR,ĩ,BR1025
7829,0.003294570808066055,ʌ,BR,ĩ,BR1025
7822,0.0018650200305273756,oʊ,BR,ĩ,BR1025
7823,0.4457443085033447,u,BR,ĩ,BR1025
7828,0.12985111839079763,ʊ,BR,ĩ,BR1025
7031,0.44072687476873396,i,BR,ĩ,BR1029
7037,0.09968320792540908,ɪ,BR,ĩ,BR1029
7030,0.13117061562370508,eɪ,BR,ĩ,BR1029
7036,0.13797975881607272,ɛ,BR,ĩ,BR1029
7034,0.07033332204628095,æ,BR,ĩ,BR1029
7035,0.01108570170999883,ɑ,BR,ĩ,BR1029
7039,0.015351176224794472,ʌ,BR,ĩ,BR1029
7032,0.00839582588473604,oʊ,BR,ĩ,BR1029
7033,0.042462287903617835,u,BR,ĩ,BR1029
7038,0.04281124509288929,ʊ,BR,ĩ,BR1029
7801,0.886028353869915,i,BR,ĩ,BR154
7807,0.029640353471040725,ɪ,BR,ĩ,BR154
7800,0.003536894507124089,eɪ,BR,ĩ,BR154
7806,0.0011996921897662106,ɛ,BR,ĩ,BR154
7804,0.0007610684237079113,æ,BR,ĩ,BR154
7805,0.00012561991225084056,ɑ,BR,ĩ,BR154
7809,0.0001222548356963671,ʌ,BR,ĩ,BR154
7802,4.644799987545412e-05,oʊ,BR,ĩ,BR154
7803,0.07474114145879866,u,BR,ĩ,BR154
7808,0.0037981699575539095,ʊ,BR,ĩ,BR154
7521,0.49750822950154544,i,BR,ĩ,BR158
7527,0.17543294252827762,ɪ,BR,ĩ,BR158
7520,0.002751183428335935,eɪ,BR,ĩ,BR158
7526,0.1653962497075554,ɛ,BR,ĩ,BR158
7524,0.035669050776050426,æ,BR,ĩ,BR158
7525,0.0016838739034938043,ɑ,BR,ĩ,BR158
7529,0.007168008862936404,ʌ,BR,ĩ,BR158
7522,0.0002854615109754377,oʊ,BR,ĩ,BR158
7523,0.09751023219287162,u,BR,ĩ,BR158
7528,0.016594801416795237,ʊ,BR,ĩ,BR158
8541,0.38339599868049845,i,BR,ĩ,BR159
8547,0.0580850431433646,ɪ,BR,ĩ,BR159
8540,0.008429536085168365,eɪ,BR,ĩ,BR159
8546,0.08694535753202218,ɛ,BR,ĩ,BR159
8544,0.025544101612467784,æ,BR,ĩ,BR159
8545,0.015001127757932409,ɑ,BR,ĩ,BR159
8549,0.034432963498329625,ʌ,BR,ĩ,BR159
8542,0.0006527302638460242,oʊ,BR,ĩ,BR159
8543,0.32395408176525964,u,BR,ĩ,BR159
8548,0.06355906057287938,ʊ,BR,ĩ,BR159
7001,0.0005465403948619497,i,BR,ĩ,BR264
7007,0.0002854987062164582,ɪ,BR,ĩ,BR264
7000,0.002140377946489025,eɪ,BR,ĩ,BR264
7006,0.000191960306801775,ɛ,BR,ĩ,BR264
7004,0.00018643953699211125,æ,BR,ĩ,BR264
7005,0.0007740341934550088,ɑ,BR,ĩ,BR264
7009,0.0008370417959667975,ʌ,BR,ĩ,BR264
7002,0.028033452216186562,oʊ,BR,ĩ,BR264
7003,0.8282730579376221,u,BR,ĩ,BR264
7008,0.13873161824885755,ʊ,BR,ĩ,BR264
6851,0.0006530332408146933,i,BR,ĩ,BR411
6857,0.00027331077835697216,ɪ,BR,ĩ,BR411
6850,0.0010979027796565789,eɪ,BR,ĩ,BR411
