,probabilities,classification,language,vowel,file
8251,0.9989016056060791,i,BR,i,BR132
8257,0.0010661627165973186,ɪ,BR,i,BR132
8250,8.235941095335875e-06,eɪ,BR,i,BR132
8256,8.061639356071737e-09,ɛ,BR,i,BR132
8254,3.037881890488592e-10,æ,BR,i,BR132
8255,1.883095025398407e-12,ɑ,BR,i,BR132
8259,2.400525741727555e-12,ʌ,BR,i,BR132
8252,9.382110199851468e-09,oʊ,BR,i,BR132
8253,2.375952317379415e-05,u,BR,i,BR132
8258,1.8181997063493327e-07,ʊ,BR,i,BR132
7411,0.37389689683914185,i,BR,i,BR329
7417,0.0011502532288432121,ɪ,BR,i,BR329
7410,0.6243747472763062,eɪ,BR,i,BR329
7416,1.346654471490183e-06,ɛ,BR,i,BR329
7414,0.00010729230416473001,æ,BR,i,BR329
7415,1.989471229535411e-06,ɑ,BR,i,BR329
7419,1.0322150245656303e-07,ʌ,BR,i,BR329
7412,0.0001926667900988832,oʊ,BR,i,BR329
7413,0.0002518609107937664,u,BR,i,BR329
7418,2.2843150873086415e-05,ʊ,BR,i,BR329
8511,0.36713069677352905,i,BR,i,BR373
8517,0.0010044396622106433,ɪ,BR,i,BR373
8510,0.6316103935241699,eɪ,BR,i,BR373
8516,5.48343905393267e-07,ɛ,BR,i,BR373
8514,5.144067472429015e-05,æ,BR,i,BR373
8515,6.05757463745249e-07,ɑ,BR,i,BR373
8519,2.7245400602282643e-08,ʌ,BR,i,BR373
8512,0.00010314044629922137,oʊ,BR,i,BR373
8513,9.078402217710391e-05,u,BR,i,BR373
8518,7.912107321317308e-06,ʊ,BR,i,BR373
7631,0.033931829035282135,i,BR,i,BR374
7637,0.00020872251479886472,ɪ,BR,i,BR374
7630,0.04090725630521774,eɪ,BR,i,BR374
7636,2.1446012397063896e-05,ɛ,BR,i,BR374
7634,0.00038983786362223327,æ,BR,i,BR374
7635,0.005412569735199213,ɑ,BR,i,BR374
7639,0.0011769289849326015,ʌ,BR,i,BR374
7632,0.03879684582352638,oʊ,BR,i,BR374
7633,0.5148410797119141,u,BR,i,BR374
7638,0.3643135726451874,ʊ,BR,i,BR374
7761,0.14258553087711334,i,BR,i,BR375
7767,0.0033981087617576122,ɪ,BR,i,BR375
7760,0.8539652228355408,eɪ,BR,i,BR375
7766,9.071375757230271e-07,ɛ,BR,i,BR375
7764,2.1537944121519104e-05,æ,BR,i,BR375
7765,5.7850119361546604e-08,ɑ,BR,i,BR375
7769,7.636110410658148e-09,ʌ,BR,i,BR375
7762,2.585302536317613e-05,oʊ,BR,i,BR375
7763,2.157956714654574e-06,u,BR,i,BR375
7768,5.290368108035182e-07,ʊ,BR,i,BR375
7491,0.0013488495023921132,i,BR,i,BR452
7497,1.6187782421184238e-06,ɪ,BR,i,BR452
7490,1.012920074572321e-05,eɪ,BR,i,BR452
7496,1.2411763350428373e-07,ɛ,BR,i,BR452
7494,1.963414888450643e-07,æ,BR,i,BR452
7495,2.073293217108585e-05,ɑ,BR,i,BR452
7499,1.2503504876804072e-05,ʌ,BR,i,BR452
7492,0.00011009387526428327,oʊ,BR,i,BR452
7493,0.9617534875869751,u,BR,i,BR452
7498,0.0367421880364418,ʊ,BR,i,BR452
7171,0.0360955186188221,i,BR,i,BR454
7177,1.5165716149567743e-06,ɪ,BR,i,BR454
7170,3.681317082282476e-07,eɪ,BR,i,BR454
7176,4.809446729758804e-10,ɛ,BR,i,BR454
7174,7.244191357891339e-11,æ,BR,i,BR454
7175,1.5170132927622149e-09,ɑ,BR,i,BR454
7179,9.711348392116292e-10,ʌ,BR,i,BR454
7172,8.313574539897672e-07,oʊ,BR,i,BR454
7173,0.962784469127655,u,BR,i,BR454
7178,0.0011173113016411662,ʊ,BR,i,BR454
7791,0.9877772927284241,i,BR,i,BR46
7797,0.01150065753608942,ɪ,BR,i,BR46
7790,0.00014252847176976502,eɪ,BR,i,BR46
7796,2.47285879595438e-06,ɛ,BR,i,BR46
7794,7.59247100745597e-08,æ,BR,i,BR46
7795,2.177852120865964e-09,ɑ,BR,i,BR46
7799,5.552299953137663e-09,ʌ,BR,i,BR46
7792,1.5626899312337628e-06,oʊ,BR,i,BR46
