,probabilities,classification,language,vowel,file
8251,0.8833206534385681,i,BR,i,BR132
8257,0.09669924837071449,ɪ,BR,i,BR132
8250,0.011678360680616607,eɪ,BR,i,BR132
8256,0.002694234619187963,ɛ,BR,i,BR132
8254,0.0001415584358944977,æ,BR,i,BR132
8255,2.8802228366432796e-05,ɑ,BR,i,BR132
8259,0.0001863536350584315,ʌ,BR,i,BR132
8252,0.00033560966530967183,oʊ,BR,i,BR132
8253,0.001455264929563782,u,BR,i,BR132
8258,0.003459903633746819,ʊ,BR,i,BR132
7411,0.09632803251442965,i,BR,i,BR329
7417,0.0026248668162224932,ɪ,BR,i,BR329
7410,0.24058268828027848,eɪ,BR,i,BR329
7416,0.0004532473925451086,ɛ,BR,i,BR329
7414,0.00238098332834511,æ,BR,i,BR329
7415,0.014635645008989683,ɑ,BR,i,BR329
7419,0.034426186155784674,ʌ,BR,i,BR329
7412,0.18055096022619638,oʊ,BR,i,BR329
7413,0.2026785199907863,u,BR,i,BR329
7418,0.22533884833779894,ʊ,BR,i,BR329
8511,0.147971175636485,i,BR,i,BR373
8517,0.016931781061293803,ɪ,BR,i,BR373
8510,0.47768592617384337,eɪ,BR,i,BR373
8516,0.0003099578137806702,ɛ,BR,i,BR373
8514,0.0013317889708194697,æ,BR,i,BR373
8515,0.003499849479163686,ɑ,BR,i,BR373
8519,0.004898251647035501,ʌ,BR,i,BR373
8512,0.04991963268078052,oʊ,BR,i,BR373
8513,0.23837998574538233,u,BR,i,BR373
8518,0.0590716414518397,ʊ,BR,i,BR373
7631,0.0478946750954492,i,BR,i,BR374
7637,0.003731696743830071,ɪ,BR,i,BR374
7630,0.17293861712182093,eɪ,BR,i,BR374
7636,0.00019604587926096427,ɛ,BR,i,BR374
7634,0.0014794888381178596,æ,BR,i,BR374
7635,0.007259213855573421,ɑ,BR,i,BR374
7639,0.008852392028779832,ʌ,BR,i,BR374
7632,0.215956777803666,oʊ,BR,i,BR374
7633,0.33401705385574587,u,BR,i,BR374
7638,0.20767407548623282,ʊ,BR,i,BR374
7761,0.18456940210890024,i,BR,i,BR375
7767,0.005026783429639181,ɪ,BR,i,BR375
7760,0.6100255668163299,eɪ,BR,i,BR375
7766,0.0002681356699042681,ɛ,BR,i,BR375
7764,0.0012312794624676827,æ,BR,i,BR375
7765,0.0028630106398043866,ɑ,BR,i,BR375
7769,0.014125250956996394,ʌ,BR,i,BR375
7762,0.11996399539401637,oʊ,BR,i,BR375
7763,0.03373238328099433,u,BR,i,BR375
7768,0.028194160115117484,ʊ,BR,i,BR375
7491,0.19184103627922014,i,BR,i,BR452
7497,0.005204794717326422,ɪ,BR,i,BR452
7490,0.0002618809651554699,eɪ,BR,i,BR452
7496,4.1011857938233474e-05,ɛ,BR,i,BR452
7494,1.2291434070407434e-06,æ,BR,i,BR452
7495,2.0722915522788063e-05,ɑ,BR,i,BR452
7499,0.00044764927206712225,ʌ,BR,i,BR452
7492,0.0004283549359976213,oʊ,BR,i,BR452
7493,0.6810144292830955,u,BR,i,BR452
7498,0.12073887551186999,ʊ,BR,i,BR452
7171,0.4727988206315786,i,BR,i,BR454
7177,0.08854969302277596,ɪ,BR,i,BR454
7170,0.011923960382236486,eɪ,BR,i,BR454
7176,0.0077649272392936565,ɛ,BR,i,BR454
7174,0.00014589778120068316,æ,BR,i,BR454
7175,5.943465176914244e-05,ɑ,BR,i,BR454
7179,0.0017080146065677822,ʌ,BR,i,BR454
7172,0.0004926326569268003,oʊ,BR,i,BR454
7173,0.35829740795961695,u,BR,i,BR454
7178,0.0582591855368122,ʊ,BR,i,BR454
7791,0.8842441141605377,i,BR,i,BR46
7797,0.10419449152250308,ɪ,BR,i,BR46
7790,0.006905101845040918,eɪ,BR,i,BR46
7796,0.001130900008371416,ɛ,BR,i,BR46
7794,3.8180569413689794e-05,æ,BR,i,BR46
7795,5.891882029962194e-06,ɑ,BR,i,BR46
7799,6.608794176707966e-05,ʌ,BR,i,BR46
7792,0.0001716850921912205,oʊ,BR,i,BR46
7793,0.0012641335733746927,u,BR,i,BR46
7798,0.001979423070334008,ʊ,BR,i,BR46
7901,0.9601424932479858,i,BR,i,BR47
7907,0.03850186945928726,ɪ,BR,i,BR47
7900,0.0006172183886519634,eɪ,BR,i,BR47
7906,4.88465838048846e-06,ɛ,BR,i,BR47
7904,2.341356457845334e-08,æ,BR,i,BR47
7905,1.0065693488958321e-09,ɑ,BR,i,BR47
7909,8.896791051382375e-08,ʌ,BR,i,BR47
7902,2.582445728094296e-07,oʊ,BR,i,BR47
7903,0.0006488868859378272,u,BR,i,BR47
7908,8.432573191825554e-05,ʊ,BR,i,BR47
7301,0.8330865859985351,i,BR,i,BR496
7307,0.12405099046591203,ɪ,BR,i,BR496
7300,0.0008431045607721899,eɪ,BR,i,BR496
7306,0.0004906485921425619,ɛ,BR,i,BR496
7304,3.7619751862655026e-06,æ,BR,i,BR496
7305,6.721861181619619e-08,ɑ,BR,i,BR496
7309,4.3755033629884826e-07,ʌ,BR,i,BR496
7302,9.522700006125984e-06,oʊ,BR,i,BR496
7303,0.041340992176310466,u,BR,i,BR496
7308,0.0001738885473400842,ʊ,BR,i,BR496
7571,0.9742965638637543,i,BR,i,BR741
7577,0.024164298301911913,ɪ,BR,i,BR741
7570,0.0009332020965757692,eɪ,BR,i,BR741
7576,1.4987493137413876e-05,ɛ,BR,i,BR741
7574,2.2948865126705393e-07,æ,BR,i,BR741
7575,3.145411212320774e-09,ɑ,BR,i,BR741
7579,1.1133030752249789e-07,ʌ,BR,i,BR741
7572,3.5705678822967045e-06,oʊ,BR,i,BR741
7573,0.0004373685872906208,u,BR,i,BR741
7578,0.00014966842642110122,ʊ,BR,i,BR741
8321,0.9801904201507569,i,BR,i,BR742
8327,0.019251206956687382,ɪ,BR,i,BR742
8320,0.00043606499002635246,eɪ,BR,i,BR742
8326,1.0077561580557059e-06,ɛ,BR,i,BR742
8324,6.831147097963695e-09,æ,BR,i,BR742
8325,2.2133416875626508e-10,ɑ,BR,i,BR742
8329,2.3576035953619835e-09,ʌ,BR,i,BR742
8322,5.6720748864425016e-08,oʊ,BR,i,BR742
8323,0.00011364735726147047,u,BR,i,BR742
8328,7.630689576387795e-06,ʊ,BR,i,BR742
7811,0.8672358868643641,i,BR,i,BR757
7817,0.017488945226250507,ɪ,BR,i,BR757
7810,0.025852629448309017,eɪ,BR,i,BR757
7816,1.100199396475432e-05,ɛ,BR,i,BR757
7814,1.1303861981358521e-06,æ,BR,i,BR757
7815,0.0001516405240166727,ɑ,BR,i,BR757
7819,9.210578981842296e-05,ʌ,BR,i,BR757
7812,0.06473981377556069,oʊ,BR,i,BR757
7813,0.014735017881866952,u,BR,i,BR757
7818,0.009691858510834095,ʊ,BR,i,BR757
6731,0.891295836865902,i,BR,i,BR796
6737,0.07160389371565543,ɪ,BR,i,BR796
6730,0.005863146909769057,eɪ,BR,i,BR796
6736,0.018228402486464464,ɛ,BR,i,BR796
6734,0.00080787924760266,æ,BR,i,BR796
6735,0.0002348597230330452,ɑ,BR,i,BR796
6739,0.0032584454754562204,ʌ,BR,i,BR796
6732,0.0019223764451290204,oʊ,BR,i,BR796
6733,0.0009617327035812195,u,BR,i,BR796
6738,0.005823446059115156,ʊ,BR,i,BR796
7651,0.8600461795926094,i,BR,i,BR99
7657,0.09782718176138587,ɪ,BR,i,BR99
7650,0.005025150225174002,eɪ,BR,i,BR99
7656,0.02487495140225886,ɛ,BR,i,BR99
7654,0.0009736986318603138,æ,BR,i,BR99
7655,0.0002477686801348307,ɑ,BR,i,BR99
7659,0.0039038399091813067,ʌ,BR,i,BR99
7652,0.001578514370469275,oʊ,BR,i,BR99
7653,0.0005884779757252545,u,BR,i,BR99
7658,0.004934215984056323,ʊ,BR,i,BR99
7331,0.7852998805465177,i,BR,i,BR992
7337,0.058675891339953525,ɪ,BR,i,BR992
7330,0.027562297497388498,eɪ,BR,i,BR992
7336,0.0006604066523219099,ɛ,BR,i,BR992
7334,6.019333910824327e-06,æ,BR,i,BR992
7335,4.854250754230622e-06,ɑ,BR,i,BR992
7339,3.223822331930979e-05,ʌ,BR,i,BR992
7332,6.209223608768521e-05,oʊ,BR,i,BR992
7333,0.11360600836560479,u,BR,i,BR992
7338,0.01409028302844284,ʊ,BR,i,BR992
7821,0.1424823233304778,i,BR,ĩ,BR1025
7827,0.003274628839426441,ɪ,BR,ĩ,BR1025
7820,0.6532054257426353,eɪ,BR,ĩ,BR1025
7826,3.720910823403756e-05,ɛ,BR,ĩ,BR1025
7824,6.25194439464849e-05,æ,BR,ĩ,BR1025
7825,3.609932933286153e-05,ɑ,BR,ĩ,BR1025
7829,0.0002683850114345354,ʌ,BR,ĩ,BR1025
7822,0.00018134796088133953,oʊ,BR,ĩ,BR1025
7823,0.14266592837347503,u,BR,ĩ,BR1025
7828,0.05778611548535082,ʊ,BR,ĩ,BR1025
7031,0.32497900309972466,i,BR,ĩ,BR1029
7037,0.19637966221062014,ɪ,BR,ĩ,BR1029
7030,0.15473461189844784,eɪ,BR,ĩ,BR1029
7036,0.02150379351586281,ɛ,BR,ĩ,BR1029
7034,0.0028370265995626984,æ,BR,ĩ,BR1029
7035,0.0018154641626322902,ɑ,BR,ĩ,BR1029
7039,0.005432066113065277,ʌ,BR,ĩ,BR1029
7032,0.002665634589591903,oʊ,BR,ĩ,BR1029
7033,0.18035346909282451,u,BR,ĩ,BR1029
7038,0.1092992367210627,ʊ,BR,ĩ,BR1029
7801,0.7767073959112167,i,BR,ĩ,BR154
7807,0.15158310876286124,ɪ,BR,ĩ,BR154
7800,0.03870678892180877,eɪ,BR,ĩ,BR154
7806,0.014556680668019706,ɛ,BR,ĩ,BR154
7804,0.0008842111022619454,æ,BR,ĩ,BR154
7805,0.00033540849185316414,ɑ,BR,ĩ,BR154
7809,0.003698486565850182,ʌ,BR,ĩ,BR154
7802,0.003342553292552136,oʊ,BR,ĩ,BR154
7803,0.0014362472073116805,u,BR,ĩ,BR154
7808,0.008749127802835233,ʊ,BR,ĩ,BR154
7521,0.7559986378997564,i,BR,ĩ,BR158
7527,0.18448993486235848,ɪ,BR,ĩ,BR158
7520,0.006097681835854019,eɪ,BR,ĩ,BR158
7526,0.04129667945980327,ɛ,BR,ĩ,BR158
7524,0.0015056550645171575,æ,BR,ĩ,BR158
7525,0.00024820277771749673,ɑ,BR,ĩ,BR158
7529,0.0033497138697400294,ʌ,BR,ĩ,BR158
7522,0.0028356154283201763,oʊ,BR,ĩ,BR158
7523,0.0005492748769711398,u,BR,ĩ,BR158
7528,0.003628609969101149,ʊ,BR,ĩ,BR158
8541,0.7491528091020883,i,BR,ĩ,BR159
8547,0.1629165428916167,ɪ,BR,ĩ,BR159
8540,0.004098276551621894,eɪ,BR,ĩ,BR159
8546,0.03792965610189316,ɛ,BR,ĩ,BR159
8544,0.0016488068791343283,æ,BR,ĩ,BR159
8545,0.00035756269279530037,ɑ,BR,ĩ,BR159
8549,0.004750489350078262,ʌ,BR,ĩ,BR159
8542,0.0015151579895460842,oʊ,BR,ĩ,BR159
8543,0.03353538055207537,u,BR,ĩ,BR159
8548,0.004095303938699146,ʊ,BR,ĩ,BR159
7001,0.00033292528005404167,i,BR,ĩ,BR264
7007,5.4150200915914495e-05,ɪ,BR,ĩ,BR264
7000,2.2331069586289944e-05,eɪ,BR,ĩ,BR264
7006,9.746630847335627e-06,ɛ,BR,ĩ,BR264
7004,8.711214044870266e-07,æ,BR,ĩ,BR264
7005,0.0002506319100366916,ɑ,BR,ĩ,BR264
7009,0.0008347371547504423,ʌ,BR,ĩ,BR264
7002,0.0027254086739048945,oʊ,BR,ĩ,BR264
7003,0.7114119350910186,u,BR,ĩ,BR264
7008,0.28435723963193593,ʊ,BR,ĩ,BR264
6851,0.0012866290708188899,i,BR,ĩ,BR411
6857,6.491491052287301e-05,ɪ,BR,ĩ,BR411
6850,0.09946275659657858,eɪ,BR,ĩ,BR411
6856,1.5125334488175213e-05,ɛ,BR,ĩ,BR411
6854,6.169465047900502e-06,æ,BR,ĩ,BR411
6855,0.0003570884895594872,ɑ,BR,ĩ,BR411
6859,0.001815494987334887,ʌ,BR,ĩ,BR411
