,probabilities,classification,language,vowel,file
8251,0.6119481325149536,i,BR,i,BR132
8257,0.3210380971431732,ɪ,BR,i,BR132
8250,0.05002974346280098,eɪ,BR,i,BR132
8256,0.0021096591372042894,ɛ,BR,i,BR132
8254,0.008510923013091087,æ,BR,i,BR132
8255,5.546375905396417e-05,ɑ,BR,i,BR132
8259,0.0018792025512084365,ʌ,BR,i,BR132
8252,0.0003799590631388128,oʊ,BR,i,BR132
8253,0.0028793534729629755,u,BR,i,BR132
8258,0.0011694827117025852,ʊ,BR,i,BR132
7411,0.013025905005633831,i,BR,i,BR329
7417,0.3184824287891388,ɪ,BR,i,BR329
7410,0.009653765708208084,eɪ,BR,i,BR329
7416,0.499453067779541,ɛ,BR,i,BR329
7414,0.02250272035598755,æ,BR,i,BR329
7415,0.04168674349784851,ɑ,BR,i,BR329
7419,0.06977004557847977,ʌ,BR,i,BR329
7412,0.0038002633955329657,oʊ,BR,i,BR329
7413,0.003395658452063799,u,BR,i,BR329
7418,0.01822931319475174,ʊ,BR,i,BR329
8511,0.2974581718444824,i,BR,i,BR373
8517,0.5605595111846924,ɪ,BR,i,BR373
8510,0.002535314531996846,eɪ,BR,i,BR373
8516,0.12335184961557388,ɛ,BR,i,BR373
8514,0.005252412054687738,æ,BR,i,BR373
8515,0.00013986956037115306,ɑ,BR,i,BR373
8519,0.01015032920986414,ʌ,BR,i,BR373
8512,5.6259000302816276e-06,oʊ,BR,i,BR373
8513,1.960907320608385e-05,u,BR,i,BR373
8518,0.0005273203132674098,ʊ,BR,i,BR373
7631,0.0030889115296304226,i,BR,i,BR374
7637,0.8210079669952393,ɪ,BR,i,BR374
7630,0.019993729889392853,eɪ,BR,i,BR374
7636,0.0704796314239502,ɛ,BR,i,BR374
7634,0.0019332917872816324,æ,BR,i,BR374
7635,6.0321384808048606e-05,ɑ,BR,i,BR374
7639,0.04819612577557564,ʌ,BR,i,BR374
7632,1.5785711866556085e-06,oʊ,BR,i,BR374
7633,0.01012720912694931,u,BR,i,BR374
7638,0.025111110880970955,ʊ,BR,i,BR374
7761,0.03921835869550705,i,BR,i,BR375
7767,0.7277817130088806,ɪ,BR,i,BR375
7760,0.00830757711082697,eɪ,BR,i,BR375
7766,0.2053760588169098,ɛ,BR,i,BR375
7764,0.005982339382171631,æ,BR,i,BR375
7765,0.0007141915266402066,ɑ,BR,i,BR375
7769,0.00922116544097662,ʌ,BR,i,BR375
7762,0.0014934184728190303,oʊ,BR,i,BR375
7763,0.0004749793733935803,u,BR,i,BR375
7768,0.0014301040209829807,ʊ,BR,i,BR375
7491,0.993861198425293,i,BR,i,BR452
7497,0.005681821145117283,ɪ,BR,i,BR452
7490,0.00010332479723729193,eɪ,BR,i,BR452
7496,8.488679304718971e-05,ɛ,BR,i,BR452
7494,3.4297656384296715e-05,æ,BR,i,BR452
7495,1.2549294297059532e-06,ɑ,BR,i,BR452
7499,3.466142879915424e-05,ʌ,BR,i,BR452
7492,2.985935452670674e-06,oʊ,BR,i,BR452
7493,0.00012561808398459107,u,BR,i,BR452
7498,6.999090692261234e-05,ʊ,BR,i,BR452
7171,0.4351925551891327,i,BR,i,BR454
7177,0.3579361140727997,ɪ,BR,i,BR454
7170,0.11987579613924026,eɪ,BR,i,BR454
7176,0.032161593437194824,ɛ,BR,i,BR454
7174,0.00193368352483958,æ,BR,i,BR454
7175,0.013346603140234947,ɑ,BR,i,BR454
7179,0.02304151840507984,ʌ,BR,i,BR454
7172,0.0022839466109871864,oʊ,BR,i,BR454
7173,0.0055410792119801044,u,BR,i,BR454
7178,0.008687041699886322,ʊ,BR,i,BR454
7791,0.5833621025085449,i,BR,i,BR46
7797,0.2647448778152466,ɪ,BR,i,BR46
7790,0.032625678926706314,eɪ,BR,i,BR46
7796,0.01085331104695797,ɛ,BR,i,BR46
7794,0.012031551450490952,æ,BR,i,BR46
7795,0.0019910039845854044,ɑ,BR,i,BR46
7799,0.06123218685388565,ʌ,BR,i,BR46
7792,2.531435529817827e-05,oʊ,BR,i,BR46
7793,0.005889054853469133,u,BR,i,BR46
7798,0.027245035395026207,ʊ,BR,i,BR46
7901,0.9830119013786316,i,BR,i,BR47
7907,0.010796324349939823,ɪ,BR,i,BR47
7900,0.0009435045649297535,eɪ,BR,i,BR47
7906,7.180162356235087e-05,ɛ,BR,i,BR47
7904,0.0005105265299789608,æ,BR,i,BR47
7905,3.3748342502804007e-06,ɑ,BR,i,BR47
7909,3.101383481407538e-05,ʌ,BR,i,BR47
7902,5.3553023462882265e-05,oʊ,BR,i,BR47
7903,0.004374367650598288,u,BR,i,BR47
7908,0.00020358727488201112,ʊ,BR,i,BR47
7301,0.6818445324897766,i,BR,i,BR496
7307,0.007941960357129574,ɪ,BR,i,BR496
7300,0.004771415609866381,eɪ,BR,i,BR496
7306,0.022825196385383606,ɛ,BR,i,BR496
7304,0.0028305065352469683,æ,BR,i,BR496
7305,0.00023124470317270607,ɑ,BR,i,BR496
7309,0.058634642511606216,ʌ,BR,i,BR496
7302,2.4940702132880688e-05,oʊ,BR,i,BR496
7303,0.0537254698574543,u,BR,i,BR496
7308,0.16717009246349335,ʊ,BR,i,BR496
7571,0.4421394169330597,i,BR,i,BR741
7577,0.5445380210876465,ɪ,BR,i,BR741
7570,0.001231420668773353,eɪ,BR,i,BR741
7576,0.00404467573389411,ɛ,BR,i,BR741
7574,0.00011228514631511644,æ,BR,i,BR741
7575,4.1039111238205805e-06,ɑ,BR,i,BR741
7579,7.33534834580496e-05,ʌ,BR,i,BR741
7572,2.0401882849796493e-08,oʊ,BR,i,BR741
7573,0.003535127267241478,u,BR,i,BR741
7578,0.004321555607020855,ʊ,BR,i,BR741
8321,0.9997972846031189,i,BR,i,BR742
8327,0.00019691933994181454,ɪ,BR,i,BR742
8320,3.3007327147061005e-06,eɪ,BR,i,BR742
8326,1.977047531909193e-06,ɛ,BR,i,BR742
8324,5.819722304067909e-08,æ,BR,i,BR742
8325,5.3543506434161614e-11,ɑ,BR,i,BR742
8329,1.5299061573159634e-08,ʌ,BR,i,BR742
8322,2.0296115899043343e-09,oʊ,BR,i,BR742
8323,4.461967932911648e-07,u,BR,i,BR742
8328,2.249878150450968e-08,ʊ,BR,i,BR742
7811,0.960430920124054,i,BR,i,BR757
7817,0.0018061957089230418,ɪ,BR,i,BR757
7810,0.003596872091293335,eɪ,BR,i,BR757
7816,0.00024834138457663357,ɛ,BR,i,BR757
7814,0.00013549075811170042,æ,BR,i,BR757
7815,8.145956962835044e-05,ɑ,BR,i,BR757
7819,0.002801866503432393,ʌ,BR,i,BR757
7812,0.0019618570804595947,oʊ,BR,i,BR757
7813,0.0031906142830848694,u,BR,i,BR757
7818,0.025746406987309456,ʊ,BR,i,BR757
6731,0.9329187870025635,i,BR,i,BR796
6737,0.048905935138463974,ɪ,BR,i,BR796
6730,0.009972780011594296,eɪ,BR,i,BR796
6736,0.002573699224740267,ɛ,BR,i,BR796
6734,0.0003920380841009319,æ,BR,i,BR796
6735,4.1188195609720424e-05,ɑ,BR,i,BR796
6739,0.0007330300868488848,ʌ,BR,i,BR796
6732,0.00013174215564504266,oʊ,BR,i,BR796
6733,0.0013618192169815302,u,BR,i,BR796
6738,0.002969056600704789,ʊ,BR,i,BR796
7651,0.24112974107265472,i,BR,i,BR99
7657,0.6742165088653564,ɪ,BR,i,BR99
7650,0.005246237851679325,eɪ,BR,i,BR99
7656,0.014437182806432247,ɛ,BR,i,BR99
7654,0.05800330266356468,æ,BR,i,BR99
7655,7.93610088294372e-05,ɑ,BR,i,BR99
7659,0.0051903147250413895,ʌ,BR,i,BR99
7652,3.869336796924472e-05,oʊ,BR,i,BR99
7653,2.5852541511994787e-05,u,BR,i,BR99
7658,0.0016327914781868458,ʊ,BR,i,BR99
7331,0.7353599667549133,i,BR,i,BR992
7337,0.08945425599813461,ɪ,BR,i,BR992
7330,0.1175234392285347,eɪ,BR,i,BR992
7336,0.002158964518457651,ɛ,BR,i,BR992
7334,0.01650925911962986,æ,BR,i,BR992
7335,0.00015354742936324328,ɑ,BR,i,BR992
7339,0.00580149982124567,ʌ,BR,i,BR992
7332,0.0018046549521386623,oʊ,BR,i,BR992
7333,0.005738948471844196,u,BR,i,BR992
7338,0.025495324283838272,ʊ,BR,i,BR992
7821,0.42704352736473083,i,BR,ĩ,BR1025
7827,0.27334198355674744,ɪ,BR,ĩ,BR1025
7820,0.08872147649526596,eɪ,BR,ĩ,BR1025
7826,0.03025662526488304,ɛ,BR,ĩ,BR1025
7824,0.028050921857357025,æ,BR,ĩ,BR1025
7825,0.0013663755962625146,ɑ,BR,ĩ,BR1025
7829,0.0054512652568519115,ʌ,BR,ĩ,BR1025
7822,0.004582600202411413,oʊ,BR,ĩ,BR1025
7823,0.1384294033050537,u,BR,ĩ,BR1025
7828,0.002755854045972228,ʊ,BR,ĩ,BR1025
7031,0.5256933569908142,i,BR,ĩ,BR1029
7037,0.0450686477124691,ɪ,BR,ĩ,BR1029
7030,0.13254417479038239,eɪ,BR,ĩ,BR1029
7036,0.008683049120008945,ɛ,BR,ĩ,BR1029
7034,0.2526474595069885,æ,BR,ĩ,BR1029
7035,0.00020010551088489592,ɑ,BR,ĩ,BR1029
7039,0.001971920719370246,ʌ,BR,ĩ,BR1029
7032,0.007964924909174442,oʊ,BR,ĩ,BR1029
7033,0.020638465881347656,u,BR,ĩ,BR1029
7038,0.004587914329022169,ʊ,BR,ĩ,BR1029
7801,0.2796601355075836,i,BR,ĩ,BR154
7807,0.6731538772583008,ɪ,BR,ĩ,BR154
7800,0.002479230286553502,eɪ,BR,ĩ,BR154
7806,0.003331790678203106,ɛ,BR,ĩ,BR154
7804,0.002241360954940319,æ,BR,ĩ,BR154
7805,9.847735054790974e-05,ɑ,BR,ĩ,BR154
7809,0.0060290382243692875,ʌ,BR,ĩ,BR154
7802,0.007677942980080843,oʊ,BR,ĩ,BR154
7803,0.023404330015182495,u,BR,ĩ,BR154
7808,0.0019238252425566316,ʊ,BR,ĩ,BR154
7521,0.35823217034339905,i,BR,ĩ,BR158
7527,0.498440146446228,ɪ,BR,ĩ,BR158
7520,0.01418087724596262,eɪ,BR,ĩ,BR158
7526,0.00834268145263195,ɛ,BR,ĩ,BR158
7524,0.11060325801372528,æ,BR,ĩ,BR158
7525,0.0011297042947262526,ɑ,BR,ĩ,BR158
7529,0.0038210570346564054,ʌ,BR,ĩ,BR158
7522,0.001037579495459795,oʊ,BR,ĩ,BR158
7523,0.0021149367094039917,u,BR,ĩ,BR158
7528,0.002097669756039977,ʊ,BR,ĩ,BR158
8541,0.04532168060541153,i,BR,ĩ,BR159
8547,0.5648708939552307,ɪ,BR,ĩ,BR159
8540,0.022228823974728584,eɪ,BR,ĩ,BR159
8546,0.1499638706445694,ɛ,BR,ĩ,BR159
8544,0.1310543566942215,æ,BR,ĩ,BR159
8545,0.014633886516094208,ɑ,BR,ĩ,BR159
8549,0.06995242089033127,ʌ,BR,ĩ,BR159
8542,0.000245651084696874,oʊ,BR,ĩ,BR159
8543,0.0002108465414494276,u,BR,ĩ,BR159
8548,0.0015176204033195972,ʊ,BR,ĩ,BR159
7001,0.06811434030532837,i,BR,ĩ,BR264
7007,0.4580138027667999,ɪ,BR,ĩ,BR264
7000,0.032172609120607376,eɪ,BR,ĩ,BR264
7006,0.34121277928352356,ɛ,BR,ĩ,BR264
7004,0.05977287143468857,æ,BR,ĩ,BR264
7005,0.002156400354579091,ɑ,BR,ĩ,BR264
7009,0.0013551694573834538,ʌ,BR,ĩ,BR264
7002,0.0003592938301153481,oʊ,BR,ĩ,BR264
7003,0.033674050122499466,u,BR,ĩ,BR264
7008,0.003168643917888403,ʊ,BR,ĩ,BR264
6851,0.0758465826511383,i,BR,ĩ,BR411
6857,0.6609750986099243,ɪ,BR,ĩ,BR411
6850,0.0007093327003531158,eɪ,BR,ĩ,BR411
6856,0.05168585851788521,ɛ,BR,ĩ,BR411
6854,0.037701454013586044,æ,BR,ĩ,BR411
6855,0.004053622484207153,ɑ,BR,ĩ,BR411
6859,0.0038508549332618713,ʌ,BR,ĩ,BR411
6852,3.9356124034384266e-05,oʊ,BR,ĩ,BR411
6853,0.16263149678707123,u,BR,ĩ,BR411
6858,0.00250640488229692,ʊ,BR,ĩ,BR411
7641,0.008723794482648373,i,BR,ĩ,BR417
7647,0.5847575068473816,ɪ,BR,ĩ,BR417
7640,0.0048454757779836655,eɪ,BR,ĩ,BR417
7646,0.027308866381645203,ɛ,BR,ĩ,BR417
7644,0.01855289191007614,æ,BR,ĩ,BR417
7645,0.0028954760637134314,ɑ,BR,ĩ,BR417
7649,0.00039756373735144734,ʌ,BR,ĩ,BR417
7642,0.011348431929945946,oʊ,BR,ĩ,BR417
7643,0.3349703848361969,u,BR,ĩ,BR417
7648,0.00619969516992569,ʊ,BR,ĩ,BR417
8121,0.20037759840488434,i,BR,ĩ,BR504
8127,0.5968305468559265,ɪ,BR,ĩ,BR504
8120,0.004450071137398481,eɪ,BR,ĩ,BR504
8126,0.015932679176330566,ɛ,BR,ĩ,BR504
8124,0.0054845549166202545,æ,BR,ĩ,BR504
8125,0.0020784232765436172,ɑ,BR,ĩ,BR504
8129,0.011827003210783005,ʌ,BR,ĩ,BR504
8122,0.0014988206094130874,oʊ,BR,ĩ,BR504
8123,0.12069281190633774,u,BR,ĩ,BR504
8128,0.04082740843296051,ʊ,BR,ĩ,BR504
7361,0.9025987386703491,i,BR,ĩ,BR510
7367,0.03826019912958145,ɪ,BR,ĩ,BR510
7360,0.03753148019313812,eɪ,BR,ĩ,BR510
7366,0.0002673046546988189,ɛ,BR,ĩ,BR510
7364,0.0007865472580306232,æ,BR,ĩ,BR510
7365,1.5357007214333862e-05,ɑ,BR,ĩ,BR510
7369,8.780674397712573e-05,ʌ,BR,ĩ,BR510
7362,0.001215389114804566,oʊ,BR,ĩ,BR510
7363,0.016279377043247223,u,BR,ĩ,BR510
7368,0.0029577279929071665,ʊ,BR,ĩ,BR510
7061,0.24717563390731812,i,BR,ĩ,BR559
7067,0.7199435830116272,ɪ,BR,ĩ,BR559
7060,0.0013077136827632785,eɪ,BR,ĩ,BR559
7066,0.024665622040629387,ɛ,BR,ĩ,BR559
7064,0.0014420500956475735,æ,BR,ĩ,BR559
7065,4.748485662275925e-05,ɑ,BR,ĩ,BR559
7069,0.004249919671565294,ʌ,BR,ĩ,BR559
7062,2.6570651243673638e-05,oʊ,BR,ĩ,BR559
7063,0.0004848487733397633,u,BR,ĩ,BR559
7068,0.0006565289222635329,ʊ,BR,ĩ,BR559
8041,0.4298962354660034,i,BR,ĩ,BR648
8047,0.18585747480392456,ɪ,BR,ĩ,BR648
8040,0.06437362730503082,eɪ,BR,ĩ,BR648
8046,0.15577919781208038,ɛ,BR,ĩ,BR648
8044,0.016732625663280487,æ,BR,ĩ,BR648
8045,0.0037552218418568373,ɑ,BR,ĩ,BR648
8049,0.019609855487942696,ʌ,BR,ĩ,BR648
8042,0.02432539314031601,oʊ,BR,ĩ,BR648
8043,0.06479626148939133,u,BR,ĩ,BR648
8048,0.0348740853369236,ʊ,BR,ĩ,BR648
8161,0.10194423794746399,i,BR,ĩ,BR687
8167,0.21032486855983734,ɪ,BR,ĩ,BR687
8160,0.010737028904259205,eɪ,BR,ĩ,BR687
8166,0.014353753998875618,ɛ,BR,ĩ,BR687
8164,0.03621598705649376,æ,BR,ĩ,BR687
8165,0.0009038777789101005,ɑ,BR,ĩ,BR687
8169,0.0030390815809369087,ʌ,BR,ĩ,BR687
8162,0.0036998302675783634,oʊ,BR,ĩ,BR687
8163,0.593603253364563,u,BR,ĩ,BR687
8168,0.0251779742538929,ʊ,BR,ĩ,BR687
8021,0.8233149647712708,i,BR,ĩ,BR848
8027,0.03703684359788895,ɪ,BR,ĩ,BR848
8020,0.019457926973700523,eɪ,BR,ĩ,BR848
8026,0.0008657102007418871,ɛ,BR,ĩ,BR848
8024,0.0049109263345599174,æ,BR,ĩ,BR848
8025,0.0008477179217152297,ɑ,BR,ĩ,BR848
8029,0.003270290559157729,ʌ,BR,ĩ,BR848
8022,0.002909171162173152,oʊ,BR,ĩ,BR848
8023,0.07712102681398392,u,BR,ĩ,BR848
8028,0.03026547096669674,ʊ,BR,ĩ,BR848
7671,0.6422578692436218,i,BR,ĩ,BR850
7677,0.14603573083877563,ɪ,BR,ĩ,BR850
7670,0.027564430609345436,eɪ,BR,ĩ,BR850
7676,0.0015644888626411557,ɛ,BR,ĩ,BR850
7674,0.0035871032159775496,æ,BR,ĩ,BR850
7675,0.000651442096568644,ɑ,BR,ĩ,BR850
7679,0.007426595780998468,ʌ,BR,ĩ,BR850
7672,0.0338120236992836,oʊ,BR,ĩ,BR850
7673,0.105315662920475,u,BR,ĩ,BR850
7678,0.0317845493555069,ʊ,BR,ĩ,BR850
6971,0.2751176059246063,i,BR,ĩ,BR880
6977,0.6214104294776917,ɪ,BR,ĩ,BR880
6970,0.0028889586683362722,eɪ,BR,ĩ,BR880
6976,0.03842789679765701,ɛ,BR,ĩ,BR880
6974,0.00784185342490673,æ,BR,ĩ,BR880
6975,0.0005567618063651025,ɑ,BR,ĩ,BR880
6979,0.0017301456537097692,ʌ,BR,ĩ,BR880
6972,0.005688509903848171,oʊ,BR,ĩ,BR880
6973,0.018384112045168877,u,BR,ĩ,BR880
6978,0.02795371040701866,ʊ,BR,ĩ,BR880
8061,0.007186172995716333,i,BR,e,BR1014
8067,0.2641311287879944,ɪ,BR,e,BR1014
8060,0.4867592751979828,eɪ,BR,e,BR1014
8066,0.13190621137619019,ɛ,BR,e,BR1014
8064,0.032844047993421555,æ,BR,e,BR1014
8065,0.0011429584119468927,ɑ,BR,e,BR1014
8069,0.07430724799633026,ʌ,BR,e,BR1014
8062,3.116539664915763e-05,oʊ,BR,e,BR1014
8063,4.714823080576025e-05,u,BR,e,BR1014
8068,0.001644503092393279,ʊ,BR,e,BR1014
7181,0.0048283678479492664,i,BR,e,BR283
7187,0.3668172061443329,ɪ,BR,e,BR283
7180,0.11919649690389633,eɪ,BR,e,BR283
7186,0.3635161519050598,ɛ,BR,e,BR283
7184,0.09780221432447433,æ,BR,e,BR283
