,probabilities,classification,language,vowel,file
0,0.7714868128299713,i,BR,i,BR132
1,0.18030458502471441,ɪ,BR,i,BR132
2,0.03544225003570312,eɪ,BR,i,BR132
3,0.00531505413819099,ɛ,BR,i,BR132
4,0.00320375874871383,æ,BR,i,BR132
5,3.7047951082058717e-05,ɑ,BR,i,BR132
6,0.0008588239015807433,ʌ,BR,i,BR132
7,0.000267762954172166,oʊ,BR,i,BR132
8,0.00224160439101974,u,BR,i,BR132
9,0.0008422985614742501,ʊ,BR,i,BR132
10,0.0077388292178511104,i,BR,i,BR329
11,0.3688051328063011,ɪ,BR,i,BR329
12,0.00670073488727205,eɪ,BR,i,BR329
13,0.4334586143493652,ɛ,BR,i,BR329
14,0.037968827225267836,æ,BR,i,BR329
15,0.024249008786864517,ɑ,BR,i,BR329
16,0.09492423869669434,ʌ,BR,i,BR329
17,0.0031133621756452403,oʊ,BR,i,BR329
18,0.00221541321952821,u,BR,i,BR329
19,0.02082581575959916,ʊ,BR,i,BR329
20,0.6222629517316818,i,BR,i,BR373
21,0.30290107503533364,ɪ,BR,i,BR373
22,0.004984765686094699,eɪ,BR,i,BR373
23,0.06248981002718205,ɛ,BR,i,BR373
24,0.002336643332637298,æ,BR,i,BR373
25,6.211774830261187e-05,ɑ,BR,i,BR373
26,0.004620514847192619,ʌ,BR,i,BR373
27,7.045217728318676e-06,oʊ,BR,i,BR373
28,3.1875510967430025e-05,u,BR,i,BR373
29,0.0003031680600542667,ʊ,BR,i,BR373
30,0.023507781559601378,i,BR,i,BR374
31,0.8024261713027954,ɪ,BR,i,BR374
32,0.01993185481987888,eɪ,BR,i,BR374
33,0.07083475561812516,ɛ,BR,i,BR374
34,0.00166776597034182,æ,BR,i,BR374
35,9.955695550160863e-05,ɑ,BR,i,BR374
36,0.046010186523199034,ʌ,BR,i,BR374
37,5.652297990649443e-05,oʊ,BR,i,BR374
38,0.00747767917346204,u,BR,i,BR374
39,0.027987706474959805,ʊ,BR,i,BR374
40,0.055520265921950286,i,BR,i,BR375
41,0.6783717036247253,ɪ,BR,i,BR375
42,0.03146422239951784,eɪ,BR,i,BR375
43,0.21883104592561722,ɛ,BR,i,BR375
44,0.00588373579084869,æ,BR,i,BR375
45,0.0004904979556158335,ɑ,BR,i,BR375
46,0.00629800325259561,ʌ,BR,i,BR375
47,0.00113459179847264,oʊ,BR,i,BR375
48,0.0005546769418287499,u,BR,i,BR375
49,0.00145120475208382,ʊ,BR,i,BR375
50,0.9794382691383362,i,BR,i,BR452
51,0.01356994933448726,ɪ,BR,i,BR452
52,0.002323161676758852,eɪ,BR,i,BR452
53,0.0002681656031199558,ɛ,BR,i,BR452
54,5.163871001058446e-05,æ,BR,i,BR452
55,1.081421663684523e-05,ɑ,BR,i,BR452
56,8.091884446912366e-05,ʌ,BR,i,BR452
57,0.00033451444047612525,oʊ,BR,i,BR452
58,0.003171145713895331,u,BR,i,BR452
59,0.0007514305341828381,ʊ,BR,i,BR452
60,0.5480359360575676,i,BR,i,BR454
61,0.26312278509140014,ɪ,BR,i,BR454
62,0.10314371436834331,eɪ,BR,i,BR454
63,0.043720895983278704,ɛ,BR,i,BR454
