,probabilities,classification,language,vowel,file
8251,0.754812479019165,i,BR,i,BR132
8257,0.07801070809364319,ɪ,BR,i,BR132
8250,0.028663333505392075,eɪ,BR,i,BR132
8256,0.009934504516422749,ɛ,BR,i,BR132
8254,0.0007917607435956597,æ,BR,i,BR132
8255,0.0008215158595703542,ɑ,BR,i,BR132
8259,0.00828029029071331,ʌ,BR,i,BR132
8252,0.005512470379471779,oʊ,BR,i,BR132
8253,0.08354935050010681,u,BR,i,BR132
8258,0.029623476788401604,ʊ,BR,i,BR132
7411,0.5750293135643005,i,BR,i,BR329
7417,0.25464972853660583,ɪ,BR,i,BR329
7410,0.029003817588090897,eɪ,BR,i,BR329
7416,0.004642096813768148,ɛ,BR,i,BR329
7414,0.0030021904967725277,æ,BR,i,BR329
7415,0.0029689122457057238,ɑ,BR,i,BR329
7419,0.004958289209753275,ʌ,BR,i,BR329
7412,0.012951226904988289,oʊ,BR,i,BR329
7413,0.06366010755300522,u,BR,i,BR329
7418,0.04913431033492088,ʊ,BR,i,BR329
8511,0.458986759185791,i,BR,i,BR373
8517,0.28452786803245544,ɪ,BR,i,BR373
8510,0.012948278337717056,eɪ,BR,i,BR373
8516,0.0036588588263839483,ɛ,BR,i,BR373
8514,0.00035869693965651095,æ,BR,i,BR373
8515,0.0002625594788696617,ɑ,BR,i,BR373
8519,0.003198272315785289,ʌ,BR,i,BR373
8512,0.00237779482267797,oʊ,BR,i,BR373
8513,0.13715648651123047,u,BR,i,BR373
8518,0.09652449190616608,ʊ,BR,i,BR373
7631,0.28757113218307495,i,BR,i,BR374
7637,0.3010832667350769,ɪ,BR,i,BR374
7630,0.015010413713753223,eɪ,BR,i,BR374
7636,0.0273255817592144,ɛ,BR,i,BR374
7634,0.0020771881099790335,æ,BR,i,BR374
7635,0.001058891648426652,ɑ,BR,i,BR374
7639,0.013465317897498608,ʌ,BR,i,BR374
7632,0.011239324696362019,oʊ,BR,i,BR374
7633,0.15241679549217224,u,BR,i,BR374
7638,0.1887522041797638,ʊ,BR,i,BR374
7761,0.8239820599555969,i,BR,i,BR375
7767,0.06736539304256439,ɪ,BR,i,BR375
