,probabilities,classification,language,vowel,file
0,0.3020612097461708,i,BR,i,BR132
1,0.038220045994967214,ɪ,BR,i,BR132
2,0.037693864479660964,eɪ,BR,i,BR132
3,0.30247958400286734,ɛ,BR,i,BR132
4,0.0010173325135837932,æ,BR,i,BR132
5,0.013726977311307547,ɑ,BR,i,BR132
6,0.004075212334282674,ʌ,BR,i,BR132
7,0.005257250671274941,oʊ,BR,i,BR132
8,0.21317155212163924,u,BR,i,BR132
9,0.08229695614427326,ʊ,BR,i,BR132
10,0.2670373635366559,i,BR,i,BR329
11,0.11783375069499016,ɪ,BR,i,BR329
12,0.0642161560244858,eɪ,BR,i,BR329
13,0.12746061745565382,ɛ,BR,i,BR329
14,0.014640392875298846,æ,BR,i,BR329
15,0.011517562903463816,ɑ,BR,i,BR329
16,0.03571353796869515,ʌ,BR,i,BR329
17,0.19710764363408087,oʊ,BR,i,BR329
18,0.11089365370571613,u,BR,i,BR329
19,0.053579314425587644,ʊ,BR,i,BR329
20,0.1888513323268853,i,BR,i,BR373
21,0.6254595041275024,ɪ,BR,i,BR373
22,0.006832075619604425,eɪ,BR,i,BR373
23,0.013469474995508773,ɛ,BR,i,BR373
24,0.00018355547799727163,æ,BR,i,BR373
25,0.00019642612242021492,ɑ,BR,i,BR373
26,0.002657654369249917,ʌ,BR,i,BR373
27,0.04665934417862444,oʊ,BR,i,BR373
28,0.07061500335112211,u,BR,i,BR373
29,0.045075665158219605,ʊ,BR,i,BR373
30,0.14188916361890733,i,BR,i,BR374
31,0.13943586591631174,ɪ,BR,i,BR374
32,0.01690413253381846,eɪ,BR,i,BR374
33,0.09375510606914757,ɛ,BR,i,BR374
34,0.001061241110437538,æ,BR,i,BR374
35,0.0012809246021788377,ɑ,BR,i,BR374
36,0.017657810542732466,ʌ,BR,i,BR374
37,0.1646100197918713,oʊ,BR,i,BR374
38,0.29076565206050875,u,BR,i,BR374
39,0.13264008536934851,ʊ,BR,i,BR374
40,0.3448037740774453,i,BR,i,BR375
41,0.16265376098453999,ɪ,BR,i,BR375
42,0.010099823959171755,eɪ,BR,i,BR375
43,0.1818873235490173,ɛ,BR,i,BR375
44,0.0026747445110231562,æ,BR,i,BR375
45,0.0038520756701472874,ɑ,BR,i,BR375
46,0.022123588807880862,ʌ,BR,i,BR375
47,0.16391351998317985,oʊ,BR,i,BR375
48,0.0697628155350685,u,BR,i,BR375
49,0.03822858966886995,ʊ,BR,i,BR375
50,0.03333107045036737,i,BR,i,BR452
51,0.26064830273389816,ɪ,BR,i,BR452
52,0.039142200932838,eɪ,BR,i,BR452
53,0.1779982715845108,ɛ,BR,i,BR452
54,0.01880967016913926,æ,BR,i,BR452
55,0.02216794883715918,ɑ,BR,i,BR452
56,0.04077406260184942,ʌ,BR,i,BR452
57,0.26357913166284563,oʊ,BR,i,BR452
58,0.08113664314150808,u,BR,i,BR452
59,0.062412725668400504,ʊ,BR,i,BR452
60,0.09010612727142868,i,BR,i,BR454
61,0.04645961336791513,ɪ,BR,i,BR454
62,0.02842621612362562,eɪ,BR,i,BR454
63,0.22906038763467224,ɛ,BR,i,BR454
64,0.0014269446139223668,æ,BR,i,BR454
65,0.005487306037684882,ɑ,BR,i,BR454
66,0.010124358395114523,ʌ,BR,i,BR454
67,0.036434914357960195,oʊ,BR,i,BR454
68,0.40560160428285597,u,BR,i,BR454
69,0.14687251970171927,ʊ,BR,i,BR454
70,0.024996767169795923,i,BR,i,BR46
71,0.38156905472278596,ɪ,BR,i,BR46
72,0.01934261084534226,eɪ,BR,i,BR46
73,0.27016737759113313,ɛ,BR,i,BR46
