,probabilities,classification,language,vowel,file
8251,0.9913293123245239,i,BR,i,BR132
8257,0.007193674799054861,ɪ,BR,i,BR132
8250,0.00042605382623150945,eɪ,BR,i,BR132
8256,0.00011234430712647736,ɛ,BR,i,BR132
8254,7.509750503231771e-06,æ,BR,i,BR132
8255,1.4630265468440484e-05,ɑ,BR,i,BR132
8259,2.80825170193566e-05,ʌ,BR,i,BR132
8252,4.616853402694687e-05,oʊ,BR,i,BR132
8253,0.0004264597373548895,u,BR,i,BR132
8258,0.0004155344795435667,ʊ,BR,i,BR132
7411,0.11767406016588211,i,BR,i,BR329
7417,0.6927765607833862,ɪ,BR,i,BR329
7410,0.06923159956932068,eɪ,BR,i,BR329
7416,0.03844151273369789,ɛ,BR,i,BR329
7414,0.015836449339985847,æ,BR,i,BR329
7415,0.0011739672627300024,ɑ,BR,i,BR329
7419,0.0033469507470726967,ʌ,BR,i,BR329
7412,0.0011953420471400023,oʊ,BR,i,BR329
7413,0.02789168432354927,u,BR,i,BR329
7418,0.032431840896606445,ʊ,BR,i,BR329
8511,0.7845240831375122,i,BR,i,BR373
8517,0.14441411197185516,ɪ,BR,i,BR373
8510,0.02154482901096344,eɪ,BR,i,BR373
8516,0.002780493348836899,ɛ,BR,i,BR373
8514,2.2478403479908593e-05,æ,BR,i,BR373
8515,3.87511227017967e-06,ɑ,BR,i,BR373
8519,0.0002043094573309645,ʌ,BR,i,BR373
8512,3.822246799245477e-05,oʊ,BR,i,BR373
8513,0.03310907632112503,u,BR,i,BR373
8518,0.013358598574995995,ʊ,BR,i,BR373
7631,0.11528275907039642,i,BR,i,BR374
7637,0.8429904580116272,ɪ,BR,i,BR374
7630,0.009384285658597946,eɪ,BR,i,BR374
7636,0.009586025960743427,ɛ,BR,i,BR374
7634,0.00012706215784419328,æ,BR,i,BR374
7635,3.132725169052719e-06,ɑ,BR,i,BR374
7639,0.00041882836376316845,ʌ,BR,i,BR374
7632,3.325839134049602e-05,oʊ,BR,i,BR374
7633,0.012126952409744263,u,BR,i,BR374
7638,0.010047227144241333,ʊ,BR,i,BR374
7761,0.246897891163826,i,BR,i,BR375
7767,0.6805252432823181,ɪ,BR,i,BR375
7760,0.011557597666978836,eɪ,BR,i,BR375
7766,0.006549588870257139,ɛ,BR,i,BR375
7764,0.0007381478208117187,æ,BR,i,BR375
7765,0.0002460936375427991,ɑ,BR,i,BR375
7769,0.0015707946149632335,ʌ,BR,i,BR375
7762,0.0005607922212220728,oʊ,BR,i,BR375
7763,0.02780810557305813,u,BR,i,BR375
7768,0.023545661941170692,ʊ,BR,i,BR375
7491,0.6576682329177856,i,BR,i,BR452
7497,0.1623971313238144,ɪ,BR,i,BR452
7490,0.022124800831079483,eɪ,BR,i,BR452
7496,0.007528889458626509,ɛ,BR,i,BR452
7494,0.0002912500349339098,æ,BR,i,BR452
7495,0.0010160598903894424,ɑ,BR,i,BR452
7499,0.035100288689136505,ʌ,BR,i,BR452
7492,0.0025498862378299236,oʊ,BR,i,BR452
7493,0.07629837840795517,u,BR,i,BR452
7498,0.03502495586872101,ʊ,BR,i,BR452
7171,0.1660715490579605,i,BR,i,BR454
7177,0.824515700340271,ɪ,BR,i,BR454
7170,0.00041383362258784473,eɪ,BR,i,BR454
7176,0.0040674577467143536,ɛ,BR,i,BR454
7174,1.150893581325363e-06,æ,BR,i,BR454
7175,2.754849811026361e-05,ɑ,BR,i,BR454
7179,0.001431841985322535,ʌ,BR,i,BR454
7172,9.843960469879676e-06,oʊ,BR,i,BR454
7173,0.0028739955741912127,u,BR,i,BR454
7178,0.0005869650049135089,ʊ,BR,i,BR454
7791,0.6896490454673767,i,BR,i,BR46
7797,0.11538563668727875,ɪ,BR,i,BR46
7790,0.029760563746094704,eɪ,BR,i,BR46
7796,0.07017586380243301,ɛ,BR,i,BR46
7794,0.009522712789475918,æ,BR,i,BR46
7795,0.0029649611096829176,ɑ,BR,i,BR46
7799,0.029236067086458206,ʌ,BR,i,BR46
7792,0.0046224514953792095,oʊ,BR,i,BR46
7793,0.0081958482041955,u,BR,i,BR46
7798,0.040486931800842285,ʊ,BR,i,BR46
7901,0.957537829875946,i,BR,i,BR47
7907,0.01881624571979046,ɪ,BR,i,BR47
7900,0.00584879657253623,eɪ,BR,i,BR47
7906,0.0009565306245349348,ɛ,BR,i,BR47
7904,0.00030764975235797465,æ,BR,i,BR47
7905,0.0002706267114263028,ɑ,BR,i,BR47
7909,0.0031063761562108994,ʌ,BR,i,BR47
7902,0.0004985915729776025,oʊ,BR,i,BR47
7903,0.0054860482923686504,u,BR,i,BR47
7908,0.007171246688812971,ʊ,BR,i,BR47
7301,0.38304588198661804,i,BR,i,BR496
7307,0.3597700297832489,ɪ,BR,i,BR496
7300,0.0008676172001287341,eɪ,BR,i,BR496
7306,0.1438414603471756,ɛ,BR,i,BR496
7304,0.00033205351792275906,æ,BR,i,BR496
7305,0.00028939321055077016,ɑ,BR,i,BR496
7309,0.07620158046483994,ʌ,BR,i,BR496
7302,0.0002787080593407154,oʊ,BR,i,BR496
7303,0.025139354169368744,u,BR,i,BR496
7308,0.010233916342258453,ʊ,BR,i,BR496
7571,0.6910932064056396,i,BR,i,BR741
7577,0.19306714832782745,ɪ,BR,i,BR741
7570,0.010444036684930325,eɪ,BR,i,BR741
7576,0.10006172209978104,ɛ,BR,i,BR741
7574,7.309541251743212e-05,æ,BR,i,BR741
7575,4.273191370884888e-05,ɑ,BR,i,BR741
7579,0.002825674833729863,ʌ,BR,i,BR741
7572,0.0001480148930568248,oʊ,BR,i,BR741
7573,0.0005674504791386425,u,BR,i,BR741
7578,0.0016768581699579954,ʊ,BR,i,BR741
8321,0.9985404014587402,i,BR,i,BR742
8327,0.0011650645174086094,ɪ,BR,i,BR742
8320,0.00026642423472367227,eɪ,BR,i,BR742
8326,1.1270277354924474e-05,ɛ,BR,i,BR742
8324,1.031405645335326e-07,æ,BR,i,BR742
8325,1.1531680144116763e-07,ɑ,BR,i,BR742
8329,9.215333420797833e-07,ʌ,BR,i,BR742
8322,3.3736765203684627e-07,oʊ,BR,i,BR742
8323,1.1769343473133631e-05,u,BR,i,BR742
8328,3.4233205497002928e-06,ʊ,BR,i,BR742
7811,0.8644112348556519,i,BR,i,BR757
7817,0.10135532915592194,ɪ,BR,i,BR757
7810,0.006344192195683718,eɪ,BR,i,BR757
7816,0.008448386564850807,ɛ,BR,i,BR757
7814,0.00013318030687514693,æ,BR,i,BR757
7815,0.0006019250140525401,ɑ,BR,i,BR757
7819,0.001436915947124362,ʌ,BR,i,BR757
7812,0.0023572612553834915,oʊ,BR,i,BR757
7813,0.0031595726031810045,u,BR,i,BR757
7818,0.011751972138881683,ʊ,BR,i,BR757
6731,0.7655038237571716,i,BR,i,BR796
6737,0.20640555024147034,ɪ,BR,i,BR796
6730,0.0028366674669086933,eɪ,BR,i,BR796
6736,0.002183858770877123,ɛ,BR,i,BR796
6734,1.355316362605663e-05,æ,BR,i,BR796
6735,0.00015654701564926654,ɑ,BR,i,BR796
6739,0.0008695070282556117,ʌ,BR,i,BR796
6732,0.0066874464973807335,oʊ,BR,i,BR796
6733,0.01154337264597416,u,BR,i,BR796
6738,0.0037996619939804077,ʊ,BR,i,BR796
7651,0.9954625964164734,i,BR,i,BR99
7657,0.0039014818612486124,ɪ,BR,i,BR99
7650,0.00011078402894781902,eɪ,BR,i,BR99
7656,0.00012887315824627876,ɛ,BR,i,BR99
7654,8.536940185877029e-06,æ,BR,i,BR99
7655,2.2686066586175002e-05,ɑ,BR,i,BR99
7659,2.3272363250725903e-05,ʌ,BR,i,BR99
7652,1.2916335435875226e-05,oʊ,BR,i,BR99
7653,0.00016785803018137813,u,BR,i,BR99
7658,0.00016089908604044467,ʊ,BR,i,BR99
7331,0.9499306678771973,i,BR,i,BR992
7337,0.037724994122982025,ɪ,BR,i,BR992
7330,0.0032853700686246157,eɪ,BR,i,BR992
7336,0.0020441878587007523,ɛ,BR,i,BR992
7334,1.6782787497504614e-05,æ,BR,i,BR992
7335,7.868384273024276e-05,ɑ,BR,i,BR992
7339,0.0007873106515035033,ʌ,BR,i,BR992
7332,0.00011499313404783607,oʊ,BR,i,BR992
7333,0.0023917080834507942,u,BR,i,BR992
7338,0.003625237848609686,ʊ,BR,i,BR992
7821,0.9803738594055176,i,BR,ĩ,BR1025
7827,0.008726401254534721,ɪ,BR,ĩ,BR1025
7820,0.007627102546393871,eɪ,BR,ĩ,BR1025
7826,0.0008353653247468174,ɛ,BR,ĩ,BR1025
7824,5.8886325859930366e-05,æ,BR,ĩ,BR1025
7825,0.0003311727487016469,ɑ,BR,ĩ,BR1025
7829,9.004809544421732e-05,ʌ,BR,ĩ,BR1025
7822,0.00033870941842906177,oʊ,BR,ĩ,BR1025
7823,0.0012155374279245734,u,BR,ĩ,BR1025
