,probabilities,classification,language,vowel,file
8251,0.9994764924049377,i,BR,i,BR132
8257,0.00031492282869294286,ɪ,BR,i,BR132
8250,6.426002801163122e-05,eɪ,BR,i,BR132
8256,8.106856512313243e-06,ɛ,BR,i,BR132
8254,1.1963830957029131e-06,æ,BR,i,BR132
8255,6.117658131188364e-07,ɑ,BR,i,BR132
8259,7.2509999426984e-07,ʌ,BR,i,BR132
8252,6.02989871367754e-07,oʊ,BR,i,BR132
8253,8.094762597465888e-05,u,BR,i,BR132
8258,5.23625458299648e-05,ʊ,BR,i,BR132
7411,7.774338155286387e-05,i,BR,i,BR329
7417,2.64683931163745e-05,ɪ,BR,i,BR329
7410,8.874721243046224e-05,eɪ,BR,i,BR329
7416,3.453465978964232e-05,ɛ,BR,i,BR329
7414,1.958419306902215e-05,æ,BR,i,BR329
7415,6.370538176270202e-05,ɑ,BR,i,BR329
7419,0.00015730962331872433,ʌ,BR,i,BR329
7412,0.00023749214597046375,oʊ,BR,i,BR329
7413,0.8434998989105225,u,BR,i,BR329
7418,0.15579448640346527,ʊ,BR,i,BR329
8511,0.00018959210137836635,i,BR,i,BR373
8517,2.1292487872415222e-05,ɪ,BR,i,BR373
8510,0.00010163465776713565,eɪ,BR,i,BR373
8516,2.9105545763741247e-05,ɛ,BR,i,BR373
8514,1.4771496353205293e-05,æ,BR,i,BR373
8515,3.8967846194282174e-05,ɑ,BR,i,BR373
8519,8.673009870108217e-05,ʌ,BR,i,BR373
8512,0.00013530347496271133,oʊ,BR,i,BR373
8513,0.8664090633392334,u,BR,i,BR373
8518,0.1329735368490219,ʊ,BR,i,BR373
7631,3.799515980063006e-05,i,BR,i,BR374
7637,7.701434697082732e-06,ɪ,BR,i,BR374
7630,6.843220035079867e-05,eɪ,BR,i,BR374
7636,8.205275662476197e-06,ɛ,BR,i,BR374
7634,1.6308400518028066e-05,æ,BR,i,BR374
7635,5.214991688262671e-05,ɑ,BR,i,BR374
7639,1.834115209931042e-05,ʌ,BR,i,BR374
7632,0.0006366230081766844,oʊ,BR,i,BR374
