,probabilities,classification,language,vowel,file
8251,0.8698599451221526,i,BR,i,BR132
8257,0.07072685680177529,ɪ,BR,i,BR132
8250,0.00015780623798491433,eɪ,BR,i,BR132
8256,0.002795939640554934,ɛ,BR,i,BR132
8254,1.1596726869811391e-05,æ,BR,i,BR132
8255,3.0683198008318866e-05,ɑ,BR,i,BR132
8259,0.013341024595786167,ʌ,BR,i,BR132
8252,7.806839993804716e-05,oʊ,BR,i,BR132
8253,0.004979577979793248,u,BR,i,BR132
8258,0.038018571714292196,ʊ,BR,i,BR132
7411,0.07566261616375414,i,BR,i,BR329
7417,0.0010455469071530387,ɪ,BR,i,BR329
7410,0.22020515036419966,eɪ,BR,i,BR329
7416,0.0001875010730145732,ɛ,BR,i,BR329
7414,0.00020827581756748258,æ,BR,i,BR329
7415,0.0003050356448511593,ɑ,BR,i,BR329
7419,0.0005409277535363799,ʌ,BR,i,BR329
7412,0.18028235146193766,oʊ,BR,i,BR329
7413,0.37213174710050223,u,BR,i,BR329
7418,0.1494308721914422,ʊ,BR,i,BR329
8511,0.12329807616952167,i,BR,i,BR373
8517,0.0017705782061739229,ɪ,BR,i,BR373
8510,0.23669525911172967,eɪ,BR,i,BR373
8516,0.0001436845655007346,ɛ,BR,i,BR373
8514,0.00020295466547395335,æ,BR,i,BR373
8515,0.00035120606075906836,ɑ,BR,i,BR373
8519,0.00014013178265486203,ʌ,BR,i,BR373
8512,0.095614919468062,oʊ,BR,i,BR373
8513,0.42981354061921595,u,BR,i,BR373
8518,0.11196962736430578,ʊ,BR,i,BR373
7631,0.0750058940044255,i,BR,i,BR374
7637,0.0004875034702308767,ɪ,BR,i,BR374
7630,0.1539597100141691,eɪ,BR,i,BR374
7636,8.335877773788525e-05,ɛ,BR,i,BR374
7634,0.0001449248502467526,æ,BR,i,BR374
7635,0.0006296329488577612,ɑ,BR,i,BR374
7639,0.00020904433840769344,ʌ,BR,i,BR374
7632,0.35224252882180734,oʊ,BR,i,BR374
7633,0.3031378743820824,u,BR,i,BR374
7638,0.11409953433903866,ʊ,BR,i,BR374
7761,0.15356173604523066,i,BR,i,BR375
7767,0.0004884638310613809,ɪ,BR,i,BR375
7760,0.2553395588765852,eɪ,BR,i,BR375
7766,9.623170112718071e-05,ɛ,BR,i,BR375
7764,0.00029681099476874806,æ,BR,i,BR375
7765,0.0031950589222219604,ɑ,BR,i,BR375
7769,9.56725944433856e-05,ʌ,BR,i,BR375
7762,0.2739839866955663,oʊ,BR,i,BR375
7763,0.2553079818644619,u,BR,i,BR375
7768,0.05763449387741275,ʊ,BR,i,BR375
7491,0.11334350583747436,i,BR,i,BR452
7497,0.009941891121707158,ɪ,BR,i,BR452
7490,0.000144226263046221,eɪ,BR,i,BR452
7496,0.0005286508133053758,ɛ,BR,i,BR452
7494,2.9315614750657914e-05,æ,BR,i,BR452
7495,0.00034338698205829135,ɑ,BR,i,BR452
7499,0.016573767656564087,ʌ,BR,i,BR452
7492,0.0001288120341996546,oʊ,BR,i,BR452
7493,0.7428296461701394,u,BR,i,BR452
7498,0.11613681903108955,ʊ,BR,i,BR452
7171,0.482639794217539,i,BR,i,BR454
7177,0.07729944969469216,ɪ,BR,i,BR454
7170,0.00011677510224217258,eɪ,BR,i,BR454
7176,0.002934121049827354,ɛ,BR,i,BR454
7174,1.8298751217571408e-05,æ,BR,i,BR454
7175,7.342620087911201e-05,ɑ,BR,i,BR454
7179,0.0066672346440554975,ʌ,BR,i,BR454
7172,7.922437000615901e-05,oʊ,BR,i,BR454
7173,0.3238215518165816,u,BR,i,BR454
7178,0.10635015440711867,ʊ,BR,i,BR454
7791,0.8476644658774604,i,BR,i,BR46
7797,0.11735882500652224,ɪ,BR,i,BR46
7790,0.00020169606032141018,eɪ,BR,i,BR46
7796,0.02969764666518131,ɛ,BR,i,BR46
7794,2.086099789266882e-05,æ,BR,i,BR46
7795,2.242880887024512e-05,ɑ,BR,i,BR46
7799,0.0007913171227897919,ʌ,BR,i,BR46
7792,0.0014012147455332523,oʊ,BR,i,BR46
7793,0.0007756985844025622,u,BR,i,BR46
7798,0.002065833534697958,ʊ,BR,i,BR46
7901,0.9526035726070404,i,BR,i,BR47
7907,0.0462010262766853,ɪ,BR,i,BR47
7900,0.00010232216627628076,eɪ,BR,i,BR47
7906,9.7696854629703e-05,ɛ,BR,i,BR47
7904,8.151887993790296e-06,æ,BR,i,BR47
7905,1.5565268608952464e-05,ɑ,BR,i,BR47
7909,2.626924796231833e-05,ʌ,BR,i,BR47
7902,1.5025072389107664e-05,oʊ,BR,i,BR47
7903,0.0006256813387153671,u,BR,i,BR47
7908,0.00030468499176095065,ʊ,BR,i,BR47
7301,0.5139394337384147,i,BR,i,BR496
7307,0.020200755821861094,ɪ,BR,i,BR496
7300,0.00028818612818213294,eɪ,BR,i,BR496
7306,0.0011878958919794512,ɛ,BR,i,BR496
7304,1.7233319590559403e-05,æ,BR,i,BR496
7305,8.02448395461397e-05,ɑ,BR,i,BR496
7309,0.0034502337296572704,ʌ,BR,i,BR496
7302,9.368761238874868e-05,oʊ,BR,i,BR496
7303,0.25725368694547796,u,BR,i,BR496
7308,0.20348857811113702,ʊ,BR,i,BR496
7571,0.9986098170280456,i,BR,i,BR741
7577,0.0010978025660733693,ɪ,BR,i,BR741
7570,9.308458320447243e-05,eɪ,BR,i,BR741
7576,1.3621542620967375e-05,ɛ,BR,i,BR741
7574,6.207845177641502e-06,æ,BR,i,BR741
7575,6.4778143268995335e-06,ɑ,BR,i,BR741
7579,2.901365243701548e-06,ʌ,BR,i,BR741
7572,3.310025601876987e-06,oʊ,BR,i,BR741
7573,0.00012711519393633354,u,BR,i,BR741
7578,3.965900798448274e-05,ʊ,BR,i,BR741
8321,0.8875097461044789,i,BR,i,BR742
8327,0.041298477594682484,ɪ,BR,i,BR742
8320,0.00015656704854336568,eɪ,BR,i,BR742
