,language,vowel,file,probabilities,classification
8944,BR,i,BR132,0.1661845,i
8945,BR,i,BR132,0.069391325,y
8946,BR,i,BR132,0.15938458,e
8947,BR,i,BR132,0.13664542,ɛ
8956,BR,i,BR132,0.027106117,ɛ̃
8948,BR,i,BR132,0.017440243,ø
8949,BR,i,BR132,0.011128573,œ
8950,BR,i,BR132,0.19171841,a
8951,BR,i,BR132,0.07503449,ɑ̃
8952,BR,i,BR132,0.035690174,o
8953,BR,i,BR132,0.03590977,ɔ
8954,BR,i,BR132,0.048350643,ɔ̃
8955,BR,i,BR132,0.026015643,u
5746,BR,i,BR329,0.10543248,i
5747,BR,i,BR329,0.07159655,y
5748,BR,i,BR329,0.10480692,e
5749,BR,i,BR329,0.12687348,ɛ
5758,BR,i,BR329,0.03360069,ɛ̃
5750,BR,i,BR329,0.019908965,ø
5751,BR,i,BR329,0.015103016,œ
5752,BR,i,BR329,0.2157203,a
5753,BR,i,BR329,0.08129557,ɑ̃
5754,BR,i,BR329,0.05272436,o
5755,BR,i,BR329,0.04323245,ɔ
5756,BR,i,BR329,0.07343995,ɔ̃
5757,BR,i,BR329,0.056265414,u
12610,BR,i,BR373,0.31779346,i
12611,BR,i,BR373,0.031711154,y
12612,BR,i,BR373,0.15390015,e
12613,BR,i,BR373,0.23390646,ɛ
12622,BR,i,BR373,0.0047625303,ɛ̃
12614,BR,i,BR373,0.004012932,ø
12615,BR,i,BR373,0.0023061037,œ
12616,BR,i,BR373,0.20747168,a
12617,BR,i,BR373,0.01731897,ɑ̃
12618,BR,i,BR373,0.0075425245,o
12619,BR,i,BR373,0.006412794,ɔ
12620,BR,i,BR373,0.007496171,ɔ̃
12621,BR,i,BR373,0.005365085,u
7592,BR,i,BR374,0.16147465,i
7593,BR,i,BR374,0.08182013,y
7594,BR,i,BR374,0.1408063,e
7595,BR,i,BR374,0.14719717,ɛ
7604,BR,i,BR374,0.028664649,ɛ̃
7596,BR,i,BR374,0.023209443,ø
7597,BR,i,BR374,0.014170773,œ
7598,BR,i,BR374,0.17564854,a
7599,BR,i,BR374,0.059796978,ɑ̃
7600,BR,i,BR374,0.038640834,o
7601,BR,i,BR374,0.0374377,ɔ
7602,BR,i,BR374,0.046883654,ɔ̃
7603,BR,i,BR374,0.04424924,u
12480,BR,i,BR375,0.14706507,i
12481,BR,i,BR375,0.07780888,y
12482,BR,i,BR375,0.13545994,e
12483,BR,i,BR375,0.12773822,ɛ
12492,BR,i,BR375,0.031718787,ɛ̃
12484,BR,i,BR375,0.026095938,ø
12485,BR,i,BR375,0.017356077,œ
12486,BR,i,BR375,0.16362917,a
12487,BR,i,BR375,0.0761591,ɑ̃
12488,BR,i,BR375,0.047589023,o
12489,BR,i,BR375,0.04091053,ɔ
12490,BR,i,BR375,0.04656827,ɔ̃
12491,BR,i,BR375,0.06190085,u
12142,BR,i,BR452,0.13361117,i
12143,BR,i,BR452,0.07370159,y
12144,BR,i,BR452,0.11189554,e
12145,BR,i,BR452,0.12789406,ɛ
12154,BR,i,BR452,0.02653133,ɛ̃
12146,BR,i,BR452,0.014598432,ø
12147,BR,i,BR452,0.010220625,œ
12148,BR,i,BR452,0.22069806,a
12149,BR,i,BR452,0.076147944,ɑ̃
12150,BR,i,BR452,0.045011647,o
12151,BR,i,BR452,0.041740917,ɔ
12152,BR,i,BR452,0.057004336,ɔ̃
12153,BR,i,BR452,0.060944326,u
12311,BR,i,BR454,0.11644694,i
12312,BR,i,BR454,0.0721823,y
12313,BR,i,BR454,0.115361065,e
12314,BR,i,BR454,0.13277978,ɛ
12323,BR,i,BR454,0.029317772,ɛ̃
12315,BR,i,BR454,0.016953848,ø
12316,BR,i,BR454,0.014463386,œ
12317,BR,i,BR454,0.22510906,a
12318,BR,i,BR454,0.072380826,ɑ̃
12319,BR,i,BR454,0.046768244,o
