,language,vowel,file,probabilities,classification
1260,BR,i,BR132,0.688985,i
1261,BR,i,BR132,0.0038840359,ɪ
1262,BR,i,BR132,0.270569,eɪ
1263,BR,i,BR132,0.024461117,ɛ
1264,BR,i,BR132,0.004430297,æ
1265,BR,i,BR132,3.4971974e-05,ɑ
1266,BR,i,BR132,0.006524416,ʌ
1267,BR,i,BR132,1.9586394e-05,oʊ
1268,BR,i,BR132,0.00079537573,u
1269,BR,i,BR132,0.00029623223,ʊ
8570,BR,i,BR329,0.0009194694,i
8571,BR,i,BR329,3.266396e-05,ɪ
8572,BR,i,BR329,0.00011818877,eɪ
8573,BR,i,BR329,0.9725375,ɛ
8574,BR,i,BR329,0.018938331,æ
8575,BR,i,BR329,0.006041981,ɑ
8576,BR,i,BR329,0.0010072541,ʌ
8577,BR,i,BR329,0.00013241362,oʊ
8578,BR,i,BR329,1.1347772e-05,u
8579,BR,i,BR329,0.00026087233,ʊ
8660,BR,i,BR373,1.3245386e-06,i
8661,BR,i,BR373,0.99997747,ɪ
8662,BR,i,BR373,6.1497424e-08,eɪ
8663,BR,i,BR373,5.8334476e-06,ɛ
8664,BR,i,BR373,1.3203774e-05,æ
8665,BR,i,BR373,1.8882515e-07,ɑ
8666,BR,i,BR373,1.3083086e-06,ʌ
8667,BR,i,BR373,1.6394957e-08,oʊ
8668,BR,i,BR373,1.3992951e-07,u
8669,BR,i,BR373,3.4502077e-07,ʊ
4370,BR,i,BR374,7.605628e-05,i
4371,BR,i,BR374,0.0018694097,ɪ
4372,BR,i,BR374,3.3149558e-05,eɪ
4373,BR,i,BR374,0.0019593637,ɛ
4374,BR,i,BR374,0.97955394,æ
4375,BR,i,BR374,0.01148372,ɑ
4376,BR,i,BR374,0.0029031844,ʌ
4377,BR,i,BR374,0.00024575257,oʊ
4378,BR,i,BR374,0.0012362079,u
4379,BR,i,BR374,0.0006390698,ʊ
5260,BR,i,BR375,0.006611942,i
5261,BR,i,BR375,0.008872395,ɪ
5262,BR,i,BR375,0.00045419746,eɪ
5263,BR,i,BR375,0.067228094,ɛ
5264,BR,i,BR375,0.8946836,æ
5265,BR,i,BR375,0.014171124,ɑ
5266,BR,i,BR375,0.001703485,ʌ
5267,BR,i,BR375,0.0033865443,oʊ
5268,BR,i,BR375,0.0014299327,u
5269,BR,i,BR375,0.0014588477,ʊ
5360,BR,i,BR452,0.9461649,i
5361,BR,i,BR452,0.05084139,ɪ
5362,BR,i,BR452,0.00011532116,eɪ
5363,BR,i,BR452,0.00017909323,ɛ
5364,BR,i,BR452,0.00066813873,æ
5365,BR,i,BR452,0.0006931872,ɑ
5366,BR,i,BR452,0.00026834256,ʌ
5367,BR,i,BR452,2.5348165e-05,oʊ
5368,BR,i,BR452,0.0010433319,u
5369,BR,i,BR452,9.4803346e-07,ʊ
1190,BR,i,BR454,0.684189,i
1191,BR,i,BR454,0.2865385,ɪ
1192,BR,i,BR454,0.00025177072,eɪ
1193,BR,i,BR454,0.004204146,ɛ
1194,BR,i,BR454,0.00021770327,æ
1195,BR,i,BR454,0.00052698195,ɑ
1196,BR,i,BR454,0.018825581,ʌ
1197,BR,i,BR454,3.3398108e-05,oʊ
1198,BR,i,BR454,0.005198403,u
1199,BR,i,BR454,1.4531895e-05,ʊ
6160,BR,i,BR46,0.99782914,i
6161,BR,i,BR46,0.0021652274,ɪ
6162,BR,i,BR46,1.2287993e-06,eɪ
6163,BR,i,BR46,4.2787622e-08,ɛ
6164,BR,i,BR46,2.9706941e-08,æ
6165,BR,i,BR46,5.551869e-09,ɑ
6166,BR,i,BR46,4.180893e-06,ʌ
6167,BR,i,BR46,1.3206893e-07,oʊ
6168,BR,i,BR46,8.901392e-08,u
6169,BR,i,BR46,7.175887e-09,ʊ
2970,BR,i,BR47,0.9701287,i
2971,BR,i,BR47,0.0022370613,ɪ
2972,BR,i,BR47,0.015630981,eɪ
2973,BR,i,BR47,0.007057486,ɛ
2974,BR,i,BR47,0.0012912394,æ
2975,BR,i,BR47,0.00095372886,ɑ
2976,BR,i,BR47,0.0022923495,ʌ
2977,BR,i,BR47,2.7545073e-05,oʊ
2978,BR,i,BR47,0.00037996963,u
2979,BR,i,BR47,8.008031e-07,ʊ
3510,BR,i,BR496,0.5691848,i
3511,BR,i,BR496,0.40638095,ɪ
3512,BR,i,BR496,0.0005891073,eɪ
3513,BR,i,BR496,0.0010950359,ɛ
3514,BR,i,BR496,0.0004902687,æ
3515,BR,i,BR496,0.002075478,ɑ
3516,BR,i,BR496,0.0037545369,ʌ
3517,BR,i,BR496,0.000102966806,oʊ
3518,BR,i,BR496,0.016312946,u
3519,BR,i,BR496,1.3910399e-05,ʊ
3190,BR,i,BR741,0.03701206,i
3191,BR,i,BR741,0.9629802,ɪ
3192,BR,i,BR741,9.4408506e-07,eɪ
3193,BR,i,BR741,7.0379556e-08,ɛ
3194,BR,i,BR741,1.1490862e-07,æ
3195,BR,i,BR741,1.9849581e-07,ɑ
3196,BR,i,BR741,2.0340156e-07,ʌ
3197,BR,i,BR741,4.6935702e-07,oʊ
3198,BR,i,BR741,5.674134e-06,u
3199,BR,i,BR741,1.0884642e-07,ʊ
8440,BR,i,BR742,0.9999975,i
8441,BR,i,BR742,2.0598075e-06,ɪ
8442,BR,i,BR742,1.8310867e-07,eɪ
8443,BR,i,BR742,5.2177646e-10,ɛ
8444,BR,i,BR742,3.689576e-10,æ
8445,BR,i,BR742,5.3768273e-10,ɑ
8446,BR,i,BR742,2.656853e-10,ʌ
8447,BR,i,BR742,2.512151e-09,oʊ
8448,BR,i,BR742,1.9525156e-07,u
8449,BR,i,BR742,6.3053607e-10,ʊ
5610,BR,i,BR757,0.0070800185,i
5611,BR,i,BR757,0.000451011,ɪ
5612,BR,i,BR757,0.9924212,eɪ
5613,BR,i,BR757,4.311347e-05,ɛ
5614,BR,i,BR757,1.1242398e-06,æ
5615,BR,i,BR757,1.1292982e-07,ɑ
5616,BR,i,BR757,1.0642499e-07,ʌ
5617,BR,i,BR757,3.1956315e-06,oʊ
5618,BR,i,BR757,1.299973e-07,u
5619,BR,i,BR757,4.4007344e-09,ʊ
8520,BR,i,BR796,0.99917847,i
8521,BR,i,BR796,0.0008149416,ɪ
8522,BR,i,BR796,2.3758325e-06,eɪ
8523,BR,i,BR796,7.252761e-08,ɛ
8524,BR,i,BR796,2.505026e-07,æ
8525,BR,i,BR796,9.223605e-07,ɑ
8526,BR,i,BR796,1.0412238e-06,ʌ
8527,BR,i,BR796,1.06040705e-08,oʊ
8528,BR,i,BR796,1.7576124e-06,u
8529,BR,i,BR796,1.8124211e-08,ʊ
760,BR,i,BR99,0.9576782,i
761,BR,i,BR99,0.00026882064,ɪ
762,BR,i,BR99,0.039673124,eɪ
763,BR,i,BR99,3.683224e-05,ɛ
764,BR,i,BR99,0.0012969555,æ
765,BR,i,BR99,0.00011720989,ɑ
766,BR,i,BR99,6.371814e-05,ʌ
767,BR,i,BR99,1.3862685e-05,oʊ
768,BR,i,BR99,0.000850149,u
769,BR,i,BR99,1.1034471e-06,ʊ
7350,BR,i,BR992,0.9981269,i
7351,BR,i,BR992,0.0007888446,ɪ
7352,BR,i,BR992,0.00070135604,eɪ
7353,BR,i,BR992,0.00034411624,ɛ
7354,BR,i,BR992,5.5968567e-06,æ
7355,BR,i,BR992,2.98876e-07,ɑ
7356,BR,i,BR992,5.779299e-07,ʌ
7357,BR,i,BR992,2.836964e-07,oʊ
7358,BR,i,BR992,3.1964842e-05,u
7359,BR,i,BR992,2.2875865e-08,ʊ
3710,BR,ĩ,BR1025,0.99983835,i
3711,BR,ĩ,BR1025,1.0541931e-06,ɪ
3712,BR,ĩ,BR1025,0.00014480429,eɪ
3713,BR,ĩ,BR1025,7.681635e-07,ɛ
3714,BR,ĩ,BR1025,2.4832295e-07,æ
3715,BR,ĩ,BR1025,1.0478779e-07,ɑ
3716,BR,ĩ,BR1025,1.41377e-05,ʌ
3717,BR,ĩ,BR1025,2.7566742e-08,oʊ
3718,BR,ĩ,BR1025,4.5986874e-07,u
3719,BR,ĩ,BR1025,1.1909655e-09,ʊ
7730,BR,ĩ,BR1029,0.999998,i
7731,BR,ĩ,BR1029,7.0517196e-08,ɪ
7732,BR,ĩ,BR1029,1.8952695e-06,eɪ
7733,BR,ĩ,BR1029,1.5101796e-09,ɛ
7734,BR,ĩ,BR1029,5.6388443e-11,æ
7735,BR,ĩ,BR1029,3.9524373e-11,ɑ
