,language,vowel,file,probabilities,classification
3016,BR,i,BR132,0.99993193,i
3017,BR,i,BR132,2.7915496e-07,y
3018,BR,i,BR132,9.530808e-06,e
3019,BR,i,BR132,4.987085e-05,ɛ
3028,BR,i,BR132,1.146629e-07,ɛ̃
3020,BR,i,BR132,1.1163515e-08,ø
3021,BR,i,BR132,1.14523026e-07,œ
3022,BR,i,BR132,4.4326572e-07,a
3023,BR,i,BR132,2.5801862e-07,ɑ̃
3024,BR,i,BR132,3.6399786e-07,o
3025,BR,i,BR132,7.0583354e-07,ɔ
3026,BR,i,BR132,5.2473733e-06,ɔ̃
3027,BR,i,BR132,1.2131862e-06,u
3198,BR,i,BR329,0.00018460146,i
3199,BR,i,BR329,8.125908e-05,y
3200,BR,i,BR329,0.0011154659,e
3201,BR,i,BR329,0.05663574,ɛ
3210,BR,i,BR329,0.00010746698,ɛ̃
3202,BR,i,BR329,1.6792884e-06,ø
3203,BR,i,BR329,6.428122e-05,œ
3204,BR,i,BR329,0.93310726,a
3205,BR,i,BR329,0.007280858,ɑ̃
3206,BR,i,BR329,2.4855332e-05,o
3207,BR,i,BR329,0.00092599617,ɔ
3208,BR,i,BR329,0.0003300532,ɔ̃
3209,BR,i,BR329,0.00014045453,u
4342,BR,i,BR373,0.30362463,i
4343,BR,i,BR373,0.00033136978,y
4344,BR,i,BR373,0.00026499853,e
4345,BR,i,BR373,0.6647171,ɛ
4354,BR,i,BR373,5.148531e-05,ɛ̃
4346,BR,i,BR373,5.6772246e-06,ø
4347,BR,i,BR373,3.7661835e-06,œ
4348,BR,i,BR373,2.7140047e-06,a
4349,BR,i,BR373,0.00020703711,ɑ̃
4350,BR,i,BR373,2.9456648e-06,o
4351,BR,i,BR373,6.134216e-05,ɔ
4352,BR,i,BR373,4.48296e-05,ɔ̃
4353,BR,i,BR373,0.030682053,u
9347,BR,i,BR374,0.02658519,i
9348,BR,i,BR374,0.003942381,y
9349,BR,i,BR374,0.013343417,e
9350,BR,i,BR374,0.9233069,ɛ
9359,BR,i,BR374,0.0026335756,ɛ̃
9351,BR,i,BR374,6.3057196e-05,ø
9352,BR,i,BR374,7.265817e-05,œ
9353,BR,i,BR374,0.0056547886,a
9354,BR,i,BR374,0.014150345,ɑ̃
9355,BR,i,BR374,0.0001036596,o
9356,BR,i,BR374,0.0006962965,ɔ
9357,BR,i,BR374,0.0017063943,ɔ̃
9358,BR,i,BR374,0.007741454,u
3861,BR,i,BR375,0.14204422,i
3862,BR,i,BR375,0.00015914667,y
3863,BR,i,BR375,5.124651e-05,e
3864,BR,i,BR375,0.541396,ɛ
3873,BR,i,BR375,0.00042356545,ɛ̃
3865,BR,i,BR375,1.5390331e-06,ø
3866,BR,i,BR375,6.786574e-05,œ
3867,BR,i,BR375,0.0014257499,a
3868,BR,i,BR375,0.2898238,ɑ̃
3869,BR,i,BR375,0.00016230537,o
3870,BR,i,BR375,0.023021676,ɔ
3871,BR,i,BR375,0.0012688624,ɔ̃
3872,BR,i,BR375,0.00015396805,u
9399,BR,i,BR452,0.41743538,i
9400,BR,i,BR452,0.009926801,y
9401,BR,i,BR452,0.08022521,e
9402,BR,i,BR452,0.01962167,ɛ
9411,BR,i,BR452,0.0017074214,ɛ̃
9403,BR,i,BR452,0.0013918567,ø
9404,BR,i,BR452,0.010749164,œ
9405,BR,i,BR452,0.000109726236,a
9406,BR,i,BR452,0.010009543,ɑ̃
9407,BR,i,BR452,0.00023678523,o
9408,BR,i,BR452,0.0069241035,ɔ
9409,BR,i,BR452,0.0026425696,ɔ̃
9410,BR,i,BR452,0.43901992,u
9477,BR,i,BR454,0.30600235,i
9478,BR,i,BR454,0.027844075,y
9479,BR,i,BR454,0.5193217,e
9480,BR,i,BR454,0.0177572,ɛ
9489,BR,i,BR454,0.0043198336,ɛ̃
9481,BR,i,BR454,0.0013724677,ø
9482,BR,i,BR454,0.0035966013,œ
9483,BR,i,BR454,0.057819903,a
9484,BR,i,BR454,0.004876524,ɑ̃
9485,BR,i,BR454,0.0013795224,o
9486,BR,i,BR454,0.008511681,ɔ
9487,BR,i,BR454,0.0035694835,ɔ̃
9488,BR,i,BR454,0.043628775,u
10868,BR,i,BR46,0.99999964,i
10869,BR,i,BR46,4.3293575e-08,y
10870,BR,i,BR46,1.5496796e-09,e
10871,BR,i,BR46,3.2509502e-07,ɛ
10880,BR,i,BR46,4.0271755e-09,ɛ̃
10872,BR,i,BR46,2.7804397e-08,ø
10873,BR,i,BR46,3.8909036e-09,œ
10874,BR,i,BR46,3.1167122e-09,a
10875,BR,i,BR46,1.5460373e-08,ɑ̃
10876,BR,i,BR46,2.1036024e-09,o
10877,BR,i,BR46,6.1645755e-10,ɔ
10878,BR,i,BR46,1.9634077e-09,ɔ̃
10879,BR,i,BR46,6.408363e-09,u
4134,BR,i,BR47,0.9999416,i
4135,BR,i,BR47,1.3047884e-05,y
4136,BR,i,BR47,4.8194233e-06,e
4137,BR,i,BR47,1.0556185e-05,ɛ
4146,BR,i,BR47,8.8486594e-08,ɛ̃
4138,BR,i,BR47,8.58689e-08,ø
4139,BR,i,BR47,1.4980994e-06,œ
4140,BR,i,BR47,6.9440744e-06,a
4141,BR,i,BR47,1.0624412e-06,ɑ̃
4142,BR,i,BR47,5.556459e-07,o
4143,BR,i,BR47,9.976111e-06,ɔ
4144,BR,i,BR47,1.7365535e-06,ɔ̃
4145,BR,i,BR47,7.89079e-06,u
12298,BR,i,BR496,0.03555314,i
12299,BR,i,BR496,0.0061331238,y
12300,BR,i,BR496,0.7562723,e
12301,BR,i,BR496,0.16190661,ɛ
12310,BR,i,BR496,0.0010318524,ɛ̃
