,language,vowel,file,probabilities,classification
2650,BR,i,BR132,0.9998165,i
2651,BR,i,BR132,7.782881e-05,ɪ
2652,BR,i,BR132,4.90381e-05,eɪ
2653,BR,i,BR132,1.5964126e-05,ɛ
2654,BR,i,BR132,3.169542e-07,æ
2655,BR,i,BR132,4.6534883e-06,ɑ
2656,BR,i,BR132,1.6290476e-06,ʌ
2657,BR,i,BR132,4.1428157e-06,oʊ
2658,BR,i,BR132,2.931954e-05,u
2659,BR,i,BR132,6.40656e-07,ʊ
3400,BR,i,BR329,0.067521326,i
3401,BR,i,BR329,0.05654373,ɪ
3402,BR,i,BR329,0.03778252,eɪ
3403,BR,i,BR329,0.4667212,ɛ
3404,BR,i,BR329,0.086421736,æ
3405,BR,i,BR329,0.08017866,ɑ
3406,BR,i,BR329,0.11710871,ʌ
3407,BR,i,BR329,0.04129386,oʊ
3408,BR,i,BR329,0.04443996,u
3409,BR,i,BR329,0.0019882126,ʊ
2820,BR,i,BR373,9.1199574e-05,i
2821,BR,i,BR373,0.99990785,ɪ
2822,BR,i,BR373,4.892332e-07,eɪ
2823,BR,i,BR373,3.1159406e-08,ɛ
2824,BR,i,BR373,6.42383e-09,æ
2825,BR,i,BR373,1.1145848e-07,ɑ
2826,BR,i,BR373,9.1325816e-08,ʌ
2827,BR,i,BR373,4.2183686e-08,oʊ
2828,BR,i,BR373,2.266829e-07,u
2829,BR,i,BR373,2.1671932e-08,ʊ
9610,BR,i,BR374,0.014320146,i
9611,BR,i,BR374,0.016566603,ɪ
9612,BR,i,BR374,0.12599319,eɪ
9613,BR,i,BR374,0.022095703,ɛ
9614,BR,i,BR374,0.002214776,æ
9615,BR,i,BR374,0.016816195,ɑ
9616,BR,i,BR374,0.20419534,ʌ
9617,BR,i,BR374,0.42460665,oʊ
9618,BR,i,BR374,0.1714676,u
9619,BR,i,BR374,0.0017238169,ʊ
6080,BR,i,BR375,0.03435099,i
6081,BR,i,BR375,0.0005731018,ɪ
6082,BR,i,BR375,0.11504347,eɪ
6083,BR,i,BR375,0.21366079,ɛ
6084,BR,i,BR375,0.040033117,æ
6085,BR,i,BR375,0.46468845,ɑ
6086,BR,i,BR375,0.032805964,ʌ
6087,BR,i,BR375,0.08640583,oʊ
6088,BR,i,BR375,0.010734071,u
6089,BR,i,BR375,0.0017042955,ʊ
5260,BR,i,BR452,0.9685242,i
5261,BR,i,BR452,0.010932771,ɪ
5262,BR,i,BR452,0.0021081897,eɪ
5263,BR,i,BR452,0.0017847257,ɛ
5264,BR,i,BR452,0.00081476633,æ
5265,BR,i,BR452,0.002761202,ɑ
5266,BR,i,BR452,0.012516899,ʌ
5267,BR,i,BR452,0.0003548821,oʊ
5268,BR,i,BR452,0.00019697986,u
5269,BR,i,BR452,5.299556e-06,ʊ
4370,BR,i,BR454,0.6970611,i
4371,BR,i,BR454,0.06091131,ɪ
4372,BR,i,BR454,0.008822096,eɪ
4373,BR,i,BR454,0.1851571,ɛ
4374,BR,i,BR454,0.009916982,æ
4375,BR,i,BR454,0.021093471,ɑ
4376,BR,i,BR454,0.013045774,ʌ
4377,BR,i,BR454,0.0014956875,oʊ
4378,BR,i,BR454,0.002459696,u
4379,BR,i,BR454,3.6773403e-05,ʊ
1060,BR,i,BR46,0.9906956,i
1061,BR,i,BR46,7.5061565e-05,ɪ
1062,BR,i,BR46,0.00011564898,eɪ
1063,BR,i,BR46,0.00019732682,ɛ
1064,BR,i,BR46,5.783535e-06,æ
1065,BR,i,BR46,3.3589188e-06,ɑ
1066,BR,i,BR46,0.00810564,ʌ
1067,BR,i,BR46,1.6528693e-06,oʊ
1068,BR,i,BR46,0.00079958455,u
1069,BR,i,BR46,3.9692776e-07,ʊ
7040,BR,i,BR47,0.9765425,i
7041,BR,i,BR47,0.012576693,ɪ
7042,BR,i,BR47,0.0010023988,eɪ
7043,BR,i,BR47,0.0033549413,ɛ
7044,BR,i,BR47,0.00019674655,æ
7045,BR,i,BR47,0.004216395,ɑ
7046,BR,i,BR47,0.0010586472,ʌ
7047,BR,i,BR47,0.00016989103,oʊ
7048,BR,i,BR47,0.0008754024,u
7049,BR,i,BR47,6.4914007e-06,ʊ
