,probabilities,classification,language,vowel,file
2318,0.33985134959220886,i,BR,i,BR132
2314,0.15930457413196564,ɪ,BR,i,BR132
2317,0.007991805672645569,eɪ,BR,i,BR132
2315,0.09780683368444443,ɛ,BR,i,BR132
2312,0.06650131195783615,æ,BR,i,BR132
2313,0.1865359991788864,ɑ,BR,i,BR132
2310,0.08577853441238403,ʌ,BR,i,BR132
2311,0.026814894750714302,oʊ,BR,i,BR132
2319,0.017611954361200333,u,BR,i,BR132
2316,0.011802835389971733,ʊ,BR,i,BR132
2888,0.1296396553516388,i,BR,i,BR329
2884,0.24150128662586212,ɪ,BR,i,BR329
2887,0.01748068444430828,eɪ,BR,i,BR329
2885,0.1306973099708557,ɛ,BR,i,BR329
2882,0.06948646903038025,æ,BR,i,BR329
2883,0.16847935318946838,ɑ,BR,i,BR329
2880,0.14402557909488678,ʌ,BR,i,BR329
2881,0.0177416130900383,oʊ,BR,i,BR329
2889,0.0372689813375473,u,BR,i,BR329
2886,0.04367902874946594,ʊ,BR,i,BR329
9478,0.13771888613700867,i,BR,i,BR373
9474,0.17808283865451813,ɪ,BR,i,BR373
9477,0.007428834214806557,eɪ,BR,i,BR373
9475,0.10001744329929352,ɛ,BR,i,BR373
9472,0.14727136492729187,æ,BR,i,BR373
9473,0.13258449733257294,ɑ,BR,i,BR373
9470,0.19675913453102112,ʌ,BR,i,BR373
9471,0.010076070204377174,oʊ,BR,i,BR373
9479,0.07588402926921844,u,BR,i,BR373
9476,0.01417683344334364,ʊ,BR,i,BR373
3038,0.06747088581323624,i,BR,i,BR374
3034,0.2885187864303589,ɪ,BR,i,BR374
3037,0.0060691493563354015,eɪ,BR,i,BR374
3035,0.057789333164691925,ɛ,BR,i,BR374
3032,0.03679877519607544,æ,BR,i,BR374
3033,0.05818396061658859,ɑ,BR,i,BR374
3030,0.2648769021034241,ʌ,BR,i,BR374
3031,0.026604030281305313,oʊ,BR,i,BR374
3039,0.18032191693782806,u,BR,i,BR374
3036,0.013366328552365303,ʊ,BR,i,BR374
9168,0.09468552470207214,i,BR,i,BR375
9164,0.14457659423351288,ɪ,BR,i,BR375
9167,0.0027837026864290237,eɪ,BR,i,BR375
9165,0.0139335747808218,ɛ,BR,i,BR375
9162,0.09039921313524246,æ,BR,i,BR375
9163,0.09031234681606293,ɑ,BR,i,BR375
9160,0.07585128396749496,ʌ,BR,i,BR375
9161,0.011924020946025848,oʊ,BR,i,BR375
9169,0.4602493643760681,u,BR,i,BR375
9166,0.015284369699656963,ʊ,BR,i,BR375
5958,0.08419795334339142,i,BR,i,BR452
5954,0.08983638137578964,ɪ,BR,i,BR452
5957,0.010147725231945515,eɪ,BR,i,BR452
5955,0.05633924901485443,ɛ,BR,i,BR452
5952,0.06658878922462463,æ,BR,i,BR452
5953,0.14847946166992188,ɑ,BR,i,BR452
5950,0.31098672747612,ʌ,BR,i,BR452
5951,0.12224401533603668,oʊ,BR,i,BR452
5959,0.10402772575616837,u,BR,i,BR452
5956,0.007152029313147068,ʊ,BR,i,BR452
9598,0.4561919569969177,i,BR,i,BR454
9594,0.21859624981880188,ɪ,BR,i,BR454
9597,0.01473986729979515,eɪ,BR,i,BR454
9595,0.03319704160094261,ɛ,BR,i,BR454
9592,0.011613849550485611,æ,BR,i,BR454
9593,0.0482417494058609,ɑ,BR,i,BR454
9590,0.15966753661632538,ʌ,BR,i,BR454
9591,0.02055942639708519,oʊ,BR,i,BR454
9599,0.028168804943561554,u,BR,i,BR454
9596,0.009023508988320827,ʊ,BR,i,BR454
8808,0.23479287326335907,i,BR,i,BR46
8804,0.5893692374229431,ɪ,BR,i,BR46
8807,0.012813517823815346,eɪ,BR,i,BR46
8805,0.010632670484483242,ɛ,BR,i,BR46
8802,0.0123076057061553,æ,BR,i,BR46
8803,0.035306449979543686,ɑ,BR,i,BR46
8800,0.0522967204451561,ʌ,BR,i,BR46
8801,0.021441254764795303,oʊ,BR,i,BR46
8809,0.029872436076402664,u,BR,i,BR46
8806,0.0011672398541122675,ʊ,BR,i,BR46
8188,0.21789893507957458,i,BR,i,BR47
8184,0.23482251167297363,ɪ,BR,i,BR47
8187,0.03574731573462486,eɪ,BR,i,BR47
8185,0.049227479845285416,ɛ,BR,i,BR47
8182,0.030419010668992996,æ,BR,i,BR47
8183,0.03284264728426933,ɑ,BR,i,BR47
8180,0.23860050737857819,ʌ,BR,i,BR47
8181,0.06507664918899536,oʊ,BR,i,BR47
8189,0.09302191436290741,u,BR,i,BR47
8186,0.002343015046790242,ʊ,BR,i,BR47
5798,0.07155703753232956,i,BR,i,BR496
5794,0.35683584213256836,ɪ,BR,i,BR496
5797,0.017848139628767967,eɪ,BR,i,BR496
5795,0.044779933989048004,ɛ,BR,i,BR496
5792,0.013050607405602932,æ,BR,i,BR496
5793,0.0711064264178276,ɑ,BR,i,BR496
5790,0.24000364542007446,ʌ,BR,i,BR496
5791,0.04868610203266144,oʊ,BR,i,BR496
5799,0.12987591326236725,u,BR,i,BR496
5796,0.006256306078284979,ʊ,BR,i,BR496
9708,0.05358196422457695,i,BR,i,BR741
9704,0.3253571093082428,ɪ,BR,i,BR741
9707,0.016301726922392845,eɪ,BR,i,BR741
9705,0.07210350781679153,ɛ,BR,i,BR741
9702,0.08130476623773575,æ,BR,i,BR741
9703,0.08941853046417236,ɑ,BR,i,BR741
9700,0.21711522340774536,ʌ,BR,i,BR741
9701,0.06889304518699646,oʊ,BR,i,BR741
9709,0.06818711012601852,u,BR,i,BR741
9706,0.007737019564956427,ʊ,BR,i,BR741
7228,0.12562258541584015,i,BR,i,BR742
7224,0.15483705699443817,ɪ,BR,i,BR742
7227,0.007655663415789604,eɪ,BR,i,BR742
7225,0.03268022462725639,ɛ,BR,i,BR742
7222,0.2356376200914383,æ,BR,i,BR742
7223,0.06995684653520584,ɑ,BR,i,BR742
7220,0.12435243278741837,ʌ,BR,i,BR742
7221,0.0531286783516407,oʊ,BR,i,BR742
7229,0.17232252657413483,u,BR,i,BR742
7226,0.023806340992450714,ʊ,BR,i,BR742
2218,0.2996901869773865,i,BR,i,BR757
2214,0.19127234816551208,ɪ,BR,i,BR757
2217,0.006176366470754147,eɪ,BR,i,BR757
2215,0.12061555683612823,ɛ,BR,i,BR757
2212,0.08001938462257385,æ,BR,i,BR757
2213,0.09195008873939514,ɑ,BR,i,BR757
2210,0.13779564201831818,ʌ,BR,i,BR757
2211,0.027367670089006424,oʊ,BR,i,BR757
2219,0.03317683935165405,u,BR,i,BR757
2216,0.011935998685657978,ʊ,BR,i,BR757
9448,0.222484290599823,i,BR,i,BR796
9444,0.29352304339408875,ɪ,BR,i,BR796
9447,0.03886188939213753,eɪ,BR,i,BR796
9445,0.0992085412144661,ɛ,BR,i,BR796
9442,0.02887045033276081,æ,BR,i,BR796
9443,0.09371115267276764,ɑ,BR,i,BR796
9440,0.13458369672298431,ʌ,BR,i,BR796
9441,0.03853946179151535,oʊ,BR,i,BR796
9449,0.0335690975189209,u,BR,i,BR796
9446,0.016648365184664726,ʊ,BR,i,BR796
5878,0.2842911183834076,i,BR,i,BR99
5874,0.20247426629066467,ɪ,BR,i,BR99
5877,0.01506503764539957,eɪ,BR,i,BR99
5875,0.08627103269100189,ɛ,BR,i,BR99
5872,0.03414284065365791,æ,BR,i,BR99
5873,0.234079971909523,ɑ,BR,i,BR99
5870,0.0553719699382782,ʌ,BR,i,BR99
5871,0.04985371232032776,oʊ,BR,i,BR99
5879,0.0278572216629982,u,BR,i,BR99
5876,0.010592787526547909,ʊ,BR,i,BR99
1188,0.7469909191131592,i,BR,i,BR992
1184,0.12460634112358093,ɪ,BR,i,BR992
1187,0.0012320243986323476,eɪ,BR,i,BR992
1185,0.05374565348029137,ɛ,BR,i,BR992
